robot,baseline,method,metric,paired_scenes,clusters,difference,ci_lower,ci_upper,status,scope,interval_scope,mean_ratio,median_scene_ratio,ratio_ci_lower,ratio_ci_upper,median_scene_ratio_ci_lower,median_scene_ratio_ci_upper
panda,B0,Proposed,quality_completed,12,6,0.25,-0.08333333333333333,0.5,paired_cluster_bootstrap_95pct,All 12 scenes for quality; jointly observed values for cost; repeats first averaged within scene,Marginal descriptive 95% cluster intervals for prespecified contrasts; not simultaneous familywise coverage,,,,,,
panda,B0,Proposed,quality_execution_s,5,5,1.7440000000021314,-0.6438000000007869,5.967800000007293,paired_cluster_bootstrap_95pct,All 12 scenes for quality; jointly observed values for cost; repeats first averaged within scene,Marginal descriptive 95% cluster intervals for prespecified contrasts; not simultaneous familywise coverage,1.0771660929356643,1.0038734910308031,0.9710383626033706,1.2705724467499486,0.9505384749000723,1.474322799097578
panda,B0,Proposed,quality_transition_s,5,5,0.9478000000008333,-0.18820000000013729,2.9148000000026837,paired_cluster_bootstrap_95pct,All 12 scenes for quality; jointly observed values for cost; repeats first averaged within scene,Marginal descriptive 95% cluster intervals for prespecified contrasts; not simultaneous familywise coverage,1.1442398417289052,1.0186764705882043,0.9711925980586812,1.515525993348891,0.9453709028176881,2.028311852948269
panda,B0,Proposed,total_plan_wall_s,12,6,41.02448602430539,39.33106183405376,42.68265419127905,paired_cluster_bootstrap_95pct,All 12 scenes for quality; jointly observed values for cost; repeats first averaged within scene,Marginal descriptive 95% cluster intervals for prespecified contrasts; not simultaneous familywise coverage,47.75424416105956,33.67502359882971,34.917692693436834,76.12905688060333,30.64935027145156,178.9126022337352
panda,B0,Proposed,physical_verified_path_available_s,0,,,,,not_estimable_no_common_values,,,,,,,,
panda,B1,Proposed,quality_completed,12,6,0.25,-0.08333333333333333,0.5,paired_cluster_bootstrap_95pct,All 12 scenes for quality; jointly observed values for cost; repeats first averaged within scene,Marginal descriptive 95% cluster intervals for prespecified contrasts; not simultaneous familywise coverage,,,,,,
panda,B1,Proposed,quality_execution_s,5,5,2.260600000002763,0.09060000000011073,6.274000000007668,paired_cluster_bootstrap_95pct,All 12 scenes for quality; jointly observed values for cost; repeats first averaged within scene,Marginal descriptive 95% cluster intervals for prespecified contrasts; not simultaneous familywise coverage,1.102363702227964,1.0254380211749548,1.0039233162765935,1.2959111636873368,0.9892275488844515,1.4834618842573752
panda,B1,Proposed,quality_transition_s,5,5,1.1828000000009051,0.20580000000005452,3.082400000002772,paired_cluster_bootstrap_95pct,All 12 scenes for quality; jointly observed values for cost; repeats first averaged within scene,Marginal descriptive 95% cluster intervals for prespecified contrasts; not simultaneous familywise coverage,1.1866792929293977,1.039621791985556,1.0305518135373437,1.5716674097195624,1.0281425891182048,2.0783719419796953
panda,B1,Proposed,total_plan_wall_s,12,6,9.887063677889579,7.961026303356147,11.778830703030613,paired_cluster_bootstrap_95pct,All 12 scenes for quality; jointly observed values for cost; repeats first averaged within scene,Marginal descriptive 95% cluster intervals for prespecified contrasts; not simultaneous familywise coverage,1.308827214409626,1.323112739356389,1.2474656333047223,1.3708628249100434,1.2280783589680977,1.3757659550773358
panda,B1,Proposed,physical_verified_path_available_s,0,,,,,not_estimable_no_common_values,,,,,,,,
