slot,scene_uid,cluster,robot,family,placement,direction,method,repeat,planner_feasible,physical_run,quality_completed,execution_completed,T_init,T_opt,status,total_plan_wall_s,shared_graph_statistics,endpoint_closure_error_rad,planning_cost_scope,quality_completion_time_s,raw_motion_completion_time_s,T_smooth,T_retime,T_validate,initialization_success,initialization_residual_evaluations,initialization_nodes,tb_dual_continuation_calls,solver_return_status,checkpoint_selected,feasible_checkpoint_count,optimizer_native_status,optimizer_elapsed_s,optimizer_stop_at_budget,optimizer_elapsed_beyond_30s,shared_initial_sha256,first_legal_path_s,active_control_count,selected_path_available_s,adopted_updates,dense_min_clearance_m,transitions_actually_modified,predicted_execution_s,simulated_completion_time_s,elapsed_until_stop_s,simulation_wall_s,valid_coverage_fraction,raw_coverage_fraction,max_hole_diameter_upper_bound_m,max_along_scan_gap_m,collision_steps,velocity_utilization_max,acceleration_utilization_max,tracking_error_max_rad,torque_saturation_fraction,torque_requested_utilization_max,velocity_exceed_duration_s,acceleration_exceed_duration_s,scan_duration_s,transition_duration_s,settling_duration_s,sample_state_dt_s,physical_extrema_dt_s,acceleration_rms_rad_s2,jerk_rms_rad_s3,hole_measurement,standoff_m_p95,standoff_m_max,standoff_m_min,center_error_m_p95,center_error_m_max,center_error_m_min,incidence_rad_p95,incidence_rad_max,incidence_rad_min,line_error_rad_p95,line_error_rad_max,line_error_rad_min,profile_process_violation_duration_s,actual_scan_s,actual_transition_s,actual_wait_s,tracking_p95_rad,actual_endpoint_error_rad,quality_transition_s,dense_geometry_feasible
panda_cylinder_p0_u,1d626ca03a345e6601c064a6a0c00a1a9212ee8924f6c3978e4ae4fa19bcc8eb,panda_cylinder_p0,panda,cylinder,0,u,A1,0,False,False,,,38.04421057298896,,graph_connected_but_no_verified_C2_fit,38.04421057298896,"{""fine_possible"": 25963, ""fine_discontinuous"": 18748, ""fine_geometry_rejected"": 779, ""fine_collision_rejected"": 0, ""fine_retained"": 6436, ""endpoint_nodes"": 137, ""endpoint_layers"": 20, ""endpoint_possible"": 1062, ""endpoint_retained"": 358}",,"Includes charged independent candidate validation, shared graph construction, own constrained fit, optimization, dense checks and TOPPRA; historical input-library acquisition excluded and disclosed.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
panda_cylinder_p0_u,1d626ca03a345e6601c064a6a0c00a1a9212ee8924f6c3978e4ae4fa19bcc8eb,panda_cylinder_p0,panda,cylinder,0,u,A1,1,False,False,,,38.139206563995685,,graph_connected_but_no_verified_C2_fit,38.139206563995685,"{""fine_possible"": 25963, ""fine_discontinuous"": 18748, ""fine_geometry_rejected"": 779, ""fine_collision_rejected"": 0, ""fine_retained"": 6436, ""endpoint_nodes"": 137, ""endpoint_layers"": 20, ""endpoint_possible"": 1062, ""endpoint_retained"": 358}",,"Includes charged independent candidate validation, shared graph construction, own constrained fit, optimization, dense checks and TOPPRA; historical input-library acquisition excluded and disclosed.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
panda_cylinder_p0_u,1d626ca03a345e6601c064a6a0c00a1a9212ee8924f6c3978e4ae4fa19bcc8eb,panda_cylinder_p0,panda,cylinder,0,u,A1,2,False,False,,,38.40899196098326,,graph_connected_but_no_verified_C2_fit,38.40899196098326,"{""fine_possible"": 25963, ""fine_discontinuous"": 18748, ""fine_geometry_rejected"": 779, ""fine_collision_rejected"": 0, ""fine_retained"": 6436, ""endpoint_nodes"": 137, ""endpoint_layers"": 20, ""endpoint_possible"": 1062, ""endpoint_retained"": 358}",,"Includes charged independent candidate validation, shared graph construction, own constrained fit, optimization, dense checks and TOPPRA; historical input-library acquisition excluded and disclosed.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
panda_cylinder_p0_u,1d626ca03a345e6601c064a6a0c00a1a9212ee8924f6c3978e4ae4fa19bcc8eb,panda_cylinder_p0,panda,cylinder,0,u,A2,0,False,False,,,38.47104440900148,,graph_connected_but_no_verified_C2_fit,38.47104440900148,"{""fine_possible"": 25963, ""fine_discontinuous"": 18748, ""fine_geometry_rejected"": 779, ""fine_collision_rejected"": 0, ""fine_retained"": 6436, ""endpoint_nodes"": 137, ""endpoint_layers"": 20, ""endpoint_possible"": 1062, ""endpoint_retained"": 358}",,"Includes charged independent candidate validation, shared graph construction, own constrained fit, optimization, dense checks and TOPPRA; historical input-library acquisition excluded and disclosed.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
panda_cylinder_p0_u,1d626ca03a345e6601c064a6a0c00a1a9212ee8924f6c3978e4ae4fa19bcc8eb,panda_cylinder_p0,panda,cylinder,0,u,A2,1,False,False,,,38.21217714299564,,graph_connected_but_no_verified_C2_fit,38.21217714299564,"{""fine_possible"": 25963, ""fine_discontinuous"": 18748, ""fine_geometry_rejected"": 779, ""fine_collision_rejected"": 0, ""fine_retained"": 6436, ""endpoint_nodes"": 137, ""endpoint_layers"": 20, ""endpoint_possible"": 1062, ""endpoint_retained"": 358}",,"Includes charged independent candidate validation, shared graph construction, own constrained fit, optimization, dense checks and TOPPRA; historical input-library acquisition excluded and disclosed.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
panda_cylinder_p0_u,1d626ca03a345e6601c064a6a0c00a1a9212ee8924f6c3978e4ae4fa19bcc8eb,panda_cylinder_p0,panda,cylinder,0,u,A2,2,False,False,,,38.36535830497451,,graph_connected_but_no_verified_C2_fit,38.36535830497451,"{""fine_possible"": 25963, ""fine_discontinuous"": 18748, ""fine_geometry_rejected"": 779, ""fine_collision_rejected"": 0, ""fine_retained"": 6436, ""endpoint_nodes"": 137, ""endpoint_layers"": 20, ""endpoint_possible"": 1062, ""endpoint_retained"": 358}",,"Includes charged independent candidate validation, shared graph construction, own constrained fit, optimization, dense checks and TOPPRA; historical input-library acquisition excluded and disclosed.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
panda_cylinder_p0_u,1d626ca03a345e6601c064a6a0c00a1a9212ee8924f6c3978e4ae4fa19bcc8eb,panda_cylinder_p0,panda,cylinder,0,u,B0,0,False,False,,,0.10447212700091768,,geometric_initialization_failed,0.1067338480061153,,,,,,,,,False,555,39,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
panda_cylinder_p0_u,1d626ca03a345e6601c064a6a0c00a1a9212ee8924f6c3978e4ae4fa19bcc8eb,panda_cylinder_p0,panda,cylinder,0,u,B0,1,False,False,,,0.10451608500443399,,geometric_initialization_failed,0.10675112700846512,,,,,,,,,False,555,39,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
panda_cylinder_p0_u,1d626ca03a345e6601c064a6a0c00a1a9212ee8924f6c3978e4ae4fa19bcc8eb,panda_cylinder_p0,panda,cylinder,0,u,B0,2,False,False,,,0.10481719400559086,,geometric_initialization_failed,0.10714110100525431,,,,,,,,,False,555,39,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
panda_cylinder_p0_u,1d626ca03a345e6601c064a6a0c00a1a9212ee8924f6c3978e4ae4fa19bcc8eb,panda_cylinder_p0,panda,cylinder,0,u,B1,0,False,False,,,0.22683614199922886,,no_verified_path_at_primary_checkpoint,31.10261041499325,,,,,,30.629765792997205,,,True,860,419,10,User_Requested_Stop,10.0,0,User_Requested_Stop,30.629765792997205,True,0.6297657929972047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
