slot,method,repeat,update,available_post_graph_s,before_real_retimed_s,after_real_retimed_s,reduction_s,modified_transitions,modified_transition_count,source,physical_execution_only_final_repeat0
panda_cylinder_p0_v,A1,0,0,0.0,26.13978674875142,26.13978674875142,0.0,[],0,graph_initial_path,True
panda_cylinder_p0_v,A1,1,0,0.0,26.13978674875142,26.13978674875142,0.0,[],0,graph_initial_path,True
panda_cylinder_p0_v,A1,2,0,0.0,26.13978674875142,26.13978674875142,0.0,[],0,graph_initial_path,True
panda_cylinder_p0_v,A2,0,0,0.0,27.23868887159279,27.23868887159279,0.0,[],0,graph_initial_path,True
panda_cylinder_p0_v,A2,1,0,0.0,27.23868887159279,27.23868887159279,0.0,[],0,graph_initial_path,True
panda_cylinder_p0_v,A2,2,0,0.0,27.23868887159279,27.23868887159279,0.0,[],0,graph_initial_path,True
panda_cylinder_p0_v,B2-common,0,0,0.0,27.23868887159279,27.23868887159279,0.0,[],0,graph_initial_path,True
panda_cylinder_p0_v,B2-common,0,1,6.645058627997059,27.23868887159279,26.948309383589997,0.2903794880027917,"[1, 3, 5, 7, 9, 11, 13, 15, 17, 19, 21, 23, 25]",13,nonlinear_validated_iterate,True
panda_cylinder_p0_v,B2-common,0,2,8.884897734998958,26.948309383589997,26.650026493910744,0.2982828896792533,"[1, 3, 5, 7, 9, 11, 13, 15, 17, 19, 21, 23, 25]",13,nonlinear_validated_iterate,True
panda_cylinder_p0_v,B2-common,0,3,11.117091281994362,26.650026493910744,24.788854668788975,1.8611718251217688,"[1, 3, 5, 7, 9, 11, 13, 15, 17, 19, 21, 23, 25]",13,nonlinear_validated_iterate,True
panda_cylinder_p0_v,B2-common,0,4,13.37768785499793,24.788854668788975,20.834213899598407,3.9546407691905685,"[1, 3, 5, 7, 9, 11, 13, 15, 17, 19, 21, 23, 25]",13,nonlinear_validated_iterate,True
panda_cylinder_p0_v,B2-common,0,5,15.614128780987812,20.834213899598407,18.449364975921934,2.384848923676472,"[1, 3, 5, 7, 9, 11, 13, 15, 17, 19, 21, 23, 25]",13,nonlinear_validated_iterate,True
panda_cylinder_p0_v,B2-common,0,6,17.830615745988325,18.449364975921934,17.744397920599855,0.7049670553220793,"[1, 3, 5, 7, 9, 11, 13, 15, 17, 19, 21, 23, 25]",13,nonlinear_validated_iterate,True
panda_cylinder_p0_v,B2-common,0,7,20.055541013993206,17.744397920599855,17.40227556972879,0.34212235087106535,"[1, 3, 5, 7, 9, 11, 13, 15, 17, 19, 21, 23, 25]",13,nonlinear_validated_iterate,True
