robot,trajectory_uid,family,group,frames,hard_complete,hard_total_latency_ns,hard_total_fev,hard_reject_count,hard_defer_count,hard_fallback_count,hard_first_failure_frame,hard_first_failure_reason,cghik_complete,cghik_total_latency_ns,cghik_total_fev,cghik_reject_count,cghik_defer_count,cghik_fallback_count,cghik_first_failure_frame,cghik_first_failure_reason,saved_latency_ns
panda,01de5a3a637f93affda2df17eae06b7304f373126b9cc83ba7eea594dd939a1f,central_joint_limit_skim_return,neither_complete,150,False,1664231940,2743,0,0,13,68,all_cascade_stages_failed,False,1726610310,2779,0,0,13,68,all_cascade_stages_failed,-62378370
panda,04e03e12cb6c469009b5aea509dc8ab47c36838eacf76f11d66a68a6d77a30ce,central_joint_limit_skim_return,neither_complete,150,False,2042003674,5588,0,0,23,63,all_cascade_stages_failed,False,2110524109,5690,0,13,23,63,all_cascade_stages_failed,-68520435
panda,07a5fde347a8563910f3b1a7f90fd60fc36db3f530c239ba14b38c50dddec4c9,slow_high_curvature_high_speed_slow,both_complete,150,True,250435488,476,0,0,0,,,True,280886317,478,0,0,0,,,-30450829
panda,0db07bd0eeb16db593f651e73ec52502e32e60c0c6d9a52c147dd3de78435c8a,central_joint_limit_skim_return,neither_complete,150,False,1892680692,5169,0,0,23,63,all_cascade_stages_failed,False,2011320614,5382,0,13,23,63,all_cascade_stages_failed,-118639922
panda,0f19ac2d639ddbf8b631bc1909c50bb79daa61d633dccbbfdb0c6bec46983647,smooth_fast_orientation_smooth,both_complete,150,True,286348017,478,0,0,1,,,True,327944634,482,0,0,1,,,-41596617
panda,11cc2a667cdf5df5ac95e93c0fe31cfa03b81a302183e7cd091eb3fafad6aa72,central_joint_limit_skim_return,both_complete,150,True,248625169,374,0,0,0,,,True,288226517,362,0,0,0,,,-39601348
panda,14c7429a9468c9ada6bdc80c80bb05c0951562748c54f97b935fcb794f7c840c,smooth_fast_orientation_smooth,neither_complete,150,False,4154440602,8900,0,0,55,88,all_cascade_stages_failed,False,1940663871,3399,38,8,17,88,all_cascade_stages_failed,2213776731
panda,155c969355c5667e8c697bbe084d07575460245029c0ea9979bebc43411985e0,central_joint_limit_skim_return,both_complete,150,True,249213321,368,0,0,0,,,True,286959278,370,0,0,0,,,-37745957
panda,15d8eb82352187ea3059a0554b59f1246b93af732ba8163392597247499a4756,central_joint_limit_skim_return,both_complete,150,True,233564469,382,0,0,0,,,True,264027337,380,0,0,0,,,-30462868
panda,168f3e36cbe3eb16db05576b82341f236436c323b8fa5c66f99066988ffbe546,central_joint_limit_skim_return,neither_complete,150,False,1882447530,5042,0,0,23,63,all_cascade_stages_failed,False,1997261506,5254,0,13,23,63,all_cascade_stages_failed,-114813976
panda,185c273b6eb235de506444e6caaf294ad01484cb00140e18b3f70e97c3edee4e,central_joint_limit_skim_return,both_complete,150,True,255553731,374,0,0,0,,,True,288056501,370,0,0,0,,,-32502770
panda,1b0cc1def9b4f78924975482a9a625824142716db7a4562015ed87d3cd63a929,slow_high_curvature_high_speed_slow,neither_complete,150,False,17409186513,26757,0,0,109,41,all_cascade_stages_failed,False,2099110558,3795,88,12,21,41,all_cascade_stages_failed,15310075955
panda,1c8f84d59c3b8bd6a7a99b6ea6bde59a03bdc6a7f7ce0ad95a7a59d087274025,regular_near_singular_regular,neither_complete,150,False,10063117433,17860,0,0,60,90,all_cascade_stages_failed,False,743477601,1075,55,2,5,90,all_cascade_stages_failed,9319639832
panda,24cea24a43dfe5843ebe872df1e2281f07c7d43476a151ccbb3e5f44ce27b9ba,regular_near_singular_regular,both_complete,150,True,230849996,354,0,0,0,,,True,261762628,354,0,0,0,,,-30912632
panda,2dd05a450d9447c19712bc3e8a88fdb266a7c0dfd1f532100a67ca6da3441321,regular_near_singular_regular,only_cghik_complete,150,False,3403594285,7597,0,0,41,54,all_cascade_stages_failed,True,289768499,438,0,0,0,,,3113825786
panda,306b35b314f474872fc5354b752db9b639af02cb0c74ed4e8d923873bd36265b,central_joint_limit_skim_return,neither_complete,150,False,2230011951,5710,0,0,23,63,all_cascade_stages_failed,False,2264651204,5770,0,13,23,63,all_cascade_stages_failed,-34639253
panda,3515a29637261278b7c6437fb31e1cbd8e8b8dae3b56036cdbe932c493014c2d,slow_high_curvature_high_speed_slow,neither_complete,150,False,7272210089,13467,0,0,79,44,all_cascade_stages_failed,False,5648400508,10967,14,32,65,44,all_cascade_stages_failed,1623809581
