robot,subset,method,elapsed_limit_ms,verified_within_rate
panda,all,always_hard,0.1,0.0
panda,all,always_hard,0.25,0.0
panda,all,always_hard,0.5,0.0
panda,all,always_hard,1,0.0
panda,all,always_hard,2,0.7213333333333334
panda,all,always_hard,5,0.7736666666666666
panda,all,always_hard,10,0.774
panda,all,always_hard,20,0.7776666666666666
panda,all,always_hard,50,0.781
panda,all,always_hard,100,0.7903333333333333
panda,all,always_hard,200,0.791
panda,all,always_hard,400,0.791
panda,all,always_hard,800,0.791
panda,all,full_cghik,0.1,0.0
panda,all,full_cghik,0.25,0.0
panda,all,full_cghik,0.5,0.0
panda,all,full_cghik,1,0.0
panda,all,full_cghik,2,0.43377777777777776
panda,all,full_cghik,5,0.7734444444444445
panda,all,full_cghik,10,0.774
panda,all,full_cghik,20,0.7775555555555556
panda,all,full_cghik,50,0.781
panda,all,full_cghik,100,0.7901111111111111
panda,all,full_cghik,200,0.791
panda,all,full_cghik,400,0.791
panda,all,full_cghik,800,0.791
panda,all,geometry_threshold,0.1,0.0
panda,all,geometry_threshold,0.25,0.0
panda,all,geometry_threshold,0.5,0.0
panda,all,geometry_threshold,1,0.0
panda,all,geometry_threshold,2,0.43333333333333335
panda,all,geometry_threshold,5,0.7736666666666666
panda,all,geometry_threshold,10,0.774
panda,all,geometry_threshold,20,0.7775555555555556
panda,all,geometry_threshold,50,0.781
panda,all,geometry_threshold,100,0.7902222222222223
panda,all,geometry_threshold,200,0.791
panda,all,geometry_threshold,400,0.791
panda,all,geometry_threshold,800,0.791
panda,all,p50_selection,0.1,0.0
panda,all,p50_selection,0.25,0.0
panda,all,p50_selection,0.5,0.0
panda,all,p50_selection,1,0.0
panda,all,p50_selection,2,0.4288888888888889
panda,all,p50_selection,5,0.7732222222222223
panda,all,p50_selection,10,0.774
panda,all,p50_selection,20,0.7775555555555556
panda,all,p50_selection,50,0.781
panda,all,p50_selection,100,0.7902222222222223
panda,all,p50_selection,200,0.791
panda,all,p50_selection,400,0.791
panda,all,p50_selection,800,0.791
panda,all,reject_only_hard,0.1,0.0
panda,all,reject_only_hard,0.25,0.0
panda,all,reject_only_hard,0.5,0.0
panda,all,reject_only_hard,1,0.0
panda,all,reject_only_hard,2,0.43555555555555553
panda,all,reject_only_hard,5,0.773
panda,all,reject_only_hard,10,0.774
panda,all,reject_only_hard,20,0.7774444444444445
panda,all,reject_only_hard,50,0.781
panda,all,reject_only_hard,100,0.7902222222222223
panda,all,reject_only_hard,200,0.791
panda,all,reject_only_hard,400,0.791
panda,all,reject_only_hard,800,0.791
panda,all,routing_only,0.1,0.0
panda,all,routing_only,0.25,0.0
panda,all,routing_only,0.5,0.0
panda,all,routing_only,1,0.0
panda,all,routing_only,2,0.42866666666666664
panda,all,routing_only,5,0.7733333333333333
panda,all,routing_only,10,0.774
panda,all,routing_only,20,0.7775555555555556
panda,all,routing_only,50,0.781
panda,all,routing_only,100,0.7902222222222223
panda,all,routing_only,200,0.791
panda,all,routing_only,400,0.791
panda,all,routing_only,800,0.791
panda,all,trac_ik_100ms,0.1,0.0
panda,all,trac_ik_100ms,0.25,0.5412222222222223
panda,all,trac_ik_100ms,0.5,0.7918888888888889
panda,all,trac_ik_100ms,1,0.8155555555555556
panda,all,trac_ik_100ms,2,0.8156666666666667
panda,all,trac_ik_100ms,5,0.8156666666666667
panda,all,trac_ik_100ms,10,0.8156666666666667
panda,all,trac_ik_100ms,20,0.8156666666666667
panda,all,trac_ik_100ms,50,0.8156666666666667
panda,all,trac_ik_100ms,100,0.8156666666666667
panda,all,trac_ik_100ms,200,0.8156666666666667
panda,all,trac_ik_100ms,400,0.8156666666666667
panda,all,trac_ik_100ms,800,0.8156666666666667
panda,all,trac_ik_20ms,0.1,0.0
panda,all,trac_ik_20ms,0.25,0.5406666666666666
panda,all,trac_ik_20ms,0.5,0.7914444444444444
panda,all,trac_ik_20ms,1,0.8148888888888889
panda,all,trac_ik_20ms,2,0.8151111111111111
panda,all,trac_ik_20ms,5,0.8152222222222222
panda,all,trac_ik_20ms,10,0.8152222222222222
panda,all,trac_ik_20ms,20,0.8152222222222222
panda,all,trac_ik_20ms,50,0.8152222222222222
panda,all,trac_ik_20ms,100,0.8152222222222222
panda,all,trac_ik_20ms,200,0.8152222222222222
panda,all,trac_ik_20ms,400,0.8152222222222222
panda,all,trac_ik_20ms,800,0.8152222222222222
panda,all,trac_ik_400ms,0.1,0.0
panda,all,trac_ik_400ms,0.25,0.5317777777777778
panda,all,trac_ik_400ms,0.5,0.7906666666666666
panda,all,trac_ik_400ms,1,0.816
panda,all,trac_ik_400ms,2,0.8161111111111111
panda,all,trac_ik_400ms,5,0.8161111111111111
panda,all,trac_ik_400ms,10,0.8161111111111111
panda,all,trac_ik_400ms,20,0.8161111111111111
panda,all,trac_ik_400ms,50,0.8161111111111111
panda,all,trac_ik_400ms,100,0.8161111111111111
panda,all,trac_ik_400ms,200,0.8161111111111111
panda,all,trac_ik_400ms,400,0.8161111111111111
panda,all,trac_ik_400ms,800,0.8161111111111111
panda,all,trac_ik_5ms,0.1,0.0
panda,all,trac_ik_5ms,0.25,0.5377777777777778
panda,all,trac_ik_5ms,0.5,0.7927777777777778
panda,all,trac_ik_5ms,1,0.8157777777777778
panda,all,trac_ik_5ms,2,0.8157777777777778
panda,all,trac_ik_5ms,5,0.8158888888888889
panda,all,trac_ik_5ms,10,0.8158888888888889
panda,all,trac_ik_5ms,20,0.8158888888888889
panda,all,trac_ik_5ms,50,0.8158888888888889
panda,all,trac_ik_5ms,100,0.8158888888888889
panda,all,trac_ik_5ms,200,0.8158888888888889
panda,all,trac_ik_5ms,400,0.8158888888888889
panda,all,trac_ik_5ms,800,0.8158888888888889
panda,constructed_inexecutable,always_hard,0.1,0.0
panda,constructed_inexecutable,always_hard,0.25,0.0
panda,constructed_inexecutable,always_hard,0.5,0.0
panda,constructed_inexecutable,always_hard,1,0.0
panda,constructed_inexecutable,always_hard,2,0.0
panda,constructed_inexecutable,always_hard,5,0.0
panda,constructed_inexecutable,always_hard,10,0.0
panda,constructed_inexecutable,always_hard,20,0.0
panda,constructed_inexecutable,always_hard,50,0.0
panda,constructed_inexecutable,always_hard,100,0.0
panda,constructed_inexecutable,always_hard,200,0.0
panda,constructed_inexecutable,always_hard,400,0.0
panda,constructed_inexecutable,always_hard,800,0.0
panda,constructed_inexecutable,full_cghik,0.1,0.0
panda,constructed_inexecutable,full_cghik,0.25,0.0
panda,constructed_inexecutable,full_cghik,0.5,0.0
panda,constructed_inexecutable,full_cghik,1,0.0
panda,constructed_inexecutable,full_cghik,2,0.0
panda,constructed_inexecutable,full_cghik,5,0.0
panda,constructed_inexecutable,full_cghik,10,0.0
panda,constructed_inexecutable,full_cghik,20,0.0
panda,constructed_inexecutable,full_cghik,50,0.0
panda,constructed_inexecutable,full_cghik,100,0.0
panda,constructed_inexecutable,full_cghik,200,0.0
panda,constructed_inexecutable,full_cghik,400,0.0
panda,constructed_inexecutable,full_cghik,800,0.0
panda,constructed_inexecutable,geometry_threshold,0.1,0.0
panda,constructed_inexecutable,geometry_threshold,0.25,0.0
panda,constructed_inexecutable,geometry_threshold,0.5,0.0
panda,constructed_inexecutable,geometry_threshold,1,0.0
panda,constructed_inexecutable,geometry_threshold,2,0.0
panda,constructed_inexecutable,geometry_threshold,5,0.0
panda,constructed_inexecutable,geometry_threshold,10,0.0
panda,constructed_inexecutable,geometry_threshold,20,0.0
panda,constructed_inexecutable,geometry_threshold,50,0.0
panda,constructed_inexecutable,geometry_threshold,100,0.0
panda,constructed_inexecutable,geometry_threshold,200,0.0
panda,constructed_inexecutable,geometry_threshold,400,0.0
panda,constructed_inexecutable,geometry_threshold,800,0.0
panda,constructed_inexecutable,p50_selection,0.1,0.0
panda,constructed_inexecutable,p50_selection,0.25,0.0
panda,constructed_inexecutable,p50_selection,0.5,0.0
panda,constructed_inexecutable,p50_selection,1,0.0
panda,constructed_inexecutable,p50_selection,2,0.0
panda,constructed_inexecutable,p50_selection,5,0.0
panda,constructed_inexecutable,p50_selection,10,0.0
panda,constructed_inexecutable,p50_selection,20,0.0
panda,constructed_inexecutable,p50_selection,50,0.0
panda,constructed_inexecutable,p50_selection,100,0.0
panda,constructed_inexecutable,p50_selection,200,0.0
panda,constructed_inexecutable,p50_selection,400,0.0
panda,constructed_inexecutable,p50_selection,800,0.0
panda,constructed_inexecutable,reject_only_hard,0.1,0.0
panda,constructed_inexecutable,reject_only_hard,0.25,0.0
panda,constructed_inexecutable,reject_only_hard,0.5,0.0
panda,constructed_inexecutable,reject_only_hard,1,0.0
panda,constructed_inexecutable,reject_only_hard,2,0.0
panda,constructed_inexecutable,reject_only_hard,5,0.0
panda,constructed_inexecutable,reject_only_hard,10,0.0
panda,constructed_inexecutable,reject_only_hard,20,0.0
panda,constructed_inexecutable,reject_only_hard,50,0.0
panda,constructed_inexecutable,reject_only_hard,100,0.0
panda,constructed_inexecutable,reject_only_hard,200,0.0
panda,constructed_inexecutable,reject_only_hard,400,0.0
panda,constructed_inexecutable,reject_only_hard,800,0.0
panda,constructed_inexecutable,routing_only,0.1,0.0
panda,constructed_inexecutable,routing_only,0.25,0.0
panda,constructed_inexecutable,routing_only,0.5,0.0
panda,constructed_inexecutable,routing_only,1,0.0
panda,constructed_inexecutable,routing_only,2,0.0
panda,constructed_inexecutable,routing_only,5,0.0
panda,constructed_inexecutable,routing_only,10,0.0
panda,constructed_inexecutable,routing_only,20,0.0
panda,constructed_inexecutable,routing_only,50,0.0
panda,constructed_inexecutable,routing_only,100,0.0
panda,constructed_inexecutable,routing_only,200,0.0
