robot,method,return_code,reason,verification_reasons,calls
panda,trac_ik_100ms,1,public_verifier_rejected,velocity_limit,158
panda,trac_ik_100ms,2,public_verifier_rejected,velocity_limit,1
panda,trac_ik_20ms,1,public_verifier_rejected,velocity_limit,157
panda,trac_ik_20ms,2,public_verifier_rejected,velocity_limit,6
panda,trac_ik_400ms,1,public_verifier_rejected,velocity_limit,151
panda,trac_ik_400ms,2,public_verifier_rejected,velocity_limit,4
panda,trac_ik_5ms,1,public_verifier_rejected,velocity_limit,151
panda,trac_ik_5ms,2,public_verifier_rejected,velocity_limit,6
ur5e,trac_ik_100ms,1,public_verifier_rejected,velocity_limit,3
ur5e,trac_ik_20ms,-3,trac_ik_no_solution,,1
ur5e,trac_ik_20ms,1,public_verifier_rejected,velocity_limit,3
ur5e,trac_ik_400ms,1,public_verifier_rejected,velocity_limit,3
ur5e,trac_ik_5ms,-3,trac_ik_no_solution,,1
ur5e,trac_ik_5ms,1,public_verifier_rejected,velocity_limit,3
