robot,subset,method,query_count,calls,verified_success_rate,accepted_within_20ms_rate,accepted_contract_violations,total_latency_ns,p50_ms,p95_ms,p99_ms,mean_fev,reject_count,defer_count,fallback_count,fallback_rate,route_counts,accepted_position_error_median,accepted_position_error_max,accepted_orientation_error_median,accepted_orientation_error_max,accepted_max_joint_step_median,accepted_max_joint_step_max,accepted_max_velocity_utilization_median,accepted_max_velocity_utilization_max,witness_false_reject_rate,all_repeats_success_query_count
panda,all,always_hard,3000,9000,0.791,0.7776666666666666,0,532717228050,1.562417,300.77779234999997,346.73432604,95.36033333333333,0,0,2034,0.226,"{""hard"": 9000}",7.50461678061227e-05,0.0009980228077954587,0.0001586002419974947,0.00864460154612259,0.01454721481486776,0.05222615746291481,0.30957538821577435,1.001737112734951,0.0,2373
panda,all,full_cghik,3000,9000,0.791,0.7775555555555556,0,350242420865,2.002338,297.19112844999995,347.62885366,61.43533333333333,660,840,1374,0.15266666666666667,"{""reject"": 660, ""defer"": 840, ""easy"": 4896, ""hard"": 2592, ""medium"": 12}",7.593709305402385e-05,0.0009980228077954587,0.00015258412963622446,0.007766725172811816,0.014552421845126617,0.05219888531298977,0.30894536460946886,1.001737112734951,0.0,2373
panda,all,geometry_threshold,3000,9000,0.791,0.7775555555555556,0,350092191413,2.0035179999999997,296.84912024999994,347.389792,61.42666666666667,660,840,1374,0.15266666666666667,"{""reject"": 660, ""defer"": 840, ""hard"": 6513, ""easy"": 987}",7.31622801326192e-05,0.0009980228077954587,0.000153028763733049,0.008007417589274993,0.01454721481486776,0.05222615746291481,0.3103886797204635,1.001737112734951,0.0,2373
panda,all,p50_selection,3000,9000,0.791,0.7775555555555556,0,350327238952,2.0071125,297.0415434499999,347.40672492,61.535,660,840,1374,0.15266666666666667,"{""reject"": 660, ""defer"": 840, ""easy"": 6204, ""hard"": 1296}",7.586334111715862e-05,0.0009980228077954587,0.00015327926121959606,0.007766725172811816,0.014567499441545895,0.05219888531298977,0.30892040682460203,1.001737112734951,0.0,2373
panda,all,reject_only_hard,3000,9000,0.791,0.7774444444444445,0,350301295553,2.002048,297.1583102999999,347.46513163,61.415333333333336,660,840,1374,0.15266666666666667,"{""reject"": 660, ""defer"": 840, ""hard"": 7500}",7.50461678061227e-05,0.0009980228077954587,0.0001586002419974947,0.00864460154612259,0.01454721481486776,0.05222615746291481,0.30957538821577435,1.001737112734951,0.0,2373
panda,all,routing_only,3000,9000,0.791,0.7775555555555556,0,538219118722,2.039024,301.48658305,346.99716073999997,96.422,0,840,2034,0.226,"{""hard"": 3252, ""defer"": 840, ""easy"": 4896, ""medium"": 12}",7.593709305402385e-05,0.0009980228077954587,0.00015258412963622446,0.007766725172811816,0.014552421845126617,0.05219888531298977,0.30894536460946886,1.001737112734951,0.0,2373
panda,all,trac_ik_100ms,3000,9000,0.8156666666666667,0.8156666666666667,0,152180740055,0.2417755,100.14780485,100.18876772,,0,0,0,0.0,"{""trac_ik_speed"": 9000}",8.830440155024948e-08,1.528802443736194e-05,1.6549900973309158e-07,1.5342909732308917e-05,0.015909015359812928,0.0523,0.3367861800406575,1.0022988505747128,0.0,2443
panda,all,trac_ik_20ms,3000,9000,0.8152222222222222,0.8152222222222222,0,32191102890,0.24178,20.154729399999997,20.21922969,,0,0,0,0.0,"{""trac_ik_speed"": 9000}",8.706570588943987e-08,1.528802443736194e-05,1.6536541091216417e-07,1.5342909732308917e-05,0.015909015359812928,0.0523,0.3366131588504414,1.0022988505747128,0.0,2439
panda,all,trac_ik_400ms,3000,9000,0.8161111111111111,0.8161111111111111,0,602193588687,0.2428975,400.14958065,400.19063426,,0,0,0,0.0,"{""trac_ik_speed"": 9000}",8.706570588943987e-08,1.528802443736194e-05,1.6536541091216417e-07,1.5342909732308917e-05,0.015923265916797824,0.0523,0.3367861800406575,1.0022988505747128,0.0,2443
panda,all,trac_ik_5ms,3000,9000,0.8158888888888889,0.8158888888888889,0,9689442496,0.24252,5.15576825,5.22437602,,0,0,0,0.0,"{""trac_ik_speed"": 9000}",8.706570588943987e-08,1.528802443736194e-05,1.6472118655627798e-07,1.5342909732308917e-05,0.015909015359812928,0.0523,0.3367861800406575,1.0022988505747128,0.0,2442
