robot,method,uid,family,latency,latency_samples_ns,success,fev,deadline,all_success
panda,always_hard,00026526c91884e2698046105ca5bf8348d60c52c8e619d082735718acc52e57,local,1492270.3333333333,"[1572579, 1452991, 1451241]",1.0,3.0,1.0,True
panda,always_hard,006403e6dfcb95ebfc96a5789b00af8e44575e07b213d1d2a734c81e6ea4745f,near_limit,1383770.3333333333,"[1387862, 1378931, 1384518]",1.0,3.0,1.0,True
panda,always_hard,008190027ed0c64b1e947a5f9a85713d849ebfa0e9f9e24a85189cb1426eabd6,local,1414368.3333333333,"[1415750, 1412146, 1415209]",1.0,3.0,1.0,True
panda,always_hard,00846e15176fa64421a5927caec8c112efe84663a82f6a816bfd8c6293bbf19a,near_limit,1409051.3333333333,"[1422916, 1391319, 1412919]",1.0,3.0,1.0,True
panda,always_hard,009e350aa2ff48088038cfcdaf3fd081277e6c75fda59fbcd1bed4c890f923f8,constructed_inexecutable,300136657.6666667,"[300341534, 303145404, 296923035]",0.0,486.0,0.0,False
panda,always_hard,00ab0fd720d70480378789c523d3f4d82d3dda1a93eed33ce6d99c4d8bc05d4b,near_limit,1495302.0,"[1507735, 1570789, 1407382]",1.0,3.0,1.0,True
panda,always_hard,00abd521cc74b6f7bbb55a95468deb4d6eeb1c9a80d570d55f63154330e5b1bf,local,1440352.0,"[1410145, 1513015, 1397896]",1.0,3.0,1.0,True
panda,always_hard,00aec6ca229a5f53d82a5e48841dab5a9781874429a71dc412f2640555eeafe2,hard_feasible,2062264.6666666667,"[2357169, 2091279, 1738346]",1.0,5.0,1.0,True
panda,always_hard,00b657731f5b6864fcb33e408fc922a2b7bca9d134a69f87c10ed94ca5b31ebe,local,1493273.0,"[1491934, 1564988, 1422897]",1.0,3.0,1.0,True
panda,always_hard,00bbf5c8c57c4709b86ee877b3c6096819736852fd22b9663233d1c9d07fdd3b,hard_feasible,139876453.0,"[140265282, 139525868, 139838209]",0.0,220.0,0.0,False
panda,always_hard,00bf6a138fa9c43c0b3ce7da46340c122df5d8dc5e887ffd6ea2ae3fd65e32bb,local,1041419.0,"[1047373, 1040251, 1036633]",1.0,1.0,1.0,True
panda,always_hard,00e3e445caca50c6db68a11ccf4716dcae12fc93d794c6c36913cc018dc83f88,local,1395609.0,"[1403854, 1380172, 1402801]",1.0,3.0,1.0,True
panda,always_hard,00f12f5efef41ac16909b4e28264f0444f17a31663381c0477d7beaa99d97db5,local,1550158.0,"[1582143, 1578606, 1489725]",1.0,3.0,1.0,True
