robot,method,baseline,metric,difference,difference_ci,ratio,ratio_ci
panda,single_gn_k1,single_gn_k0,completion,0.025,"[0.0,0.075]",1.0256410256410255,"[1.0,1.0810810810810811]"
panda,single_gn_k1,single_gn_k0,deadline_completion,0.025,"[0.0,0.075]",1.0256410256410255,"[1.0,1.0810810810810811]"
panda,single_gn_k1,single_gn_k0,total_latency_ns,-2457923.6416666666,"[-7676212.964583332,243410.5116666666]",0.9430300403402048,"[0.8410316580326772,1.0060057342081046]"
panda,single_gn_k1,single_gn_k0,frame_success,0.004666666666666666,"[0.0,0.013999999999999999]",1.0046885465505693,"[1.0,1.0141987829614605]"
panda,single_gn_k1,single_gn_k0,successful_prefix,0.7,"[0.0,2.1]",1.0046885465505693,"[1.0,1.0141987829614605]"
panda,single_gn_k1,single_gn_k0,acceleration_rms,0.12101410825801936,"[-0.09847240339470412,0.3303930137805355]",1.0391209008485578,"[0.9687100658300287,1.1150440405515136]"
panda,single_gn_k1,trac_task_5ms,completion,0.08333333333333334,"[0.01666666666666667,0.16666666666666669]",1.0909090909090908,"[1.016949152542373,1.2000000000000002]"
panda,single_gn_k1,trac_task_5ms,deadline_completion,0.09166666666666667,"[0.025,0.175]",1.1009174311926606,"[1.0256410256410255,1.2121212121212122]"
panda,single_gn_k1,trac_task_5ms,total_latency_ns,-4156003.85,"[-22810409.25833333,10216077.804166667]",0.9073195357273376,"[0.64084420415063,1.333155532823841]"
panda,single_gn_k1,trac_task_5ms,frame_success,0.02327777777777778,"[0.005277777777777779,0.04683750000000002]",1.0238325464990614,"[1.005305780508238,1.049139051048887]"
panda,single_gn_k1,trac_task_5ms,successful_prefix,4.125,"[0.7916666666666667,8.925]",1.0282776349614395,"[1.0053057805082377,1.063264221158958]"
panda,single_gn_k1,trac_task_5ms,acceleration_rms,-0.851852428416515,"[-1.8073140503904555,0.028984665089549517]",0.7905042043447604,"[0.6246305539751916,1.0081273985276171]"
panda,single_gn_k1,pink_qp,completion,0.075,"[0.0,0.15]",1.0810810810810811,"[1.0,1.1764705882352942]"
panda,single_gn_k1,pink_qp,deadline_completion,0.075,"[0.0,0.15]",1.0810810810810811,"[1.0,1.1764705882352942]"
panda,single_gn_k1,pink_qp,total_latency_ns,-95625429.40833333,"[-99208901.04187499,-91284235.226875]",0.29847972280556817,"[0.29038759126394137,0.30860912173755467]"
panda,single_gn_k1,pink_qp,frame_success,0.016833333333333336,"[0.0,0.03650000000000001]",1.01712154602475,"[1.0,1.0378827192527247]"
panda,single_gn_k1,pink_qp,successful_prefix,2.525,"[0.0,5.475]",1.01712154602475,"[1.0,1.0378827192527245]"
panda,single_gn_k1,pink_qp,acceleration_rms,-0.9900981926900696,"[-2.2886416885750105,0.37311372037560514]",0.7645117700068301,"[0.562136820117787,1.112965527539827]"
panda,single_gn_k0,trac_task_5ms,completion,0.058333333333333334,"[0.0,0.13333333333333336]",1.0636363636363635,"[1.0,1.153846153846154]"
panda,single_gn_k0,trac_task_5ms,deadline_completion,0.06666666666666668,"[0.008333333333333335,0.14166666666666666]",1.0733944954128443,"[1.0086206896551724,1.1650485436893205]"
panda,single_gn_k0,trac_task_5ms,total_latency_ns,-1698080.2083333351,"[-18633964.59708333,11306021.436041666]",0.9621321664366234,"[0.7031635975627515,1.3730751745853353]"
