robot,uid,site_id,family,method,repeats,completion,deadline_completion,total_latency_ns,frame_success,successful_prefix,acceleration_rms
panda,0c2a95a498c1bf13c2df4295db29a5367cf069e157e300d36211ce1951b2bf0e,trajectory_06,smooth,trac_task_5ms,3,1.0,1.0,26066180.333333332,1.0,150.0,2.1369479201173402
panda,125d0ba81f8f99703f34ce79c430375e614edd8d7281141ad9df7e9828fed992,trajectory_24,joint_limit_return,trac_task_5ms,3,1.0,1.0,26905156.0,1.0,150.0,0.6781011520975225
panda,166f9f9c01b7bdb7e23bb78eb834aa40e45e3eac2d5c263419996286861ad9dc,trajectory_22,joint_limit_return,trac_task_5ms,3,1.0,1.0,25789070.0,1.0,150.0,1.369605776339802
panda,16ab30a670ddc1bb59f64aa11421a7a95e2a13b391b17e7261a85fb14178c0bc,trajectory_29,joint_limit_return,trac_task_5ms,3,1.0,1.0,25813305.0,1.0,150.0,1.1727999871351638
panda,1742dca2b4e66648ef384a591bc48af258b7ccf01a3b1f0930d212a06b1f978c,trajectory_15,near_singular,trac_task_5ms,3,1.0,1.0,26691768.333333332,1.0,150.0,1.114988828961202
panda,380513eac133b886f7e375e39250059ba16f3133d3a5d3b8ff244470af2eb5ae,trajectory_39,high_curvature,trac_task_5ms,3,1.0,1.0,25930983.666666668,1.0,150.0,6.0204066244835195
panda,40c3eae024871d71025c88c09b1bbffc1b50b311548d53112ed8d4118883654a,trajectory_16,near_singular,trac_task_5ms,3,1.0,1.0,27216350.666666668,1.0,150.0,2.476978584302771
panda,41c501982d64297056fe7d1239938d5f0fb508b8c32ed74b2b5c72d3bf1ddba1,trajectory_28,joint_limit_return,trac_task_5ms,3,1.0,1.0,25114782.0,1.0,150.0,1.2382441428147093
panda,49e505b5dd8506da453322d27fabacda172e9baf611dd7b1ccac4b4220f68113,trajectory_13,near_singular,trac_task_5ms,3,1.0,1.0,27209006.333333332,1.0,150.0,2.156368807888156
panda,4afc296390cd2da8318a4ba9544aebe6e73de828b20fea6cbaeedda3bf7a189f,trajectory_21,joint_limit_return,trac_task_5ms,3,1.0,1.0,26072529.0,1.0,150.0,1.2305039554061503
panda,4e626ba28da6a8d45d22f023c3732e2d796c83a0e74df2aa41168fe26f6dccab,trajectory_14,near_singular,trac_task_5ms,3,0.0,0.0,212723958.0,0.7599999999999999,114.0,6.733623033297488
panda,525ed23e41917cce27c978b0c676be43016f2541aa51a8185bbab7e6ce610192,trajectory_10,near_singular,trac_task_5ms,3,1.0,1.0,25870624.666666668,1.0,150.0,10.075292003420003
panda,5560810f9d87891ba612f00a19811ec608860538b5dbf8f478a2cc168f4d1547,trajectory_20,joint_limit_return,trac_task_5ms,3,1.0,1.0,25727101.666666668,1.0,150.0,1.3668231296436495
panda,62749969a81aa229bd98bbc6a77941b40960bf5ae0886a5dfe36f5eff62e5c1c,trajectory_27,joint_limit_return,trac_task_5ms,3,1.0,1.0,25474407.0,1.0,150.0,0.7877541030988509
panda,6b43e53a09d43b068012e38e4082dc1a83a7da4ac12d3b1a7c10621fab8498a4,trajectory_09,smooth,trac_task_5ms,3,1.0,1.0,26093362.333333332,1.0,150.0,1.636049191172442
panda,6f61a4f090c2631561aee85944d25bbb3ec9ae75f330ddc67dd8f755fa60ea51,trajectory_25,joint_limit_return,trac_task_5ms,3,1.0,1.0,25396047.333333332,1.0,150.0,0.7469876032325572
panda,703e80ee1a10cacc408a225bf4b9b1d1a8b7cd7c18ef82408fe61c8b6b1a1fa4,trajectory_23,joint_limit_return,trac_task_5ms,3,1.0,1.0,26826558.0,1.0,150.0,2.708930999630663
panda,827f4c481262ed599d5a62ea92d72f83f9d2baecaa5e733c4c0018e796d573d5,trajectory_38,high_curvature,trac_task_5ms,3,1.0,1.0,26297732.666666668,1.0,150.0,6.693052791991348
panda,8ffc69b10a990e9806b11a88aa9d56ad2edaf960a5dbd463eff00cf8c0b24859,trajectory_33,high_curvature,trac_task_5ms,3,1.0,1.0,25943255.333333332,1.0,150.0,8.111234693902835
panda,972b6c7f62ad2d88a1171405175e002fe4dad516aaa6300e4c090613265f4592,trajectory_05,smooth,trac_task_5ms,3,1.0,1.0,25051427.0,1.0,150.0,0.784835685794896
panda,98b02d6a697ef616fb15325aca1f5748ceba5d966785b4f1677767ebff16420f,trajectory_02,smooth,trac_task_5ms,3,1.0,1.0,25237482.666666668,1.0,150.0,0.7024395737454813
panda,9a94337fb5b3319c8ba9dcce20e827630b16d9a348f1f3aa8709c5d0df3406af,trajectory_19,near_singular,trac_task_5ms,3,1.0,0.6666666666666666,51421103.0,1.0,150.0,16.243291467109046
panda,a62f788b8607be02b7f7a70f0234d741c3a3ffbce60a66d892cb748dca4ac32c,trajectory_01,smooth,trac_task_5ms,3,1.0,1.0,26016815.333333332,1.0,150.0,1.3076719027832104
panda,a74d26d3694c4e4d15b8817c29ef75a4bd43cb4d8d1ebf3ae4154e26d80ab4a4,trajectory_08,smooth,trac_task_5ms,3,1.0,1.0,25665765.0,1.0,150.0,1.679594843443401
panda,b47f91198895baa3999a406c9c32516cd3e78dd7e42a8bccccc4cd058a03020a,trajectory_26,joint_limit_return,trac_task_5ms,3,0.0,0.0,298651913.0,0.648888888888889,72.0,5.9537440023407475
panda,b88225558b53c7528d4fc1a56455ceac395ea6a65306515006580362af026e1e,trajectory_31,high_curvature,trac_task_5ms,3,1.0,1.0,25800848.666666668,1.0,150.0,8.633421642227427
panda,ba9bbb877bd562764b9ad1fe612339400f4396f8e4e3ccdd742d4a4326684c27,trajectory_00,smooth,trac_task_5ms,3,1.0,1.0,25906609.666666668,1.0,150.0,0.7639065356516695
panda,bb2d7133de7083285ff7ede00b959e62fc3bf5dc626bfa521b77361d0f3f759e,trajectory_34,high_curvature,trac_task_5ms,3,1.0,1.0,25553664.0,1.0,150.0,6.465189914542546
panda,c27c85dfc1ac902402f2c27d5ecd007325d528654413acef4dab0af30af48583,trajectory_37,high_curvature,trac_task_5ms,3,1.0,1.0,25891002.0,1.0,150.0,6.988768474699607
panda,c99e2c9b46eb1858a0dd2f525833e49b6f0b7c25001781f1b00044934372d935,trajectory_18,near_singular,trac_task_5ms,3,1.0,1.0,25783712.333333332,1.0,150.0,2.0443632767308606
panda,ca9065ec04392f64d1cce7cea6e6ae7ba224495be6a41fa0902e34ddeb925465,trajectory_17,near_singular,trac_task_5ms,3,0.0,0.0,186845935.33333334,0.7888888888888889,118.33333333333333,3.3654827138681647
panda,cdb906e5ffe0888b5856461ef6bee1b8809232e928fd853beb25f1903a7d798a,trajectory_07,smooth,trac_task_5ms,3,1.0,1.0,26326596.0,1.0,150.0,1.4655721876569405
panda,d8e06950cec2579c739f7f6d3dbb3628755dfd76be5740fad3bec38b4ef94cc6,trajectory_11,near_singular,trac_task_5ms,3,1.0,1.0,25970326.0,1.0,150.0,7.345273423700985
panda,e7257c22abc9d850802582540365f4bc972868280e40708e45700776b6ad2aca,trajectory_35,high_curvature,trac_task_5ms,3,1.0,1.0,25950370.666666668,1.0,150.0,6.477335754790279
