robot,cohort,group,comparison,metric,all_qps,quality_paired_qps,source_uids,ratio,ci95_low,ci95_high,unit
panda,natural,all,active_numpy / qpoases,kernel_ns,971,971,8,11.565129948564037,11.257273581327663,11.840074646568267,UID equal-weight; five calls averaged within each QP; QPs averaged within UID
panda,natural,all,active_numpy / qpoases,return_ns,971,971,8,2.3054692518004924,2.2640160546885193,2.3520712460420006,UID equal-weight; five calls averaged within each QP; QPs averaged within UID
panda,natural,all,active_numpy / qpoases,total_ns,971,971,8,1.2926297025718945,1.2836283234674717,1.3020571731599702,UID equal-weight; five calls averaged within each QP; QPs averaged within UID
panda,natural,all,active_numpy / osqp_cached,kernel_ns,971,971,8,1.8825768861222918,1.860172523732305,1.9045327379704007,UID equal-weight; five calls averaged within each QP; QPs averaged within UID
panda,natural,all,active_numpy / osqp_cached,return_ns,971,971,8,0.7675940485631517,0.7604594410441905,0.775535673151016,UID equal-weight; five calls averaged within each QP; QPs averaged within UID
panda,natural,all,active_numpy / osqp_cached,total_ns,971,971,8,0.8935114311640425,0.888780703491951,0.8981239480844659,UID equal-weight; five calls averaged within each QP; QPs averaged within UID
panda,natural,all,active_numpy / clip,kernel_ns,971,971,8,4.925834520304303,4.742334861065543,5.117432050892683,UID equal-weight; five calls averaged within each QP; QPs averaged within UID
panda,natural,all,active_numpy / clip,return_ns,971,971,8,4.814204182920994,4.638609967653092,4.99792458912966,UID equal-weight; five calls averaged within each QP; QPs averaged within UID
panda,natural,all,active_numpy / clip,total_ns,971,971,8,1.5273320327550104,1.5163608248508114,1.539657809400633,UID equal-weight; five calls averaged within each QP; QPs averaged within UID
panda,natural,unconstrained,active_numpy / qpoases,kernel_ns,971,971,8,11.565129948564037,11.257273581327663,11.840074646568267,UID equal-weight; five calls averaged within each QP; QPs averaged within UID
panda,natural,unconstrained,active_numpy / qpoases,return_ns,971,971,8,2.3054692518004924,2.2640160546885193,2.3520712460420006,UID equal-weight; five calls averaged within each QP; QPs averaged within UID
panda,natural,unconstrained,active_numpy / qpoases,total_ns,971,971,8,1.2926297025718945,1.2836283234674717,1.3020571731599702,UID equal-weight; five calls averaged within each QP; QPs averaged within UID
panda,natural,unconstrained,active_numpy / osqp_cached,kernel_ns,971,971,8,1.8825768861222918,1.860172523732305,1.9045327379704007,UID equal-weight; five calls averaged within each QP; QPs averaged within UID
panda,natural,unconstrained,active_numpy / osqp_cached,return_ns,971,971,8,0.7675940485631517,0.7604594410441905,0.775535673151016,UID equal-weight; five calls averaged within each QP; QPs averaged within UID
