robot,cohort,group,method,uid,unique_qps,kernel_ns,return_ns,total_ns,all_quality_pass
panda,natural,all,active_numpy,ba9bbb877bd562764b9ad1fe612339400f4396f8e4e3ccdd742d4a4326684c27,125,27836.9904,28041.8464,72560.9648,True
panda,natural,all,active_numpy,a62f788b8607be02b7f7a70f0234d741c3a3ffbce60a66d892cb748dca4ac32c,125,27323.3648,27524.8896,72084.296,True
panda,natural,all,active_numpy,525ed23e41917cce27c978b0c676be43016f2541aa51a8185bbab7e6ce610192,125,27240.1856,27438.1648,71851.0544,True
panda,natural,all,active_numpy,d8e06950cec2579c739f7f6d3dbb3628755dfd76be5740fad3bec38b4ef94cc6,96,28064.616666666665,28269.004166666666,72745.2,True
panda,natural,all,active_numpy,5560810f9d87891ba612f00a19811ec608860538b5dbf8f478a2cc168f4d1547,125,27406.0048,27606.3392,72222.9632,True
panda,natural,all,active_numpy,4afc296390cd2da8318a4ba9544aebe6e73de828b20fea6cbaeedda3bf7a189f,125,27236.5184,27434.544,71818.1088,True
panda,natural,all,active_numpy,f77f30aad07c01747cccac5f99de0454266b5b9453dc6357da97f2c8d2529cfc,125,27607.5824,27805.2208,72192.8016,True
panda,natural,all,active_numpy,b88225558b53c7528d4fc1a56455ceac395ea6a65306515006580362af026e1e,125,27075.6224,27271.6416,71507.0048,True
panda,natural,all,clip,ba9bbb877bd562764b9ad1fe612339400f4396f8e4e3ccdd742d4a4326684c27,125,5758.7936,5939.3392,47544.224,True
panda,natural,all,clip,a62f788b8607be02b7f7a70f0234d741c3a3ffbce60a66d892cb748dca4ac32c,125,6017.6192,6197.5776,47636.7328,True
panda,natural,all,clip,525ed23e41917cce27c978b0c676be43016f2541aa51a8185bbab7e6ce610192,125,5671.6144,5837.3776,47520.1856,True
panda,natural,all,clip,d8e06950cec2579c739f7f6d3dbb3628755dfd76be5740fad3bec38b4ef94cc6,96,5298.227083333333,5472.816666666667,46783.33541666667,True
panda,natural,all,clip,5560810f9d87891ba612f00a19811ec608860538b5dbf8f478a2cc168f4d1547,125,5342.5744,5509.0704,47040.5168,True
panda,natural,all,clip,4afc296390cd2da8318a4ba9544aebe6e73de828b20fea6cbaeedda3bf7a189f,125,5432.8816,5595.6464,47101.3536,True
panda,natural,all,clip,f77f30aad07c01747cccac5f99de0454266b5b9453dc6357da97f2c8d2529cfc,125,5215.728,5383.848,46582.3488,True
panda,natural,all,clip,b88225558b53c7528d4fc1a56455ceac395ea6a65306515006580362af026e1e,125,5882.592,6051.4992,47562.7248,True
panda,natural,all,osqp_cached,ba9bbb877bd562764b9ad1fe612339400f4396f8e4e3ccdd742d4a4326684c27,125,14765.1808,36587.2624,81758.2496,True
panda,natural,all,osqp_cached,a62f788b8607be02b7f7a70f0234d741c3a3ffbce60a66d892cb748dca4ac32c,125,14546.7264,35975.0192,80662.5632,True
panda,natural,all,osqp_cached,525ed23e41917cce27c978b0c676be43016f2541aa51a8185bbab7e6ce610192,125,14391.8352,35720.8656,80169.3424,True
