robot,cohort,repeat,method,initialization_ns
panda,natural,0,active_numpy,0
panda,natural,0,osqp_cached,514298
panda,natural,0,qpoases,134286
panda,natural,0,clip,0
panda,natural,1,osqp_cached,511904
panda,natural,1,qpoases,119775
panda,natural,1,clip,0
panda,natural,1,active_numpy,0
panda,natural,2,qpoases,126868
panda,natural,2,clip,0
panda,natural,2,active_numpy,0
panda,natural,2,osqp_cached,483338
panda,natural,3,clip,0
panda,natural,3,active_numpy,0
panda,natural,3,osqp_cached,478316
panda,natural,3,qpoases,129517
panda,natural,4,active_numpy,0
panda,natural,4,osqp_cached,479329
panda,natural,4,qpoases,117424
panda,natural,4,clip,0
panda,targeted,0,active_numpy,0
panda,targeted,0,osqp_cached,477938
panda,targeted,0,qpoases,122828
panda,targeted,0,clip,0
panda,targeted,1,osqp_cached,507747
panda,targeted,1,qpoases,129599
panda,targeted,1,clip,0
panda,targeted,1,active_numpy,0
panda,targeted,2,qpoases,126730
panda,targeted,2,clip,0
panda,targeted,2,active_numpy,0
panda,targeted,2,osqp_cached,467639
panda,targeted,3,clip,0
panda,targeted,3,active_numpy,0
panda,targeted,3,osqp_cached,483924
panda,targeted,3,qpoases,122576
panda,targeted,4,active_numpy,0
panda,targeted,4,osqp_cached,493222
panda,targeted,4,qpoases,124750
panda,targeted,4,clip,0
ur5e,natural,0,active_numpy,0
ur5e,natural,0,osqp_cached,467310
ur5e,natural,0,qpoases,116638
ur5e,natural,0,clip,0
ur5e,natural,1,osqp_cached,495278
ur5e,natural,1,qpoases,118599
ur5e,natural,1,clip,0
ur5e,natural,1,active_numpy,0
ur5e,natural,2,qpoases,160978
ur5e,natural,2,clip,0
ur5e,natural,2,active_numpy,0
ur5e,natural,2,osqp_cached,509799
ur5e,natural,3,clip,0
ur5e,natural,3,active_numpy,0
ur5e,natural,3,osqp_cached,480099
ur5e,natural,3,qpoases,114958
ur5e,natural,4,active_numpy,0
ur5e,natural,4,osqp_cached,462637
ur5e,natural,4,qpoases,122679
ur5e,natural,4,clip,0
ur5e,targeted,0,active_numpy,0
ur5e,targeted,0,osqp_cached,467529
ur5e,targeted,0,qpoases,123119
ur5e,targeted,0,clip,0
ur5e,targeted,1,osqp_cached,484964
ur5e,targeted,1,qpoases,124106
ur5e,targeted,1,clip,0
ur5e,targeted,1,active_numpy,0
ur5e,targeted,2,qpoases,122712
ur5e,targeted,2,clip,0
ur5e,targeted,2,active_numpy,0
ur5e,targeted,2,osqp_cached,477856
ur5e,targeted,3,clip,0
ur5e,targeted,3,active_numpy,0
ur5e,targeted,3,osqp_cached,488221
ur5e,targeted,3,qpoases,122659
ur5e,targeted,4,active_numpy,0
ur5e,targeted,4,osqp_cached,471718
ur5e,targeted,4,qpoases,123282
ur5e,targeted,4,clip,0
