method,q,raw_q,accepted,internal_ok,internal_status,native_status,native_return_code,finite,joint_limit_ok,velocity_ok,position_error,orientation_error,verification_reasons,failure_kind,velocity_utilization,velocity_utilization_per_joint,joint_limit_margin,total_latency_ns,conversion_ns,bounds_setup_ns,qp_build_ns,solve_ns,verification_ns,phase_times_ns,accounting_remainder_ns,returned_within_5ms,returned_within_20ms,accepted_within_20ms,budget_ms,qp_time_limit_s,native_setup_ns,native_solve_ns,native_polish_ns,native_run_ns,iterations,qp_primal_residual,qp_dual_residual,qp_objective,raw_bound_excess_rad,bound_roundoff_clip_rad,bound_roundoff_clipped,raw_verifier_accepted,raw_verification_reasons,raw_position_error,raw_orientation_error,native_warnings,native_stdout,lower,upper,seed_q,backup_used,pinocchio_joint_jacobian_and_fk_calls,pink_frame_error_calls,pink_frame_error_jacobian_calls,public_verifier_calls,solver_function_evaluations,native_method_label,robot,uid,site_id,family,repeat,frame,dt,previous_q,target_position,target_rotation,accepted_state_q,source,evaluations,box_qp_updates,native_conversion_ns,native_bounds,taxonomy,trace_instrumented
pink_qp,"[0.31640097683594715,0.021496070285933415,-2.0097285955398587,-1.0609625493277843,-0.15098976862464963,3.407126337588523,0.3044398685519024]","[0.31640097683594715,0.021496070285933415,-2.0097285955398587,-1.0609625493277843,-0.15098976862464963,3.407126337588523,0.30443986855190236]",False,True,solved,solved,1,True,True,True,0.0007652117872748337,0.009151869862922582,"[""orientation_tolerance""]",orientation_tolerance,0.9999999999999992,"[0.9472475140829062,0.08880153204486087,0.9999999999999917,0.013981441719430467,0.8865147974951479,0.04360473147945979,0.9999999999999992]",0.34537366241147716,803232,6759,22329,146361,412035,215187,"{""conversion_ns"":6759,""bounds_setup_ns"":22329,""qp_build_ns"":146361,""solve_ns"":412035,""verification_ns"":215187}",561,True,True,False,18.0,0.018,14471,64949,7102,86522,325,1.8081457719075367e-16,1.828065254569283e-12,-23.986689916612693,5.551115123125783e-17,5.551115123125783e-17,True,False,"[""orientation_tolerance"",""velocity_limit""]",0.0007652117872748337,0.009151869862922584,[],,"[0.3141009684499619,-0.018232182916910648,-2.096928595539858,-1.103952958468817,-0.24965449253364583,3.357106865044899,0.3044398685519024]","[0.4013009684499618,0.06896781708308934,-2.0097285955398587,-1.0167529584688173,-0.1450544925336459,3.461706865044898,0.40903986855190233]","[0.35770096844996185,0.02536781708308935,-2.0533285955398584,-1.0603529584688172,-0.19735449253364587,3.4094068650448985,0.3567398685519024]",False,1,1,1,2,,pink_qp,panda,d677d8817a9086e31204c00a069fcd9714941f266e92b8c76d39517d2a87c663,trajectory_074,near_singular,2,96,0.02,"[0.35770096844996185,0.02536781708308935,-2.0533285955398584,-1.0603529584688172,-0.19735449253364587,3.4094068650448985,0.3567398685519024]","[-0.016369080532618735,-0.3877681221803293,1.0486074848119717]","[[-0.05770673580061479,-0.9975474307996001,-0.039611310863882275],[0.7089188731652978,-0.013008588280041679,-0.7051700560155719],[0.7029252904208831,-0.06877426797921905,0.7079308837384056]]","[0.35770096844996185,0.02536781708308935,-2.0533285955398584,-1.0603529584688172,-0.19735449253364587,3.4094068650448985,0.3567398685519024]",outputs/single_solver_evidence/trajectories_panda/runs/panda_trajectory_074_pink_qp_r2.jsonl.gz,,,,,,
single_gn_clip,"[-1.9382406160825567,0.0750687516701895,0.6487234102061137,-0.5067575827757537,2.897299999999,2.38539889817484,1.6662619430858108]",,False,False,iteration_limit,,,True,True,True,0.001037936025745475,0.0038882288070868597,"[""position_tolerance""]",position_tolerance,0.4254198933893409,,,4602771,,,,,,,,,,False,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,single_bounded_gn,panda,617dfe3c6044a249e2b35c9a35fdace22f1d096e467cd2c20a564e43995edf0f,trajectory_042,near_singular,1,91,0.02,"[-1.9293131851160747,0.06421543896210093,0.6301751028543384,-0.5205091626908492,2.897299999999,2.375463562357748,1.675876073517439]","[0.051300443138924096,-0.30146039523809065,1.1315991953646352]","[[0.9805471082637169,-0.18471113228896463,0.06640155182064607],[0.16834914478824875,0.9653568004977725,0.19936101219087132],[-0.10092538790971595,-0.18430421954266846,0.9776737803245218]]","[-1.9293131851160747,0.06421543896210093,0.6301751028543384,-0.5205091626908492,2.897299999999,2.375463562357748,1.675876073517439]",outputs/single_solver_evidence/trajectories_panda/runs/panda_trajectory_042_single_gn_clip_r1.jsonl.gz,128,30,,,,
pink_qp,"[-0.5666203220454076,-0.15515704840112396,0.9094475823550912,-0.47402640618542335,1.1484310087041318,2.089261776352937,2.3796900956159357]","[-0.5666203220454076,-0.15515704840112396,0.909447582355091,-0.47402640618542335,1.1484310087041318,2.089261776352937,2.3796900956159357]",False,True,solved,solved,1,True,True,True,0.0010701106847058142,0.004413139835292661,"[""position_tolerance""]",position_tolerance,0.9999999999999968,"[0.0033139823823846114,0.33644262977596356,0.9999999999999968,0.04886930932369745,0.999999999999996,0.0882897342986054,0.02273979300349387]",0.4042264061854234,806719,6289,22614,145086,404356,227795,"{""conversion_ns"":6289,""bounds_setup_ns"":22614,""qp_build_ns"":145086,""solve_ns"":404356,""verification_ns"":227795}",579,True,True,False,18.0,0.018,14487,42678,6952,64117,200,1.0962066073263328e-16,7.548315521494357e-13,-36.00271227604257,1.1102230246251565e-16,1.1102230246251565e-16,True,False,"[""position_tolerance""]",0.0010701106847058035,0.004413139835292604,[],,"[-0.6103648116772794,-0.18408814974289192,0.9094475823550912,-0.5197571080719364,1.0438310087041323,2.041579329456755,2.3262008044418536]","[-0.5231648116772797,-0.09688814974289196,0.9966475823550909,-0.43255710807193665,1.1484310087041318,2.1461793294567535,2.4308008044418523]","[-0.5667648116772795,-0.14048814974289195,0.953047582355091,-0.47615710807193656,1.096131008704132,2.093879329456754,2.378500804441853]",False,1,1,1,2,,pink_qp,panda,969ba5d44c0c1d23ec4d7872e24f6fb53691d315f926ddf3bba5bf77a876acba,trajectory_071,near_singular,2,98,0.02,"[-0.5667648116772795,-0.14048814974289195,0.953047582355091,-0.47615710807193656,1.096131008704132,2.093879329456754,2.378500804441853]","[0.12549075467191034,0.19734654294735737,1.1429291804464725]","[[0.4829036510734367,-0.8495212866057315,0.21240915089441714],[0.10636418741595145,0.2976749516210267,0.9487235017710711],[-0.8691896935740143,-0.43554931612982944,0.23410696231327466]]","[-0.5667648116772795,-0.14048814974289195,0.953047582355091,-0.47615710807193656,1.096131008704132,2.093879329456754,2.378500804441853]",outputs/single_solver_evidence/trajectories_panda/runs/panda_trajectory_071_pink_qp_r2.jsonl.gz,,,,,,
single_gn_k0,"[-0.380856846714828,-0.1456240815058321,-0.7915184101817916,-1.7584102890493407,2.897299999999,1.9174127459789105,-0.8466715507098628]",,False,False,stationary,,,True,True,True,0.00026077928565498756,0.00952695583525228,"[""orientation_tolerance""]",orientation_tolerance,0.9999999999990011,,,3461634,,,,,,,,,,False,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,single_bounded_gn,panda,c2ebae0d24e306f3744e9ac2a38add8502705448e7eda234f19e3082f56fa52c,trajectory_094,joint_limit_return,2,53,0.02,"[-0.4204036654871291,-0.1352875078561473,-0.7479184101818351,-1.7565675086908759,2.897299999999,1.9090280224781317,-0.8487365263350845]","[0.19641911618610228,-0.5294395619380362,0.7632061316251734]","[[-0.46526835440914216,0.8400441325944378,0.27901830348396106],[-0.8675071824025526,-0.37008348016679626,-0.332369532580255],[-0.1759450109136194,-0.3966914077734624,0.9009324503720106]]","[-0.4204036654871291,-0.1352875078561473,-0.7479184101818351,-1.7565675086908759,2.897299999999,1.9090280224781317,-0.8487365263350845]",outputs/single_solver_evidence/trajectories_panda/runs/panda_trajectory_094_single_gn_k0_r2.jsonl.gz,91,17,,,,
trac_task_20ms,"[1.9897304928275026,-0.26696149181610135,1.511949867439455,-1.4702231387226619,0.1650668239085398,1.9934301889371728,1.160583325475039]",,False,False,native_no_solution,,-3,True,True,True,0.014124040572095965,0.023893948129023717,"[""position_tolerance"",""orientation_tolerance""]",internal_nonconvergence+position_tolerance+orientation_tolerance,0.0,,,20284911,5147,30441,,20023071,188239,,38013,False,False,False,20,,9047,20023071,,,,,,,,,,,,,,,,"[1.9461304928275027,-0.3105614918161013,1.468349867439455,-1.5138231387226617,0.11276682390853981,1.941130188937173,1.1082833254750393]","[2.0333304928275022,-0.22336149181610138,1.5555498674394548,-1.426623138722662,0.21736682390853976,2.0457301889371724,1.2128833254750389]","[1.9897304928275026,-0.26696149181610135,1.511949867439455,-1.4702231387226619,0.1650668239085398,1.9934301889371728,1.160583325475039]",,,,,,,trac_task_20ms,panda,16eb39236436e36522bf1742998d048f374e3572a63c53e2c2e5ca5d926ace93,trajectory_104,joint_limit_return,2,122,0.02,"[1.9897304928275026,-0.26696149181610135,1.511949867439455,-1.4702231387226619,0.1650668239085398,1.9934301889371728,1.160583325475039]","[-0.51255021271799,-0.3002745858145392,0.7147845474031491]","[[-0.6366036460226422,0.5828213314285926,-0.5050297946680784],[0.717897284983361,0.687077397660456,-0.11201847096642151],[0.2817078026682927,-0.4338708854670232,-0.8558018279133689]]","[1.9897304928275026,-0.26696149181610135,1.511949867439455,-1.4702231387226619,0.1650668239085398,1.9934301889371728,1.160583325475039]",outputs/single_solver_evidence/trajectories_panda/runs/panda_trajectory_104_trac_task_20ms_r2.jsonl.gz,,,433,"[0.0005773502691896257,0.0005773502691896257,0.0005773502691896257,0.00503833156733364,0.00503833156733364,0.00503833156733364]",internal_failure__task_reject,False
trac_task_20ms,"[-0.6342854331087201,-0.15528758947063398,-1.240182522855685,-1.6369047564004064,0.8057339152745645,1.5607436467110498,-0.21663130694643257]",,False,False,native_no_solution,,-3,True,True,True,0.02089363336544508,0.05194760126562053,"[""position_tolerance"",""orientation_tolerance""]",internal_nonconvergence+position_tolerance+orientation_tolerance,0.0,,,20239662,3151,18067,,20018452,178740,,21252,False,False,False,20,,4318,20018452,,,,,,,,,,,,,,,,"[-0.67788543310872,-0.19888758947063395,-1.283782522855685,-1.6805047564004063,0.7534339152745646,1.50844364671105,-0.2689313069464325]","[-0.5906854331087202,-0.111687589470634,-1.1965825228556852,-1.5933047564004066,0.8580339152745644,1.6130436467110496,-0.16433130694643258]","[-0.6342854331087201,-0.15528758947063398,-1.240182522855685,-1.6369047564004064,0.8057339152745645,1.5607436467110498,-0.21663130694643257]",,,,,,,trac_task_20ms,panda,700234aadb2ef0f2c5056fb078594221aa97a092642689035f4bffd6e6845062,trajectory_144,high_curvature,2,46,0.02,"[-0.6342854331087201,-0.15528758947063398,-1.240182522855685,-1.6369047564004064,0.8057339152745645,1.5607436467110498,-0.21663130694643257]","[-0.15075196929439744,-0.5222912232378781,0.6589488294070578]","[[-0.20874666779090786,-0.5802761946008392,0.7872130376624623],[-0.9659818454433313,-0.0033069409704175384,-0.25858874379081875],[0.15265615926024054,-0.8144130414728064,-0.5598459564191963]]","[-0.6342854331087201,-0.15528758947063398,-1.240182522855685,-1.6369047564004064,0.8057339152745645,1.5607436467110498,-0.21663130694643257]",outputs/single_solver_evidence/trajectories_panda/runs/panda_trajectory_144_trac_task_20ms_r2.jsonl.gz,,,303,"[0.0005773502691896257,0.0005773502691896257,0.0005773502691896257,0.00503833156733364,0.00503833156733364,0.00503833156733364]",internal_failure__task_reject,False
single_gn_clip,"[-0.4625990931706785,-0.13006525267907013,-0.7091992320378985,-1.7566360735397393,2.897299999999,1.9069085012313347,-0.846803065813851]",,False,False,iteration_limit,,,True,True,True,0.0009204036397632918,0.012794009457459211,"[""orientation_tolerance""]",orientation_tolerance,0.473927453003223,,,2459012,,,,,,,,,,False,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,single_bounded_gn,panda,c2ebae0d24e306f3744e9ac2a38add8502705448e7eda234f19e3082f56fa52c,trajectory_094,joint_limit_return,2,52,0.02,"[-0.4758893823140456,-0.124977354421349,-0.688535995086958,-1.7549982855878385,2.897299999999,1.8998231788544164,-0.8525968198964461]","[0.20317521064202765,-0.5271481580365005,0.7638566955700778]","[[-0.46385797375118826,0.8371587002098924,0.28982941681327906],[-0.8712765866712053,-0.37187610078608646,-0.32028936164460686],[-0.1603523922678276,-0.4010903593045088,0.9018944694181049]]","[-0.4758893823140456,-0.124977354421349,-0.688535995086958,-1.7549982855878385,2.897299999999,1.8998231788544164,-0.8525968198964461]",outputs/single_solver_evidence/trajectories_panda/runs/panda_trajectory_094_single_gn_clip_r2.jsonl.gz,61,30,,,,
trac_task_20ms,"[2.8350558902139404,-0.002456447208072341,-1.7827603880204936,-0.1736143556790505,0.41436271164023125,1.6108547418441592,0.9176873022479854]",,False,False,native_no_solution,,-3,True,True,True,0.001180154974869625,0.010448142779635109,"[""position_tolerance"",""orientation_tolerance""]",internal_nonconvergence+position_tolerance+orientation_tolerance,0.0,,,20251906,4800,28930,,20016086,169411,,32679,False,False,False,20,,9989,20016086,,,,,,,,,,,,,,,,"[2.791455890213941,-0.04605644720807233,-1.8263603880204935,-0.21721435567905048,0.3620627116402313,1.5585547418441594,0.8653873022479855]","[2.87865589021394,0.041143552791927655,-1.7391603880204938,-0.13001435567905054,0.4666627116402312,1.663154741844159,0.9699873022479854]","[2.8350558902139404,-0.002456447208072341,-1.7827603880204936,-0.1736143556790505,0.41436271164023125,1.6108547418441592,0.9176873022479854]",,,,,,,trac_task_20ms,panda,b7d9f59b33a2dda6c19ff77ca7e30b88fa3fe1ea9f416b1340aa4cb29a2d7580,trajectory_064,near_singular,1,139,0.02,"[2.8350558902139404,-0.002456447208072341,-1.7827603880204936,-0.1736143556790505,0.41436271164023125,1.6108547418441592,0.9176873022479854]","[0.052296202387067094,0.1738329464354777,1.1153464406412186]","[[0.8362360367373478,0.5382913950560775,0.10465020243838498],[-0.028183755273068403,-0.14839765843382144,0.9885260800353558],[0.5476449276680291,-0.8295905670750726,-0.10892439680594243]]","[2.8350558902139404,-0.002456447208072341,-1.7827603880204936,-0.1736143556790505,0.41436271164023125,1.6108547418441592,0.9176873022479854]",outputs/single_solver_evidence/trajectories_panda/runs/panda_trajectory_064_trac_task_20ms_r1.jsonl.gz,,,467,"[0.0005773502691896257,0.0005773502691896257,0.0005773502691896257,0.00503833156733364,0.00503833156733364,0.00503833156733364]",internal_failure__task_reject,False
trac_task_5ms,"[0.753756002323311,0.031231482350634242,-1.2956249491689782,-0.7235190346980936,0.42015967258273057,1.3816734804197048,-0.4602848971617935]",,False,False,native_no_solution,,-3,True,True,True,0.022497306769460126,0.015989287807470984,"[""position_tolerance"",""orientation_tolerance""]",internal_nonconvergence+position_tolerance+orientation_tolerance,0.0,,,5211645,3701,22527,,5013574,148614,,23229,False,True,False,5,,6152,5013574,,,,,,,,,,,,,,,,"[0.7101560023233111,-0.012368517649365756,-1.339224949168978,-0.7671190346980935,0.3678596725827306,1.329373480419705,-0.5125848971617933]","[0.7973560023233108,0.07483148235063423,-1.2520249491689783,-0.6799190346980938,0.4724596725827305,1.4339734804197046,-0.40798489716179354]","[0.753756002323311,0.031231482350634242,-1.2956249491689782,-0.7235190346980936,0.42015967258273057,1.3816734804197048,-0.4602848971617935]",,,,,,,trac_task_5ms,panda,c6cfd91b767095758b663e0ee9d436d5e7a392ae0b0f544dc5c1085014080e48,trajectory_125,high_curvature,2,96,0.02,"[0.753756002323311,0.031231482350634242,-1.2956249491689782,-0.7235190346980936,0.42015967258273057,1.3816734804197048,-0.4602848971617935]","[0.39866811293318316,-0.1340511710175887,0.960220543150186]","[[0.7495631205693338,0.13559839164663864,0.6478952110219729],[0.13759913920659975,-0.9893307253388511,0.047866405652666186],[0.6474732466843435,0.05327093094125171,-0.7602240477284888]]","[0.753756002323311,0.031231482350634242,-1.2956249491689782,-0.7235190346980936,0.42015967258273057,1.3816734804197048,-0.4602848971617935]",outputs/single_solver_evidence/trajectories_panda/runs/panda_trajectory_125_trac_task_5ms_r2.jsonl.gz,,,274,"[0.0005773502691896257,0.0005773502691896257,0.0005773502691896257,0.00503833156733364,0.00503833156733364,0.00503833156733364]",internal_failure__task_reject,False
pink_qp,"[-0.7125577657328807,-0.030454700477815653,-1.372908947539167,-1.6231108345249377,0.9503595035277009,1.5159354134855483,-0.27775271589954376]","[-0.7125577657328807,-0.03045470047781565,-1.372908947539167,-1.6231108345249377,0.9503595035277009,1.5159354134855483,-0.27775271589954376]",False,True,solved,solved,1,True,True,True,0.0014337064822031727,0.011071881508472893,"[""position_tolerance"",""orientation_tolerance""]",position_tolerance+orientation_tolerance,1.0,"[0.6865135724418694,1.0,0.9999999999999968,0.0158676572050169,0.732232403670667,0.25889610637144306,0.47065400957746556]",1.4486891654750624,807941,6513,22361,139155,410994,228346,"{""conversion_ns"":6513,""bounds_setup_ns"":22361,""qp_build_ns"":139155,""solve_ns"":410994,""verification_ns"":228346}",572,True,True,False,18.0,0.018,14944,50328,7057,72329,250,6.609054247853498e-17,3.181656229229075e-12,-349.2173740788215,3.469446951953614e-18,3.469446951953614e-18,True,False,"[""position_tolerance"",""orientation_tolerance""]",0.0014337064822031727,0.011071881508472893,[],,"[-0.726225773974415,-0.11765470047781564,-1.372908947539167,-1.6660190046707988,0.8597637488157251,1.477175679848775,-0.30543751119864226]","[-0.6390257739744153,-0.030454700477815653,-1.2857089475391672,-1.578819004670799,0.964363748815725,1.5817756798487745,-0.20083751119864232]","[-0.6826257739744152,-0.07405470047781565,-1.329308947539167,-1.622419004670799,0.912063748815725,1.5294756798487747,-0.2531375111986423]",False,1,1,1,2,,pink_qp,panda,700234aadb2ef0f2c5056fb078594221aa97a092642689035f4bffd6e6845062,trajectory_144,high_curvature,2,48,0.02,"[-0.6826257739744152,-0.07405470047781565,-1.329308947539167,-1.622419004670799,0.912063748815725,1.5294756798487747,-0.2531375111986423]","[-0.1987494486605856,-0.5174620358187976,0.6475908600526888]","[[-0.29727922321826594,-0.5694116981556053,0.7664172371797844],[-0.9435421587955503,0.05234908939843509,-0.327089846089094],[0.1461275402454204,-0.8203839898746832,-0.5528262395537304]]","[-0.6826257739744152,-0.07405470047781565,-1.329308947539167,-1.622419004670799,0.912063748815725,1.5294756798487747,-0.2531375111986423]",outputs/single_solver_evidence/trajectories_panda/runs/panda_trajectory_144_pink_qp_r2.jsonl.gz,,,,,,
