robot,baseline,uid,site_id,family,method_fraction,baseline_fraction,change,stable_all_vs_none
panda,single_gn_k0,009db6557800243ff65e0c7333cde1b7ddd0e6c46910706588a593a3f4acb624,trajectory_021,smooth,1.0,1.0,same,False
panda,single_gn_k0,01e6d3003da6b2fa52c23d3609faa8b8bff293815dffc7a4940980b2338958be,trajectory_013,smooth,1.0,1.0,same,False
panda,single_gn_k0,03bb61badb511b0b1ed87047a9796a921fc66524ca734ee655b56a672c6cb6ae,trajectory_118,joint_limit_return,1.0,1.0,same,False
panda,single_gn_k0,077b3a8cc515aec835a5b63a21db483c8c301447444b5f66f4859469994a68e3,trajectory_078,near_singular,1.0,1.0,same,False
panda,single_gn_k0,0a2537c3c40ba62c63727d6ed654546b317bfd0d8693efc85faa222da123debc,trajectory_039,smooth,1.0,1.0,same,False
panda,single_gn_k0,0a63ba1ae1e8450c4c3af9a6b1963ce87395c993548888753b0b6cb4f3583ea1,trajectory_159,high_curvature,1.0,1.0,same,False
panda,single_gn_k0,0d40fff84f0487f95ec2df4cd930981c8e49b45348a20e6e2fe0587a9381dd29,trajectory_053,near_singular,1.0,1.0,same,False
panda,single_gn_k0,1085f3e04aaffe00c129d91100b2cf03f3de069fa72a1f43ac92c05905fe372d,trajectory_045,near_singular,1.0,1.0,same,False
panda,single_gn_k0,11e5dd61197a24709eda8bbdf4933108e3a2cd75096cc1d83c67519e8f53cd3b,trajectory_030,smooth,1.0,1.0,same,False
panda,single_gn_k0,169492dbe3686e9bed801ec404d2386157ca73430efc2035673600b4d72e8a66,trajectory_049,near_singular,1.0,1.0,same,False
panda,single_gn_k0,16eb39236436e36522bf1742998d048f374e3572a63c53e2c2e5ca5d926ace93,trajectory_104,joint_limit_return,0.0,0.0,same,False
panda,single_gn_k0,182336d73a5b3e410318ecc89f8fff003cd4774c6c196286f77fbed7422ba22d,trajectory_043,near_singular,1.0,1.0,same,False
panda,single_gn_k0,19f667e15e6e2e001adaf2b54858a15da2770a3e032e6f2bf54394b4ae11dd2a,trajectory_098,joint_limit_return,1.0,1.0,same,False
panda,single_gn_k0,1b03f784d41d7fb54612cd0d699abc3bc5985f24c3c9eb72428a6cbaca414c2b,trajectory_086,joint_limit_return,1.0,1.0,same,False
panda,single_gn_k0,1b1432b684aef0b401c66b39b447aa074258ccfbe4d804811e9c02688243235a,trajectory_082,joint_limit_return,1.0,1.0,same,False
panda,single_gn_k0,1b39b898eb092990b04abf224824637c9d3158b64e555f4ee7f8b5df09af055b,trajectory_012,smooth,1.0,1.0,same,False
panda,single_gn_k0,1bbd79bf819cf6ecd63f3982a990a651d52ad71ee7023ec3ae7604b435a5db4b,trajectory_110,joint_limit_return,1.0,1.0,same,False
panda,single_gn_k0,1dec5a6acc79ceadb4ebd7ba3aa74faa30e6d2a850fe0fcfc8c37f6568b1a2a3,trajectory_127,high_curvature,1.0,1.0,same,False
panda,single_gn_k0,1e6df7d7a97068128c87d603d3c0e9f668d12f42bd3ad7bb6844038e1d000f49,trajectory_056,near_singular,1.0,1.0,same,False
panda,single_gn_k0,1ea0a808ba7693c99b08e547a054e536a85f836775c00d3ed9898d53321ca266,trajectory_028,smooth,1.0,1.0,same,False
panda,single_gn_k0,237fa3357fbe3d06a7b83c1b4d0365e8a361eb6c1d1814dbae706836b5bfb2ce,trajectory_113,joint_limit_return,1.0,1.0,same,False
panda,single_gn_k0,27c86cc0a672e7ca289d7e168325677711ec7e91facd0395bd5e092387fad4f4,trajectory_038,smooth,1.0,1.0,same,False
panda,single_gn_k0,29a3f6ef1b19352cfb9831f4fe8e2d53991595953116f2431868cb12d34e80bf,trajectory_151,high_curvature,1.0,1.0,same,False
panda,single_gn_k0,2a10217792feb2c6e8a32bc9be45b6711415582d2d65586302aaa5860acc9b32,trajectory_105,joint_limit_return,1.0,1.0,same,False
