robot,method,baseline,family,metric,trajectories,difference,difference_ci,ratio,ratio_ci
panda,single_gn_k1,single_gn_k0,all,completion,160,0.0,"[-0.03125,0.025]",1.0,"[0.967948717948718,1.0274019839395372]"
panda,single_gn_k1,single_gn_k0,all,deadline_completion,160,-0.002083333333333334,"[-0.03333333333333334,0.025]",0.9978354978354977,"[0.9660297239915073,1.0268456375838926]"
panda,single_gn_k1,single_gn_k0,all,total_latency_ns,160,-42057.637500000375,"[-6396939.565208334,6350772.597864584]",0.9991180752097667,"[0.8787399322781633,1.1405498524100872]"
panda,single_gn_k1,single_gn_k0,all,frame_success,160,-0.0015833333333333346,"[-0.015334374999999999,0.01175104166666667]",0.9983936422049374,"[0.9844682157268467,1.0120217660897308]"
panda,single_gn_k1,single_gn_k0,all,acceleration_rms,160,0.7502953229348848,"[0.2815167944786173,1.344458840666636]",1.2522109686103007,"[1.090733327350096,1.4599633168448791]"
panda,single_gn_k1,single_gn_k0,all,successful_prefix,160,-0.3625,"[-2.575,1.7189062500000005]",0.9975481907338519,"[0.982672548441505,1.0117487782669752]"
panda,single_gn_k1,single_gn_k0,smooth,completion,40,0.0,"[0.0,0.0]",1.0,"[1.0,1.0]"
panda,single_gn_k1,single_gn_k0,smooth,deadline_completion,40,-0.008333333333333335,"[-0.025,0.0]",0.9916666666666666,"[0.975,1.0]"
panda,single_gn_k1,single_gn_k0,smooth,total_latency_ns,40,563961.3666666669,"[42750.22520833382,1545987.0956249998]",1.0138581804456306,"[1.0010498270971162,1.0379867757815178]"
panda,single_gn_k1,single_gn_k0,smooth,frame_success,40,0.0,"[0.0,0.0]",1.0,"[1.0,1.0]"
panda,single_gn_k1,single_gn_k0,smooth,acceleration_rms,40,0.06916028209593499,"[-0.017533318356618522,0.1663608739225313]",1.0824089657215055,"[0.9794133074427952,1.1995870590902618]"
panda,single_gn_k1,single_gn_k0,smooth,successful_prefix,40,0.0,"[0.0,0.0]",1.0,"[1.0,1.0]"
panda,single_gn_k1,single_gn_k0,near_singular,completion,40,-0.025,"[-0.075,0.0]",0.9743589743589743,"[0.9210526315789473,1.0]"
panda,single_gn_k1,single_gn_k0,near_singular,deadline_completion,40,-0.025,"[-0.075,0.0]",0.9743589743589743,"[0.9210526315789473,1.0]"
panda,single_gn_k1,single_gn_k0,near_singular,total_latency_ns,40,2898652.508333333,"[-5349167.703958335,14034592.807291668]",1.0651806415818477,"[0.9032361740176308,1.3591905272368168]"
panda,single_gn_k1,single_gn_k0,near_singular,frame_success,40,-0.008833333333333335,"[-0.027000000000000003,0.0004999999999999949]",0.9910864446686849,"[0.9728445349626613,1.0005138746145938]"
panda,single_gn_k1,single_gn_k0,near_singular,acceleration_rms,40,3.2433901535343486,"[1.6076373767557621,5.646096639138095]",2.439405853936033,"[1.6848616431171537,3.6920038290351984]"
panda,single_gn_k1,single_gn_k0,near_singular,successful_prefix,40,-1.325,"[-4.05,0.075]",0.9910864446686848,"[0.9728445349626612,1.000513874614594]"
panda,single_gn_k1,single_gn_k0,joint_limit_return,completion,40,0.0,"[-0.075,0.075]",1.0,"[0.9230769230769231,1.0833333333333333]"
