robot,group,method,qp_count,calls,p50_us,p95_us,p99_us,mean_us,bad_quality,native_cap_hits,max_box_violation,max_projected_kkt,max_normalized_kkt,max_scaled_objective_gap,max_raw_projected_kkt,max_raw_normalized_kkt,mean_reset_ns,mean_conversion_ns,mean_update_ns,mean_solve_ns,mean_check_ns
panda,all,active_numpy,971,4855,38.543,41.8495,44.25048,38.86004222451081,0,0,0.0,2.2737367544323206e-13,1.942890293094024e-16,0.0,2.2737367544323206e-13,1.942890293094024e-16,0.0,0.0,0.0,30751.791555097836,6962.755097837281
panda,all,osqp_reset,971,4855,64.66,80.8536,92.78494,66.81478805355304,0,0,0.0,7.239577826112509e-09,9.218181773462675e-12,2.0591409075341147e-15,7.239577826112509e-09,9.218181773462675e-12,4248.702986611741,2945.1394438722964,20930.879505664263,24126.349330587025,12867.447579814625
panda,all,osqp_warm,971,4855,62.783,79.4621,91.71896000000001,65.01367353244079,0,0,0.0,6.628283699683379e-09,9.218181773462675e-12,1.8082620669818694e-15,6.628283699683379e-09,9.218181773462675e-12,1199.8393408856848,2914.9732234809476,22304.77033985582,24125.08403707518,12792.699279093718
panda,all,clip,971,4855,16.37,18.963600000000003,20.809639999999998,16.63439588053553,0,,0.0,2.2737367544323206e-13,1.942890293094024e-16,0.0,2.2737367544323206e-13,1.942890293094024e-16,0.0,0.0,0.0,8743.9289392379,6751.6838311019565
panda,inactive,active_numpy,971,4855,38.543,41.8495,44.25048,38.86004222451081,0,0,0.0,2.2737367544323206e-13,1.942890293094024e-16,0.0,2.2737367544323206e-13,1.942890293094024e-16,0.0,0.0,0.0,30751.791555097836,6962.755097837281
panda,inactive,osqp_reset,971,4855,64.66,80.8536,92.78494,66.81478805355304,0,0,0.0,7.239577826112509e-09,9.218181773462675e-12,2.0591409075341147e-15,7.239577826112509e-09,9.218181773462675e-12,4248.702986611741,2945.1394438722964,20930.879505664263,24126.349330587025,12867.447579814625
panda,inactive,osqp_warm,971,4855,62.783,79.4621,91.71896000000001,65.01367353244079,0,0,0.0,6.628283699683379e-09,9.218181773462675e-12,1.8082620669818694e-15,6.628283699683379e-09,9.218181773462675e-12,1199.8393408856848,2914.9732234809476,22304.77033985582,24125.08403707518,12792.699279093718
panda,inactive,clip,971,4855,16.37,18.963600000000003,20.809639999999998,16.63439588053553,0,,0.0,2.2737367544323206e-13,1.942890293094024e-16,0.0,2.2737367544323206e-13,1.942890293094024e-16,0.0,0.0,0.0,8743.9289392379,6751.6838311019565
panda,smooth,active_numpy,250,1250,38.493,41.665,43.62184,38.7907456,0,0,0.0,1.1368683772161603e-13,1.942890293094024e-16,0.0,1.1368683772161603e-13,1.942890293094024e-16,0.0,0.0,0.0,30774.9672,6891.3776
panda,smooth,osqp_reset,250,1250,64.5695,81.91425,95.90317,66.8618536,0,0,0.0,5.709182460122975e-09,9.218181773462675e-12,1.1838037731734966e-15,5.709182460122975e-09,9.218181773462675e-12,4255.5896,2958.2856,20909.9128,24187.8976,12850.7824
panda,smooth,osqp_warm,250,1250,62.5395,77.51934999999999,88.14716,64.55394799999999,0,0,0.0,5.709182460122975e-09,9.218181773462675e-12,1.0194337512197805e-15,5.709182460122975e-09,9.218181773462675e-12,1200.608,2895.9416,22079.5016,23954.2896,12755.9264
panda,smooth,clip,250,1250,16.3755,19.210549999999998,21.297909999999998,16.6638344,0,,0.0,1.1368683772161603e-13,1.942890293094024e-16,0.0,1.1368683772161603e-13,1.942890293094024e-16,0.0,0.0,0.0,8765.9248,6762.1616
panda,near_singular,active_numpy,221,1105,38.608,41.9574,45.28992000000002,38.99739185520362,0,0,0.0,8.526512829121202e-14,1.8041124150158794e-16,0.0,8.526512829121202e-14,1.8041124150158794e-16,0.0,0.0,0.0,30820.513122171946,7019.499547511312
panda,near_singular,osqp_reset,221,1105,64.585,81.7764,91.65468000000001,66.79881719457013,0,0,0.0,1.570413132867543e-09,3.5219327454427685e-12,1.7566272493731595e-15,1.570413132867543e-09,3.5219327454427685e-12,4227.558371040724,2944.7131221719455,21009.923981900454,24025.732126696832,12888.33484162896
panda,near_singular,osqp_warm,221,1105,63.067,80.59179999999999,98.56496000000008,65.63538099547512,0,0,0.0,2.7551294579097885e-10,3.3415215039411805e-12,1.8082620669818694e-15,2.7551294579097885e-10,3.3415215039411805e-12,1217.9484162895928,2959.1158371040724,22601.79185520362,24377.57556561086,12801.560180995475
panda,near_singular,clip,221,1105,16.413,19.138999999999996,20.858320000000003,16.706208144796378,0,,0.0,8.526512829121202e-14,1.8041124150158794e-16,0.0,8.526512829121202e-14,1.8041124150158794e-16,0.0,0.0,0.0,8761.102262443439,6798.076018099548
panda,joint_limit_return,active_numpy,250,1250,38.5285,41.73235,43.81743,38.7925824,0,0,0.0,1.1368683772161603e-13,1.1102230246251565e-16,0.0,1.1368683772161603e-13,1.1102230246251565e-16,0.0,0.0,0.0,30720.8352,6928.188
panda,joint_limit_return,osqp_reset,250,1250,64.4215,78.99485,91.43629999999999,66.325732,0,0,0.0,2.7371811484044883e-09,3.4991731734379528e-12,2.0591409075341147e-15,2.7371811484044883e-09,3.4991731734379528e-12,4187.3368,2922.788,20721.8416,23947.5256,12852.3296
panda,joint_limit_return,osqp_warm,250,1250,62.833,79.37285,89.37034999999999,65.0405088,0,0,0.0,1.211844846693566e-09,1.9878959589547662e-12,1.372760605022743e-15,1.211844846693566e-09,1.9878959589547662e-12,1199.4168,2909.5728,22347.4344,24086.7712,12820.2144
panda,joint_limit_return,clip,250,1250,16.368,18.8491,20.62252,16.6518776,0,,0.0,1.1368683772161603e-13,1.1102230246251565e-16,0.0,1.1368683772161603e-13,1.1102230246251565e-16,0.0,0.0,0.0,8744.82,6764.4008
panda,high_curvature,active_numpy,250,1250,38.5375,42.10535,44.54644,38.8753816,0,0,0.0,2.2737367544323206e-13,1.6653345369377348e-16,0.0,2.2737367544323206e-13,1.6653345369377348e-16,0.0,0.0,0.0,30698.8224,7018.5376
panda,high_curvature,osqp_reset,250,1250,65.1045,81.60734999999998,91.01905000000001,67.2708968,0,0,0.0,7.239577826112509e-09,3.717914864864724e-12,1.3009467539895403e-15,7.239577826112509e-09,3.717914864864724e-12,4321.8744,2954.7216,21091.0088,24332.5704,12880.7664
panda,high_curvature,osqp_warm,250,1250,62.6,79.59389999999999,91.06684,64.8969744,0,0,0.0,6.628283699683379e-09,7.56116003142182e-12,1.2212453270876722e-15,6.628283699683379e-09,7.56116003142182e-12,1183.4848,2900.3832,22224.808,24110.9888,12794.124
panda,high_curvature,clip,250,1250,16.3165,18.579849999999997,20.22934,16.5239936,0,,0.0,2.2737367544323206e-13,1.6653345369377348e-16,0.0,2.2737367544323206e-13,1.6653345369377348e-16,0.0,0.0,0.0,8705.8608,6687.4784
ur5e,all,active_numpy,1000,5000,35.573,39.79975000000001,49.67967000000004,36.1694346,0,0,0.0,3.410605131648481e-13,1.8041124150158794e-16,0.0,3.410605131648481e-13,1.8041124150158794e-16,0.0,0.0,0.0,28026.5408,6982.9998
ur5e,all,osqp_reset,1000,5000,63.2455,82.72105000000002,94.27906000000003,65.79150659999999,0,0,0.0,9.499927955403109e-09,9.167479275706825e-12,4.6629367034256575e-15,9.499927955403109e-09,9.167479275706825e-12,4105.3744,2938.9626,20413.5612,23641.299,12977.171
ur5e,all,osqp_warm,1000,5000,60.7265,77.9504,89.27738000000001,63.0375418,0,0,0.0,9.499927955403109e-09,9.167479275706825e-12,3.774758283725532e-15,9.499927955403109e-09,9.167479275706825e-12,1124.0872,2834.816,21305.759,23349.8642,12762.8234
ur5e,all,clip,1000,5000,16.1265,18.94705,22.79603,16.491298599999997,15,,0.0,1.9282315050759642,0.015849593638564863,0.011297233776184813,1.9282315050759642,0.015849593638564863,0.0,0.0,0.0,8620.998,6753.4126
ur5e,active,active_numpy,3,15,50.766,53.0077,53.78554,50.8598,0,0,0.0,1.1368683772161603e-13,2.7755575615628914e-17,0.0,1.1368683772161603e-13,2.7755575615628914e-17,0.0,0.0,0.0,42924.73333333333,6817.066666666667
ur5e,active,osqp_reset,3,15,77.969,81.8864,83.08928,77.18973333333334,0,0,0.0,4.354205884737894e-11,9.825473767932635e-15,9.84067299808238e-16,3.410605131648481e-13,1.0291767438275201e-13,3773.2,2843.733333333333,19422.2,36687.2,12805.666666666666
ur5e,active,osqp_warm,3,15,76.865,82.14189999999999,84.71397999999999,77.30693333333333,0,0,0.0,4.354205884737894e-11,9.825473767932635e-15,9.84067299808238e-16,3.410605131648481e-13,1.0291767438275201e-13,1106.6,2723.133333333333,20790.0,37912.46666666667,12831.466666666667
ur5e,active,clip,3,15,15.779,17.1095,17.3139,15.800799999999999,15,,0.0,1.9282315050759642,0.015849593638564863,0.011297233776184813,1.9282315050759642,0.015849593638564863,0.0,0.0,0.0,7843.066666666667,6700.866666666667
ur5e,inactive,active_numpy,997,4985,35.568,39.6054,48.88087999999999,36.12523089267803,0,0,0.0,3.410605131648481e-13,1.8041124150158794e-16,0.0,3.410605131648481e-13,1.8041124150158794e-16,0.0,0.0,0.0,27981.711735205616,6983.499097291876
ur5e,inactive,osqp_reset,997,4985,63.235,82.712,94.29495999999999,65.75720902708125,0,0,0.0,9.499927955403109e-09,9.167479275706825e-12,4.6629367034256575e-15,9.499927955403109e-09,9.167479275706825e-12,4106.373921765296,2939.249147442327,20416.544232698096,23602.043530591774,12977.687061183551
ur5e,inactive,osqp_warm,997,4985,60.715,77.7766,89.28307999999998,62.99460481444333,0,0,0.0,9.499927955403109e-09,9.167479275706825e-12,3.774758283725532e-15,9.499927955403109e-09,9.167479275706825e-12,1124.139819458375,2835.1520561685056,21307.310932798395,23306.044934804413,12762.616850551654
