frames,completion,deadline_completion,frame_success,frame_deadline_success,accepted_frames,deadline_frames,total_latency_ns,p50_ms,p95_ms,p99_ms,first_failure_frame,successful_prefix,first_failure_reason,failure_reasons,backup_rate,optimized_command_rate,changed_from_backup_rate,p95_position_m,max_position_m,p95_orientation_rad,max_orientation_rad,normalized_tolerance_p95,max_accepted_step_utilization,acceleration_rms,velocity_change_rms,accepted_contract_violations,robot,uid,site_id,family,method,repeat,run_id,raw_file
150,True,True,1.0,1.0,150,150,40606837,0.2686605,0.2813772,0.31535649999999993,,150,,{},0.0,0.0,0.0,0.0005621463099944753,0.0006688082081834035,0.0004886848469904966,0.0005668738756288467,0.5621463099944753,0.8540420075804978,5.829154906160246,0.11658309812320491,0,panda,b6cbd705da27715926d1834f38ee3634efd21ed62a05fe9f858bb938aa8ad66d,trajectory_142,high_curvature,single_gn_k1,0,panda_trajectory_142_single_gn_k1_r0,runs/panda_trajectory_142_single_gn_k1_r0.jsonl.gz
150,True,True,1.0,1.0,150,150,26617184,0.1702665,0.22073084999999998,0.2580984399999997,,150,,{},0.0,0.0,0.0,0.0004851302432821138,0.0006972860344578396,0.0008058398840548161,0.00301603709475999,0.48513024328211385,0.27811920303128435,1.054701852659372,0.021094037053187444,0,panda,1bbd79bf819cf6ecd63f3982a990a651d52ad71ee7023ec3ae7604b435a5db4b,trajectory_110,joint_limit_return,trac_task_20ms,1,panda_trajectory_110_trac_task_20ms_r1,runs/panda_trajectory_110_trac_task_20ms_r1.jsonl.gz
150,True,True,1.0,1.0,150,150,26223079,0.1692395,0.21740725,0.2654355699999999,,150,,{},0.0,0.0,0.0,5.514084007849879e-05,0.0006107429037466251,6.190097337740824e-05,0.003406458330764215,0.05514084007849879,0.1967678986943512,1.3941782127044937,0.027883564254089877,0,panda,f273e2cf840747e85e3dc4a774925882a9057bc0672355948aab35c0de41c7d8,trajectory_050,near_singular,trac_task_20ms,0,panda_trajectory_050_trac_task_20ms_r0,runs/panda_trajectory_050_trac_task_20ms_r0.jsonl.gz
150,True,True,1.0,1.0,150,150,37233240,0.24586,0.25766269999999997,0.28014714999999984,,150,,{},0.0,0.0,0.0,0.0004105998418434994,0.000575085083432297,0.0004911388401204453,0.0005373651990418026,0.4105998418434994,0.6376541787957807,6.054721815830557,0.12109443631661113,0,panda,6b0966e51c74ee179bda979ce90c28e13df86983752592ccef75cfedcedb1271,trajectory_147,high_curvature,single_gn_clip,0,panda_trajectory_147_single_gn_clip_r0,runs/panda_trajectory_147_single_gn_clip_r0.jsonl.gz
150,True,True,1.0,1.0,150,150,25864436,0.168461,0.19061055,0.22803741999999996,,150,,{},0.0,0.0,0.0,0.00035631474797081234,0.0005657736124152352,0.0002302180004601354,0.00122846306457664,0.3563147479708123,0.9999999999999968,5.544085809685191,0.11088171619370381,0,panda,1dec5a6acc79ceadb4ebd7ba3aa74faa30e6d2a850fe0fcfc8c37f6568b1a2a3,trajectory_127,high_curvature,trac_task_5ms,2,panda_trajectory_127_trac_task_5ms_r2,runs/panda_trajectory_127_trac_task_5ms_r2.jsonl.gz
150,True,True,1.0,1.0,150,150,25749033,0.167602,0.18930774999999997,0.2735243999999996,,150,,{},0.0,0.0,0.0,0.0006898208064794173,0.0008261709690741414,0.003170712207052758,0.004471227858481411,0.6898208064794172,0.2541867134348677,5.5697532576897615,0.11139506515379521,0,panda,59fb6a8924934a79c09136da28b7a3ff8bbd61498838a8128a1bd053a2a3f32d,trajectory_065,near_singular,trac_task_20ms,1,panda_trajectory_065_trac_task_20ms_r1,runs/panda_trajectory_065_trac_task_20ms_r1.jsonl.gz
150,True,True,1.0,1.0,150,150,42416428,0.2884475,0.3054611,0.3518269999999999,,150,,{},0.0,0.0,0.0,0.0005604773269382512,0.0009537567414144552,0.0013911260967733902,0.0030788633641559053,0.5604773269382511,0.43636205420240765,7.469512399728228,0.14939024799456457,0,panda,4b11ed64f31d9ba64758d060a1591e0d395d58a23b7e1e258546c85cd3c09b33,trajectory_068,near_singular,single_gn_osqp,2,panda_trajectory_068_single_gn_osqp_r2,runs/panda_trajectory_068_single_gn_osqp_r2.jsonl.gz
150,True,True,1.0,1.0,150,150,39173141,0.267262,0.28090019999999993,0.28831828,,150,,{},0.0,0.0,0.0,0.0004943492214314954,0.0009293087915996709,0.0013341769876567076,0.002663082945018644,0.4943492214314954,0.41813990580253535,1.3960561310629638,0.027921122621259276,0,panda,39418c26c7c0ee7720f0a16e2b5930a336a74379ed31dd975416d5d9ab5766b1,trajectory_069,near_singular,single_gn_k0,1,panda_trajectory_069_single_gn_k0_r1,runs/panda_trajectory_069_single_gn_k0_r1.jsonl.gz
150,True,True,1.0,1.0,150,150,26969270,0.168137,0.2591534,0.29275369,,150,,{},0.0,0.0,0.0,0.0006095199403703015,0.0006546990988055719,0.0008465041702139369,0.0009159415219061986,0.6095199403703014,0.3293496670650257,0.9754955359394701,0.019509910718789405,0,panda,237fa3357fbe3d06a7b83c1b4d0365e8a361eb6c1d1814dbae706836b5bfb2ce,trajectory_113,joint_limit_return,trac_task_5ms,0,panda_trajectory_113_trac_task_5ms_r0,runs/panda_trajectory_113_trac_task_5ms_r0.jsonl.gz
150,True,True,1.0,1.0,150,150,39136156,0.2675485,0.27648015000000004,0.29951560999999977,,150,,{},0.0,0.0,0.0,0.0005956481636653805,0.0009772688677473745,0.0020706546268246767,0.00403480296312862,0.5956481636653804,0.4110817436398471,1.875284127169728,0.03750568254339456,0,panda,d1b6f99f9dd68c456e81713c3f5adafb553bd17ccdb5e0cb02ef57464d7180fc,trajectory_059,near_singular,single_gn_k1,2,panda_trajectory_059_single_gn_k1_r2,runs/panda_trajectory_059_single_gn_k1_r2.jsonl.gz
150,True,True,1.0,1.0,150,150,27966252,0.166636,0.22301464999999998,0.29953838999999954,,150,,{},0.0,0.0,0.0,0.0002396368289527335,0.0006523962588545878,0.0002810681535813542,0.0028651353368668504,0.23963682895273347,0.9999999999999999,11.227054221552288,0.22454108443104573,0,panda,1085f3e04aaffe00c129d91100b2cf03f3de069fa72a1f43ac92c05905fe372d,trajectory_045,near_singular,trac_task_5ms,2,panda_trajectory_045_trac_task_5ms_r2,runs/panda_trajectory_045_trac_task_5ms_r2.jsonl.gz
150,False,False,0.64,0.64,96,96,124790645,0.78024,1.036701,1.07475995,96,96,orientation_tolerance,"{""orientation_tolerance"":1,""position_tolerance+orientation_tolerance"":53}",0.0,0.0,0.0,0.00015000117588045037,0.0005151106148346007,0.00039886614346108524,0.006506895385397459,0.15000117588045037,0.9999999999999992,7.61279414205094,0.15225588284101882,0,panda,d677d8817a9086e31204c00a069fcd9714941f266e92b8c76d39517d2a87c663,trajectory_074,near_singular,pink_qp,2,panda_trajectory_074_pink_qp_r2,runs/panda_trajectory_074_pink_qp_r2.jsonl.gz
150,True,True,1.0,1.0,150,150,37170851,0.2436835,0.2580477,0.32553249999999917,,150,,{},0.0,0.0,0.0,2.0590973001069694e-05,2.0981197726741658e-05,6.907243586469036e-05,7.154672892106378e-05,0.020590973001069695,0.2176149602603563,0.5373561697219515,0.01074712339443903,0,panda,5dac1d49889fe9e09b4c32f417b1bf4ee86389af5d20fc3823371a7ee2bba187,trajectory_103,joint_limit_return,single_gn_clip,1,panda_trajectory_103_single_gn_clip_r1,runs/panda_trajectory_103_single_gn_clip_r1.jsonl.gz
150,True,True,1.0,1.0,150,150,32654556,0.240506,0.253073,0.29801255999999954,,150,,{},0.0,0.0,0.0,0.0009330153547877855,0.0009990813765878258,0.005969211585468441,0.007247436011982544,0.9330153547877854,0.6583485688744284,12.61376237374552,0.2522752474749104,0,panda,59fb6a8924934a79c09136da28b7a3ff8bbd61498838a8128a1bd053a2a3f32d,trajectory_065,near_singular,single_gn_clip,0,panda_trajectory_065_single_gn_clip_r0,runs/panda_trajectory_065_single_gn_clip_r0.jsonl.gz
150,True,True,1.0,1.0,150,150,149415212,0.998759,1.0818579499999998,1.2530180999999991,,150,,{},0.0,0.0,0.0,0.00017352798360667463,0.00019359965378135861,0.0003316878537098709,0.0004264123410965295,0.17352798360667462,0.8977388149500581,5.6833213121935975,0.11366642624387195,0,panda,e40d3f082546ab1357a170ac5ff8c171de91eec0c12f3499c7b0a8b2e47ad61c,trajectory_128,high_curvature,pink_qp,1,panda_trajectory_128_pink_qp_r1,runs/panda_trajectory_128_pink_qp_r1.jsonl.gz
150,True,True,1.0,1.0,150,150,36549427,0.2450065,0.25774235,0.30281479999999966,,150,,{},0.0,0.0,0.0,0.00022688385620498028,0.0009300046598343572,0.0011516711446918832,0.0016267166193096683,0.22688385620498028,0.5109968898387541,2.1174248042982056,0.04234849608596412,0,panda,4588e0448a7051a3cca903c21654de3352717cf1f1ea512d4688a78fdfe7488c,trajectory_055,near_singular,single_gn_clip,0,panda_trajectory_055_single_gn_clip_r0,runs/panda_trajectory_055_single_gn_clip_r0.jsonl.gz
150,True,True,1.0,1.0,150,150,41103903,0.2707465,0.2871877,0.32943189999999967,,150,,{},0.0,0.0,0.0,9.005527883600817e-05,9.270387650226841e-05,0.00012194847487155799,0.00012937959717955607,0.09005527883600817,0.3462818163160407,0.7996129472782746,0.015992258945565493,0,panda,dd1303e9238be07b9c3435e99535065a7a9cce01608a84e607d928971719def4,trajectory_095,joint_limit_return,single_gn_k0,2,panda_trajectory_095_single_gn_k0_r2,runs/panda_trajectory_095_single_gn_k0_r2.jsonl.gz
150,True,True,1.0,1.0,150,150,40905582,0.2690255,0.2820948,0.3324568999999997,,150,,{},0.0,0.0,0.0,0.00010501916230334086,0.00010764266134310173,0.00031344780570263293,0.00032696525015534503,0.10501916230334087,0.29586105831652204,0.8359452885933668,0.01671890577186734,0,panda,3cc83c847094c062d9a1677d819e0323896e630be7a2918f43397133c151e1ec,trajectory_017,smooth,single_gn_k1,2,panda_trajectory_017_single_gn_k1_r2,runs/panda_trajectory_017_single_gn_k1_r2.jsonl.gz
150,True,True,1.0,1.0,150,150,44859047,0.2956835,0.31173854999999995,0.3631629199999995,,150,,{},0.0,0.0,0.0,0.0005621463100059854,0.0006688082081908604,0.0004886848469640277,0.0005668738756499443,0.5621463100059854,0.8540420075738746,5.829154906159765,0.1165830981231953,0,panda,b6cbd705da27715926d1834f38ee3634efd21ed62a05fe9f858bb938aa8ad66d,trajectory_142,high_curvature,single_gn_osqp,2,panda_trajectory_142_single_gn_osqp_r2,runs/panda_trajectory_142_single_gn_osqp_r2.jsonl.gz
150,True,True,1.0,1.0,150,150,26533567,0.1711985,0.20509024999999986,0.2648731299999997,,150,,{},0.0,0.0,0.0,0.00013664352257460803,0.0006938155906271953,0.00019664684257617875,0.0027231807927253827,0.13664352257460805,0.6947627448477234,1.8184413471788718,0.03636882694357744,0,panda,b63ecbeba848a1d720ff4202885635161c6c2f8a7a27eff5b02409f1b4279172,trajectory_079,near_singular,trac_task_20ms,0,panda_trajectory_079_trac_task_20ms_r0,runs/panda_trajectory_079_trac_task_20ms_r0.jsonl.gz
