robot,method,uid,family,site_id,repeats,completion,deadline_completion,total_latency_ns,frame_success,acceleration_rms,successful_prefix
panda,single_gn_k1,009db6557800243ff65e0c7333cde1b7ddd0e6c46910706588a593a3f4acb624,smooth,trajectory_021,3,1.0,1.0,40649312.333333336,1.0,1.5180177391647913,150.0
panda,single_gn_k1,01e6d3003da6b2fa52c23d3609faa8b8bff293815dffc7a4940980b2338958be,smooth,trajectory_013,3,1.0,1.0,40752552.0,1.0,0.8281751804009344,150.0
panda,single_gn_k1,03bb61badb511b0b1ed87047a9796a921fc66524ca734ee655b56a672c6cb6ae,joint_limit_return,trajectory_118,3,1.0,1.0,40618425.333333336,1.0,0.8391451172704342,150.0
panda,single_gn_k1,077b3a8cc515aec835a5b63a21db483c8c301447444b5f66f4859469994a68e3,near_singular,trajectory_078,3,1.0,1.0,40102746.333333336,1.0,14.363773397963067,150.0
panda,single_gn_k1,0a2537c3c40ba62c63727d6ed654546b317bfd0d8693efc85faa222da123debc,smooth,trajectory_039,3,1.0,1.0,40774066.0,1.0,0.7625015859541152,150.0
panda,single_gn_k1,0a63ba1ae1e8450c4c3af9a6b1963ce87395c993548888753b0b6cb4f3583ea1,high_curvature,trajectory_159,3,1.0,1.0,40932072.0,1.0,7.637751006480645,150.0
panda,single_gn_k1,0d40fff84f0487f95ec2df4cd930981c8e49b45348a20e6e2fe0587a9381dd29,near_singular,trajectory_053,3,1.0,1.0,39083595.666666664,1.0,4.267805207954812,150.0
panda,single_gn_k1,1085f3e04aaffe00c129d91100b2cf03f3de069fa72a1f43ac92c05905fe372d,near_singular,trajectory_045,3,1.0,1.0,40371676.0,1.0,4.034876912943292,150.0
panda,single_gn_k1,11e5dd61197a24709eda8bbdf4933108e3a2cd75096cc1d83c67519e8f53cd3b,smooth,trajectory_030,3,1.0,1.0,40595873.333333336,1.0,0.7258149459944977,150.0
panda,single_gn_k1,169492dbe3686e9bed801ec404d2386157ca73430efc2035673600b4d72e8a66,near_singular,trajectory_049,3,1.0,1.0,39382346.0,1.0,2.3502830062855318,150.0
panda,single_gn_k1,16eb39236436e36522bf1742998d048f374e3572a63c53e2c2e5ca5d926ace93,joint_limit_return,trajectory_104,3,0.0,0.0,142462506.33333334,0.84,8.111244991280303,126.0
panda,single_gn_k1,182336d73a5b3e410318ecc89f8fff003cd4774c6c196286f77fbed7422ba22d,near_singular,trajectory_043,3,1.0,1.0,40331332.333333336,1.0,4.041286478966017,150.0
panda,single_gn_k1,19f667e15e6e2e001adaf2b54858a15da2770a3e032e6f2bf54394b4ae11dd2a,joint_limit_return,trajectory_098,3,1.0,1.0,41031856.0,1.0,0.7165569988369264,150.0
panda,single_gn_k1,1b03f784d41d7fb54612cd0d699abc3bc5985f24c3c9eb72428a6cbaca414c2b,joint_limit_return,trajectory_086,3,1.0,1.0,40979320.666666664,1.0,0.6954924428103727,150.0
panda,single_gn_k1,1b1432b684aef0b401c66b39b447aa074258ccfbe4d804811e9c02688243235a,joint_limit_return,trajectory_082,3,1.0,1.0,40665909.0,1.0,1.9999550203997973,150.0
panda,single_gn_k1,1b39b898eb092990b04abf224824637c9d3158b64e555f4ee7f8b5df09af055b,smooth,trajectory_012,3,1.0,1.0,40718204.0,1.0,0.7948258586519662,150.0
panda,single_gn_k1,1bbd79bf819cf6ecd63f3982a990a651d52ad71ee7023ec3ae7604b435a5db4b,joint_limit_return,trajectory_110,3,1.0,1.0,40742734.666666664,1.0,1.0212088745727055,150.0
panda,single_gn_k1,1dec5a6acc79ceadb4ebd7ba3aa74faa30e6d2a850fe0fcfc8c37f6568b1a2a3,high_curvature,trajectory_127,3,1.0,1.0,40666577.333333336,1.0,4.999664725873211,150.0
panda,single_gn_k1,1e6df7d7a97068128c87d603d3c0e9f668d12f42bd3ad7bb6844038e1d000f49,near_singular,trajectory_056,3,1.0,1.0,39305858.0,1.0,4.0400390004770586,150.0
panda,single_gn_k1,1ea0a808ba7693c99b08e547a054e536a85f836775c00d3ed9898d53321ca266,smooth,trajectory_028,3,1.0,1.0,40534987.0,1.0,0.6651237486382406,150.0
panda,single_gn_k1,237fa3357fbe3d06a7b83c1b4d0365e8a361eb6c1d1814dbae706836b5bfb2ce,joint_limit_return,trajectory_113,3,1.0,1.0,40607474.666666664,1.0,0.8561657277106701,150.0
panda,single_gn_k1,27c86cc0a672e7ca289d7e168325677711ec7e91facd0395bd5e092387fad4f4,smooth,trajectory_038,3,1.0,1.0,40566785.333333336,1.0,0.7045252474574254,150.0
panda,single_gn_k1,29a3f6ef1b19352cfb9831f4fe8e2d53991595953116f2431868cb12d34e80bf,high_curvature,trajectory_151,3,1.0,1.0,40874428.666666664,1.0,5.650186655737278,150.0
panda,single_gn_k1,2a10217792feb2c6e8a32bc9be45b6711415582d2d65586302aaa5860acc9b32,joint_limit_return,trajectory_105,3,1.0,1.0,40647087.666666664,1.0,1.5444537346247083,150.0
panda,single_gn_k1,2cd27cc14429c5bb9961620d46292e849640359e5072de88384099e723596b3b,high_curvature,trajectory_146,3,1.0,1.0,41280908.0,1.0,9.033758051306847,150.0
panda,single_gn_k1,2de001c20f2661d2eff3deefba47cc19b1426ff5273ca877feab77b0702a34e3,high_curvature,trajectory_135,3,1.0,1.0,41319403.333333336,1.0,7.424917222797574,150.0
panda,single_gn_k1,2e9f7ef4bb4fbdc88f8581fc058a669a339276f9db5b4987a20be41acbf962af,high_curvature,trajectory_126,3,1.0,1.0,40987251.0,1.0,6.255880603811473,150.0
panda,single_gn_k1,312baf3e2d2b6b13442dfbc9f1a91a6cd7bcec51667a7b9eb7693b59856ac365,joint_limit_return,trajectory_116,3,1.0,1.0,40839126.666666664,1.0,0.5874003102216955,150.0
panda,single_gn_k1,3175105088a2ea7a79edcde8bb9ea0ed512b9b6b3222beeb2342401af88bb389,high_curvature,trajectory_140,3,1.0,1.0,41011607.333333336,1.0,6.945487842095768,150.0
panda,single_gn_k1,3248dc23a4aa12b9dc7e39d0d5346d0ef2270be722bf5961d5c5f736dd88bfcc,smooth,trajectory_010,3,1.0,1.0,40603327.333333336,1.0,0.6770896655137469,150.0
panda,single_gn_k1,32ab3887d7825b280c6bf3918b479dbeef5eb758062588da83ea9937955d19d2,high_curvature,trajectory_145,3,1.0,1.0,40907142.0,1.0,6.158198782579698,150.0
panda,single_gn_k1,32b81d51ae6fd562afb0aa7e3767f6b3f58bd3a2b885a6ea450cc98383e50b1d,joint_limit_return,trajectory_115,3,1.0,1.0,40751491.0,1.0,0.8091401213940949,150.0
panda,single_gn_k1,3420bfde4a0fb08a7d93b107e4b8f0dcff0388d37c97df4df7e6d63bc48c2151,joint_limit_return,trajectory_087,3,1.0,1.0,40840403.0,1.0,0.843958276733409,150.0
panda,single_gn_k1,366389682e3e8bf025f25394f9bfd07e17264eab42f95422f126e8422ab8c2cc,smooth,trajectory_025,3,1.0,1.0,40931424.333333336,1.0,0.7579867236423302,150.0
panda,single_gn_k1,367f1baec203a4ae08849509f9426baeda64e8ae57fb00c78716b03927eff0ba,smooth,trajectory_032,3,1.0,1.0,40536274.666666664,1.0,0.6930173721654681,150.0
panda,single_gn_k1,39418c26c7c0ee7720f0a16e2b5930a336a74379ed31dd975416d5d9ab5766b1,near_singular,trajectory_069,3,1.0,1.0,39453384.0,1.0,3.921925154445924,150.0
panda,single_gn_k1,39db9e21b7437b9c1d0091ef2a3aabbd08543d9a7e7b1cf2cbb9cebd5e88d8e3,smooth,trajectory_037,3,1.0,1.0,40942579.666666664,1.0,0.7283965598111836,150.0
panda,single_gn_k1,3a59b93a4c9e9c6b108b10e05344815f47411a6ce98c5ae4e2ed358ddc1d7440,joint_limit_return,trajectory_109,3,1.0,1.0,40121021.0,1.0,7.1994129056514025,150.0
panda,single_gn_k1,3b1c31e411ac6d014c0cba23d0c07be341aaec10cd7aadf586bb9fa3b4f47768,smooth,trajectory_011,3,1.0,1.0,41023665.0,1.0,0.883599979692464,150.0
panda,single_gn_k1,3cc83c847094c062d9a1677d819e0323896e630be7a2918f43397133c151e1ec,smooth,trajectory_017,3,1.0,1.0,41085502.0,1.0,0.8359452885933668,150.0
panda,single_gn_k1,3d9860380251b55343a936ce0ba8b1f5348fe374983de15e16235a13e53cf704,smooth,trajectory_003,3,1.0,1.0,40706861.0,1.0,0.6223515009874362,150.0
panda,single_gn_k1,3e415f820d053f2d414a09831137a936dfa8fffec0e1ebb8457c8d2055627c90,high_curvature,trajectory_154,3,1.0,1.0,40855643.333333336,1.0,7.168540505976554,150.0
panda,single_gn_k1,42cf116720f75d6fad1700cdcdf43c62d73a67ece9c9450f48aed630d0fe0b22,smooth,trajectory_014,3,1.0,1.0,40591150.333333336,1.0,3.5685139214463617,150.0
panda,single_gn_k1,44780d25bceacad472afc451e0aa3b81359116b7b988792dace49116d842955a,high_curvature,trajectory_139,3,1.0,1.0,40723076.0,1.0,7.097024846578985,150.0
panda,single_gn_k1,4560ce06cdb032d006dfd81e869438fc013004a708606761affafddac71844ba,smooth,trajectory_034,3,1.0,1.0,40934688.333333336,1.0,0.6457046491497134,150.0
panda,single_gn_k1,4588e0448a7051a3cca903c21654de3352717cf1f1ea512d4688a78fdfe7488c,near_singular,trajectory_055,3,1.0,1.0,39743355.333333336,1.0,2.1174248042982056,150.0
panda,single_gn_k1,45b0f4687b5986b23497d7ff1f5dc551d097cd684f87b9cd87c44d76c37e40b8,joint_limit_return,trajectory_088,3,1.0,1.0,40545647.333333336,1.0,0.8559321597520698,150.0
panda,single_gn_k1,479acbcb94748d65126d5afb88aa88d3c2356d029199485ebdb36946117ccfaf,smooth,trajectory_007,3,1.0,1.0,40676558.333333336,1.0,1.2716726598334596,150.0
panda,single_gn_k1,47ae8f807e48c4c002530f6da0fb351b873959f64a26b5a550694c685ae73c4a,near_singular,trajectory_057,3,1.0,1.0,39280847.333333336,1.0,2.0386856253229175,150.0
panda,single_gn_k1,480587c598ca589e82de0deeb2ce9a0e3addfeae1cad8d4b5250a048cf275b3d,near_singular,trajectory_041,3,1.0,1.0,36617014.0,1.0,6.866741824200003,150.0
panda,single_gn_k1,49a1edd5201a14cde7f8a9bbd2c4de7814b5dff477df1c6ed6df571c6cfa3e5d,smooth,trajectory_029,3,1.0,1.0,40756309.0,1.0,0.9797469307078499,150.0
panda,single_gn_k1,4b11ed64f31d9ba64758d060a1591e0d395d58a23b7e1e258546c85cd3c09b33,near_singular,trajectory_068,3,1.0,1.0,39292712.333333336,1.0,7.469512400966983,150.0
panda,single_gn_k1,4b685f766c2aaa86bbe0149755113dc5f973ef6e7a20b143520733e773f45186,joint_limit_return,trajectory_090,3,1.0,1.0,40892927.0,1.0,0.5649193150919638,150.0
