robot,uid,site_id,family,method,repeat,frame,dt,previous_q,target_position,target_rotation,q,accepted,failure_kind,verification_reasons,position_error,orientation_error,velocity_utilization,internal_status,total_latency_ns
panda,4e626ba28da6a8d45d22f023c3732e2d796c83a0e74df2aa41168fe26f6dccab,trajectory_14,near_singular,task_balance_k0,2,122,0.02,"[-2.580878824213432,0.04529988210385158,2.897299999999,-0.573984501755406,-2.897299999999,2.029832303950533,-1.7648163006722353]","[0.20345807338386102,0.045433628449392,1.1610273074352238]","[[0.34441197335250046,0.8332610360490273,-0.43250021781952736],[-0.9093383559548955,0.18154820955192075,-0.3743581199837129],[-0.2334183947350436,0.5222224558662657,0.8202435977124855]]","[-2.5731874055571327,0.03982289625565142,2.897299999999,-0.5664759301540319,-2.897299999999,2.025344530881362,-1.771292578938473]",False,position_tolerance+orientation_tolerance,"[""position_tolerance"",""orientation_tolerance""]",0.0010865753995241286,0.009482159146505353,0.17640868477750685,deadline,20240356
panda,4e626ba28da6a8d45d22f023c3732e2d796c83a0e74df2aa41168fe26f6dccab,trajectory_14,near_singular,task_balance_k0,2,123,0.02,"[-2.580878824213432,0.04529988210385158,2.897299999999,-0.573984501755406,-2.897299999999,2.029832303950533,-1.7648163006722353]","[0.20278191565871592,0.04779590842781607,1.1609378655596905]","[[0.3447397725574786,0.8320498729859794,-0.43456587312055894],[-0.9095486639023465,0.1816115736617097,-0.3738160835298198],[-0.23211143274400334,0.5241280808887586,0.8193985828724584]]","[-2.56956233443758,0.03134425365290568,2.897299999999,-0.5532270992294,-2.897299999999,2.0257143347104227,-1.7754290833693336]",False,position_tolerance+orientation_tolerance,"[""position_tolerance"",""orientation_tolerance""]",0.00131893031783247,0.011509838325379121,0.4760872138992201,deadline,20189541
panda,4e626ba28da6a8d45d22f023c3732e2d796c83a0e74df2aa41168fe26f6dccab,trajectory_14,near_singular,task_balance_k0,2,124,0.02,"[-2.580878824213432,0.04529988210385158,2.897299999999,-0.573984501755406,-2.897299999999,2.029832303950533,-1.7648163006722353]","[0.20212348330338506,0.050082065943530076,1.1608431930230454]","[[0.34506918623411187,0.8308729160395555,-0.436551777116591],[-0.909745179394289,0.18168871612538873,-0.37330003884484303],[-0.23084835992612365,0.525965215413181,0.8185778074775697]]","[-2.56671189609503,0.022457751534993388,2.897299999999,-0.539313326647157,-2.897299999999,2.0263163966464157,-1.779070889483955]",False,position_tolerance+orientation_tolerance,"[""position_tolerance"",""orientation_tolerance""]",0.0015218633065142908,0.01328076273202422,0.7952104382625922,deadline,20179271
panda,4e626ba28da6a8d45d22f023c3732e2d796c83a0e74df2aa41168fe26f6dccab,trajectory_14,near_singular,task_balance_k0,2,126,0.02,"[-2.580878824213432,0.04529988210385158,2.897299999999,-0.573984501755406,-2.897299999999,2.029832303950533,-1.7648163006722353]","[0.20086311298967488,0.054420079987803543,1.1606416164434337]","[[0.34572699846432353,0.8286267658778689,-0.4402845959190864],[-0.9100992026304363,0.18187749329484154,-0.3723439522863621],[-0.22845630633513617,0.5294320166967316,0.8170125187487265]]","[-2.5542259439545814,0.017151134558249417,2.897299999999,-0.5303845017554496,-2.897299999999,2.0309682940011298,-1.7889721956954403]",False,position_tolerance+orientation_tolerance,"[""position_tolerance"",""orientation_tolerance""]",0.002064618284484203,0.018017193430457944,0.9999999999990011,deadline,20192565
panda,4e626ba28da6a8d45d22f023c3732e2d796c83a0e74df2aa41168fe26f6dccab,trajectory_14,near_singular,task_balance_k0,2,128,0.02,"[-2.580878824213432,0.04529988210385158,2.897299999999,-0.573984501755406,-2.897299999999,2.029832303950533,-1.7648163006722353]","[0.19968338629767973,0.0584363733008025,1.1604293784969484]","[[0.3463740146256832,0.8265324268688277,-0.44369943579681664],[-0.9104050724635916,0.1821012639929868,-0.3714858458739975],[-0.22624686964607893,0.5326192608106497,0.8155544598546853]]","[-2.541808432365211,0.015705561434400363,2.897299999999,-0.5303845017554496,-2.897299999999,2.0261512598740996,-1.7972364107721617]",False,position_tolerance+orientation_tolerance,"[""position_tolerance"",""orientation_tolerance""]",0.00310408395996224,0.027088242679928154,0.9999999999990011,deadline,20240177
panda,4e626ba28da6a8d45d22f023c3732e2d796c83a0e74df2aa41168fe26f6dccab,trajectory_14,near_singular,task_balance_k0,2,129,0.02,"[-2.580878824213432,0.04529988210385158,2.897299999999,-0.573984501755406,-2.897299999999,2.029832303950533,-1.7648163006722353]","[0.19912567156844246,0.060320596143394606,1.1603213210769625]","[[0.3466900702401039,0.8255450604685954,-0.44528793867880023],[-0.9105413534685703,0.1822223192109999,-0.371092266161649],[-0.22521198640511014,0.534107086188966,0.8148675853549439]]","[-2.5372788242134754,0.01310081690772947,2.897299999999,-0.5303845017554496,-2.897299999999,2.0116742765740923,-1.799715347947259]",False,position_tolerance+orientation_tolerance,"[""position_tolerance"",""orientation_tolerance""]",0.0037633563970004336,0.03284148002693231,0.9999999999990037,deadline,20256212
panda,4e626ba28da6a8d45d22f023c3732e2d796c83a0e74df2aa41168fe26f6dccab,trajectory_14,near_singular,task_balance_k0,2,132,0.02,"[-2.580878824213432,0.04529988210385158,2.897299999999,-0.573984501755406,-2.897299999999,2.029832303950533,-1.7648163006722353]","[0.19758966485848284,0.06546323208857315,1.1599988046226912]","[[0.3475930920354189,0.8228348241599344,-0.449579686506126],[-0.9108899799782381,0.18260441940775848,-0.37004738938141446],[-0.22239264094052577,0.5381435479149081,0.8129840312657152]]","[-2.5372788242134754,0.0057619670722455245,2.897299999999,-0.5303845017554496,-2.897299999999,1.9775323039505854,-1.764816300672375]",False,position_tolerance+orientation_tolerance,"[""position_tolerance"",""orientation_tolerance""]",0.008455676221327936,0.05761939463434863,0.9999999999990037,deadline,20180748
panda,4e626ba28da6a8d45d22f023c3732e2d796c83a0e74df2aa41168fe26f6dccab,trajectory_14,near_singular,task_balance_k0,2,136,0.02,"[-2.580878824213432,0.04529988210385158,2.897299999999,-0.573984501755406,-2.897299999999,2.029832303950533,-1.7648163006722353]","[0.19588557609271795,0.07109089476812497,1.1595995617202444]","[[0.3486485753146516,0.8198436151514662,-0.45420327786844344],[-0.9112325834395957,0.18310826330377247,-0.3689533070564307],[-0.2193156396818616,0.5425198711616478,0.8109086505801285]]","[-2.5372788242134754,0.003600660548812977,2.897299999999,-0.5303845017554496,-2.897299999999,1.9775323039505854,-1.764816300666335]",False,position_tolerance+orientation_tolerance,"[""position_tolerance"",""orientation_tolerance""]",0.014046744090080126,0.05431979406275559,0.9999999999990037,deadline,20243010
panda,4e626ba28da6a8d45d22f023c3732e2d796c83a0e74df2aa41168fe26f6dccab,trajectory_14,near_singular,balance_cached_k0,0,123,0.02,"[-2.5808788242134333,0.04529988210385024,2.897299999999,-0.5739845017554034,-2.897299999999,2.029832303950535,-1.7648163006722346]","[0.20278191565871592,0.04779590842781607,1.1609378655596905]","[[0.3447397725574786,0.8320498729859794,-0.43456587312055894],[-0.9095486639023465,0.1816115736617097,-0.3738160835298198],[-0.23211143274400334,0.5241280808887586,0.8193985828724584]]","[-2.5695623344384315,0.031344253651860526,2.897299999999,-0.5532270992278512,-2.897299999999,2.0257143347101327,-1.77542908336887]",False,position_tolerance+orientation_tolerance,"[""position_tolerance"",""orientation_tolerance""]",0.0013189303178343561,0.011509838325330958,0.4760872139346836,deadline,20142333
panda,4e626ba28da6a8d45d22f023c3732e2d796c83a0e74df2aa41168fe26f6dccab,trajectory_14,near_singular,balance_cached_k0,0,124,0.02,"[-2.5808788242134333,0.04529988210385024,2.897299999999,-0.5739845017554034,-2.897299999999,2.029832303950535,-1.7648163006722346]","[0.20212348330338506,0.050082065943530076,1.1608431930230454]","[[0.34506918623411187,0.8308729160395555,-0.436551777116591],[-0.909745179394289,0.18168871612538873,-0.37330003884484303],[-0.23084835992612365,0.525965215413181,0.8185778074775697]]","[-2.5667118960950304,0.022457751534993044,2.897299999999,-0.5393133266471561,-2.897299999999,2.026316396646416,-1.7790708894839549]",False,position_tolerance+orientation_tolerance,"[""position_tolerance"",""orientation_tolerance""]",0.0015218633065140449,0.013280762732024236,0.7952104382625514,deadline,20133115
panda,4e626ba28da6a8d45d22f023c3732e2d796c83a0e74df2aa41168fe26f6dccab,trajectory_14,near_singular,balance_progress_k0,1,123,0.02,"[-2.5808788242134333,0.04529988210385024,2.897299999999,-0.5739845017554034,-2.897299999999,2.029832303950535,-1.7648163006722346]","[0.20278191565871592,0.04779590842781607,1.1609378655596905]","[[0.3447397725574786,0.8320498729859794,-0.43456587312055894],[-0.9095486639023465,0.1816115736617097,-0.3738160835298198],[-0.23211143274400334,0.5241280808887586,0.8193985828724584]]","[-2.5695623344404823,0.03134425364940809,2.897299999999,-0.5532270992243343,-2.897299999999,2.0257143347091375,-1.7754290833675175]",False,position_tolerance+orientation_tolerance,"[""position_tolerance"",""orientation_tolerance""]",0.0013189303178343702,0.01150983832533295,0.4760872140153454,deadline,20127673
panda,4e626ba28da6a8d45d22f023c3732e2d796c83a0e74df2aa41168fe26f6dccab,trajectory_14,near_singular,balance_progress_k0,1,124,0.02,"[-2.5808788242134333,0.04529988210385024,2.897299999999,-0.5739845017554034,-2.897299999999,2.029832303950535,-1.7648163006722346]","[0.20212348330338506,0.050082065943530076,1.1608431930230454]","[[0.34506918623411187,0.8308729160395555,-0.436551777116591],[-0.909745179394289,0.18168871612538873,-0.37330003884484303],[-0.23084835992612365,0.525965215413181,0.8185778074775697]]","[-2.5667119016001725,0.022457745114372655,2.897299999999,-0.5393133170723813,-2.897299999999,2.0263163952649177,-1.7790708862331166]",False,position_tolerance+orientation_tolerance,"[""position_tolerance"",""orientation_tolerance""]",0.001521863306513125,0.013280762732056074,0.7952106578674795,deadline,20139523
panda,4e626ba28da6a8d45d22f023c3732e2d796c83a0e74df2aa41168fe26f6dccab,trajectory_14,near_singular,balance_progress_k0,1,128,0.02,"[-2.5808788242134333,0.04529988210385024,2.897299999999,-0.5739845017554034,-2.897299999999,2.029832303950535,-1.7648163006722346]","[0.19968338629767973,0.0584363733008025,1.1604293784969484]","[[0.3463740146256832,0.8265324268688277,-0.44369943579681664],[-0.9104050724635916,0.1821012639929868,-0.3714858458739975],[-0.22624686964607893,0.5326192608106497,0.8155544598546853]]","[-2.541808432367594,0.015705561429244723,2.897299999999,-0.5303845017554469,-2.897299999999,2.02615125984792,-1.7972364107589955]",False,position_tolerance+orientation_tolerance,"[""position_tolerance"",""orientation_tolerance""]",0.003104083959963016,0.027088242679923595,0.9999999999990011,deadline,20137203
panda,4e626ba28da6a8d45d22f023c3732e2d796c83a0e74df2aa41168fe26f6dccab,trajectory_14,near_singular,balance_progress_k0,0,123,0.02,"[-2.5808788242134333,0.04529988210385024,2.897299999999,-0.5739845017554034,-2.897299999999,2.029832303950535,-1.7648163006722346]","[0.20278191565871592,0.04779590842781607,1.1609378655596905]","[[0.3447397725574786,0.8320498729859794,-0.43456587312055894],[-0.9095486639023465,0.1816115736617097,-0.3738160835298198],[-0.23211143274400334,0.5241280808887586,0.8193985828724584]]","[-2.5695623344404823,0.03134425364940809,2.897299999999,-0.5532270992243343,-2.897299999999,2.0257143347091375,-1.7754290833675175]",False,position_tolerance+orientation_tolerance,"[""position_tolerance"",""orientation_tolerance""]",0.0013189303178343702,0.01150983832533295,0.4760872140153454,deadline,20200959
panda,4e626ba28da6a8d45d22f023c3732e2d796c83a0e74df2aa41168fe26f6dccab,trajectory_14,near_singular,balance_progress_k0,0,124,0.02,"[-2.5808788242134333,0.04529988210385024,2.897299999999,-0.5739845017554034,-2.897299999999,2.029832303950535,-1.7648163006722346]","[0.20212348330338506,0.050082065943530076,1.1608431930230454]","[[0.34506918623411187,0.8308729160395555,-0.436551777116591],[-0.909745179394289,0.18168871612538873,-0.37330003884484303],[-0.23084835992612365,0.525965215413181,0.8185778074775697]]","[-2.5667119016001725,0.022457745114372655,2.897299999999,-0.5393133170723813,-2.897299999999,2.0263163952649177,-1.7790708862331166]",False,position_tolerance+orientation_tolerance,"[""position_tolerance"",""orientation_tolerance""]",0.001521863306513125,0.013280762732056074,0.7952106578674795,deadline,20135995
panda,4e626ba28da6a8d45d22f023c3732e2d796c83a0e74df2aa41168fe26f6dccab,trajectory_14,near_singular,balance_progress_k0,0,128,0.02,"[-2.5808788242134333,0.04529988210385024,2.897299999999,-0.5739845017554034,-2.897299999999,2.029832303950535,-1.7648163006722346]","[0.19968338629767973,0.0584363733008025,1.1604293784969484]","[[0.3463740146256832,0.8265324268688277,-0.44369943579681664],[-0.9104050724635916,0.1821012639929868,-0.3714858458739975],[-0.22624686964607893,0.5326192608106497,0.8155544598546853]]","[-2.541808432367594,0.015705561429244723,2.897299999999,-0.5303845017554469,-2.897299999999,2.02615125984792,-1.7972364107589955]",False,position_tolerance+orientation_tolerance,"[""position_tolerance"",""orientation_tolerance""]",0.003104083959963016,0.027088242679923595,0.9999999999990011,deadline,20182605
panda,4e626ba28da6a8d45d22f023c3732e2d796c83a0e74df2aa41168fe26f6dccab,trajectory_14,near_singular,task_balance_k0,1,122,0.02,"[-2.580878824213432,0.04529988210385158,2.897299999999,-0.573984501755406,-2.897299999999,2.029832303950533,-1.7648163006722353]","[0.20345807338386102,0.045433628449392,1.1610273074352238]","[[0.34441197335250046,0.8332610360490273,-0.43250021781952736],[-0.9093383559548955,0.18154820955192075,-0.3743581199837129],[-0.2334183947350436,0.5222224558662657,0.8202435977124855]]","[-2.5731874055571327,0.03982289625565142,2.897299999999,-0.5664759301540319,-2.897299999999,2.025344530881362,-1.771292578938473]",False,position_tolerance+orientation_tolerance,"[""position_tolerance"",""orientation_tolerance""]",0.0010865753995241286,0.009482159146505353,0.17640868477750685,deadline,20248455
panda,4e626ba28da6a8d45d22f023c3732e2d796c83a0e74df2aa41168fe26f6dccab,trajectory_14,near_singular,task_balance_k0,1,123,0.02,"[-2.580878824213432,0.04529988210385158,2.897299999999,-0.573984501755406,-2.897299999999,2.029832303950533,-1.7648163006722353]","[0.20278191565871592,0.04779590842781607,1.1609378655596905]","[[0.3447397725574786,0.8320498729859794,-0.43456587312055894],[-0.9095486639023465,0.1816115736617097,-0.3738160835298198],[-0.23211143274400334,0.5241280808887586,0.8193985828724584]]","[-2.56956233443758,0.03134425365290568,2.897299999999,-0.5532270992294,-2.897299999999,2.0257143347104227,-1.7754290833693336]",False,position_tolerance+orientation_tolerance,"[""position_tolerance"",""orientation_tolerance""]",0.00131893031783247,0.011509838325379121,0.4760872138992201,deadline,20277259
panda,4e626ba28da6a8d45d22f023c3732e2d796c83a0e74df2aa41168fe26f6dccab,trajectory_14,near_singular,task_balance_k0,1,124,0.02,"[-2.580878824213432,0.04529988210385158,2.897299999999,-0.573984501755406,-2.897299999999,2.029832303950533,-1.7648163006722353]","[0.20212348330338506,0.050082065943530076,1.1608431930230454]","[[0.34506918623411187,0.8308729160395555,-0.436551777116591],[-0.909745179394289,0.18168871612538873,-0.37330003884484303],[-0.23084835992612365,0.525965215413181,0.8185778074775697]]","[-2.56671189609503,0.022457751534993388,2.897299999999,-0.539313326647157,-2.897299999999,2.0263163966464157,-1.779070889483955]",False,position_tolerance+orientation_tolerance,"[""position_tolerance"",""orientation_tolerance""]",0.0015218633065142908,0.01328076273202422,0.7952104382625922,deadline,20185207
panda,4e626ba28da6a8d45d22f023c3732e2d796c83a0e74df2aa41168fe26f6dccab,trajectory_14,near_singular,task_balance_k0,1,126,0.02,"[-2.580878824213432,0.04529988210385158,2.897299999999,-0.573984501755406,-2.897299999999,2.029832303950533,-1.7648163006722353]","[0.20086311298967488,0.054420079987803543,1.1606416164434337]","[[0.34572699846432353,0.8286267658778689,-0.4402845959190864],[-0.9100992026304363,0.18187749329484154,-0.3723439522863621],[-0.22845630633513617,0.5294320166967316,0.8170125187487265]]","[-2.5542259439545814,0.017151134558249417,2.897299999999,-0.5303845017554496,-2.897299999999,2.0309682940011298,-1.7889721956954403]",False,position_tolerance+orientation_tolerance,"[""position_tolerance"",""orientation_tolerance""]",0.002064618284484203,0.018017193430457944,0.9999999999990011,deadline,20233496
