robot,method,baseline,metric,units,difference,difference_ci,ratio,ratio_ci
panda,balance_cached_k0,task_balance_k0,completion,40,0.008333333333333335,"[0.0,0.025]",1.0086206896551724,"[1.0,1.027027027027027]"
panda,balance_cached_k0,task_balance_k0,deadline_completion,40,0.008333333333333335,"[0.0,0.025]",1.0086206896551724,"[1.0,1.027027027027027]"
panda,balance_cached_k0,task_balance_k0,total_latency_ns,40,-40871766.266666666,"[-48777560.91395833,-36515553.072291665]",0.5095666308123277,"[0.49225429593971176,0.5299072537443228]"
panda,balance_cached_k0,task_balance_k0,frame_success,40,5.555555555555591e-05,"[0.0,0.00016666666666666775]",1.000055819145967,"[1.0,1.000168265185933]"
panda,balance_cached_k0,task_balance_k0,acceleration_rms,40,-0.015476718432712842,"[-0.046430155303240774,4.03490497957737e-12]",0.9950216633802473,"[0.9843604204401496,1.0000000000012688]"
panda,balance_cached_k0,task_balance_k0,successful_prefix,40,0.5916666666666668,"[0.0,1.7750000000000004]",1.0039787055197533,"[1.0,1.0120892218627617]"
panda,balance_progress_k0,balance_cached_k0,completion,40,0.0,"[0.0,0.0]",1.0,"[1.0,1.0]"
panda,balance_progress_k0,balance_cached_k0,deadline_completion,40,-0.008333333333333335,"[-0.025,0.0]",0.9914529914529914,"[0.9736842105263158,1.0]"
panda,balance_progress_k0,balance_cached_k0,total_latency_ns,40,351069.8249999991,"[-165398.2037500002,1230111.0618750001]",1.008267022666955,"[0.9961071104594535,1.0316113880062685]"
panda,balance_progress_k0,balance_cached_k0,frame_success,40,0.0,"[0.0,0.0]",1.0,"[1.0,1.0]"
panda,balance_progress_k0,balance_cached_k0,acceleration_rms,40,-5.966811045254872e-09,"[-9.41882173588482e-08,7.429409665249409e-08]",0.999999998071076,"[0.9999999710007048,1.0000000234712647]"
panda,balance_progress_k0,balance_cached_k0,successful_prefix,40,0.0,"[0.0,0.0]",1.0,"[1.0,1.0]"
panda,balance_progress_k0,single_gn_k0,completion,40,0.0,"[0.0,0.0]",1.0,"[1.0,1.0]"
panda,balance_progress_k0,single_gn_k0,deadline_completion,40,-0.008333333333333335,"[-0.025,0.0]",0.9914529914529914,"[0.9736842105263158,1.0]"
panda,balance_progress_k0,single_gn_k0,total_latency_ns,40,110446.07499999925,"[-3682574.3758333335,7201105.607916666]",1.0025861400849194,"[0.9082619920094489,1.150184731809634]"
panda,balance_progress_k0,single_gn_k0,frame_success,40,0.0,"[0.0,0.0]",1.0,"[1.0,1.0]"
panda,balance_progress_k0,single_gn_k0,acceleration_rms,40,0.0,"[0.0,0.0]",1.0,"[1.0,1.0]"
panda,balance_progress_k0,single_gn_k0,successful_prefix,40,0.0,"[0.0,0.0]",1.0,"[1.0,1.0]"
panda,balance_progress_k0,task_balance_k0,completion,40,0.008333333333333335,"[0.0,0.025]",1.0086206896551724,"[1.0,1.027027027027027]"
panda,balance_progress_k0,task_balance_k0,deadline_completion,40,0.0,"[-0.025,0.025]",1.0,"[0.975,1.0256410256410255]"
panda,balance_progress_k0,task_balance_k0,total_latency_ns,40,-40520696.44166667,"[-48614669.834375,-35849389.071875]",0.513779229699577,"[0.4932704383477152,0.5345546559057823]"
panda,balance_progress_k0,task_balance_k0,frame_success,40,5.555555555555591e-05,"[0.0,0.00016666666666666775]",1.000055819145967,"[1.0,1.000168265185933]"
panda,balance_progress_k0,task_balance_k0,acceleration_rms,40,-0.015476724399523887,"[-0.04643018701721,5.0543835486902e-08]",0.9950216614609262,"[0.9843604104203045,1.0000000164979936]"
panda,balance_progress_k0,task_balance_k0,successful_prefix,40,0.5916666666666668,"[0.0,1.7750000000000004]",1.0039787055197533,"[1.0,1.0120892218627617]"
panda,balance_cached_k1,task_balance_k1,completion,40,0.008333333333333335,"[0.0,0.025]",1.0084033613445378,"[1.0,1.0256410256410255]"
panda,balance_cached_k1,task_balance_k1,deadline_completion,40,0.008333333333333335,"[0.0,0.025]",1.0084033613445378,"[1.0,1.0256410256410255]"
panda,balance_cached_k1,task_balance_k1,total_latency_ns,40,-36953540.40833333,"[-37918934.468333334,-36255944.00979166]",0.4978267683377296,"[0.4916165479304725,0.5019721498186783]"
panda,balance_cached_k1,task_balance_k1,frame_success,40,5.555555555555591e-05,"[0.0,0.00016666666666666775]",1.000055558642147,"[1.0,1.0001666944490748]"
panda,balance_cached_k1,task_balance_k1,acceleration_rms,40,-0.008927701031572907,"[-0.026783103097249718,2.045701455455351e-12]",0.9972302420557305,"[0.9912247545498755,1.0000000000006162]"
panda,balance_cached_k1,task_balance_k1,successful_prefix,40,0.55,"[0.0,1.65]",1.0036801605888257,"[1.0,1.0111223458038423]"
panda,balance_progress_k1,balance_cached_k1,completion,40,0.0,"[0.0,0.0]",1.0,"[1.0,1.0]"
panda,balance_progress_k1,balance_cached_k1,deadline_completion,40,0.0,"[0.0,0.0]",1.0,"[1.0,1.0]"
panda,balance_progress_k1,balance_cached_k1,total_latency_ns,40,-143726.75833333313,"[-371293.8685416662,54209.10854166706]",0.9960766514627938,"[0.9899497153816746,1.0014830983784688]"
panda,balance_progress_k1,balance_cached_k1,frame_success,40,0.0,"[0.0,0.0]",1.0,"[1.0,1.0]"
panda,balance_progress_k1,balance_cached_k1,acceleration_rms,40,-1.7586568235028466e-07,"[-3.9585086686333426e-07,0.0]",0.9999999452873388,"[0.9999998796043797,1.0]"
panda,balance_progress_k1,balance_cached_k1,successful_prefix,40,0.0,"[0.0,0.0]",1.0,"[1.0,1.0]"
panda,balance_progress_k1,single_gn_k1,completion,40,0.0,"[0.0,0.0]",1.0,"[1.0,1.0]"
panda,balance_progress_k1,single_gn_k1,deadline_completion,40,0.0,"[0.0,0.0]",1.0,"[1.0,1.0]"
panda,balance_progress_k1,single_gn_k1,total_latency_ns,40,-3602683.425,"[-3696626.2393750004,-3511442.097083333]",0.9101410565552037,"[0.9078772335779273,0.9122956543630534]"
panda,balance_progress_k1,single_gn_k1,frame_success,40,0.0,"[0.0,0.0]",1.0,"[1.0,1.0]"
panda,balance_progress_k1,single_gn_k1,acceleration_rms,40,0.0,"[0.0,0.0]",1.0,"[1.0,1.0]"
panda,balance_progress_k1,single_gn_k1,successful_prefix,40,0.0,"[0.0,0.0]",1.0,"[1.0,1.0]"
panda,balance_progress_k1,task_balance_k1,completion,40,0.008333333333333335,"[0.0,0.025]",1.0084033613445378,"[1.0,1.0256410256410255]"
panda,balance_progress_k1,task_balance_k1,deadline_completion,40,0.008333333333333335,"[0.0,0.025]",1.0084033613445378,"[1.0,1.0256410256410255]"
panda,balance_progress_k1,task_balance_k1,total_latency_ns,40,-37097267.166666664,"[-38105224.000625,-36347091.92583334]",0.49587362041438965,"[0.4894350935879315,0.5001523881980208]"
panda,balance_progress_k1,task_balance_k1,frame_success,40,5.555555555555591e-05,"[0.0,0.00016666666666666775]",1.000055558642147,"[1.0,1.0001666944490748]"
panda,balance_progress_k1,task_balance_k1,acceleration_rms,40,-0.008927876897255257,"[-0.02678335971364084,-2.974575935982271e-08]",0.9972301874946102,"[0.991224696160804,0.9999999896978675]"
panda,balance_progress_k1,task_balance_k1,successful_prefix,40,0.55,"[0.0,1.65]",1.0036801605888257,"[1.0,1.0111223458038423]"
panda,balance_progress_k1,pink_qp,completion,40,0.075,"[0.0,0.15]",1.0810810810810811,"[1.0,1.1764705882352942]"
panda,balance_progress_k1,pink_qp,deadline_completion,40,0.075,"[0.0,0.15]",1.0810810810810811,"[1.0,1.1764705882352942]"
panda,balance_progress_k1,pink_qp,total_latency_ns,40,-101781814.15833333,"[-105670767.86770833,-97616546.32291666]",0.26390033077868197,"[0.256550642224855,0.2723507104498571]"
panda,balance_progress_k1,pink_qp,frame_success,40,0.016833333333333336,"[0.0,0.03650000000000001]",1.01712154602475,"[1.0,1.0378827192527247]"
panda,balance_progress_k1,pink_qp,acceleration_rms,40,-0.9900981926900696,"[-2.333613681020372,0.2872011091321847]",0.7645117700068301,"[0.5556703971779074,1.0871514697100209]"
panda,balance_progress_k1,pink_qp,successful_prefix,40,2.525,"[0.0,5.475]",1.01712154602475,"[1.0,1.0378827192527245]"
ur5e,balance_cached_k0,task_balance_k0,completion,40,0.0,"[0.0,0.0]",1.0,"[1.0,1.0]"
ur5e,balance_cached_k0,task_balance_k0,deadline_completion,40,0.0,"[0.0,0.0]",1.0,"[1.0,1.0]"
ur5e,balance_cached_k0,task_balance_k0,total_latency_ns,40,-34476825.74166666,"[-34767176.912083335,-34181173.79270833]",0.5032125693122317,"[0.5008331202578062,0.5057044268991506]"
ur5e,balance_cached_k0,task_balance_k0,frame_success,40,0.0,"[0.0,0.0]",1.0,"[1.0,1.0]"
ur5e,balance_cached_k0,task_balance_k0,acceleration_rms,40,-2.7062740937111585e-12,"[-5.345941536671894e-12,-3.872474563237915e-13]",0.9999999999995289,"[0.9999999999991993,0.9999999999999136]"
ur5e,balance_cached_k0,task_balance_k0,successful_prefix,40,0.0,"[0.0,0.0]",1.0,"[1.0,1.0]"
ur5e,balance_progress_k0,balance_cached_k0,completion,40,0.0,"[0.0,0.0]",1.0,"[1.0,1.0]"
ur5e,balance_progress_k0,balance_cached_k0,deadline_completion,40,-0.008333333333333335,"[-0.025,0.0]",0.9916666666666666,"[0.975,1.0]"
ur5e,balance_progress_k0,balance_cached_k0,total_latency_ns,40,577352.7833333336,"[-116817.90812499999,1769006.432708334]",1.0165322935750396,"[0.99666761747764,1.0508358570757963]"
ur5e,balance_progress_k0,balance_cached_k0,frame_success,40,0.0,"[0.0,0.0]",1.0,"[1.0,1.0]"
ur5e,balance_progress_k0,balance_cached_k0,acceleration_rms,40,-0.00046384701952746356,"[-0.0013915410585823907,0.0]",0.999919251161064,"[0.9997777577798654,1.0]"
ur5e,balance_progress_k0,balance_cached_k0,successful_prefix,40,0.0,"[0.0,0.0]",1.0,"[1.0,1.0]"
ur5e,balance_progress_k0,single_gn_k0,completion,40,0.0,"[0.0,0.0]",1.0,"[1.0,1.0]"
ur5e,balance_progress_k0,single_gn_k0,deadline_completion,40,-0.008333333333333335,"[-0.025,0.0]",0.9916666666666666,"[0.975,1.0]"
ur5e,balance_progress_k0,single_gn_k0,total_latency_ns,40,-3033660.3000000007,"[-3703803.8302083346,-1859353.7400000012]",0.9212726235571279,"[0.9040989006837402,0.9516203682844757]"
ur5e,balance_progress_k0,single_gn_k0,frame_success,40,0.0,"[0.0,0.0]",1.0,"[1.0,1.0]"
ur5e,balance_progress_k0,single_gn_k0,acceleration_rms,40,0.0,"[0.0,0.0]",1.0,"[1.0,1.0]"
ur5e,balance_progress_k0,single_gn_k0,successful_prefix,40,0.0,"[0.0,0.0]",1.0,"[1.0,1.0]"
ur5e,balance_progress_k0,task_balance_k0,completion,40,0.0,"[0.0,0.0]",1.0,"[1.0,1.0]"
ur5e,balance_progress_k0,task_balance_k0,deadline_completion,40,-0.008333333333333335,"[-0.025,0.0]",0.9916666666666666,"[0.975,1.0]"
ur5e,balance_progress_k0,task_balance_k0,total_latency_ns,40,-33899472.958333336,"[-34712273.6475,-32617899.901041664]",0.5115318272387515,"[0.5016765990575647,0.5288354006035737]"
ur5e,balance_progress_k0,task_balance_k0,frame_success,40,0.0,"[0.0,0.0]",1.0,"[1.0,1.0]"
ur5e,balance_progress_k0,task_balance_k0,acceleration_rms,40,-0.0004638470222337376,"[-0.0013915410625113202,-6.876349489814968e-13]",0.999919251160593,"[0.9997777577798599,0.9999999999998332]"
ur5e,balance_progress_k0,task_balance_k0,successful_prefix,40,0.0,"[0.0,0.0]",1.0,"[1.0,1.0]"
ur5e,balance_cached_k1,task_balance_k1,completion,40,0.0,"[0.0,0.0]",1.0,"[1.0,1.0]"
ur5e,balance_cached_k1,task_balance_k1,deadline_completion,40,0.0,"[0.0,0.0]",1.0,"[1.0,1.0]"
ur5e,balance_cached_k1,task_balance_k1,total_latency_ns,40,-34229728.15833334,"[-34612420.53208333,-33880526.310625]",0.5047634585553828,"[0.5018771702361379,0.5073033443131182]"
ur5e,balance_cached_k1,task_balance_k1,frame_success,40,0.0,"[0.0,0.0]",1.0,"[1.0,1.0]"
ur5e,balance_cached_k1,task_balance_k1,acceleration_rms,40,-1.363215096361614e-12,"[-4.646771023519847e-12,1.3647222241175428e-12]",0.9999999999997647,"[0.9999999999993171,1.0000000000002693]"
ur5e,balance_cached_k1,task_balance_k1,successful_prefix,40,0.0,"[0.0,0.0]",1.0,"[1.0,1.0]"
ur5e,balance_progress_k1,balance_cached_k1,completion,40,0.0,"[0.0,0.0]",1.0,"[1.0,1.0]"
ur5e,balance_progress_k1,balance_cached_k1,deadline_completion,40,0.0,"[0.0,0.0]",1.0,"[1.0,1.0]"
ur5e,balance_progress_k1,balance_cached_k1,total_latency_ns,40,3364.8916666666046,"[-151248.66833333287,165036.60416666683]",1.0000964478189482,"[0.9956805090303793,1.004748341464811]"
ur5e,balance_progress_k1,balance_cached_k1,frame_success,40,0.0,"[0.0,0.0]",1.0,"[1.0,1.0]"
ur5e,balance_progress_k1,balance_cached_k1,acceleration_rms,40,-0.00046303728280232547,"[-0.0013891118484069763,0.0]",0.9999201178001689,"[0.9997809744930511,1.0]"
ur5e,balance_progress_k1,balance_cached_k1,successful_prefix,40,0.0,"[0.0,0.0]",1.0,"[1.0,1.0]"
ur5e,balance_progress_k1,single_gn_k1,completion,40,0.0,"[0.0,0.0]",1.0,"[1.0,1.0]"
ur5e,balance_progress_k1,single_gn_k1,deadline_completion,40,0.0,"[0.0,0.0]",1.0,"[1.0,1.0]"
ur5e,balance_progress_k1,single_gn_k1,total_latency_ns,40,-3792155.175,"[-4006712.6004166673,-3597793.5454166667]",0.901970278852102,"[0.8968540417960927,0.906694158634008]"
ur5e,balance_progress_k1,single_gn_k1,frame_success,40,0.0,"[0.0,0.0]",1.0,"[1.0,1.0]"
ur5e,balance_progress_k1,single_gn_k1,acceleration_rms,40,0.0,"[0.0,0.0]",1.0,"[1.0,1.0]"
ur5e,balance_progress_k1,single_gn_k1,successful_prefix,40,0.0,"[0.0,0.0]",1.0,"[1.0,1.0]"
ur5e,balance_progress_k1,task_balance_k1,completion,40,0.0,"[0.0,0.0]",1.0,"[1.0,1.0]"
ur5e,balance_progress_k1,task_balance_k1,deadline_completion,40,0.0,"[0.0,0.0]",1.0,"[1.0,1.0]"
ur5e,balance_progress_k1,task_balance_k1,total_latency_ns,40,-34226363.266666666,"[-34631438.545,-33868066.32125]",0.5048121418900453,"[0.5020238013012337,0.5074667248448661]"
ur5e,balance_progress_k1,task_balance_k1,frame_success,40,0.0,"[0.0,0.0]",1.0,"[1.0,1.0]"
ur5e,balance_progress_k1,task_balance_k1,acceleration_rms,40,-0.00046303728416554056,"[-0.001389111851436204,9.405769219039684e-13]",0.9999201177999337,"[0.9997809744927928,1.0000000000002018]"
ur5e,balance_progress_k1,task_balance_k1,successful_prefix,40,0.0,"[0.0,0.0]",1.0,"[1.0,1.0]"
ur5e,balance_progress_k1,pink_qp,completion,40,0.05,"[0.0,0.125]",1.0526315789473684,"[1.0,1.1428571428571428]"
ur5e,balance_progress_k1,pink_qp,deadline_completion,40,0.058333333333333334,"[0.0,0.13333333333333336]",1.0619469026548674,"[1.0,1.153846153846154]"
ur5e,balance_progress_k1,pink_qp,total_latency_ns,40,-62272962.016666666,"[-63354451.459375,-61455268.22125]",0.35909782901928,"[0.3550475497732083,0.36223966628374876]"
ur5e,balance_progress_k1,pink_qp,frame_success,40,0.012333333333333335,"[0.0,0.03683333333333334]",1.0124873439082012,"[1.0,1.038241910365115]"
ur5e,balance_progress_k1,pink_qp,acceleration_rms,40,-6.309608834155159,"[-8.560039284911268,-4.195137218645207]",0.4787879793744071,"[0.37727054614365,0.5880590954850574]"
