frames,completion,deadline_completion,frame_success,frame_deadline_success,accepted_frames,deadline_frames,total_latency_ns,p50_ms,p95_ms,p99_ms,first_failure_frame,successful_prefix,first_failure_reason,failure_reasons,backup_rate,optimized_command_rate,changed_from_backup_rate,p95_position_m,max_position_m,p95_orientation_rad,max_orientation_rad,normalized_tolerance_p95,max_accepted_step_utilization,acceleration_rms,velocity_change_rms,accepted_contract_violations,robot,uid,site_id,family,method,repeat,run_id,raw_file
150,True,True,1.0,1.0,150,150,41117674,0.2720215,0.29015539999999995,0.3183101599999997,,150,,{},0.0,0.0,0.0,9.196182882297317e-05,9.41976575241108e-05,9.914002585145505e-05,0.0001019730947168797,0.09196182882297316,0.2722212685552574,0.5832145507760536,0.011664291015521073,0,panda,62749969a81aa229bd98bbc6a77941b40960bf5ae0886a5dfe36f5eff62e5c1c,trajectory_27,joint_limit_return,single_gn_k1,1,panda_trajectory_27_single_gn_k1_r1,runs/panda_trajectory_27_single_gn_k1_r1.jsonl.gz
150,True,True,1.0,1.0,150,150,37950574,0.241963,0.25730809999999993,0.52566822,,150,,{},0.0,0.0,0.0,0.0008200703999678093,0.0009903260522522704,0.00042747368699705396,0.0004895434562483863,0.8200703999678093,0.7115096313564713,6.304303104654356,0.12608606209308712,0,panda,e7257c22abc9d850802582540365f4bc972868280e40708e45700776b6ad2aca,trajectory_35,high_curvature,balance_cached_k0,0,panda_trajectory_35_balance_cached_k0_r0,runs/panda_trajectory_35_balance_cached_k0_r0.jsonl.gz
150,True,True,1.0,1.0,150,150,36196513,0.2398755,0.25098894999999993,0.2789451099999998,,150,,{},0.0,0.0,0.0,0.00015416621178255613,0.0001575024992381177,0.00020087669770258495,0.00020599842317742045,0.15416621178255613,0.292366745942309,0.7643183388935593,0.015286366777871185,0,panda,ba9bbb877bd562764b9ad1fe612339400f4396f8e4e3ccdd742d4a4326684c27,trajectory_00,smooth,balance_progress_k0,1,panda_trajectory_00_balance_progress_k0_r1,runs/panda_trajectory_00_balance_progress_k0_r1.jsonl.gz
150,True,True,1.0,1.0,150,150,36502845,0.2415775,0.25322485,0.2762912999999998,,150,,{},0.0,0.0,0.0,0.00014863211933805644,0.00015121722720608702,0.00017042366919046902,0.00017400223456372004,0.14863211933805645,0.36761638586099354,1.0125556746158961,0.020251113492317924,0,panda,972b6c7f62ad2d88a1171405175e002fe4dad516aaa6300e4c090613265f4592,trajectory_05,smooth,balance_progress_k1,2,panda_trajectory_05_balance_progress_k1_r2,runs/panda_trajectory_05_balance_progress_k1_r2.jsonl.gz
150,True,True,1.0,1.0,150,150,36509795,0.240367,0.25411369999999994,0.29159900999999977,,150,,{},0.0,0.0,0.0,9.071275364039805e-05,9.234309805339549e-05,0.00011257000683061278,0.00011580769949338955,0.09071275364039805,0.25997858077262487,0.6603329790822209,0.013206659581644417,0,panda,16ab30a670ddc1bb59f64aa11421a7a95e2a13b391b17e7261a85fb14178c0bc,trajectory_29,joint_limit_return,balance_progress_k1,1,panda_trajectory_29_balance_progress_k1_r1,runs/panda_trajectory_29_balance_progress_k1_r1.jsonl.gz
150,True,True,1.0,1.0,150,150,73150690,0.4855055,0.5032308999999999,0.53707306,,150,,{},0.0,0.0,0.0,0.00015250370082755196,0.00015705730412555454,0.0002529220311930868,0.0002584343436531952,0.15250370082755196,0.5179379632992316,0.811887457056142,0.01623774914112284,0,panda,5560810f9d87891ba612f00a19811ec608860538b5dbf8f478a2cc168f4d1547,trajectory_20,joint_limit_return,task_balance_k1,2,panda_trajectory_20_task_balance_k1_r2,runs/panda_trajectory_20_task_balance_k1_r2.jsonl.gz
150,True,True,1.0,1.0,150,150,139035814,1.0040235,1.0724859999999998,1.1354732699999994,,150,,{},0.0,0.0,0.0,2.2772879589521205e-05,2.3022532585015058e-05,6.910219382464643e-05,7.237310016971723e-05,0.022772879589521206,0.2464687816047857,0.6442190054329557,0.012884380108659114,0,panda,cdb906e5ffe0888b5856461ef6bee1b8809232e928fd853beb25f1903a7d798a,trajectory_07,smooth,pink_qp,2,panda_trajectory_07_pink_qp_r2,runs/panda_trajectory_07_pink_qp_r2.jsonl.gz
150,True,True,1.0,1.0,150,150,75965668,0.50108,0.5305276,0.6008521099999995,,150,,{},0.0,0.0,0.0,9.616070858751168e-05,9.899923351978372e-05,0.00011907290825345492,0.00012328134972708682,0.09616070858751169,0.30679790536775003,0.6778726426008606,0.01355745285201721,0,panda,e928208c5cfa766679be750c366c336bdeb1caea1f8283ea513bc5392401481b,trajectory_03,smooth,task_balance_k1,1,panda_trajectory_03_task_balance_k1_r1,runs/panda_trajectory_03_task_balance_k1_r1.jsonl.gz
150,True,True,1.0,1.0,150,150,40487103,0.2679655,0.2825792,0.30765722999999984,,150,,{},0.0,0.0,0.0,0.0004503614616553543,0.0005209364257593558,0.0005434823917772136,0.0006744945433599554,0.45036146165535423,0.6725162185323686,6.258408569571779,0.1251681713914356,0,panda,fd96ca4300b705b343cbde5bb7d97076acca0d187b1d78fc9094c6cac23b640b,trajectory_36,high_curvature,single_gn_k0,0,panda_trajectory_36_single_gn_k0_r0,runs/panda_trajectory_36_single_gn_k0_r0.jsonl.gz
150,True,True,1.0,1.0,150,150,36987640,0.243108,0.26016554999999997,0.30438075999999953,,150,,{},0.0,0.0,0.0,0.00012659815984377825,0.00012892231590976808,0.00013413299422857062,0.00013854096291902532,0.12659815984377826,0.35695833001174115,0.7052512314110809,0.014105024628221618,0,panda,a74d26d3694c4e4d15b8817c29ef75a4bd43cb4d8d1ebf3ae4154e26d80ab4a4,trajectory_08,smooth,balance_cached_k0,0,panda_trajectory_08_balance_cached_k0_r0,runs/panda_trajectory_08_balance_cached_k0_r0.jsonl.gz
150,True,True,1.0,1.0,150,150,37063711,0.243677,0.26357585,0.3129359799999996,,150,,{},0.0,0.0,0.0,4.8374866543485115e-05,4.9456893068485234e-05,8.941184823242102e-05,9.15313930635901e-05,0.04837486654348512,0.24102024551571666,0.5712854544727238,0.011425709089454476,0,panda,ea5e2ac9bfe24625cf9368e4931dfe5a7f878c028b94ce7ca271455c05bad4e6,trajectory_04,smooth,balance_progress_k1,1,panda_trajectory_04_balance_progress_k1_r1,runs/panda_trajectory_04_balance_progress_k1_r1.jsonl.gz
150,True,True,1.0,1.0,150,150,36370132,0.240818,0.25064644999999997,0.2759781599999997,,150,,{},0.0,0.0,0.0,9.071275364039805e-05,9.234309805339549e-05,0.00011257000683061278,0.00011580769949338955,0.09071275364039805,0.25997858077262487,0.6603329790822209,0.013206659581644417,0,panda,16ab30a670ddc1bb59f64aa11421a7a95e2a13b391b17e7261a85fb14178c0bc,trajectory_29,joint_limit_return,balance_cached_k1,2,panda_trajectory_29_balance_cached_k1_r2,runs/panda_trajectory_29_balance_cached_k1_r2.jsonl.gz
150,True,True,1.0,1.0,150,150,40780933,0.268086,0.28559445,0.34415001999999945,,150,,{},0.0,0.0,0.0,0.0001033902646117802,0.0001069639721167377,8.59022865150504e-05,8.89262823859023e-05,0.1033902646117802,0.32299682507246835,0.6843366659494865,0.013686733318989728,0,panda,41c501982d64297056fe7d1239938d5f0fb508b8c32ed74b2b5c72d3bf1ddba1,trajectory_28,joint_limit_return,single_gn_k1,2,panda_trajectory_28_single_gn_k1_r2,runs/panda_trajectory_28_single_gn_k1_r2.jsonl.gz
150,True,True,1.0,1.0,150,150,73050506,0.4842555,0.5105354999999999,0.5370006199999999,,150,,{},0.0,0.0,0.0,0.00014480990608344826,0.00014831218259673583,0.0001565863283927,0.00016234721556793543,0.1448099060834483,0.29032906464396857,0.7635320771314529,0.01527064154262906,0,panda,972b6c7f62ad2d88a1171405175e002fe4dad516aaa6300e4c090613265f4592,trajectory_05,smooth,task_balance_k0,2,panda_trajectory_05_task_balance_k0_r2,runs/panda_trajectory_05_task_balance_k0_r2.jsonl.gz
150,True,True,1.0,1.0,150,150,37475317,0.246156,0.26419645,0.3140150099999995,,150,,{},0.0,0.0,0.0,4.987703136109299e-05,5.133013449594366e-05,0.00012142878637433483,0.00012309050435535974,0.04987703136109299,0.2891726755563272,0.6574379714823209,0.013148759429646417,0,panda,0c2a95a498c1bf13c2df4295db29a5367cf069e157e300d36211ce1951b2bf0e,trajectory_06,smooth,balance_progress_k0,2,panda_trajectory_06_balance_progress_k0_r2,runs/panda_trajectory_06_balance_progress_k0_r2.jsonl.gz
150,True,True,1.0,1.0,150,150,37167010,0.2428105,0.26038514999999995,0.3274277199999992,,150,,{},0.0,0.0,0.0,0.00014103761332008601,0.00014541775376407208,0.000284975732964073,0.0002903546259734081,0.14103761332008602,0.3974429727784824,0.7749956521491372,0.015499913042982745,0,panda,5560810f9d87891ba612f00a19811ec608860538b5dbf8f478a2cc168f4d1547,trajectory_20,joint_limit_return,balance_progress_k0,0,panda_trajectory_20_balance_progress_k0_r0,runs/panda_trajectory_20_balance_progress_k0_r0.jsonl.gz
150,True,True,1.0,1.0,150,150,71422845,0.485104,0.49991589999999997,0.5207533999999997,,150,,{},0.0,0.0,0.0,0.00028941732047499836,0.00097755314620461,0.0007470527101559525,0.0017700081055450868,0.28941732047499835,0.7103245553997951,1.9947244982312293,0.03989448996462459,0,panda,ea5503530085a4b7fba1457389f090742de31c9aa6ebe8907aa867289b032370,trajectory_12,near_singular,task_balance_k0,0,panda_trajectory_12_task_balance_k0_r0,runs/panda_trajectory_12_task_balance_k0_r0.jsonl.gz
150,True,True,1.0,1.0,150,150,34678006,0.2625845,0.2749662,0.2959116199999998,,150,,{},0.0,0.0,0.0,0.0009229824739947935,0.0009515293188491654,0.007084956732700934,0.008374835164456808,0.9319436864522729,0.2979271667362304,11.10500795463632,0.22210015909272643,0,panda,d8e06950cec2579c739f7f6d3dbb3628755dfd76be5740fad3bec38b4ef94cc6,trajectory_11,near_singular,single_gn_k0,1,panda_trajectory_11_single_gn_k0_r1,runs/panda_trajectory_11_single_gn_k0_r1.jsonl.gz
150,True,True,1.0,1.0,150,150,36903302,0.242776,0.2613546,0.30016203999999974,,150,,{},0.0,0.0,0.0,9.616070858746191e-05,9.899923351961005e-05,0.00011907290825192208,0.00012328134972851312,0.09616070858746192,0.3067979053678468,0.6778726426007478,0.013557452852014954,0,panda,e928208c5cfa766679be750c366c336bdeb1caea1f8283ea513bc5392401481b,trajectory_03,smooth,balance_progress_k1,0,panda_trajectory_03_balance_progress_k1_r0,runs/panda_trajectory_03_balance_progress_k1_r0.jsonl.gz
150,True,True,1.0,1.0,150,150,128639891,0.989219,1.05950565,1.1123984599999994,,150,,{},0.0,0.0,0.0,0.00024486641236108565,0.00028375454951068326,0.0003620221198283787,0.0005428472183723856,0.24486641236108567,0.6455277589599178,6.32317632666306,0.1264635265332612,0,panda,bb2d7133de7083285ff7ede00b959e62fc3bf5dc626bfa521b77361d0f3f759e,trajectory_34,high_curvature,pink_qp,2,panda_trajectory_34_pink_qp_r2,runs/panda_trajectory_34_pink_qp_r2.jsonl.gz
150,True,True,1.0,1.0,150,150,129606652,0.989014,1.0640983999999998,1.0993077199999999,,150,,{},0.0,0.0,0.0,9.516609119717259e-05,0.00010018056338756949,0.0001482970742058015,0.00015524542339242042,0.09516609119717259,0.45057415215064905,1.642845085784375,0.032856901715687496,0,panda,6f61a4f090c2631561aee85944d25bbb3ec9ae75f330ddc67dd8f755fa60ea51,trajectory_25,joint_limit_return,pink_qp,1,panda_trajectory_25_pink_qp_r1,runs/panda_trajectory_25_pink_qp_r1.jsonl.gz
150,True,True,1.0,1.0,150,150,36571078,0.2410765,0.25612045,0.2909908699999996,,150,,{},0.0,0.0,0.0,7.014503290517658e-05,7.126879600432763e-05,0.0001286594181866775,0.00013237848317677295,0.07014503290517657,0.26038386998027807,0.6014510211572096,0.012029020423144191,0,panda,6b43e53a09d43b068012e38e4082dc1a83a7da4ac12d3b1a7c10621fab8498a4,trajectory_09,smooth,balance_progress_k1,2,panda_trajectory_09_balance_progress_k1_r2,runs/panda_trajectory_09_balance_progress_k1_r2.jsonl.gz
150,True,True,1.0,1.0,150,150,40462445,0.262805,0.30932184999999995,0.3693212899999992,,150,,{},0.0,0.0,0.0,0.00030675690067315757,0.00036239872435012057,0.0023787672301334214,0.005302524946866258,0.3522240137797632,0.9999999999990011,5.49688688668204,0.10993773773364078,0,panda,b47f91198895baa3999a406c9c32516cd3e78dd7e42a8bccccc4cd058a03020a,trajectory_26,joint_limit_return,single_gn_k1,1,panda_trajectory_26_single_gn_k1_r1,runs/panda_trajectory_26_single_gn_k1_r1.jsonl.gz
