robot,method,uid,family,site_id,completion,deadline_completion,total_latency_ns,frame_success,acceleration_rms,successful_prefix
panda,single_gn_k1,62749969a81aa229bd98bbc6a77941b40960bf5ae0886a5dfe36f5eff62e5c1c,joint_limit_return,trajectory_27,1.0,1.0,40693663.666666664,1.0,0.5832145507760536,150.0
panda,balance_cached_k0,e7257c22abc9d850802582540365f4bc972868280e40708e45700776b6ad2aca,high_curvature,trajectory_35,1.0,1.0,38025118.0,1.0,6.304303104654356,150.0
panda,balance_progress_k0,ba9bbb877bd562764b9ad1fe612339400f4396f8e4e3ccdd742d4a4326684c27,smooth,trajectory_00,1.0,1.0,36676651.666666664,1.0,0.7643183388935593,150.0
panda,balance_progress_k1,972b6c7f62ad2d88a1171405175e002fe4dad516aaa6300e4c090613265f4592,smooth,trajectory_05,1.0,1.0,37150909.0,1.0,1.0125556746158961,150.0
panda,balance_progress_k1,16ab30a670ddc1bb59f64aa11421a7a95e2a13b391b17e7261a85fb14178c0bc,joint_limit_return,trajectory_29,1.0,1.0,37004442.666666664,1.0,0.6603329790822209,150.0
panda,task_balance_k1,5560810f9d87891ba612f00a19811ec608860538b5dbf8f478a2cc168f4d1547,joint_limit_return,trajectory_20,1.0,1.0,74152040.33333333,1.0,0.811887457056142,150.0
panda,pink_qp,cdb906e5ffe0888b5856461ef6bee1b8809232e928fd853beb25f1903a7d798a,smooth,trajectory_07,1.0,1.0,137220004.0,1.0,0.6442190054329557,150.0
panda,task_balance_k1,e928208c5cfa766679be750c366c336bdeb1caea1f8283ea513bc5392401481b,smooth,trajectory_03,1.0,1.0,74267009.66666667,1.0,0.6778726426008607,150.0
panda,single_gn_k0,fd96ca4300b705b343cbde5bb7d97076acca0d187b1d78fc9094c6cac23b640b,high_curvature,trajectory_36,1.0,1.0,40771693.0,1.0,6.25840856957178,150.0
panda,balance_cached_k0,a74d26d3694c4e4d15b8817c29ef75a4bd43cb4d8d1ebf3ae4154e26d80ab4a4,smooth,trajectory_08,1.0,1.0,36575144.333333336,1.0,0.7052512314110809,150.0
panda,balance_progress_k1,ea5e2ac9bfe24625cf9368e4931dfe5a7f878c028b94ce7ca271455c05bad4e6,smooth,trajectory_04,1.0,1.0,36770178.0,1.0,0.5712854544727238,150.0
panda,balance_cached_k1,16ab30a670ddc1bb59f64aa11421a7a95e2a13b391b17e7261a85fb14178c0bc,joint_limit_return,trajectory_29,1.0,1.0,36594436.0,1.0,0.6603329790822209,150.0
panda,single_gn_k1,41c501982d64297056fe7d1239938d5f0fb508b8c32ed74b2b5c72d3bf1ddba1,joint_limit_return,trajectory_28,1.0,1.0,40968675.0,1.0,0.6843366659494864,150.0
panda,task_balance_k0,972b6c7f62ad2d88a1171405175e002fe4dad516aaa6300e4c090613265f4592,smooth,trajectory_05,1.0,1.0,74261040.33333333,1.0,0.7635320771314529,150.0
panda,balance_progress_k0,0c2a95a498c1bf13c2df4295db29a5367cf069e157e300d36211ce1951b2bf0e,smooth,trajectory_06,1.0,1.0,37219333.0,1.0,0.6574379714823209,150.0
