robot,method,baseline,uid,family,method_fraction,baseline_fraction,change,stable_all_vs_none
panda,balance_cached_k1,task_balance_k1,002105be93a7570cd8123ac6ab00a034822c100a974b2268238db9e820020484,high_curvature,1.0,1.0,same,False
panda,balance_cached_k1,task_balance_k1,021d3271c8f00d77cf7b9bb1abc40f30b1be39c6c83c98d6ec3b4ef10137acf3,joint_limit_return,1.0,1.0,same,False
panda,balance_cached_k1,task_balance_k1,08a1e63762f33866d59121ca79385dce192383bed0e06919fd596cdd2bfaf886,near_singular,1.0,1.0,same,False
panda,balance_cached_k1,task_balance_k1,08fd5d13e6f23050b434e0f055dd362c39b53f777a10b3cecff7e3540fc3f418,joint_limit_return,1.0,1.0,same,False
panda,balance_cached_k1,task_balance_k1,12b72dd6dbbeafa3c68d90ea8905e82ec95c09e5ca70a652ac68deaa03d28c21,high_curvature,1.0,1.0,same,False
panda,balance_cached_k1,task_balance_k1,13e50983959af442cba0fe6a9e6000b60c84f065e3a207c6eb491a7e9b2e487d,smooth,1.0,1.0,same,False
panda,balance_cached_k1,task_balance_k1,149c62d0f343edbac8227a536470a3158e4b20ed4f681d4cde538a91f9bcc15b,joint_limit_return,1.0,1.0,same,False
panda,balance_cached_k1,task_balance_k1,14b6eb57c3487a62c52b4512a951a355cea8eb506dcc64d266b11b7eaf550fcd,near_singular,1.0,1.0,same,False
panda,balance_cached_k1,task_balance_k1,192ef096a8547f2acaebe0b04baf015cadf983ae14399db046c44c583184e2c1,near_singular,1.0,1.0,same,False
panda,balance_cached_k1,task_balance_k1,2286803678de09340f4bb9dc3f37d70b78a5dd9f307ee6ffad9c26c2aef32b84,joint_limit_return,1.0,1.0,same,False
panda,balance_cached_k1,task_balance_k1,2420377f784f2b794e481ee16eb5520034adb11ae302dcfb5bbe4b44e41c6e50,high_curvature,1.0,1.0,same,False
panda,balance_cached_k1,task_balance_k1,2591705462f2bf0ed7b214babda1083886e6f4f3d7c33d902cf2ec7fa0d5f922,joint_limit_return,1.0,1.0,same,False
panda,balance_cached_k1,task_balance_k1,2607309e15e2bd822ea26d0150c648e144318fc6bb74526e06cb102338bfcba1,high_curvature,1.0,1.0,same,False
panda,balance_cached_k1,task_balance_k1,26c4ddc7ac9031fe896967ecba1ca3c9688bf4947765eb1c48f785fef55d9e85,smooth,1.0,1.0,same,False
panda,balance_cached_k1,task_balance_k1,273cdb65989b6521b743c1e5b4e529da30e8cbf3ae2777e13335ab6c2f740b79,joint_limit_return,1.0,1.0,same,False
panda,balance_cached_k1,task_balance_k1,2ad947acae5f5fafdb634081fb4b1718850692c6942e44dcb69491c21db414e5,near_singular,1.0,1.0,same,False
panda,balance_cached_k1,task_balance_k1,2b1ea283b2b59dd97f5080b5f80d91914fe177725dbfafaf17f2dae5a657839e,high_curvature,1.0,1.0,same,False
panda,balance_cached_k1,task_balance_k1,2c543db9ae3e36911506230aecc8d24ae76182b25c4491663d5f8b780f3dc916,smooth,0.0,0.0,same,False
panda,balance_cached_k1,task_balance_k1,2ec05e997761d1bdd2b93e3d9bcace5164652aa35f4c6e28f07b46194e26e57c,near_singular,0.0,0.0,same,False
panda,balance_cached_k1,task_balance_k1,3506180bab48a9313e47b15297040a4f2920a8ffa3f98d48bcdfeeccd4634022,smooth,1.0,1.0,same,False
panda,balance_cached_k1,task_balance_k1,36a78ea09f714b96c985eaa64b6594d37a6451bde0f2208549dd3918c029ee32,high_curvature,1.0,1.0,same,False
panda,balance_cached_k1,task_balance_k1,39016c19816bfbce241efbb04e3e6886e7fecdb1372b34ee952fa61b5352af53,joint_limit_return,1.0,1.0,same,False
panda,balance_cached_k1,task_balance_k1,425d354808de50c70592c93a47110dad9e2999850563be54701008e4be2e366e,joint_limit_return,1.0,1.0,same,False
panda,balance_cached_k1,task_balance_k1,47a70e850f1111797ee062774d2de1601c0f85ab33cef79647b473b2f0b1435a,high_curvature,1.0,1.0,same,False
panda,balance_cached_k1,task_balance_k1,4b14c4d74524363dad80e8fc5287138de0f832721af7d5ffe5be946afb787e6d,smooth,1.0,1.0,same,False
panda,balance_cached_k1,task_balance_k1,4b594826d26d472b1c3fac5f479afd6aa4c0651a9bb47c3505f6c887d8f23500,near_singular,1.0,1.0,same,False
panda,balance_cached_k1,task_balance_k1,4e1d965d29d558755b7cdad108fcc3c7212903e3c5f00758ade0da5eeaf45a07,smooth,1.0,1.0,same,False
panda,balance_cached_k1,task_balance_k1,5167d2077436db8a3e391269e307883add677219564d578a56675e8720470102,smooth,1.0,1.0,same,False
