robot,method,label,family,trajectories,repeats,completion_by_repeat,mean_completed_trajectories,tsr,deadline_completion_by_repeat,dtsr20,frame_success,frame_deadline_success,p50_ms,p95_ms,p99_ms,cumulative_ms_per_sweep,trajectory_time_mean_ms,trajectory_time_median_ms,trajectory_time_p95_ms,p95_position_m,max_position_m,p95_orientation_rad,max_orientation_rad,max_accepted_step_utilization,acceleration_rms_mean,velocity_change_rms_mean,successful_prefix_mean,accepted_contract_violations,edge_fraction,counts,all_frames,all_frame_cumulative_ns,mean_iterations,mean_evaluations,mean_dual_updates,mean_box_qp_updates,mean_verification_calls,mean_backtracking_evaluations
panda,balance_cached_k1,balance_cached_k1,all,80,3,"[78,78,78]",78.0,0.975,"[78,78,78]",0.975,0.9893333333333333,0.9893333333333333,0.2443795,0.26304019999999995,3.278432900000007,4402.4576676666675,55.03072084583334,37.124880833333336,37.658168499999995,0.0003879147517450234,0.000996166648263766,0.0005191661553649607,0.008663787674616157,0.9999999999990037,3.674084900672958,0.07348169801345916,148.4,0,0.004801212938005391,"{""accepted"":35616,""edge"":171,""late"":51,""status:native_task_candidate"":35616,""task_first"":34737,""tight_gap"":7978,""task"":3,""status:no_descent"":120,""status:stationary"":108,""deadline"":28,""status:deadline"":51,""status:iteration_limit"":105,""cap"":186}",36000,13207373003,1.2169166666666666,3.640083333333333,1.7473611111111111,2.653111111111111,1.0,1.3589166666666668
panda,balance_progress_k1,balance_progress_k1,all,80,3,"[78,78,78]",78.0,0.975,"[77,78,77]",0.9666666666666666,0.9893333333333333,0.9892777777777778,0.244638,0.26307105,1.424098760000001,4128.5814163333325,51.60726770416666,37.12754316666667,39.38816424999996,0.0003879147517450234,0.000996166648263766,0.0005191661553649607,0.008663787674616157,0.9999999999990037,3.674082843846391,0.07348165687692783,148.4,0,0.004801212938005391,"{""accepted"":35616,""edge"":171,""task_first"":34737,""late"":26,""status:native_task_candidate"":35616,""relative_progress"":5362,""task"":3,""tight_gap"":1563,""status:stationary"":204,""status:no_descent"":63,""deadline"":19,""status:deadline"":24,""status:iteration_limit"":93,""cap"":99}",36000,12385744249,1.1849722222222223,3.3304722222222223,1.5668055555555556,2.0183333333333335,1.0,1.1218333333333332
panda,single_gn_k1,single_gn_k1,all,80,3,"[78,78,78]",78.0,0.975,"[78,77,78]",0.9708333333333334,0.9892500000000001,0.9892222222222223,0.269494,0.28751734999999984,0.5079750700000004,3638.655646666667,45.48319558333334,40.89563483333333,41.5399253,0.0003870835147153376,0.000996166648263766,0.0005190216473021571,0.008663787674616157,0.9999999999990037,3.6732103721119245,0.0734642074422385,148.3875,0,0.004717378485384551,"{""accepted"":35613,""edge"":168,""late"":1,""status:task_candidate"":35612,""status:no_descent"":117,""status:stationary"":267,""status:deadline"":1,""status:iteration_limit"":3}",36000,10915966940,2.1000833333333335,4.786472222222222,,1.21725,,
panda,task_balance_k1,task_balance_k1,all,80,3,"[77,77,78]",77.33333333333333,0.9666666666666666,"[77,77,78]",0.9666666666666666,0.9892777777777778,0.9892777777777778,0.4924595,0.515923,4.512050430000004,8149.120458333334,101.86400572916668,74.25560066666667,79.99009936666664,0.0003879147517453875,0.000996166648263766,0.0005191661553673819,0.00866378767461589,0.9999999999990037,3.6927089265394626,0.07385417853078925,147.80833333333334,0,0.004801482563037008,"{""accepted"":35614,""edge"":171,""late"":320,""status:task_feasible_early"":34738,""status:deadline"":320,""status:no_descent"":6,""status:stationary"":60,""status:initial_task_admissible"":876}",36000,24447361375,1.140638888888889,5.469305555555556,1.5447222222222223,2.6911388888888887,3.89025,0.7846666666666666
panda,trac_task_20ms,TRAC-IK task 20 ms,all,80,3,"[79,79,79]",79.0,0.9875,"[79,79,79]",0.9875,0.9944166666666666,0.9944166666666666,0.169473,0.22448919999999997,0.4141463400000005,3553.6917486666666,44.42114685833333,26.3831925,27.078296999999996,0.0003297844118268112,0.0009846902706554602,0.0004292521913572429,0.007990079056529101,0.9999999999999997,3.1612394338972316,0.06322478867794463,149.1625,0,0.0001396687058297718,"{""accepted"":35799,""edge"":5,""late"":201,""status:native_success"":35799,""status:native_no_solution"":201}",36000,10661075246,,,,,,
panda,trac_task_5ms,TRAC-IK task 5 ms,all,80,3,"[79,79,79]",79.0,0.9875,"[79,78,79]",0.9833333333333334,0.9941944444444445,0.9941666666666666,0.169328,0.22407114999999972,0.4240581500000023,2555.423181,31.942789762500002,26.374271833333335,27.406906383333332,0.00032873492326724923,0.0009730212526377534,0.0004287126027299844,0.007814791456356166,1.0,3.085554433206616,0.06171108866413232,149.025,0,0.00019557989438685703,"{""accepted"":35791,""edge"":7,""late"":1,""status:native_success"":35791,""status:native_no_solution"":209}",36000,7666269543,,,,,,
ur5e,balance_cached_k1,balance_cached_k1,all,80,3,"[80,80,80]",80.0,1.0,"[80,80,80]",1.0,1.0,1.0,0.230516,0.24392704999999998,0.32123737000000047,2763.3045643333335,34.541307054166666,35.015436333333334,35.47413281666666,0.00038226169193778816,0.0009999089100292625,0.0005965049689055283,0.008480514216252179,0.9999999999990026,4.483925350442308,0.08967850700884616,150.0,0,0.007083333333333333,"{""accepted"":36000,""edge"":255,""late"":0,""status:native_task_candidate"":36000,""task_first"":34392,""tight_gap"":6}",36000,8289913693,1.0001666666666666,1.956,0.956,0.9571666666666667,1.0,0.00016666666666666666
ur5e,balance_progress_k1,balance_progress_k1,all,80,3,"[80,80,80]",80.0,1.0,"[80,80,80]",1.0,1.0,1.0,0.230779,0.2443533,0.32038669000000014,2765.6962596666667,34.57120324583333,35.05358483333333,35.53209736666667,0.00038226169193778816,0.0009999089100292625,0.0005965049689055283,0.008480514216252179,0.9999999999990026,4.4839224095740615,0.08967844819148123,150.0,0,0.007083333333333333,"{""accepted"":36000,""edge"":255,""task_first"":34392,""late"":0,""status:native_task_candidate"":36000,""relative_progress"":6}",36000,8297088779,1.0001666666666666,1.9555,0.9555,0.9561666666666667,1.0,0.00016666666666666666
ur5e,single_gn_k1,single_gn_k1,all,80,3,"[80,80,80]",80.0,1.0,"[80,80,80]",1.0,1.0,1.0,0.2557895,0.2694001,0.3496760600000016,3061.359446333333,38.26699307916666,38.849919666666665,39.20219738333333,0.00038226169193778816,0.0009999089100292625,0.0005965049689055283,0.008480514216252179,0.9999999999990026,4.483922409574062,0.08967844819148123,150.0,0,0.007083333333333333,"{""accepted"":36000,""edge"":255,""late"":0,""status:task_candidate"":36000}",36000,9184078339,1.9555,3.911,,0.9561666666666667,,
ur5e,task_balance_k1,task_balance_k1,all,80,3,"[80,79,80]",79.66666666666667,0.9958333333333333,"[80,79,80]",0.9958333333333333,0.9999722222222223,0.9999722222222223,0.4607395,0.47954935,0.5532053400000004,5488.418895999999,68.6052362,69.53737916666665,70.36808885,0.0003822737357938752,0.0009999089100289843,0.0005965982219827456,0.008480514216252061,0.9999999999990026,4.489180017508301,0.08978360035016601,149.72083333333333,0,0.00708353009805828,"{""accepted"":35999,""edge"":255,""late"":1,""status:task_feasible_early"":34391,""status:initial_task_admissible"":1608,""status:deadline"":1}",36000,16465256688,1.0001666666666666,3.9563055555555557,0.956,0.9571666666666667,2.9556388888888887,0.00016666666666666666
ur5e,trac_task_20ms,TRAC-IK task 20 ms,all,80,3,"[77,79,77]",77.66666666666667,0.9708333333333334,"[77,78,75]",0.9583333333333334,0.9891666666666665,0.9890833333333333,0.1614765,0.22587484999999982,20.20285764,4805.337056333334,60.066713204166675,25.153755500000003,44.23841631666666,0.0003195621448744009,0.0009646290028847516,0.0005018492303113308,0.007744234404593092,0.9999999999999998,9.347596774665062,0.18695193549330122,148.375,0,0.00014040999719180006,"{""accepted"":35610,""edge"":5,""late"":393,""status:native_success"":35610,""status:native_no_solution"":390}",36000,14416011169,,,,,,
ur5e,trac_task_5ms,TRAC-IK task 5 ms,all,80,3,"[78,78,78]",78.0,0.975,"[78,78,78]",0.975,0.9898333333333333,0.9898333333333333,0.161013,0.22366469999999997,5.17915389,2712.4666113333333,33.90583264166666,25.087739,35.55400715,0.00031598614005122017,0.0009430300174181358,0.0004949437844266412,0.00849613978770453,0.9999999999999998,9.274932682077266,0.1854986536415453,148.46666666666667,0,5.6126171633832856e-05,"{""accepted"":35634,""edge"":2,""late"":0,""status:native_success"":35634,""status:native_no_solution"":366}",36000,8137399834,,,,,,
