robot,method,baseline,metric,units,difference,difference_ci,ratio,ratio_ci
panda,balance_cached_k1,task_balance_k1,completion,80,0.008333333333333335,"[0.0,0.020833333333333336]",1.0086206896551724,"[1.0,1.0218340611353713]"
panda,balance_cached_k1,task_balance_k1,deadline_completion,80,0.008333333333333335,"[0.0,0.020833333333333336]",1.0086206896551724,"[1.0,1.0218340611353713]"
panda,balance_cached_k1,task_balance_k1,total_latency_ns,80,-46833284.88333334,"[-62132382.06979167,-37022734.72635417]",0.540237156902582,"[0.49566195116594014,0.5828066274206306]"
panda,balance_cached_k1,task_balance_k1,frame_success,80,5.555555555555591e-05,"[0.0,0.00013888888888888978]",1.000056157690796,"[1.0,1.000140406054309]"
panda,balance_cached_k1,task_balance_k1,acceleration_rms,80,-0.018624025866504378,"[-0.04776318151368961,-4.187580976422463e-12]",0.99495654105509,"[0.9871316844667066,0.9999999999988147]"
panda,balance_cached_k1,task_balance_k1,successful_prefix,80,0.5916666666666668,"[0.0,1.479166666666667]",1.0040029317246435,"[1.0,1.0100677802671507]"
panda,balance_progress_k1,balance_cached_k1,completion,80,0.0,"[0.0,0.0]",1.0,"[1.0,1.0]"
panda,balance_progress_k1,balance_cached_k1,deadline_completion,80,-0.008333333333333335,"[-0.020833333333333336,0.0]",0.9914529914529914,"[0.9786324786324786,1.0]"
panda,balance_progress_k1,balance_cached_k1,total_latency_ns,80,-3423453.1416666666,"[-10280543.2,652283.7022916664]",0.9377901454124624,"[0.8757882805510391,1.0177093862687427]"
panda,balance_progress_k1,balance_cached_k1,frame_success,80,0.0,"[0.0,0.0]",1.0,"[1.0,1.0]"
panda,balance_progress_k1,balance_cached_k1,acceleration_rms,80,-2.0568265666431885e-06,"[-2.294087644381104e-05,1.6728774200558405e-05]",0.9999994401799026,"[0.9999941776430481,1.0000042337281523]"
panda,balance_progress_k1,balance_cached_k1,successful_prefix,80,0.0,"[0.0,0.0]",1.0,"[1.0,1.0]"
panda,balance_progress_k1,single_gn_k1,completion,80,0.0,"[0.0,0.0]",1.0,"[1.0,1.0]"
panda,balance_progress_k1,single_gn_k1,deadline_completion,80,-0.0041666666666666675,"[-0.01666666666666667,0.008333333333333335]",0.9957081545064377,"[0.9822222222222221,1.0087719298245612]"
panda,balance_progress_k1,single_gn_k1,total_latency_ns,80,6124072.120833332,"[-3754403.648437501,21156527.955729168]",1.1346447197100065,"[0.908015169608684,1.4036802010460347]"
panda,balance_progress_k1,single_gn_k1,frame_success,80,8.333333333333248e-05,"[0.0,0.00024999999999999746]",1.0000842389015248,"[1.0,1.000257113472746]"
panda,balance_progress_k1,single_gn_k1,acceleration_rms,80,0.0008724717344663957,"[0.0,0.002617415203399187]",1.000237522942081,"[1.0,1.0007804784770262]"
panda,balance_progress_k1,single_gn_k1,successful_prefix,80,0.0125,"[0.0,0.0375]",1.0000842389015248,"[1.0,1.000257113472746]"
panda,balance_progress_k1,task_balance_k1,completion,80,0.008333333333333335,"[0.0,0.020833333333333336]",1.0086206896551724,"[1.0,1.0218340611353713]"
