robot,method,uid,family,site_id,completion,deadline_completion,total_latency_ns,frame_success,acceleration_rms,successful_prefix
panda,trac_task_20ms,81553f47da5462f4fc3c3158361d719fb6ff2dd3c3ac9beca1cc32d96a5a6847,joint_limit_return,trajectory_041,1.0,1.0,26134584.333333332,1.0,0.6200292424431688,150.0
panda,trac_task_5ms,9f6b12d25c86286b5f8d49edd852f3be6d802b4c3b01dad2bab91aaa42550f3c,joint_limit_return,trajectory_049,1.0,1.0,26210839.333333332,1.0,0.7101134355572971,150.0
panda,task_balance_k1,2c543db9ae3e36911506230aecc8d24ae76182b25c4491663d5f8b780f3dc916,smooth,trajectory_007,0.0,0.0,1206699487.0,0.5133333333333333,6.759163338319866,77.0
panda,balance_progress_k1,fead16012d3624edf0dfdeb423ca1bcdcefd6374c7e5b676ff2beaf3ebfa4eee,high_curvature,trajectory_078,1.0,1.0,37318609.333333336,1.0,6.1971145382541195,150.0
panda,balance_progress_k1,ddb21431719cc18d09cde65ea71559a08b888b7e51fbc4a0797ece3b2e9dd987,high_curvature,trajectory_064,1.0,1.0,37183550.0,1.0,5.9622768072578145,150.0
panda,trac_task_20ms,d88f9a36f2c35a47b016394bab87fdbf8a1a17ab4bfaa31d929a992814995059,smooth,trajectory_005,1.0,1.0,26703283.333333332,1.0,1.3909803259667741,150.0
panda,single_gn_k1,edbde7bf236ce436987aa49d6fd24a865d7e51ae1aaade576b09bb5d9c6c8787,near_singular,trajectory_038,1.0,1.0,39925445.0,1.0,3.89564708718675,150.0
panda,task_balance_k1,d6cdc156fd5bdf242b3b78a2537995487da58e252b7979672706b06af2612ec0,near_singular,trajectory_025,1.0,1.0,71969964.0,1.0,3.3623743575959075,150.0
panda,trac_task_5ms,b60a2ea44227e9165d9b5c1edbef42c4623cf30c63fdff30658f455f46a0d39d,near_singular,trajectory_036,1.0,1.0,26062942.666666668,1.0,0.8751327679489208,150.0
panda,balance_progress_k1,9e26cb34ddcd00cfea5bd1f81023dde8dc17aa5fd6d49cabfc2e47b0983437bf,smooth,trajectory_004,1.0,1.0,37049030.333333336,1.0,0.5523879441408834,150.0
