robot,source_group,method,baseline,gained_input_ids,lost_input_ids
panda,all52,balance_cached_k0,task_balance_k0,[],[]
panda,all52,balance_progress_k0,balance_cached_k0,[],[]
panda,all52,balance_progress_k0,single_gn_k0,"[""016894bfe7220eb5304b71d9dc330e9a2a7872794dd09c7fb3f449f4be61911d"",""0d2f0b8c4906d449cde87c2f3b3eb6368cf63ec256a2ba134f1429a0a8661022"",""12c8309cfc40ab3f04aa67bfde8845b4ac42a2b7671ea5e61b1a7471afc4c358"",""155366d9e36c3f00bb36d11c0390273736b0dcdcef6bce568f7f9c1042a2ae95"",""38a05d1395bf5c619495c550deeb27ab986b2f0ac6adb5ae722cd2a37e61e49e"",""39c75753efb5d6819f9e2fa625acc562639c1984188f4add89936eef1680ed81"",""3cb5ae5e3ed83e96de6ea7b6a86708da3bcaaf99454050465495c03aa329b03d"",""45a6400afbe2a6553d656117bcbb5cd6eb766305192d712c5c29a37e44b96fae"",""5be03d09d1d94309b2e2bcdbd947cd30c346ebece6c2b58ab606780cb72ba53a"",""7ade05b4a35b609b65f62a72b9938ae9cfaaadc9380544f3dc0319f559c13519"",""7e954bb8a4f7b108c34380f1fc198c04883f2e3b2216de70ca4aae281e3842d4"",""8cf5b09c2aa354206fc25bce07f8ae45d95624abf37fb6bc2c6205e2350c43bd"",""99d76050ae371288ad457fc997446305c1a6ea08b5db988906cc87e12168bd95"",""adfda1919c54d142f754a573fd1aa0b0007fdf9d4871403ca32c2d175c02b7c6"",""dd982443daf4495a5561d3ecec67f47c2c8cfb9c14a38468bb1ec530224e9ffd"",""f5bb666660fc518f44cef9187a1158f5e100b99ce44b8bed15a3ce9b6232e076"",""fd7483419acb37b0698d74d96763247c7210ec891dee628d25e00c0b2f5690a2""]",[]
panda,all52,balance_progress_k0,task_balance_k0,[],[]
panda,all52,balance_cached_k1,task_balance_k1,[],[]
panda,all52,balance_progress_k1,balance_cached_k1,[],[]
panda,all52,balance_progress_k1,single_gn_k1,"[""016894bfe7220eb5304b71d9dc330e9a2a7872794dd09c7fb3f449f4be61911d"",""0d2f0b8c4906d449cde87c2f3b3eb6368cf63ec256a2ba134f1429a0a8661022"",""12c8309cfc40ab3f04aa67bfde8845b4ac42a2b7671ea5e61b1a7471afc4c358"",""155366d9e36c3f00bb36d11c0390273736b0dcdcef6bce568f7f9c1042a2ae95"",""38a05d1395bf5c619495c550deeb27ab986b2f0ac6adb5ae722cd2a37e61e49e"",""39c75753efb5d6819f9e2fa625acc562639c1984188f4add89936eef1680ed81"",""3cb5ae5e3ed83e96de6ea7b6a86708da3bcaaf99454050465495c03aa329b03d"",""45a6400afbe2a6553d656117bcbb5cd6eb766305192d712c5c29a37e44b96fae"",""5be03d09d1d94309b2e2bcdbd947cd30c346ebece6c2b58ab606780cb72ba53a"",""7ade05b4a35b609b65f62a72b9938ae9cfaaadc9380544f3dc0319f559c13519"",""7e954bb8a4f7b108c34380f1fc198c04883f2e3b2216de70ca4aae281e3842d4"",""8cf5b09c2aa354206fc25bce07f8ae45d95624abf37fb6bc2c6205e2350c43bd"",""99d76050ae371288ad457fc997446305c1a6ea08b5db988906cc87e12168bd95"",""adfda1919c54d142f754a573fd1aa0b0007fdf9d4871403ca32c2d175c02b7c6"",""dd982443daf4495a5561d3ecec67f47c2c8cfb9c14a38468bb1ec530224e9ffd"",""f5bb666660fc518f44cef9187a1158f5e100b99ce44b8bed15a3ce9b6232e076"",""fd7483419acb37b0698d74d96763247c7210ec891dee628d25e00c0b2f5690a2""]",[]
panda,all52,balance_progress_k1,task_balance_k1,[],[]
panda,direct_k0_k1_sources16,balance_cached_k0,task_balance_k0,[],[]
panda,direct_k0_k1_sources16,balance_progress_k0,balance_cached_k0,[],[]
panda,direct_k0_k1_sources16,balance_progress_k0,single_gn_k0,"[""016894bfe7220eb5304b71d9dc330e9a2a7872794dd09c7fb3f449f4be61911d"",""155366d9e36c3f00bb36d11c0390273736b0dcdcef6bce568f7f9c1042a2ae95"",""5be03d09d1d94309b2e2bcdbd947cd30c346ebece6c2b58ab606780cb72ba53a"",""adfda1919c54d142f754a573fd1aa0b0007fdf9d4871403ca32c2d175c02b7c6"",""f5bb666660fc518f44cef9187a1158f5e100b99ce44b8bed15a3ce9b6232e076""]",[]
panda,direct_k0_k1_sources16,balance_progress_k0,task_balance_k0,[],[]
panda,direct_k0_k1_sources16,balance_cached_k1,task_balance_k1,[],[]
panda,direct_k0_k1_sources16,balance_progress_k1,balance_cached_k1,[],[]
panda,direct_k0_k1_sources16,balance_progress_k1,single_gn_k1,"[""016894bfe7220eb5304b71d9dc330e9a2a7872794dd09c7fb3f449f4be61911d"",""155366d9e36c3f00bb36d11c0390273736b0dcdcef6bce568f7f9c1042a2ae95"",""5be03d09d1d94309b2e2bcdbd947cd30c346ebece6c2b58ab606780cb72ba53a"",""adfda1919c54d142f754a573fd1aa0b0007fdf9d4871403ca32c2d175c02b7c6"",""f5bb666660fc518f44cef9187a1158f5e100b99ce44b8bed15a3ce9b6232e076""]",[]
panda,direct_k0_k1_sources16,balance_progress_k1,task_balance_k1,[],[]
ur5e,all52,balance_cached_k0,task_balance_k0,[],[]
ur5e,all52,balance_progress_k0,balance_cached_k0,[],[]
ur5e,all52,balance_progress_k0,single_gn_k0,"[""627e5c96e87407119a14e91c76336465ed5c018ce852ee1b241cf08a79550502"",""94df3da8818589a2259a85811e69046fb88819748d2f5675d92475eea5c7c7c6"",""a7181c0f75cd6931b2b802d28abf86ef7bebfc26248fc62458f9b39c5b23ce06"",""ee0ecb2eb3773a23b878ecc7049713169d9807a4f2d86e48059a242608725f29"",""f6f620eab81798b95df8b98f45cf60e2b8b5522631ea729c5f4585b884619b10""]",[]
ur5e,all52,balance_progress_k0,task_balance_k0,[],[]
ur5e,all52,balance_cached_k1,task_balance_k1,[],[]
ur5e,all52,balance_progress_k1,balance_cached_k1,[],[]
ur5e,all52,balance_progress_k1,single_gn_k1,"[""627e5c96e87407119a14e91c76336465ed5c018ce852ee1b241cf08a79550502"",""94df3da8818589a2259a85811e69046fb88819748d2f5675d92475eea5c7c7c6"",""a7181c0f75cd6931b2b802d28abf86ef7bebfc26248fc62458f9b39c5b23ce06"",""ee0ecb2eb3773a23b878ecc7049713169d9807a4f2d86e48059a242608725f29"",""f6f620eab81798b95df8b98f45cf60e2b8b5522631ea729c5f4585b884619b10""]",[]
ur5e,all52,balance_progress_k1,task_balance_k1,[],[]
ur5e,direct_k0_k1_sources16,balance_cached_k0,task_balance_k0,[],[]
ur5e,direct_k0_k1_sources16,balance_progress_k0,balance_cached_k0,[],[]
ur5e,direct_k0_k1_sources16,balance_progress_k0,single_gn_k0,"[""94df3da8818589a2259a85811e69046fb88819748d2f5675d92475eea5c7c7c6""]",[]
ur5e,direct_k0_k1_sources16,balance_progress_k0,task_balance_k0,[],[]
ur5e,direct_k0_k1_sources16,balance_cached_k1,task_balance_k1,[],[]
ur5e,direct_k0_k1_sources16,balance_progress_k1,balance_cached_k1,[],[]
ur5e,direct_k0_k1_sources16,balance_progress_k1,single_gn_k1,"[""94df3da8818589a2259a85811e69046fb88819748d2f5675d92475eea5c7c7c6""]",[]
ur5e,direct_k0_k1_sources16,balance_progress_k1,task_balance_k1,[],[]
