robot,source_group,method,inputs,source_uids,stable_three_success,any_success,accepted_calls,calls,latency_p50_p95_p99_ms
panda,all52,single_gn_k0,41,13,4,4,12,123,"[3.868338,7.5884960999999995,7.74375926]"
panda,all52,single_gn_k1,41,13,4,4,12,123,"[4.055576,7.4589132000000005,7.55583734]"
panda,all52,task_balance_k0,41,13,21,21,63,123,"[2.892738,20.274381899999998,20.286171239999998]"
panda,all52,task_balance_k1,41,13,21,21,63,123,"[2.955049,20.2798147,20.296514100000003]"
panda,all52,balance_cached_k0,41,13,21,21,63,123,"[1.950581,14.6027078,19.19121652]"
panda,all52,balance_cached_k1,41,13,21,21,63,123,"[1.969339,11.857058199999999,19.1907585]"
panda,all52,balance_progress_k0,41,13,21,21,63,123,"[1.800384,14.5592784,19.4054374]"
panda,all52,balance_progress_k1,41,13,21,21,63,123,"[2.111834,14.5676179,20.150837239999998]"
panda,direct_k0_k1_sources16,single_gn_k0,13,10,0,0,0,39,"[3.911522,7.5124808,7.52267662]"
panda,direct_k0_k1_sources16,single_gn_k1,13,10,0,0,0,39,"[4.132875,7.4234217000000005,7.49256304]"
panda,direct_k0_k1_sources16,task_balance_k0,13,10,5,5,15,39,"[7.495461,20.271380699999998,20.29037082]"
panda,direct_k0_k1_sources16,task_balance_k1,13,10,5,5,15,39,"[19.248168,20.2777337,20.28064732]"
panda,direct_k0_k1_sources16,balance_cached_k0,13,10,5,5,15,39,"[4.016766,19.1394454,19.23583934]"
panda,direct_k0_k1_sources16,balance_cached_k1,13,10,5,5,15,39,"[10.072607,19.1365115,19.37485774]"
panda,direct_k0_k1_sources16,balance_progress_k0,13,10,5,5,15,39,"[4.939381,19.332827,19.45360252]"
panda,direct_k0_k1_sources16,balance_progress_k1,13,10,5,5,15,39,"[3.764265,20.143317800000002,20.156781679999998]"
ur5e,all52,single_gn_k0,11,3,1,1,3,33,"[3.912143,4.547525,4.6387778399999995]"
ur5e,all52,single_gn_k1,11,3,1,1,3,33,"[3.344567,4.6280394000000005,4.6858964400000005]"
ur5e,all52,task_balance_k0,11,3,6,6,18,33,"[1.36395,20.2451764,20.25193036]"
ur5e,all52,task_balance_k1,11,3,6,6,18,33,"[1.363828,20.231516399999997,20.2332404]"
ur5e,all52,balance_cached_k0,11,3,6,6,18,33,"[0.916738,14.7022276,14.77615076]"
ur5e,all52,balance_cached_k1,11,3,6,6,18,33,"[0.933919,14.7076996,14.74352076]"
ur5e,all52,balance_progress_k0,11,3,6,6,18,33,"[0.763069,14.108307,14.177963]"
ur5e,all52,balance_progress_k1,11,3,6,6,18,33,"[0.732283,14.0789916,14.24267836]"
ur5e,direct_k0_k1_sources16,single_gn_k0,3,2,0,0,0,9,"[3.912143,4.4526677999999995,4.472441559999999]"
ur5e,direct_k0_k1_sources16,single_gn_k1,3,2,0,0,0,9,"[3.302078,4.42422,4.4461912]"
ur5e,direct_k0_k1_sources16,task_balance_k0,3,2,1,1,3,9,"[20.199444,20.239060600000002,20.25051532]"
ur5e,direct_k0_k1_sources16,task_balance_k1,3,2,1,1,3,9,"[20.180788,20.227107399999998,20.228891079999997]"
ur5e,direct_k0_k1_sources16,balance_cached_k0,3,2,1,1,3,9,"[14.516199,14.7676222,14.801736439999999]"
ur5e,direct_k0_k1_sources16,balance_cached_k1,3,2,1,1,3,9,"[14.515678,14.7118984,14.71997488]"
ur5e,direct_k0_k1_sources16,balance_progress_k0,3,2,1,1,3,9,"[13.84106,14.009066,14.0445764]"
ur5e,direct_k0_k1_sources16,balance_progress_k1,3,2,1,1,3,9,"[13.909175,14.204957,14.295211400000001]"
