robot,method,baseline,uid,family,method_fraction,baseline_fraction,change,stable_all_vs_none
panda,balance_cached_k1,task_balance_k1,000c50db2c002a2809360e05ba76bee76a78cdf2e2dfc2bcc1306e8f6e586a85,hard_feasible,1.0,1.0,same,False
panda,balance_cached_k1,task_balance_k1,000f7cffb5105d7d5273c48a34c39ca0d28f8a9e7b2b0ad2b547bd4a5047a4c8,local,1.0,1.0,same,False
panda,balance_cached_k1,task_balance_k1,003620cc072e717c229da980076aeffdb4f64171919d5f43bcb6020dde07ec2d,local,1.0,1.0,same,False
panda,balance_cached_k1,task_balance_k1,004638d77010d513a04349b799508ba5c646b3c3ef8edf719703abe73625c441,near_limit,1.0,1.0,same,False
panda,balance_cached_k1,task_balance_k1,006ceedfe8ff24dc2946d52c2e6bc4e94032e3aedcfcb97b52b52fe680653d64,near_limit,1.0,1.0,same,False
panda,balance_cached_k1,task_balance_k1,007648e29faaad3acd202f39e4ef4b8071d80fffa9a4f6d57df93ff4fb43c52d,hard_feasible,1.0,1.0,same,False
panda,balance_cached_k1,task_balance_k1,00794ec6bc3f276fd9b715aae49005bb3a776de717608943a0c3af2c821cabdf,local,1.0,1.0,same,False
panda,balance_cached_k1,task_balance_k1,008a36c3a30542fa7440f87c8f3edb1b0006d26db4f3cc1d706aeca8802ed393,hard_feasible,1.0,1.0,same,False
panda,balance_cached_k1,task_balance_k1,0090e78cc9f7c3972025af5579f168f5114c086637545a431c239ce3ee98de7d,hard_feasible,1.0,1.0,same,False
panda,balance_cached_k1,task_balance_k1,00a6f6ec2630d05be39eb4d9830e40676e1d884bd007f82b9c42197e4d1cb25b,hard_feasible,1.0,1.0,same,False
panda,balance_cached_k1,task_balance_k1,00aac326e4e25822158f58b21c234dc69c72d2bea4bf541d0b39409d2d94be05,hard_feasible,1.0,1.0,same,False
panda,balance_cached_k1,task_balance_k1,00ab090ecb95d810358837bc20d2eb1badb8b6a2ddb5d04f9adbc050feebd695,hard_feasible,1.0,1.0,same,False
panda,balance_cached_k1,task_balance_k1,00d2142381cb0e3b0a8992006d9ef2313b0feeae14754d301adba0f3677f3313,local,1.0,1.0,same,False
