robot,method,family,queries,calls,success_by_repeat,verified_success,within20,missed_per_repeat,stable_missed_uids,mixed_uids,p50_p95_p99_ms,mean_latency_ms,cumulative_ms_per_sweep,late_calls,accepted_position_p50_p95_p99_max_m,accepted_orientation_p50_p95_p99_max_rad,edge_fraction
panda,single_gn_k1,all,2000,6000,"[2000,2000,2000]",1.0,1.0,"[0,0,0]",0,0,"[0.329014,0.5035227,0.56507279]",0.3496638735,699.327747,0,"[7.463284427994352e-05,0.000706128442905195,0.0009509146085722335,0.0009974583814079507]","[0.00016762813839558299,0.001961978427638559,0.003885875257005679,0.007907802340583196]",0.0205
panda,single_gn_k1,local,500,1500,"[500,500,500]",1.0,1.0,"[0,0,0]",0,0,"[0.3202605,0.3642621,0.39415644]",0.32570361066666664,162.85180533333335,0,"[7.101271431716646e-05,0.0004017658150406391,0.000564161266051105,0.000815156756214587]","[0.00014425328711352182,0.000612172032449559,0.0008593436241736728,0.0059697569853409795]",0.0
panda,single_gn_k1,near_singular,500,1500,"[500,500,500]",1.0,1.0,"[0,0,0]",0,0,"[0.321431,0.3655501,0.39034536999999997]",0.324752436,162.376218,0,"[7.820558926958173e-05,0.0005016235040461348,0.0007938739449883113,0.0009833148183652318]","[0.0002108824084789191,0.0011015849308298473,0.005034379792855429,0.007728479697255406]",0.004
panda,single_gn_k1,near_limit,500,1500,"[500,500,500]",1.0,1.0,"[0,0,0]",0,0,"[0.3228905,0.3644085,0.38806583]",0.32622748133333335,163.11374066666667,0,"[7.906437081579692e-05,0.00036264325252075084,0.0006127187733631728,0.0006742697855920223]","[0.00015323731000383187,0.0006483854164340523,0.0011027541986851895,0.00654628063640001]",0.0
panda,single_gn_k1,hard_feasible,500,1500,"[500,500,500]",1.0,1.0,"[0,0,0]",0,0,"[0.432363,0.5528121500000001,0.60427112]",0.42197196600000003,210.985983,0,"[5.842552160333005e-05,0.0009349277970239332,0.000985064309290691,0.0009974583814079507]","[0.0001613900048306118,0.002960703493690995,0.004236846458850549,0.007907802340583196]",0.078
panda,task_balance_k1,all,2000,6000,"[2000,2000,2000]",1.0,1.0,"[0,0,0]",0,0,"[0.5600635,1.4622696000000002,2.350431040000005]",0.6872334725,1374.466945,0,"[7.490566348837302e-05,0.0007139435024733911,0.0009572541845248585,0.0009974583814080535]","[0.00016858095230624963,0.0019668888834986084,0.00419223810978799,0.008208022073391321]",0.022
panda,task_balance_k1,local,500,1500,"[500,500,500]",1.0,1.0,"[0,0,0]",0,0,"[0.551418,0.60368015,0.63318519]",0.5569781426666667,278.48907133333336,0,"[7.10127143172205e-05,0.00040176581504089046,0.0005641612660511054,0.000815156756214587]","[0.00014425328711372123,0.000612172032448981,0.0008593436241741122,0.0059697569853409795]",0.0
panda,task_balance_k1,near_singular,500,1500,"[500,500,500]",1.0,1.0,"[0,0,0]",0,0,"[0.55198,0.60392365,0.6358063100000001]",0.5553546920000001,277.677346,0,"[7.820415840238168e-05,0.0005030760359485809,0.0007959672298639682,0.0009833148183612805]","[0.0002108824084785817,0.0011233837181586223,0.0058260308427096905,0.007728479697255406]",0.006
panda,task_balance_k1,near_limit,500,1500,"[500,500,500]",1.0,1.0,"[0,0,0]",0,0,"[0.554539,0.59866825,0.62726664]",0.5569793120000001,278.489656,0,"[7.906437081578349e-05,0.0003626432525208186,0.000612718773362617,0.0006742697855928086]","[0.00015323731000375495,0.0006483854164296404,0.0011027541986851563,0.00654628063640001]",0.0
panda,task_balance_k1,hard_feasible,500,1500,"[500,500,500]",1.0,1.0,"[0,0,0]",0,0,"[1.116707,2.055214499999999,2.9884205]",1.0796217433333335,539.8108716666667,0,"[5.9963758290603494e-05,0.0009376044599883536,0.0009850643092907286,0.0009974583814080535]","[0.00016815498570999144,0.0029819796542815942,0.004251411599505952,0.008208022073391321]",0.082
panda,balance_cached_k1,all,2000,6000,"[2000,2000,2000]",1.0,1.0,"[0,0,0]",0,0,"[0.300762,0.97860715,1.8795280800000052]",0.3973507195,794.701439,0,"[7.490566348823365e-05,0.000713943502473736,0.0009572541845242557,0.0009974583814079507]","[0.0001685809523063351,0.001966888883498644,0.004192238109788248,0.008208022073391321]",0.022
panda,balance_cached_k1,local,500,1500,"[500,500,500]",1.0,1.0,"[0,0,0]",0,0,"[0.290956,0.33724249999999995,0.36953790999999997]",0.2966076753333333,148.30383766666668,0,"[7.101271431716646e-05,0.0004017658150406391,0.000564161266051105,0.000815156756214587]","[0.00014425328711352182,0.000612172032449559,0.0008593436241736728,0.0059697569853409795]",0.0
panda,balance_cached_k1,near_singular,500,1500,"[500,500,500]",1.0,1.0,"[0,0,0]",0,0,"[0.294149,0.34339729999999996,0.36449505]",0.2992467813333333,149.62339066666667,0,"[7.820415840240024e-05,0.0005030760359471592,0.0007959672298642845,0.0009833148183652318]","[0.0002108824084789191,0.0011233837181673708,0.0058260308427096905,0.007728479697255406]",0.006
panda,balance_cached_k1,near_limit,500,1500,"[500,500,500]",1.0,1.0,"[0,0,0]",0,0,"[0.295614,0.33880035,0.36552095]",0.298558822,149.279411,0,"[7.906437081579692e-05,0.00036264325252075084,0.0006127187733631728,0.0006742697855920223]","[0.00015323731000383187,0.0006483854164340523,0.0011027541986851895,0.00654628063640001]",0.0
panda,balance_cached_k1,hard_feasible,500,1500,"[500,500,500]",1.0,1.0,"[0,0,0]",0,0,"[0.6135495,1.5362594499999984,2.54982836]",0.6949895993333333,347.49479966666667,0,"[5.9963758290760636e-05,0.0009376044599892281,0.000985064309290691,0.0009974583814079507]","[0.0001681549857082465,0.0029819796542816094,0.004251411599505948,0.008208022073391321]",0.082
panda,balance_progress_k1,all,2000,6000,"[2000,2000,2000]",1.0,1.0,"[0,0,0]",0,0,"[0.301037,0.50833475,0.57049125]",0.32649108683333333,652.9821736666667,0,"[7.463284427994352e-05,0.000706128442905195,0.0009509146085722335,0.0009974583814079507]","[0.00016762813839558299,0.001961978427638559,0.003885875257005679,0.007907802340583196]",0.0205
panda,balance_progress_k1,local,500,1500,"[500,500,500]",1.0,1.0,"[0,0,0]",0,0,"[0.2928655,0.33986659999999996,0.38226191]",0.298073838,149.036919,0,"[7.101271431716646e-05,0.0004017658150406391,0.000564161266051105,0.000815156756214587]","[0.00014425328711352182,0.000612172032449559,0.0008593436241736728,0.0059697569853409795]",0.0
panda,balance_progress_k1,near_singular,500,1500,"[500,500,500]",1.0,1.0,"[0,0,0]",0,0,"[0.2924675,0.33956005,0.37522519]",0.2963737926666667,148.18689633333332,0,"[7.820558926958173e-05,0.0005016235040461348,0.0007938739449883113,0.0009833148183652318]","[0.0002108824084789191,0.0011015849308298473,0.005034379792855429,0.007728479697255406]",0.004
panda,balance_progress_k1,near_limit,500,1500,"[500,500,500]",1.0,1.0,"[0,0,0]",0,0,"[0.2947945,0.33793284999999995,0.36528304999999994]",0.298016364,149.008182,0,"[7.906437081579692e-05,0.00036264325252075084,0.0006127187733631728,0.0006742697855920223]","[0.00015323731000383187,0.0006483854164340523,0.0011027541986851895,0.00654628063640001]",0.0
panda,balance_progress_k1,hard_feasible,500,1500,"[500,500,500]",1.0,1.0,"[0,0,0]",0,0,"[0.437379,0.5595465,0.6099170300000001]",0.4135003526666667,206.75017633333334,0,"[5.842552160333005e-05,0.0009349277970239332,0.000985064309290691,0.0009974583814079507]","[0.0001613900048306118,0.002960703493690995,0.004236846458850549,0.007907802340583196]",0.078
panda,trac_task_5ms,all,2000,6000,"[2000,2000,2000]",1.0,1.0,"[0,0,0]",0,0,"[0.220709,0.27847920000000004,0.42336171000000083]",0.234101282,468.202564,0,"[7.237446712571469e-05,0.0005766090190125701,0.0007254953858652839,0.0008426962407521828]","[0.00011851533973904483,0.0017919007596357511,0.0044766390513163844,0.007641476872907331]",0.0
panda,trac_task_5ms,local,500,1500,"[500,500,500]",1.0,1.0,"[0,0,0]",0,0,"[0.217038,0.260438,0.29276652000000003]",0.2207900886666667,110.39504433333333,0,"[6.244466625404614e-05,0.0004100414689414052,0.000564192003598899,0.0007245303194483017]","[9.752368933231074e-05,0.0005259590829691001,0.0008222108851074088,0.0059697569853409795]",0.0
panda,trac_task_5ms,near_singular,500,1500,"[500,500,500]",1.0,1.0,"[0,0,0]",0,0,"[0.2189415,0.26605484999999995,0.31597119999999995]",0.22334165,111.670825,0,"[8.359991806746305e-05,0.00043860108495975765,0.000612712001129676,0.000700132718182134]","[0.00013071982103545122,0.0011043771977401148,0.004079642189303148,0.007641476872907331]",0.0
panda,trac_task_5ms,near_limit,500,1500,"[500,500,500]",1.0,1.0,"[0,0,0]",0,0,"[0.2167005,0.25915695,0.28778339999999997]",0.21974953866666666,109.87476933333333,0,"[6.785027147841705e-05,0.0003617539748156679,0.000552570141242874,0.0008155650738671695]","[0.00010783307570576434,0.0006545844548942821,0.0013935654893777174,0.004075115097669739]",0.0
panda,trac_task_5ms,hard_feasible,500,1500,"[500,500,500]",1.0,1.0,"[0,0,0]",0,0,"[0.2343995,0.3679715999999999,0.6812556999999974]",0.2725238506666667,136.26192533333332,0,"[0.00011578702860541899,0.000710590217880352,0.0008106170111363434,0.0008426962407521828]","[0.0002309420449878692,0.0037742546415744506,0.005282589727442869,0.006065262146484994]",0.0
panda,trac_task_20ms,all,2000,6000,"[2000,2000,2000]",1.0,1.0,"[0,0,0]",0,0,"[0.2205015,0.27850005000000005,0.4239429400000011]",0.235302334,470.604668,0,"[7.213159751421984e-05,0.0005748244439986018,0.0007252087829027977,0.0008426962407521828]","[0.0001181003546556634,0.001758208030961904,0.00445774608674705,0.007641476872907331]",0.0
panda,trac_task_20ms,local,500,1500,"[500,500,500]",1.0,1.0,"[0,0,0]",0,0,"[0.216745,0.25802179999999997,0.27877852999999997]",0.21976066733333335,109.88033366666667,0,"[6.244466625404614e-05,0.0004100414689414052,0.000564192003598899,0.0007245303194483017]","[9.752368933231074e-05,0.0005259590829691001,0.0008222108851074088,0.0059697569853409795]",0.0
panda,trac_task_20ms,near_singular,500,1500,"[500,500,500]",1.0,1.0,"[0,0,0]",0,0,"[0.217974,0.26538465,0.31288059]",0.223444652,111.722326,0,"[8.134909071065836e-05,0.00043860108495975765,0.000612712001129676,0.000700132718182134]","[0.00013000756379737426,0.0011043771977401148,0.003708565944825228,0.007641476872907331]",0.0
panda,trac_task_20ms,near_limit,500,1500,"[500,500,500]",1.0,1.0,"[0,0,0]",0,0,"[0.2165855,0.2564381,0.28366124]",0.21940643866666665,109.70321933333334,0,"[6.785027147841705e-05,0.0003617539748156679,0.000552570141242874,0.0008155650738671695]","[0.00010783307570576434,0.0006545844548942821,0.0013935654893777174,0.004075115097669739]",0.0
