robot,method,baseline,metric,units,difference,difference_ci,ratio,ratio_ci
panda,balance_cached_k1,task_balance_k1,accepted,2000,0.0,"[0.0,0.0]",1.0,"[1.0,1.0]"
panda,balance_cached_k1,task_balance_k1,deadline,2000,0.0,"[0.0,0.0]",1.0,"[1.0,1.0]"
panda,balance_cached_k1,task_balance_k1,total_latency_ns,2000,-289882.753,"[-292617.5852291666,-287178.0339791667]",0.5781888330533842,"[0.5727748804073383,0.5838689545799227]"
panda,balance_progress_k1,balance_cached_k1,accepted,2000,0.0,"[0.0,0.0]",1.0,"[1.0,1.0]"
panda,balance_progress_k1,balance_cached_k1,deadline,2000,0.0,"[0.0,0.0]",1.0,"[1.0,1.0]"
panda,balance_progress_k1,balance_cached_k1,total_latency_ns,2000,-70859.63266666667,"[-80339.24165000001,-62192.396941666666]",0.8216698015399803,"[0.8030981511661743,0.8396302530414508]"
panda,balance_progress_k1,single_gn_k1,accepted,2000,0.0,"[0.0,0.0]",1.0,"[1.0,1.0]"
panda,balance_progress_k1,single_gn_k1,deadline,2000,0.0,"[0.0,0.0]",1.0,"[1.0,1.0]"
panda,balance_progress_k1,single_gn_k1,total_latency_ns,2000,-23172.786666666667,"[-24076.674825000002,-22263.4746125]",0.9337283934004506,"[0.9310864415733482,0.936408910062995]"
panda,balance_progress_k1,task_balance_k1,accepted,2000,0.0,"[0.0,0.0]",1.0,"[1.0,1.0]"
panda,balance_progress_k1,task_balance_k1,deadline,2000,0.0,"[0.0,0.0]",1.0,"[1.0,1.0]"
panda,balance_progress_k1,task_balance_k1,total_latency_ns,2000,-360742.3856666666,"[-371873.72783333337,-350415.06995416665]",0.475080303707607,"[0.468726998121993,0.4811249996079526]"
panda,balance_progress_k1,trac_task_5ms,accepted,2000,0.0,"[0.0,0.0]",1.0,"[1.0,1.0]"
panda,balance_progress_k1,trac_task_5ms,deadline,2000,0.0,"[0.0,0.0]",1.0,"[1.0,1.0]"
panda,balance_progress_k1,trac_task_5ms,total_latency_ns,2000,92389.80483333333,"[85400.4229875,97895.67348333333]",1.3946574065892274,"[1.3547865763611762,1.4263934991768823]"
panda,balance_progress_k1,trac_task_20ms,accepted,2000,0.0,"[0.0,0.0]",1.0,"[1.0,1.0]"
panda,balance_progress_k1,trac_task_20ms,deadline,2000,0.0,"[0.0,0.0]",1.0,"[1.0,1.0]"
panda,balance_progress_k1,trac_task_20ms,total_latency_ns,2000,91188.75283333335,"[83589.69280833332,97220.46756666669]",1.3875386668851886,"[1.3444088202195463,1.4223431618150142]"
ur5e,balance_cached_k1,task_balance_k1,accepted,2000,0.0,"[0.0,0.0]",1.0,"[1.0,1.0]"
ur5e,balance_cached_k1,task_balance_k1,deadline,2000,0.0,"[0.0,0.0]",1.0,"[1.0,1.0]"
ur5e,balance_cached_k1,task_balance_k1,total_latency_ns,2000,-282424.355,"[-284694.41397083335,-280058.5243375]",0.6036061334527615,"[0.5972201429483863,0.6098465522270461]"
ur5e,balance_progress_k1,balance_cached_k1,accepted,2000,0.0,"[0.0,0.0]",1.0,"[1.0,1.0]"
ur5e,balance_progress_k1,balance_cached_k1,deadline,2000,0.0,"[0.0,0.0]",1.0,"[1.0,1.0]"
ur5e,balance_progress_k1,balance_cached_k1,total_latency_ns,2000,-108214.302,"[-119003.71198333334,-97169.45716249998]",0.7483738349280553,"[0.7305874142394415,0.7674894808138952]"
ur5e,balance_progress_k1,single_gn_k1,accepted,2000,0.0,"[0.0,0.0]",1.0,"[1.0,1.0]"
ur5e,balance_progress_k1,single_gn_k1,deadline,2000,0.0,"[0.0,0.0]",1.0,"[1.0,1.0]"
ur5e,balance_progress_k1,single_gn_k1,total_latency_ns,2000,-21156.472333333335,"[-22003.430408333334,-20306.2019375]",0.9383196796579086,"[0.9358007372858868,0.9408406298896489]"
ur5e,balance_progress_k1,task_balance_k1,accepted,2000,0.0,"[0.0,0.0]",1.0,"[1.0,1.0]"
ur5e,balance_progress_k1,task_balance_k1,deadline,2000,0.0,"[0.0,0.0]",1.0,"[1.0,1.0]"
ur5e,balance_progress_k1,task_balance_k1,total_latency_ns,2000,-390638.657,"[-402207.1148416667,-378739.68052083335]",0.45172303687813864,"[0.4452654474390082,0.458515511328499]"
ur5e,balance_progress_k1,trac_task_5ms,accepted,2000,0.0003333333333333334,"[0.0,0.001]",1.000333444481494,"[1.0,1.001001001001001]"
ur5e,balance_progress_k1,trac_task_5ms,deadline,2000,0.0003333333333333334,"[0.0,0.001]",1.000333444481494,"[1.0,1.001001001001001]"
ur5e,balance_progress_k1,trac_task_5ms,total_latency_ns,2000,85947.119,"[75169.92617916668,95594.1447625]",1.364339568161706,"[1.3048078957173777,1.4222959044313241]"
ur5e,balance_progress_k1,trac_task_20ms,accepted,2000,0.0,"[0.0,0.0]",1.0,"[1.0,1.0]"
ur5e,balance_progress_k1,trac_task_20ms,deadline,2000,0.0,"[0.0,0.0]",1.0,"[1.0,1.0]"
ur5e,balance_progress_k1,trac_task_20ms,total_latency_ns,2000,86574.58733333334,"[75913.03970416667,95942.35695833332]",1.3679782662817963,"[1.3091718932502043,1.424222786926248]"
