robot,method,uid,family,accepted,deadline,total_latency_ns,accepted_by_repeat
panda,balance_progress_k1,72ab93068a27f78bd30e6eaa894a4a51db9778d63d20779a06f2a8e41a207be0,local,1.0,1.0,330420.3333333333,"[true,true,true]"
panda,balance_cached_k1,72ab93068a27f78bd30e6eaa894a4a51db9778d63d20779a06f2a8e41a207be0,local,1.0,1.0,307410.6666666667,"[true,true,true]"
panda,trac_task_5ms,72ab93068a27f78bd30e6eaa894a4a51db9778d63d20779a06f2a8e41a207be0,local,1.0,1.0,223392.33333333334,"[true,true,true]"
panda,task_balance_k1,72ab93068a27f78bd30e6eaa894a4a51db9778d63d20779a06f2a8e41a207be0,local,1.0,1.0,574559.6666666666,"[true,true,true]"
panda,single_gn_k1,72ab93068a27f78bd30e6eaa894a4a51db9778d63d20779a06f2a8e41a207be0,local,1.0,1.0,334221.6666666667,"[true,true,true]"
panda,trac_task_20ms,72ab93068a27f78bd30e6eaa894a4a51db9778d63d20779a06f2a8e41a207be0,local,1.0,1.0,209636.66666666666,"[true,true,true]"
panda,trac_task_5ms,58c42ae57f631b7fcf584c250b60237cec9073dc54ade7118dcb06017b4f3871,local,1.0,1.0,217576.0,"[true,true,true]"
panda,task_balance_k1,58c42ae57f631b7fcf584c250b60237cec9073dc54ade7118dcb06017b4f3871,local,1.0,1.0,570124.6666666666,"[true,true,true]"
panda,trac_task_20ms,58c42ae57f631b7fcf584c250b60237cec9073dc54ade7118dcb06017b4f3871,local,1.0,1.0,221380.66666666666,"[true,true,true]"
panda,single_gn_k1,58c42ae57f631b7fcf584c250b60237cec9073dc54ade7118dcb06017b4f3871,local,1.0,1.0,319707.6666666667,"[true,true,true]"
panda,balance_progress_k1,58c42ae57f631b7fcf584c250b60237cec9073dc54ade7118dcb06017b4f3871,local,1.0,1.0,304120.0,"[true,true,true]"
panda,balance_cached_k1,58c42ae57f631b7fcf584c250b60237cec9073dc54ade7118dcb06017b4f3871,local,1.0,1.0,288136.6666666667,"[true,true,true]"
panda,task_balance_k1,2a20ea59f5f0353721c68360f1391663dab3a6de6a6338a4c81cff6469018387,local,1.0,1.0,554975.3333333334,"[true,true,true]"
panda,balance_progress_k1,2a20ea59f5f0353721c68360f1391663dab3a6de6a6338a4c81cff6469018387,local,1.0,1.0,297378.3333333333,"[true,true,true]"
panda,trac_task_20ms,2a20ea59f5f0353721c68360f1391663dab3a6de6a6338a4c81cff6469018387,local,1.0,1.0,226437.33333333334,"[true,true,true]"
panda,trac_task_5ms,2a20ea59f5f0353721c68360f1391663dab3a6de6a6338a4c81cff6469018387,local,1.0,1.0,213865.66666666666,"[true,true,true]"
panda,balance_cached_k1,2a20ea59f5f0353721c68360f1391663dab3a6de6a6338a4c81cff6469018387,local,1.0,1.0,300898.6666666667,"[true,true,true]"
panda,single_gn_k1,2a20ea59f5f0353721c68360f1391663dab3a6de6a6338a4c81cff6469018387,local,1.0,1.0,328543.6666666667,"[true,true,true]"
panda,balance_cached_k1,20089f02a875de8060526b08a06f661ae01597ded44e3971afe1e59ea5724845,local,1.0,1.0,299196.6666666667,"[true,true,true]"
panda,single_gn_k1,20089f02a875de8060526b08a06f661ae01597ded44e3971afe1e59ea5724845,local,1.0,1.0,323771.3333333333,"[true,true,true]"
panda,trac_task_20ms,20089f02a875de8060526b08a06f661ae01597ded44e3971afe1e59ea5724845,local,1.0,1.0,226847.33333333334,"[true,true,true]"
panda,task_balance_k1,20089f02a875de8060526b08a06f661ae01597ded44e3971afe1e59ea5724845,local,1.0,1.0,564430.3333333334,"[true,true,true]"
panda,trac_task_5ms,20089f02a875de8060526b08a06f661ae01597ded44e3971afe1e59ea5724845,local,1.0,1.0,222540.0,"[true,true,true]"
