robot,stratum,kappa,method,calls,tight_quality_calls,p50_p95_p99_ms,kernel_p50_ms,mean_qps,statuses,relative_stops,achieved_at_least80_calls,minimum_achieved_fraction,max_normalized_gap
panda,historical_failure_inputs,0,cached_command,205,125,"[0.957007,1.9983326000000001,2.04737004]",0.816379,5.121951219512195,"{""task"":60,""tight_gap"":125,""task_first"":20}",0,0,,0.24625018964279968
panda,historical_failure_inputs,0,cached_tight,205,205,"[0.45217,1.1681249999999999,1.2418379199999998]",0.4079,6.365853658536586,"{""tight_gap"":205}",0,0,,1.8489088038364798e-08
panda,historical_failure_inputs,0,clarabel_command,205,205,"[0.266557,0.2953036,0.30018756]",0.15167,12.121951219512194,"{""Solved"":200,""AlmostSolved"":5}",0,0,,1.5016444416657154e-10
panda,historical_failure_inputs,0,clarabel_epigraph,205,205,"[0.15906,0.186435,0.19614568000000004]",0.152136,12.121951219512194,"{""Solved"":200,""AlmostSolved"":5}",0,0,,1.5016444416657154e-10
panda,historical_failure_inputs,0,old_command,205,125,"[0.955996,2.0101282,2.03831664]",0.815676,5.121951219512195,"{""task_feasible_early"":80,""gap_converged"":125}",0,0,,0.24625018964280002
panda,historical_failure_inputs,0,old_tight,205,205,"[0.449965,1.1638597999999998,1.23404556]",0.407559,6.365853658536586,"{""gap_converged"":205}",0,0,,1.8489088038364798e-08
panda,historical_failure_inputs,0,relative_command,205,0,"[0.35739,0.384743,0.41191336000000006]",0.217331,1.0,"{""relative_progress"":185,""task_first"":20}",185,185,0.9218565698404324,0.3132126822411592
panda,historical_failure_inputs,0,relative_progress,205,0,"[0.155458,0.1781562,0.20773980000000003]",0.113736,1.0,"{""relative_progress"":205}",205,205,0.9218565698404324,0.3132126822411592
panda,historical_failure_inputs,1,cached_command,205,125,"[0.959697,2.2449934,2.2818146]",0.81983,5.512195121951219,"{""task"":60,""tight_gap"":125,""task_first"":20}",0,0,,0.2154565107890318
panda,historical_failure_inputs,1,cached_tight,205,205,"[0.449739,1.2444164,1.32740548]",0.405692,6.682926829268292,"{""tight_gap"":205}",0,0,,1.7298356324891995e-08
panda,historical_failure_inputs,1,clarabel_command,205,205,"[0.265958,0.2949696,0.30040520000000004]",0.151187,11.951219512195122,"{""Solved"":205}",0,0,,1.2711787178432132e-10
panda,historical_failure_inputs,1,clarabel_epigraph,205,205,"[0.158772,0.18307779999999998,0.1929306]",0.152168,11.951219512195122,"{""Solved"":205}",0,0,,1.2711787178432132e-10
panda,historical_failure_inputs,1,old_command,205,125,"[0.968645,2.2677969999999994,2.88522096]",0.825185,5.853658536585366,"{""task_feasible_early"":80,""gap_converged"":125}",0,0,,0.2154565107890321
panda,historical_failure_inputs,1,old_tight,205,205,"[0.455752,1.3056717999999998,1.3588718800000001]",0.412167,7.024390243902439,"{""gap_converged"":205}",0,0,,1.729835648084064e-08
