robot,stratum,kappa,method,calls,command_accepted_calls,verifier_calls,full_call_p50_ms,common_tight_quality_calls,common_tight_full_call_p50_ms,native_clarabel_solve_p50_ms,clarabel_setup_update_p50_ms,call_segment_p50_ms,segment_note
panda,historical_failure_inputs,0,cached_command,205,80,1255,0.957007,205,0.957007,,,0.816379,"kernel_ns is the solver-subroutine invocation, not a matched bare native kernel: Clarabel includes its internal setup/update/quality. Use solve_ns for native conic solve. outer_ns includes common final quality/command checks."
panda,historical_failure_inputs,0,cached_tight,205,,0,0.45217,205,0.45217,,,0.4079,"kernel_ns is the solver-subroutine invocation, not a matched bare native kernel: Clarabel includes its internal setup/update/quality. Use solve_ns for native conic solve. outer_ns includes common final quality/command checks."
panda,historical_failure_inputs,0,clarabel_command,205,80,205,0.266557,205,0.266557,0.063215,0.024345,0.15167,"kernel_ns is the solver-subroutine invocation, not a matched bare native kernel: Clarabel includes its internal setup/update/quality. Use solve_ns for native conic solve. outer_ns includes common final quality/command checks."
panda,historical_failure_inputs,0,clarabel_epigraph,205,,0,0.15906,205,0.15906,0.063511,0.024242,0.152136,"kernel_ns is the solver-subroutine invocation, not a matched bare native kernel: Clarabel includes its internal setup/update/quality. Use solve_ns for native conic solve. outer_ns includes common final quality/command checks."
panda,historical_failure_inputs,0,old_command,205,80,1255,0.955996,205,0.955996,,,0.815676,"kernel_ns is the solver-subroutine invocation, not a matched bare native kernel: Clarabel includes its internal setup/update/quality. Use solve_ns for native conic solve. outer_ns includes common final quality/command checks."
panda,historical_failure_inputs,0,old_tight,205,,0,0.449965,205,0.449965,,,0.407559,"kernel_ns is the solver-subroutine invocation, not a matched bare native kernel: Clarabel includes its internal setup/update/quality. Use solve_ns for native conic solve. outer_ns includes common final quality/command checks."
panda,historical_failure_inputs,0,relative_command,205,20,410,0.35739,205,0.35739,,,0.217331,"kernel_ns is the solver-subroutine invocation, not a matched bare native kernel: Clarabel includes its internal setup/update/quality. Use solve_ns for native conic solve. outer_ns includes common final quality/command checks."
panda,historical_failure_inputs,0,relative_progress,205,,0,0.155458,205,0.155458,,,0.113736,"kernel_ns is the solver-subroutine invocation, not a matched bare native kernel: Clarabel includes its internal setup/update/quality. Use solve_ns for native conic solve. outer_ns includes common final quality/command checks."
panda,historical_failure_inputs,1,cached_command,205,80,1335,0.959697,205,0.959697,,,0.81983,"kernel_ns is the solver-subroutine invocation, not a matched bare native kernel: Clarabel includes its internal setup/update/quality. Use solve_ns for native conic solve. outer_ns includes common final quality/command checks."
panda,historical_failure_inputs,1,cached_tight,205,,0,0.449739,205,0.449739,,,0.405692,"kernel_ns is the solver-subroutine invocation, not a matched bare native kernel: Clarabel includes its internal setup/update/quality. Use solve_ns for native conic solve. outer_ns includes common final quality/command checks."
