robot,uid,site_id,family,method,repeat,frame,dt,previous_q,target_position,target_rotation,q,accepted,failure_kind,verification_reasons,position_error,orientation_error,velocity_utilization,internal_status,total_latency_ns
panda,4e626ba28da6a8d45d22f023c3732e2d796c83a0e74df2aa41168fe26f6dccab,trajectory_14,near_singular,task_balance_k0,2,122,0.02,"[-2.580878824213432,0.04529988210385158,2.897299999999,-0.573984501755406,-2.897299999999,2.029832303950533,-1.7648163006722353]","[0.20345807338386102,0.045433628449392,1.1610273074352238]","[[0.34441197335250046,0.8332610360490273,-0.43250021781952736],[-0.9093383559548955,0.18154820955192075,-0.3743581199837129],[-0.2334183947350436,0.5222224558662657,0.8202435977124855]]","[-2.5731874055571327,0.03982289625565142,2.897299999999,-0.5664759301540319,-2.897299999999,2.025344530881362,-1.771292578938473]",False,position_tolerance+orientation_tolerance,"[""position_tolerance"",""orientation_tolerance""]",0.0010865753995241286,0.009482159146505353,0.17640868477750685,deadline,20263209
panda,4e626ba28da6a8d45d22f023c3732e2d796c83a0e74df2aa41168fe26f6dccab,trajectory_14,near_singular,single_gn_k0,2,122,0.02,"[-2.5808788242134333,0.04529988210385024,2.897299999999,-0.5739845017554034,-2.897299999999,2.029832303950535,-1.7648163006722346]","[0.20345807338386102,0.045433628449392,1.1610273074352238]","[[0.34441197335250046,0.8332610360490273,-0.43250021781952736],[-0.9093383559548955,0.18154820955192075,-0.3743581199837129],[-0.2334183947350436,0.5222224558662657,0.8202435977124855]]","[-2.578625057562058,0.03536197734721825,2.897299999999,-0.5578130621809242,-2.897299999999,2.0328716416401473,-1.7683276689601262]",False,position_tolerance,"[""position_tolerance""]",0.001315487164951526,0.004232269771441956,0.37090457739631183,stationary,3923335
panda,4e626ba28da6a8d45d22f023c3732e2d796c83a0e74df2aa41168fe26f6dccab,trajectory_14,near_singular,single_gn_k0,0,122,0.02,"[-2.5808788242134333,0.04529988210385024,2.897299999999,-0.5739845017554034,-2.897299999999,2.029832303950535,-1.7648163006722346]","[0.20345807338386102,0.045433628449392,1.1610273074352238]","[[0.34441197335250046,0.8332610360490273,-0.43250021781952736],[-0.9093383559548955,0.18154820955192075,-0.3743581199837129],[-0.2334183947350436,0.5222224558662657,0.8202435977124855]]","[-2.578625057562058,0.03536197734721825,2.897299999999,-0.5578130621809242,-2.897299999999,2.0328716416401473,-1.7683276689601262]",False,position_tolerance,"[""position_tolerance""]",0.001315487164951526,0.004232269771441956,0.37090457739631183,stationary,3854546
panda,4e626ba28da6a8d45d22f023c3732e2d796c83a0e74df2aa41168fe26f6dccab,trajectory_14,near_singular,task_balance_k0,1,122,0.02,"[-2.580878824213432,0.04529988210385158,2.897299999999,-0.573984501755406,-2.897299999999,2.029832303950533,-1.7648163006722353]","[0.20345807338386102,0.045433628449392,1.1610273074352238]","[[0.34441197335250046,0.8332610360490273,-0.43250021781952736],[-0.9093383559548955,0.18154820955192075,-0.3743581199837129],[-0.2334183947350436,0.5222224558662657,0.8202435977124855]]","[-2.5731874055571327,0.03982289625565142,2.897299999999,-0.5664759301540319,-2.897299999999,2.025344530881362,-1.771292578938473]",False,position_tolerance+orientation_tolerance,"[""position_tolerance"",""orientation_tolerance""]",0.0010865753995241286,0.009482159146505353,0.17640868477750685,deadline,20297186
panda,5560810f9d87891ba612f00a19811ec608860538b5dbf8f478a2cc168f4d1547,trajectory_20,joint_limit_return,task_excess_gn,2,140,0.02,"[0.4146921844346287,0.0052088772605461,1.0853345502099514,-1.643620620778809,2.300721671358109,2.1809585719942057,-1.66483672439737]","[0.013573299563464938,0.6094720328904413,0.7106790394646714]","[[0.605818741332023,0.553350727047089,-0.5716525391593581],[-0.05788516909657572,0.7472670117371679,0.6619979761057161],[0.7934941460713772,-0.3679605767549851,0.48473916089438684]]","[0.4193903924947806,0.010804615843314293,1.0897741145517794,-1.6492500996148185,2.288829158504674,2.189788879992663,-1.6788212866359906]",False,position_tolerance,"[""position_tolerance""]",0.0010085263850162412,0.008696771095957465,0.26739124739236225,deadline,46663544
panda,4e626ba28da6a8d45d22f023c3732e2d796c83a0e74df2aa41168fe26f6dccab,trajectory_14,near_singular,task_balance_k0,0,122,0.02,"[-2.580878824213432,0.04529988210385158,2.897299999999,-0.573984501755406,-2.897299999999,2.029832303950533,-1.7648163006722353]","[0.20345807338386102,0.045433628449392,1.1610273074352238]","[[0.34441197335250046,0.8332610360490273,-0.43250021781952736],[-0.9093383559548955,0.18154820955192075,-0.3743581199837129],[-0.2334183947350436,0.5222224558662657,0.8202435977124855]]","[-2.5731874055571327,0.03982289625565142,2.897299999999,-0.5664759301540319,-2.897299999999,2.025344530881362,-1.771292578938473]",False,position_tolerance+orientation_tolerance,"[""position_tolerance"",""orientation_tolerance""]",0.0010865753995241286,0.009482159146505353,0.17640868477750685,deadline,20180551
panda,4e626ba28da6a8d45d22f023c3732e2d796c83a0e74df2aa41168fe26f6dccab,trajectory_14,near_singular,single_gn_k0,1,122,0.02,"[-2.5808788242134333,0.04529988210385024,2.897299999999,-0.5739845017554034,-2.897299999999,2.029832303950535,-1.7648163006722346]","[0.20345807338386102,0.045433628449392,1.1610273074352238]","[[0.34441197335250046,0.8332610360490273,-0.43250021781952736],[-0.9093383559548955,0.18154820955192075,-0.3743581199837129],[-0.2334183947350436,0.5222224558662657,0.8202435977124855]]","[-2.578625057562058,0.03536197734721825,2.897299999999,-0.5578130621809242,-2.897299999999,2.0328716416401473,-1.7683276689601262]",False,position_tolerance,"[""position_tolerance""]",0.001315487164951526,0.004232269771441956,0.37090457739631183,stationary,3975576
ur5e,382307fdf25e31f8b1ae5c14a7545e81bf0c54489223c4626934c3dbe31a195e,trajectory_30,high_curvature,task_excess_gn,2,32,0.02,"[-1.430678152408611,-2.307905409183095,1.2704790394893248,-0.016771623535894,1.3942222915072966,-1.7214682445427798]","[0.15762512615965685,-0.014257327130979866,0.848279975607858]","[[-0.0008233108627380007,0.9686686108333386,0.24835548020012246],[-0.8820017899516456,0.11633303003599214,-0.456661218678287],[-0.47124533385627987,-0.21942595222273745,0.8542716703776545]]","[-1.4765455113023678,-2.3374084467136877,1.2703370067423034,0.006838638220125566,1.3560837426400512,-1.658536391471047]",False,position_tolerance+orientation_tolerance,"[""position_tolerance"",""orientation_tolerance""]",0.0010623235640887412,0.009199379787194328,0.999999999998999,stationary,12709907
ur5e,382307fdf25e31f8b1ae5c14a7545e81bf0c54489223c4626934c3dbe31a195e,trajectory_30,high_curvature,task_excess_gn,0,32,0.02,"[-1.430678152408611,-2.307905409183095,1.2704790394893248,-0.016771623535894,1.3942222915072966,-1.7214682445427798]","[0.15762512615965685,-0.014257327130979866,0.848279975607858]","[[-0.0008233108627380007,0.9686686108333386,0.24835548020012246],[-0.8820017899516456,0.11633303003599214,-0.456661218678287],[-0.47124533385627987,-0.21942595222273745,0.8542716703776545]]","[-1.4765455113023678,-2.3374084467136877,1.2703370067423034,0.006838638220125566,1.3560837426400512,-1.658536391471047]",False,position_tolerance+orientation_tolerance,"[""position_tolerance"",""orientation_tolerance""]",0.0010623235640887412,0.009199379787194328,0.999999999998999,stationary,12800195
ur5e,382307fdf25e31f8b1ae5c14a7545e81bf0c54489223c4626934c3dbe31a195e,trajectory_30,high_curvature,task_excess_gn,1,32,0.02,"[-1.430678152408611,-2.307905409183095,1.2704790394893248,-0.016771623535894,1.3942222915072966,-1.7214682445427798]","[0.15762512615965685,-0.014257327130979866,0.848279975607858]","[[-0.0008233108627380007,0.9686686108333386,0.24835548020012246],[-0.8820017899516456,0.11633303003599214,-0.456661218678287],[-0.47124533385627987,-0.21942595222273745,0.8542716703776545]]","[-1.4765455113023678,-2.3374084467136877,1.2703370067423034,0.006838638220125566,1.3560837426400512,-1.658536391471047]",False,position_tolerance+orientation_tolerance,"[""position_tolerance"",""orientation_tolerance""]",0.0010623235640887412,0.009199379787194328,0.999999999998999,stationary,12658423
