robot,source_group,method,inputs,source_uids,stable_three_success,any_success,accepted_calls,calls,latency_p50_p95_p99_ms
panda,all52,single_gn_k0,41,13,4,4,12,123,"[3.78358,7.4562661,7.57491664]"
panda,all52,single_gn_k1,41,13,4,4,12,123,"[3.924119,7.3131408,7.3690468]"
panda,all52,task_excess_gn,41,13,21,21,63,123,"[7.214049,19.330817600000003,20.18877508]"
panda,all52,task_balance_k0,41,13,21,21,63,123,"[2.936393,20.2406241,20.276392859999998]"
panda,all52,task_balance_k1,41,13,21,21,63,123,"[2.940308,20.269355899999997,20.29169398]"
panda,direct_k0_k1_sources16,single_gn_k0,13,10,0,0,0,39,"[3.78358,7.4180068,7.542489699999999]"
panda,direct_k0_k1_sources16,single_gn_k1,13,10,0,0,0,39,"[3.940964,7.2480606,7.3092188799999995]"
panda,direct_k0_k1_sources16,task_excess_gn,13,10,5,5,15,39,"[14.160116,20.1741986,20.20789422]"
panda,direct_k0_k1_sources16,task_balance_k0,13,10,5,5,15,39,"[7.408166,20.2497969,20.2896971]"
panda,direct_k0_k1_sources16,task_balance_k1,13,10,5,5,15,39,"[18.845733,20.2807521,20.29695388]"
ur5e,all52,single_gn_k0,11,3,1,1,3,33,"[3.864181,4.3891972,4.40566336]"
ur5e,all52,single_gn_k1,11,3,1,1,3,33,"[3.282334,4.5482422,4.56363244]"
ur5e,all52,task_excess_gn,11,3,6,6,18,33,"[2.368638,17.893489199999998,17.923288760000002]"
ur5e,all52,task_balance_k0,11,3,6,6,18,33,"[1.35899,20.2358162,20.25619588]"
ur5e,all52,task_balance_k1,11,3,6,6,18,33,"[1.345967,20.2242716,20.2554202]"
ur5e,direct_k0_k1_sources16,single_gn_k0,3,2,0,0,0,9,"[3.748957,4.3408812,4.34749624]"
ur5e,direct_k0_k1_sources16,single_gn_k1,3,2,0,0,0,9,"[3.282334,4.332023,4.332679]"
ur5e,direct_k0_k1_sources16,task_excess_gn,3,2,1,1,3,9,"[11.54306,13.308454800000002,13.31223176]"
ur5e,direct_k0_k1_sources16,task_balance_k0,3,2,1,1,3,9,"[20.19742,20.247870600000002,20.25902772]"
ur5e,direct_k0_k1_sources16,task_balance_k1,3,2,1,1,3,9,"[20.165106,20.2173624,20.22636688]"
