robot,source_uid,method,unique_inputs,stable_three_success,partial_search_success
panda,16eb39236436e36522bf1742998d048f374e3572a63c53e2c2e5ca5d926ace93,single_gn_k0,6,0,0
panda,16eb39236436e36522bf1742998d048f374e3572a63c53e2c2e5ca5d926ace93,single_gn_k1,6,0,0
panda,16eb39236436e36522bf1742998d048f374e3572a63c53e2c2e5ca5d926ace93,task_balance_k0,6,5,0
panda,16eb39236436e36522bf1742998d048f374e3572a63c53e2c2e5ca5d926ace93,task_balance_k1,6,5,0
panda,16eb39236436e36522bf1742998d048f374e3572a63c53e2c2e5ca5d926ace93,task_excess_gn,6,5,0
panda,2e9f7ef4bb4fbdc88f8581fc058a669a339276f9db5b4987a20be41acbf962af,single_gn_k0,1,0,0
panda,2e9f7ef4bb4fbdc88f8581fc058a669a339276f9db5b4987a20be41acbf962af,single_gn_k1,1,0,0
panda,2e9f7ef4bb4fbdc88f8581fc058a669a339276f9db5b4987a20be41acbf962af,task_balance_k0,1,0,0
panda,2e9f7ef4bb4fbdc88f8581fc058a669a339276f9db5b4987a20be41acbf962af,task_balance_k1,1,0,0
panda,2e9f7ef4bb4fbdc88f8581fc058a669a339276f9db5b4987a20be41acbf962af,task_excess_gn,1,0,0
panda,4e626ba28da6a8d45d22f023c3732e2d796c83a0e74df2aa41168fe26f6dccab,single_gn_k0,1,0,0
panda,4e626ba28da6a8d45d22f023c3732e2d796c83a0e74df2aa41168fe26f6dccab,single_gn_k1,1,0,0
panda,4e626ba28da6a8d45d22f023c3732e2d796c83a0e74df2aa41168fe26f6dccab,task_balance_k0,1,0,0
panda,4e626ba28da6a8d45d22f023c3732e2d796c83a0e74df2aa41168fe26f6dccab,task_balance_k1,1,0,0
panda,4e626ba28da6a8d45d22f023c3732e2d796c83a0e74df2aa41168fe26f6dccab,task_excess_gn,1,0,0
panda,4f1940d91117f91ea27fc47a289476bf2361c47cbbb34e21aa92e2a9bf8c25da,single_gn_k0,5,0,0
panda,4f1940d91117f91ea27fc47a289476bf2361c47cbbb34e21aa92e2a9bf8c25da,single_gn_k1,5,0,0
panda,4f1940d91117f91ea27fc47a289476bf2361c47cbbb34e21aa92e2a9bf8c25da,task_balance_k0,5,0,0
panda,4f1940d91117f91ea27fc47a289476bf2361c47cbbb34e21aa92e2a9bf8c25da,task_balance_k1,5,0,0
panda,4f1940d91117f91ea27fc47a289476bf2361c47cbbb34e21aa92e2a9bf8c25da,task_excess_gn,5,0,0
panda,617dfe3c6044a249e2b35c9a35fdace22f1d096e467cd2c20a564e43995edf0f,single_gn_k0,5,0,0
panda,617dfe3c6044a249e2b35c9a35fdace22f1d096e467cd2c20a564e43995edf0f,single_gn_k1,5,0,0
panda,617dfe3c6044a249e2b35c9a35fdace22f1d096e467cd2c20a564e43995edf0f,task_balance_k0,5,5,0
panda,617dfe3c6044a249e2b35c9a35fdace22f1d096e467cd2c20a564e43995edf0f,task_balance_k1,5,5,0
panda,617dfe3c6044a249e2b35c9a35fdace22f1d096e467cd2c20a564e43995edf0f,task_excess_gn,5,5,0
panda,6292d6a262da269233959d5b381d94998db141290bc3e30dd2208b51a11c8100,single_gn_k0,5,0,0
panda,6292d6a262da269233959d5b381d94998db141290bc3e30dd2208b51a11c8100,single_gn_k1,5,0,0
panda,6292d6a262da269233959d5b381d94998db141290bc3e30dd2208b51a11c8100,task_balance_k0,5,5,0
panda,6292d6a262da269233959d5b381d94998db141290bc3e30dd2208b51a11c8100,task_balance_k1,5,5,0
panda,6292d6a262da269233959d5b381d94998db141290bc3e30dd2208b51a11c8100,task_excess_gn,5,5,0
panda,700234aadb2ef0f2c5056fb078594221aa97a092642689035f4bffd6e6845062,single_gn_k0,6,0,0
panda,700234aadb2ef0f2c5056fb078594221aa97a092642689035f4bffd6e6845062,single_gn_k1,6,0,0
panda,700234aadb2ef0f2c5056fb078594221aa97a092642689035f4bffd6e6845062,task_balance_k0,6,0,0
panda,700234aadb2ef0f2c5056fb078594221aa97a092642689035f4bffd6e6845062,task_balance_k1,6,0,0
panda,700234aadb2ef0f2c5056fb078594221aa97a092642689035f4bffd6e6845062,task_excess_gn,6,0,0
panda,98aff3582a84a6146748002550a34794014c19c6a94d633ebdfdfefa61217699,single_gn_k0,1,1,0
panda,98aff3582a84a6146748002550a34794014c19c6a94d633ebdfdfefa61217699,single_gn_k1,1,1,0
panda,98aff3582a84a6146748002550a34794014c19c6a94d633ebdfdfefa61217699,task_balance_k0,1,1,0
panda,98aff3582a84a6146748002550a34794014c19c6a94d633ebdfdfefa61217699,task_balance_k1,1,1,0
panda,98aff3582a84a6146748002550a34794014c19c6a94d633ebdfdfefa61217699,task_excess_gn,1,1,0
panda,c2ebae0d24e306f3744e9ac2a38add8502705448e7eda234f19e3082f56fa52c,single_gn_k0,2,1,0
panda,c2ebae0d24e306f3744e9ac2a38add8502705448e7eda234f19e3082f56fa52c,single_gn_k1,2,1,0
panda,c2ebae0d24e306f3744e9ac2a38add8502705448e7eda234f19e3082f56fa52c,task_balance_k0,2,2,0
panda,c2ebae0d24e306f3744e9ac2a38add8502705448e7eda234f19e3082f56fa52c,task_balance_k1,2,2,0
panda,c2ebae0d24e306f3744e9ac2a38add8502705448e7eda234f19e3082f56fa52c,task_excess_gn,2,2,0
panda,c6cfd91b767095758b663e0ee9d436d5e7a392ae0b0f544dc5c1085014080e48,single_gn_k0,1,0,0
panda,c6cfd91b767095758b663e0ee9d436d5e7a392ae0b0f544dc5c1085014080e48,single_gn_k1,1,0,0
panda,c6cfd91b767095758b663e0ee9d436d5e7a392ae0b0f544dc5c1085014080e48,task_balance_k0,1,0,0
panda,c6cfd91b767095758b663e0ee9d436d5e7a392ae0b0f544dc5c1085014080e48,task_balance_k1,1,0,0
panda,c6cfd91b767095758b663e0ee9d436d5e7a392ae0b0f544dc5c1085014080e48,task_excess_gn,1,0,0
panda,d677d8817a9086e31204c00a069fcd9714941f266e92b8c76d39517d2a87c663,single_gn_k0,6,0,0
panda,d677d8817a9086e31204c00a069fcd9714941f266e92b8c76d39517d2a87c663,single_gn_k1,6,0,0
panda,d677d8817a9086e31204c00a069fcd9714941f266e92b8c76d39517d2a87c663,task_balance_k0,6,1,0
panda,d677d8817a9086e31204c00a069fcd9714941f266e92b8c76d39517d2a87c663,task_balance_k1,6,1,0
panda,d677d8817a9086e31204c00a069fcd9714941f266e92b8c76d39517d2a87c663,task_excess_gn,6,1,0
panda,d7da3b52b00c623aa961e4db17e1e3c8b05d3c4295e5905a19047bd8a7f4482c,single_gn_k0,1,1,0
panda,d7da3b52b00c623aa961e4db17e1e3c8b05d3c4295e5905a19047bd8a7f4482c,single_gn_k1,1,1,0
panda,d7da3b52b00c623aa961e4db17e1e3c8b05d3c4295e5905a19047bd8a7f4482c,task_balance_k0,1,1,0
