robot,method,baseline,metric,difference,difference_ci,ratio,ratio_ci
panda,task_balance_k0,single_gn_k0,completion,0.0,"[0.0,0.0]",1.0,"[1.0,1.0]"
panda,task_balance_k0,single_gn_k0,deadline_completion,0.0,"[0.0,0.0]",1.0,"[1.0,1.0]"
panda,task_balance_k0,single_gn_k0,total_latency_ns,40086145.108333334,"[32509237.42375,54683002.15708333]",1.9406004984848215,"[1.8133396994395077,2.1428722519336056]"
panda,task_balance_k0,single_gn_k0,frame_success,0.0,"[0.0,0.0]",1.0,"[1.0,1.0]"
panda,task_balance_k0,single_gn_k0,successful_prefix,0.0,"[0.0,0.0]",1.0,"[1.0,1.0]"
panda,task_balance_k0,single_gn_k0,acceleration_rms,5.9647080691283e-09,"[-7.429575078772566e-08,9.418421822053601e-08]",1.0000000019282442,"[0.9999999772563087,1.000000028666096]"
panda,task_balance_k1,single_gn_k1,completion,0.0,"[0.0,0.0]",1.0,"[1.0,1.0]"
panda,task_balance_k1,single_gn_k1,deadline_completion,0.0,"[0.0,0.0]",1.0,"[1.0,1.0]"
panda,task_balance_k1,single_gn_k1,total_latency_ns,33121988.741666667,"[32696750.2325,33566573.094166666]",1.8285206344807607,"[1.820371794657546,1.8375308861495445]"
panda,task_balance_k1,single_gn_k1,frame_success,0.0,"[0.0,0.0]",1.0,"[1.0,1.0]"
panda,task_balance_k1,single_gn_k1,successful_prefix,0.0,"[0.0,0.0]",1.0,"[1.0,1.0]"
panda,task_balance_k1,single_gn_k1,acceleration_rms,1.7586487542631257e-07,"[-3.075479454439639e-13,3.978430459503079e-07]",1.000000054712413,"[0.9999999999998954,1.0000001199565058]"
panda,task_balance_k0,task_excess_gn,completion,-0.016666666666666666,"[-0.075,0.025]",0.9831932773109244,"[0.925,1.0256410256410255]"
panda,task_balance_k0,task_excess_gn,deadline_completion,-0.016666666666666666,"[-0.075,0.025]",0.9831932773109244,"[0.925,1.0256410256410255]"
panda,task_balance_k0,task_excess_gn,total_latency_ns,-30347300.049999993,"[-42672099.58458333,-8961618.34104166]",0.7315611071778317,"[0.6306922631843702,0.9196098371084808]"
panda,task_balance_k0,task_excess_gn,frame_success,-0.00461111111111111,"[-0.013999999999999999,0.00016666666666666775]",0.9953886327018168,"[0.986,1.0001666944490748]"
panda,task_balance_k0,task_excess_gn,successful_prefix,-0.6166666666666665,"[-2.1,0.2500000000000007]",0.995886603668705,"[0.986,1.001669449081803]"
panda,task_balance_k0,task_excess_gn,acceleration_rms,-0.7395730236271258,"[-3.079935335253697,0.7502038088440779]",0.8070465715370128,"[0.47084219951285405,1.267479550233158]"
panda,task_balance_k1,task_excess_gn,completion,0.008333333333333335,"[0.0,0.025]",1.0084033613445378,"[1.0,1.0256410256410255]"
panda,task_balance_k1,task_excess_gn,deadline_completion,0.008333333333333335,"[0.0,0.025]",1.0084033613445378,"[1.0,1.0256410256410255]"
panda,task_balance_k1,task_excess_gn,total_latency_ns,-39951801.575,"[-42761216.640833326,-37230724.4525]",0.6466039033662252,"[0.6305249153577702,0.6629533175885303]"
panda,task_balance_k1,task_excess_gn,frame_success,5.555555555555591e-05,"[0.0,0.00016666666666666775]",1.000055558642147,"[1.0,1.0001666944490748]"
panda,task_balance_k1,task_excess_gn,successful_prefix,0.08333333333333356,"[0.0,0.2500000000000007]",1.000555864369094,"[1.0,1.001669449081803]"
panda,task_balance_k1,task_excess_gn,acceleration_rms,-0.6185587454689394,"[-2.9356657939480595,0.8593792446935266]",0.8386190047080856,"[0.4962745748246856,1.303986429350516]"
ur5e,task_balance_k0,single_gn_k0,completion,0.0,"[0.0,0.0]",1.0,"[1.0,1.0]"
ur5e,task_balance_k0,single_gn_k0,deadline_completion,0.0,"[0.0,0.0]",1.0,"[1.0,1.0]"
ur5e,task_balance_k0,single_gn_k0,total_latency_ns,31274825.21666666,"[31110220.34958334,31462041.001875002]",1.8016119439598064,"[1.7974736022865239,1.8060663603564602]"
ur5e,task_balance_k0,single_gn_k0,frame_success,0.0,"[0.0,0.0]",1.0,"[1.0,1.0]"
ur5e,task_balance_k0,single_gn_k0,successful_prefix,0.0,"[0.0,0.0]",1.0,"[1.0,1.0]"
ur5e,task_balance_k0,single_gn_k0,acceleration_rms,0.0004638470222337376,"[8.818679814170949e-13,0.001391541062399722]",1.0000807553603086,"[1.0000000000002045,1.0002286024637737]"
ur5e,task_balance_k1,single_gn_k1,completion,0.0,"[0.0,0.0]",1.0,"[1.0,1.0]"
