robot,stratum,kappa,method,subset,problems,calls,quality_pass,native_statuses,call_p50_p95_p99_ms,mean_call_ms,kernel_p50_ms,setup_update_p50_ms,max_common_normalized_gap,max_abs_objective_difference,mean_updates
panda,regular_first_subproblems,0,scalar_full,all,64,320,320,"{""gap_converged"":320}","[0.1216075,0.20214275,0.24151163]",0.1463491375,0.0847765,0.0038785,9.927099795328537e-08,9.926683990351282e-08,1.421875
panda,regular_first_subproblems,0,scalar_full,both_quality_pass,64,320,320,"{""gap_converged"":320}","[0.1216075,0.20214275,0.24151163]",0.1463491375,0.0847765,0.0038785,9.927099795328537e-08,9.926683990351282e-08,1.421875
panda,regular_first_subproblems,0,clarabel_epigraph,all,64,320,320,"{""Solved"":180,""AlmostSolved"":140}","[0.1455725,0.17033520000000002,0.18060594]",0.147029078125,0.061894,0.0216785,2.891204065220976e-08,0.0,11.390625
panda,regular_first_subproblems,0,clarabel_epigraph,both_quality_pass,64,320,320,"{""Solved"":180,""AlmostSolved"":140}","[0.1455725,0.17033520000000002,0.18060594]",0.147029078125,0.061894,0.0216785,2.891204065220976e-08,0.0,11.390625
panda,regular_first_subproblems,1,scalar_full,all,64,320,320,"{""gap_converged"":320}","[0.183814,0.3205071,0.38352108]",0.1911216,0.146651,0.0038885,9.590892832700426e-08,9.444962258131628e-08,2.078125
panda,regular_first_subproblems,1,scalar_full,both_quality_pass,64,320,320,"{""gap_converged"":320}","[0.183814,0.3205071,0.38352108]",0.1911216,0.146651,0.0038885,9.590892832700426e-08,9.444962258131628e-08,2.078125
panda,regular_first_subproblems,1,clarabel_epigraph,all,64,320,320,"{""Solved"":230,""AlmostSolved"":90}","[0.1453375,0.16986790000000002,0.17945315]",0.1455222125,0.0579715,0.0219745,3.3160232643103527e-08,0.0,11.15625
panda,regular_first_subproblems,1,clarabel_epigraph,both_quality_pass,64,320,320,"{""Solved"":230,""AlmostSolved"":90}","[0.1453375,0.16986790000000002,0.17945315]",0.1455222125,0.0579715,0.0219745,3.3160232643103527e-08,0.0,11.15625
panda,historical_failure_inputs,0,scalar_full,all,41,205,205,"{""gap_converged"":205}","[0.441716,1.1939324,1.25204024]",0.6042353512195122,0.4006,0.004252,1.8489088038364798e-08,2.2370575614161226e-08,6.365853658536586
panda,historical_failure_inputs,0,scalar_full,both_quality_pass,41,205,205,"{""gap_converged"":205}","[0.441716,1.1939324,1.25204024]",0.6042353512195122,0.4006,0.004252,1.8489088038364798e-08,2.2370575614161226e-08,6.365853658536586
panda,historical_failure_inputs,0,clarabel_epigraph,all,41,205,205,"{""Solved"":200,""AlmostSolved"":5}","[0.153639,0.180871,0.18675708000000002]",0.15427313170731707,0.061962,0.023579,1.5016461840461497e-10,0.0,12.121951219512194
panda,historical_failure_inputs,0,clarabel_epigraph,both_quality_pass,41,205,205,"{""Solved"":200,""AlmostSolved"":5}","[0.153639,0.180871,0.18675708000000002]",0.15427313170731707,0.061962,0.023579,1.5016461840461497e-10,0.0,12.121951219512194
panda,historical_failure_inputs,1,scalar_full,all,41,205,205,"{""gap_converged"":205}","[0.454787,1.3290836,1.37013868]",0.8984619170731708,0.414458,0.004211,1.729835694868658e-08,2.4503002737930046e-08,7.024390243902439
panda,historical_failure_inputs,1,scalar_full,both_quality_pass,41,205,205,"{""gap_converged"":205}","[0.454787,1.3290836,1.37013868]",0.8984619170731708,0.414458,0.004211,1.729835694868658e-08,2.4503002737930046e-08,7.024390243902439
panda,historical_failure_inputs,1,clarabel_epigraph,all,41,205,205,"{""Solved"":205}","[0.153418,0.17939760000000002,0.18574212000000004]",0.15345737073170732,0.061848,0.023862,1.2711787178432132e-10,0.0,11.951219512195122
panda,historical_failure_inputs,1,clarabel_epigraph,both_quality_pass,41,205,205,"{""Solved"":205}","[0.153418,0.17939760000000002,0.18574212000000004]",0.15345737073170732,0.061848,0.023862,1.2711787178432132e-10,0.0,11.951219512195122
ur5e,regular_first_subproblems,0,scalar_full,all,64,320,300,"{""gap_converged"":300,""inexact"":20}","[0.1232405,0.97917725,1.00654787]",0.21924494375,0.0851905,0.0037255,1.4257284116018766e-05,1.4178195468073909e-05,2.71875
ur5e,regular_first_subproblems,0,scalar_full,both_quality_pass,60,300,300,"{""gap_converged"":300}","[0.120577,0.3011794000000004,0.6412777299999999]",0.16589835666666666,0.0828705,0.003712,1.0077708920093248e-07,8.897669362192416e-08,1.8333333333333333
ur5e,regular_first_subproblems,0,clarabel_epigraph,all,64,320,320,"{""AlmostSolved"":151,""Solved"":169}","[0.14488,0.1711619,0.18267801]",0.14494257187499998,0.059871,0.0215345,7.908864794485744e-08,0.0,11.759375
ur5e,regular_first_subproblems,0,clarabel_epigraph,both_quality_pass,60,300,300,"{""AlmostSolved"":151,""Solved"":149}","[0.145115,0.17160005,0.18316319]",0.14515626666666667,0.06089,0.021514,3.143206491395753e-08,0.0,11.843333333333334
ur5e,regular_first_subproblems,1,scalar_full,all,64,320,315,"{""gap_converged"":315,""inexact"":5}","[0.1759145,0.4658113,0.9771766199999999]",0.211028475,0.1385625,0.003718,3.966652316056418e-07,2.8485503782149646e-07,2.59375
ur5e,regular_first_subproblems,1,scalar_full,both_quality_pass,63,315,315,"{""gap_converged"":315}","[0.17554,0.3871992000000001,0.9033039600000001]",0.19877799682539682,0.138391,0.003717,9.010354186378411e-08,8.956133365489727e-08,2.380952380952381
ur5e,regular_first_subproblems,1,clarabel_epigraph,all,64,320,315,"{""AlmostSolved"":110,""Solved"":210}","[0.1411125,0.1651102,0.17321267]",0.14057254375,0.0567355,0.0215455,1.1181019378414536e-07,0.0,11.046875
