robot,uid,site_id,family,method,repeat,frame,dt,previous_q,target_position,target_rotation,q,accepted,failure_kind,verification_reasons,position_error,orientation_error,velocity_utilization,internal_status,total_latency_ns
panda,827f4c481262ed599d5a62ea92d72f83f9d2baecaa5e733c4c0018e796d573d5,trajectory_38,high_curvature,pink_qp,1,105,0.02,"[-0.29890812302948927,0.6501893171993048,0.15842787091403504,-0.06980000000000001,0.37630819867383475,1.0383314852110515,0.27493358057509076]","[0.5386324067017476,-0.0890863944736938,0.8244160345204308]","[[0.91949543392027,-0.13962573615186571,0.36746809494679145],[-0.27315610011680863,-0.8991820107761838,0.34184419911046454],[0.28269045256030595,-0.4147003319272225,-0.86493337473513]]","[-0.29677849720720634,0.6322722729599511,0.11482787091403505,-0.06980000000000001,0.4139754548757427,1.03909267198161,0.2798914939718913]",False,position_tolerance+orientation_tolerance,"[""position_tolerance"",""orientation_tolerance""]",0.001411975557762603,0.014032338823747612,0.9999999999999997,solved,874366
panda,4e626ba28da6a8d45d22f023c3732e2d796c83a0e74df2aa41168fe26f6dccab,trajectory_14,near_singular,pink_qp,1,122,0.02,"[-2.580960908165891,0.045225535505242616,2.8972999999999995,-0.5738462902928353,-2.8972999999999995,2.0299278701804253,-1.7646994928786397]","[0.20345807338386102,0.045433628449392,1.1610273074352238]","[[0.34441197335250046,0.8332610360490273,-0.43250021781952736],[-0.9093383559548955,0.18154820955192075,-0.3743581199837129],[-0.2334183947350436,0.5222224558662657,0.8202435977124855]]","[-2.578042024040462,0.036008619969428904,2.8972999999999995,-0.5589157909530367,-2.8972999999999995,2.0324139277175353,-1.7685271154541125]",False,position_tolerance,"[""position_tolerance""]",0.0012992839328331773,0.004631253155571994,0.3424426454082252,solved,809665
panda,ea5503530085a4b7fba1457389f090742de31c9aa6ebe8907aa867289b032370,trajectory_12,near_singular,trac_task_5ms,2,87,0.02,"[0.9608626976121486,-0.08242021344937664,1.2032776434795476,-0.28056154232645636,1.4287507254507472,2.870804100462756,1.93418590061421]","[-0.07378877712348628,0.08241617730468384,1.1696847265878927]","[[-0.6592053264740144,-0.6127999859924812,-0.4358032981930066],[0.6700230622613503,-0.7417532234154353,0.029516971232391654],[-0.3413465007674909,-0.2725405157411018,0.8995577989731194]]","[0.9608626976121486,-0.08242021344937664,1.2032776434795476,-0.28056154232645636,1.4287507254507472,2.870804100462756,1.93418590061421]",False,internal_nonconvergence+position_tolerance+orientation_tolerance,"[""position_tolerance"",""orientation_tolerance""]",0.007027061409912527,0.016485693086349524,0.0,native_no_solution,5206317
panda,4e626ba28da6a8d45d22f023c3732e2d796c83a0e74df2aa41168fe26f6dccab,trajectory_14,near_singular,task_excess_lbfgsb,1,111,0.02,"[-2.152765809025046,-0.037549579148052535,2.181859379465282,-0.4426010797158054,-2.6496443399751066,2.143368996571305,-1.698895760371464]","[0.2118109365186126,0.014907169944241745,1.161415103178401]","[[0.34135365041130333,0.8484296034489575,-0.4045304603392959],[-0.9059410472556872,0.18227990777334147,-0.3821581532813493],[-0.2504965154411268,0.4969318295436379,0.8308491153863414]]","[-2.1509836208468727,-0.04157088943825032,2.183591925233605,-0.4380333424237436,-2.646876611015716,2.140094620059863,-1.7079757906157416]",False,position_tolerance+orientation_tolerance,"[""position_tolerance"",""orientation_tolerance""]",0.001012078183509073,0.008747836047654141,0.17361434501486622,optimizer_stop,6354645
panda,4e626ba28da6a8d45d22f023c3732e2d796c83a0e74df2aa41168fe26f6dccab,trajectory_14,near_singular,pink_qp,2,122,0.02,"[-2.580960908165891,0.045225535505242616,2.8972999999999995,-0.5738462902928353,-2.8972999999999995,2.0299278701804253,-1.7646994928786397]","[0.20345807338386102,0.045433628449392,1.1610273074352238]","[[0.34441197335250046,0.8332610360490273,-0.43250021781952736],[-0.9093383559548955,0.18154820955192075,-0.3743581199837129],[-0.2334183947350436,0.5222224558662657,0.8202435977124855]]","[-2.578042024040462,0.036008619969428904,2.8972999999999995,-0.5589157909530367,-2.8972999999999995,2.0324139277175353,-1.7685271154541125]",False,position_tolerance,"[""position_tolerance""]",0.0012992839328331773,0.004631253155571994,0.3424426454082252,solved,798195
panda,b47f91198895baa3999a406c9c32516cd3e78dd7e42a8bccccc4cd058a03020a,trajectory_26,joint_limit_return,trac_task_5ms,1,71,0.02,"[-1.1610590472187372,0.535583415092704,0.2675028463391755,-0.9482719168595453,2.8965693239559736,2.808221714053654,0.4943407482826205]","[0.38693943824308696,-0.6300532542719856,0.6459277823269656]","[[0.5306617129559349,0.6476029799554461,0.5468167213568902],[-0.09173420140043374,0.685240687155057,-0.7225164613769637],[-0.8426048793450567,0.33325002778708235,0.42303833902355853]]","[-1.1610590472187372,0.535583415092704,0.2675028463391755,-0.9482719168595453,2.8965693239559736,2.808221714053654,0.4943407482826205]",False,internal_nonconvergence+position_tolerance+orientation_tolerance,"[""position_tolerance"",""orientation_tolerance""]",0.012542194670425744,0.01839545487854709,0.0,native_no_solution,5212960
panda,4e626ba28da6a8d45d22f023c3732e2d796c83a0e74df2aa41168fe26f6dccab,trajectory_14,near_singular,single_gn_k0,2,122,0.02,"[-2.5808788242134333,0.04529988210385024,2.897299999999,-0.5739845017554034,-2.897299999999,2.029832303950535,-1.7648163006722346]","[0.20345807338386102,0.045433628449392,1.1610273074352238]","[[0.34441197335250046,0.8332610360490273,-0.43250021781952736],[-0.9093383559548955,0.18154820955192075,-0.3743581199837129],[-0.2334183947350436,0.5222224558662657,0.8202435977124855]]","[-2.578625057562058,0.03536197734721825,2.897299999999,-0.5578130621809242,-2.897299999999,2.0328716416401473,-1.7683276689601262]",False,position_tolerance,"[""position_tolerance""]",0.001315487164951526,0.004232269771441956,0.37090457739631183,stationary,4071688
panda,ca9065ec04392f64d1cce7cea6e6ae7ba224495be6a41fa0902e34ddeb925465,trajectory_17,near_singular,trac_task_5ms,1,118,0.02,"[2.88074063363842,0.19916241425978126,1.6858434756495786,-0.6690825171111723,0.8520865156827219,0.34990595437075167,0.08834143004925442]","[-0.06191101117000993,-0.2569398691732451,0.9094463974840075]","[[0.5485944334063589,-0.6883113438429131,0.4746278980135061],[-0.8359417731707867,-0.44091363393388183,0.32679736730778625],[-0.01566842377641365,-0.5760405032186382,-0.8172709704547085]]","[2.88074063363842,0.19916241425978126,1.6858434756495786,-0.6690825171111723,0.8520865156827219,0.34990595437075167,0.08834143004925442]",False,internal_nonconvergence+position_tolerance,"[""position_tolerance""]",0.002480738091545852,0.0077103334178344534,0.0,native_no_solution,5212087
panda,ca9065ec04392f64d1cce7cea6e6ae7ba224495be6a41fa0902e34ddeb925465,trajectory_17,near_singular,task_excess_lbfgsb,1,103,0.02,"[2.383090583219856,0.08582476231192711,1.876786648618264,-0.6132495902931855,0.9946471231601213,0.3014815256122507,-0.061428397446615664]","[-0.05629312155298431,-0.22965194111559598,0.9239757163836978]","[[0.5136994215206608,-0.7265164816355448,0.4563843843091563],[-0.8568365463972681,-0.46175451678451757,0.2293771980539884],[0.04409123594707085,-0.5088777536314649,-0.8597089011820536]]","[2.4266905832198127,0.08676427474881482,1.840562578063241,-0.6165041190773594,0.9947263367573159,0.3011020058949623,-0.05665632027749998]",False,position_tolerance+orientation_tolerance,"[""position_tolerance"",""orientation_tolerance""]",0.0010018698603844014,0.008740808912435954,0.9999999999990037,optimizer_stop,6062629
panda,4e626ba28da6a8d45d22f023c3732e2d796c83a0e74df2aa41168fe26f6dccab,trajectory_14,near_singular,trac_task_5ms,2,118,0.02,"[-2.413088049279582,0.05523230174011862,2.7212960714377066,-0.5819246895163639,-2.8959181606565636,2.038216572897065,-1.7569285086874316]","[0.20632262973692753,0.03525518143404408,1.1613151911328798]","[[0.34314723531948527,0.8384203102908017,-0.4234399109489671],[-0.9083471068864108,0.18146809575168435,-0.37679551965933045],[-0.23907218220378795,0.5139267589026018,0.8238469385633389]]","[-2.413088049279582,0.05523230174011862,2.7212960714377066,-0.5819246895163639,-2.8959181606565636,2.038216572897065,-1.7569285086874316]",False,internal_nonconvergence+position_tolerance,"[""position_tolerance""]",0.0032036174862793616,0.00583149216309595,0.0,native_no_solution,5226811
