robot,method,unique_inputs,stable_all_three_success,any_success,accepted_calls,calls,latency_p50_p95_p99_ms,mean_evaluations,categories_point_failure
panda,single_gn_k0,41,4,4,12,123,"[3.843997,7.5150589000000005,7.6418168]",101.14634146341463,"{""orientation_fail"":8,""both_fail"":12,""position_fail"":17,""both_pose_pass"":4}"
panda,single_gn_k1,41,4,4,12,123,"[4.033066,7.4409738,7.5148036]",108.1951219512195,"{""orientation_fail"":8,""both_fail"":12,""position_fail"":17,""both_pose_pass"":4}"
panda,task_excess_gn,41,21,21,63,123,"[7.239429,19.6705917,20.21838172]",57.390243902439025,"{""orientation_fail"":8,""both_fail"":12,""position_fail"":17,""both_pose_pass"":4}"
panda,task_excess_lbfgsb,41,14,14,42,123,"[6.121722,6.700819399999999,8.29217462]",30.634146341463413,"{""orientation_fail"":8,""both_fail"":12,""position_fail"":17,""both_pose_pass"":4}"
panda,task_excess_isotropic,41,16,16,48,123,"[13.617119,20.2057216,20.22733836]",75.83739837398375,"{""orientation_fail"":8,""both_fail"":12,""position_fail"":17,""both_pose_pass"":4}"
panda,point_loop_control,41,4,4,12,123,"[13.732999,20.2033238,20.2254043]",88.09756097560975,"{""orientation_fail"":8,""both_fail"":12,""position_fail"":17,""both_pose_pass"":4}"
ur5e,single_gn_k0,11,1,1,3,33,"[3.88221,4.461967,4.55647676]",98.27272727272727,"{""position_fail"":10,""both_pose_pass"":1}"
ur5e,single_gn_k1,11,1,1,3,33,"[3.302377,4.636391,4.712148559999999]",92.36363636363636,"{""position_fail"":10,""both_pose_pass"":1}"
ur5e,task_excess_gn,11,6,6,18,33,"[2.392124,18.1170562,18.30051492]",40.27272727272727,"{""position_fail"":10,""both_pose_pass"":1}"
ur5e,task_excess_lbfgsb,11,6,6,18,33,"[5.546126,5.726053599999999,5.72761868]",24.0,"{""position_fail"":10,""both_pose_pass"":1}"
ur5e,task_excess_isotropic,11,6,6,18,33,"[9.090368,16.0105946,16.07132596]",57.72727272727273,"{""position_fail"":10,""both_pose_pass"":1}"
ur5e,point_loop_control,11,1,1,3,33,"[14.469197,17.0996548,17.2414318]",93.45454545454545,"{""position_fail"":10,""both_pose_pass"":1}"
