robot,source_group,method,unique_inputs,stable_three_success,input_ids
panda,all_gn_including_clip_osqp,single_gn_k0,41,4,"[""016894bfe7220eb5304b71d9dc330e9a2a7872794dd09c7fb3f449f4be61911d"",""01b3d371907cb3f346fff18bae595c23d7574141a7c95d86ab1006bcd4e9fabe"",""09356f4513b62701731efafd2203596a897cfefe0acf13426c5f18d02b61686e"",""0d2f0b8c4906d449cde87c2f3b3eb6368cf63ec256a2ba134f1429a0a8661022"",""0fadcee75ebee19eeaf8f75e6cb4051343a5b42ad78fcbf01575d902138cfeb5"",""10fa3fce33e1e01e44e4352b9ece7fac8d666b9b0ae0006cd95a27e4ae80f955"",""12c8309cfc40ab3f04aa67bfde8845b4ac42a2b7671ea5e61b1a7471afc4c358"",""1339de0a2b7e0c7fe442d1cc16653ecd1e53cb39b6001175c3ee189d588f0123"",""155366d9e36c3f00bb36d11c0390273736b0dcdcef6bce568f7f9c1042a2ae95"",""2377abf039b320ecbf2e642f1611dc1077ccf851439e8f61cddae7c22bda8d5b"",""2fd3a57eec6395bc3eb33f31da38087b302c57fc3e36e858c612b5478ea52b46"",""38a05d1395bf5c619495c550deeb27ab986b2f0ac6adb5ae722cd2a37e61e49e"",""39c75753efb5d6819f9e2fa625acc562639c1984188f4add89936eef1680ed81"",""3cb5ae5e3ed83e96de6ea7b6a86708da3bcaaf99454050465495c03aa329b03d"",""4481318d5ddc42ad85a73ca7db0930f598865b9f9facc5c5befea12352f1e43b"",""45a6400afbe2a6553d656117bcbb5cd6eb766305192d712c5c29a37e44b96fae"",""4a572d8f78d78baeb87b2b0623b7c585bda754c65c59e35bfb451b8b93f4e402"",""5920dd051364a2dc65b383b67ee2307d07472209a36afe30ad84d89588e685f2"",""5be03d09d1d94309b2e2bcdbd947cd30c346ebece6c2b58ab606780cb72ba53a"",""5c20cedcb0e226c817c20c7973b792c6237dae669f8f72560feb8931f1a58fdd"",""5c958deb3dc1f5919302388d58c9a5d961bec7d2f0bb8d7685e59c6d95b72459"",""6bbddc027841533c944d5fccacaa71c6ae80d2814987226ff64e72d169d46a50"",""777cecb834c2d2a97ee11f30726a9c1a3bfdbf129e98653491a9be48b524a07f"",""7ade05b4a35b609b65f62a72b9938ae9cfaaadc9380544f3dc0319f559c13519"",""7e954bb8a4f7b108c34380f1fc198c04883f2e3b2216de70ca4aae281e3842d4"",""83087a7c16bc37c3c61ae735e33ac0bd25ea0555435bd0734c25156637b53d14"",""8cf5b09c2aa354206fc25bce07f8ae45d95624abf37fb6bc2c6205e2350c43bd"",""99596b92d749cfb0d60a69c35f886435bac6c03cd106abd1b9d3ecf6ec5f9596"",""99d76050ae371288ad457fc997446305c1a6ea08b5db988906cc87e12168bd95"",""9d80e946830f388536d3b0fcb43de10b356b07a1aeaa394a31029c39060ef30a"",""a22d51628b40e5812e67f71d55673cd14a221f59d81c4be6844a498fb5c5660e"",""adfda1919c54d142f754a573fd1aa0b0007fdf9d4871403ca32c2d175c02b7c6"",""b3f003e1e7b251770f17697161638612064e313b5d651355be9eeec2f873853d"",""b80af2c9ad9ddbc0f44ff656687f91201f6f75726644d8c801f23dfc4b44479b"",""cb2737c167ae847af11bc75ead3a073930efac6f76a44fad3cdd855be5fd803a"",""dd982443daf4495a5561d3ecec67f47c2c8cfb9c14a38468bb1ec530224e9ffd"",""eeeb3d4a230c224f507d58ab1a2cf7380a60fe5bd391ab0cd921f3cfab8c60c7"",""f5bb666660fc518f44cef9187a1158f5e100b99ce44b8bed15a3ce9b6232e076"",""faaa7d32220bcfa3d2c5ac8b69577acf0d5a75387e62bc63f89738709774e972"",""fd7483419acb37b0698d74d96763247c7210ec891dee628d25e00c0b2f5690a2"",""fde1ad725563456ef5767c6ec8259b1928f843da4030295adf56e52df9b4e43e""]"
panda,all_gn_including_clip_osqp,single_gn_k1,41,4,"[""016894bfe7220eb5304b71d9dc330e9a2a7872794dd09c7fb3f449f4be61911d"",""01b3d371907cb3f346fff18bae595c23d7574141a7c95d86ab1006bcd4e9fabe"",""09356f4513b62701731efafd2203596a897cfefe0acf13426c5f18d02b61686e"",""0d2f0b8c4906d449cde87c2f3b3eb6368cf63ec256a2ba134f1429a0a8661022"",""0fadcee75ebee19eeaf8f75e6cb4051343a5b42ad78fcbf01575d902138cfeb5"",""10fa3fce33e1e01e44e4352b9ece7fac8d666b9b0ae0006cd95a27e4ae80f955"",""12c8309cfc40ab3f04aa67bfde8845b4ac42a2b7671ea5e61b1a7471afc4c358"",""1339de0a2b7e0c7fe442d1cc16653ecd1e53cb39b6001175c3ee189d588f0123"",""155366d9e36c3f00bb36d11c0390273736b0dcdcef6bce568f7f9c1042a2ae95"",""2377abf039b320ecbf2e642f1611dc1077ccf851439e8f61cddae7c22bda8d5b"",""2fd3a57eec6395bc3eb33f31da38087b302c57fc3e36e858c612b5478ea52b46"",""38a05d1395bf5c619495c550deeb27ab986b2f0ac6adb5ae722cd2a37e61e49e"",""39c75753efb5d6819f9e2fa625acc562639c1984188f4add89936eef1680ed81"",""3cb5ae5e3ed83e96de6ea7b6a86708da3bcaaf99454050465495c03aa329b03d"",""4481318d5ddc42ad85a73ca7db0930f598865b9f9facc5c5befea12352f1e43b"",""45a6400afbe2a6553d656117bcbb5cd6eb766305192d712c5c29a37e44b96fae"",""4a572d8f78d78baeb87b2b0623b7c585bda754c65c59e35bfb451b8b93f4e402"",""5920dd051364a2dc65b383b67ee2307d07472209a36afe30ad84d89588e685f2"",""5be03d09d1d94309b2e2bcdbd947cd30c346ebece6c2b58ab606780cb72ba53a"",""5c20cedcb0e226c817c20c7973b792c6237dae669f8f72560feb8931f1a58fdd"",""5c958deb3dc1f5919302388d58c9a5d961bec7d2f0bb8d7685e59c6d95b72459"",""6bbddc027841533c944d5fccacaa71c6ae80d2814987226ff64e72d169d46a50"",""777cecb834c2d2a97ee11f30726a9c1a3bfdbf129e98653491a9be48b524a07f"",""7ade05b4a35b609b65f62a72b9938ae9cfaaadc9380544f3dc0319f559c13519"",""7e954bb8a4f7b108c34380f1fc198c04883f2e3b2216de70ca4aae281e3842d4"",""83087a7c16bc37c3c61ae735e33ac0bd25ea0555435bd0734c25156637b53d14"",""8cf5b09c2aa354206fc25bce07f8ae45d95624abf37fb6bc2c6205e2350c43bd"",""99596b92d749cfb0d60a69c35f886435bac6c03cd106abd1b9d3ecf6ec5f9596"",""99d76050ae371288ad457fc997446305c1a6ea08b5db988906cc87e12168bd95"",""9d80e946830f388536d3b0fcb43de10b356b07a1aeaa394a31029c39060ef30a"",""a22d51628b40e5812e67f71d55673cd14a221f59d81c4be6844a498fb5c5660e"",""adfda1919c54d142f754a573fd1aa0b0007fdf9d4871403ca32c2d175c02b7c6"",""b3f003e1e7b251770f17697161638612064e313b5d651355be9eeec2f873853d"",""b80af2c9ad9ddbc0f44ff656687f91201f6f75726644d8c801f23dfc4b44479b"",""cb2737c167ae847af11bc75ead3a073930efac6f76a44fad3cdd855be5fd803a"",""dd982443daf4495a5561d3ecec67f47c2c8cfb9c14a38468bb1ec530224e9ffd"",""eeeb3d4a230c224f507d58ab1a2cf7380a60fe5bd391ab0cd921f3cfab8c60c7"",""f5bb666660fc518f44cef9187a1158f5e100b99ce44b8bed15a3ce9b6232e076"",""faaa7d32220bcfa3d2c5ac8b69577acf0d5a75387e62bc63f89738709774e972"",""fd7483419acb37b0698d74d96763247c7210ec891dee628d25e00c0b2f5690a2"",""fde1ad725563456ef5767c6ec8259b1928f843da4030295adf56e52df9b4e43e""]"
panda,all_gn_including_clip_osqp,task_excess_gn,41,21,"[""016894bfe7220eb5304b71d9dc330e9a2a7872794dd09c7fb3f449f4be61911d"",""01b3d371907cb3f346fff18bae595c23d7574141a7c95d86ab1006bcd4e9fabe"",""09356f4513b62701731efafd2203596a897cfefe0acf13426c5f18d02b61686e"",""0d2f0b8c4906d449cde87c2f3b3eb6368cf63ec256a2ba134f1429a0a8661022"",""0fadcee75ebee19eeaf8f75e6cb4051343a5b42ad78fcbf01575d902138cfeb5"",""10fa3fce33e1e01e44e4352b9ece7fac8d666b9b0ae0006cd95a27e4ae80f955"",""12c8309cfc40ab3f04aa67bfde8845b4ac42a2b7671ea5e61b1a7471afc4c358"",""1339de0a2b7e0c7fe442d1cc16653ecd1e53cb39b6001175c3ee189d588f0123"",""155366d9e36c3f00bb36d11c0390273736b0dcdcef6bce568f7f9c1042a2ae95"",""2377abf039b320ecbf2e642f1611dc1077ccf851439e8f61cddae7c22bda8d5b"",""2fd3a57eec6395bc3eb33f31da38087b302c57fc3e36e858c612b5478ea52b46"",""38a05d1395bf5c619495c550deeb27ab986b2f0ac6adb5ae722cd2a37e61e49e"",""39c75753efb5d6819f9e2fa625acc562639c1984188f4add89936eef1680ed81"",""3cb5ae5e3ed83e96de6ea7b6a86708da3bcaaf99454050465495c03aa329b03d"",""4481318d5ddc42ad85a73ca7db0930f598865b9f9facc5c5befea12352f1e43b"",""45a6400afbe2a6553d656117bcbb5cd6eb766305192d712c5c29a37e44b96fae"",""4a572d8f78d78baeb87b2b0623b7c585bda754c65c59e35bfb451b8b93f4e402"",""5920dd051364a2dc65b383b67ee2307d07472209a36afe30ad84d89588e685f2"",""5be03d09d1d94309b2e2bcdbd947cd30c346ebece6c2b58ab606780cb72ba53a"",""5c20cedcb0e226c817c20c7973b792c6237dae669f8f72560feb8931f1a58fdd"",""5c958deb3dc1f5919302388d58c9a5d961bec7d2f0bb8d7685e59c6d95b72459"",""6bbddc027841533c944d5fccacaa71c6ae80d2814987226ff64e72d169d46a50"",""777cecb834c2d2a97ee11f30726a9c1a3bfdbf129e98653491a9be48b524a07f"",""7ade05b4a35b609b65f62a72b9938ae9cfaaadc9380544f3dc0319f559c13519"",""7e954bb8a4f7b108c34380f1fc198c04883f2e3b2216de70ca4aae281e3842d4"",""83087a7c16bc37c3c61ae735e33ac0bd25ea0555435bd0734c25156637b53d14"",""8cf5b09c2aa354206fc25bce07f8ae45d95624abf37fb6bc2c6205e2350c43bd"",""99596b92d749cfb0d60a69c35f886435bac6c03cd106abd1b9d3ecf6ec5f9596"",""99d76050ae371288ad457fc997446305c1a6ea08b5db988906cc87e12168bd95"",""9d80e946830f388536d3b0fcb43de10b356b07a1aeaa394a31029c39060ef30a"",""a22d51628b40e5812e67f71d55673cd14a221f59d81c4be6844a498fb5c5660e"",""adfda1919c54d142f754a573fd1aa0b0007fdf9d4871403ca32c2d175c02b7c6"",""b3f003e1e7b251770f17697161638612064e313b5d651355be9eeec2f873853d"",""b80af2c9ad9ddbc0f44ff656687f91201f6f75726644d8c801f23dfc4b44479b"",""cb2737c167ae847af11bc75ead3a073930efac6f76a44fad3cdd855be5fd803a"",""dd982443daf4495a5561d3ecec67f47c2c8cfb9c14a38468bb1ec530224e9ffd"",""eeeb3d4a230c224f507d58ab1a2cf7380a60fe5bd391ab0cd921f3cfab8c60c7"",""f5bb666660fc518f44cef9187a1158f5e100b99ce44b8bed15a3ce9b6232e076"",""faaa7d32220bcfa3d2c5ac8b69577acf0d5a75387e62bc63f89738709774e972"",""fd7483419acb37b0698d74d96763247c7210ec891dee628d25e00c0b2f5690a2"",""fde1ad725563456ef5767c6ec8259b1928f843da4030295adf56e52df9b4e43e""]"
panda,all_gn_including_clip_osqp,task_excess_lbfgsb,41,14,"[""016894bfe7220eb5304b71d9dc330e9a2a7872794dd09c7fb3f449f4be61911d"",""01b3d371907cb3f346fff18bae595c23d7574141a7c95d86ab1006bcd4e9fabe"",""09356f4513b62701731efafd2203596a897cfefe0acf13426c5f18d02b61686e"",""0d2f0b8c4906d449cde87c2f3b3eb6368cf63ec256a2ba134f1429a0a8661022"",""0fadcee75ebee19eeaf8f75e6cb4051343a5b42ad78fcbf01575d902138cfeb5"",""10fa3fce33e1e01e44e4352b9ece7fac8d666b9b0ae0006cd95a27e4ae80f955"",""12c8309cfc40ab3f04aa67bfde8845b4ac42a2b7671ea5e61b1a7471afc4c358"",""1339de0a2b7e0c7fe442d1cc16653ecd1e53cb39b6001175c3ee189d588f0123"",""155366d9e36c3f00bb36d11c0390273736b0dcdcef6bce568f7f9c1042a2ae95"",""2377abf039b320ecbf2e642f1611dc1077ccf851439e8f61cddae7c22bda8d5b"",""2fd3a57eec6395bc3eb33f31da38087b302c57fc3e36e858c612b5478ea52b46"",""38a05d1395bf5c619495c550deeb27ab986b2f0ac6adb5ae722cd2a37e61e49e"",""39c75753efb5d6819f9e2fa625acc562639c1984188f4add89936eef1680ed81"",""3cb5ae5e3ed83e96de6ea7b6a86708da3bcaaf99454050465495c03aa329b03d"",""4481318d5ddc42ad85a73ca7db0930f598865b9f9facc5c5befea12352f1e43b"",""45a6400afbe2a6553d656117bcbb5cd6eb766305192d712c5c29a37e44b96fae"",""4a572d8f78d78baeb87b2b0623b7c585bda754c65c59e35bfb451b8b93f4e402"",""5920dd051364a2dc65b383b67ee2307d07472209a36afe30ad84d89588e685f2"",""5be03d09d1d94309b2e2bcdbd947cd30c346ebece6c2b58ab606780cb72ba53a"",""5c20cedcb0e226c817c20c7973b792c6237dae669f8f72560feb8931f1a58fdd"",""5c958deb3dc1f5919302388d58c9a5d961bec7d2f0bb8d7685e59c6d95b72459"",""6bbddc027841533c944d5fccacaa71c6ae80d2814987226ff64e72d169d46a50"",""777cecb834c2d2a97ee11f30726a9c1a3bfdbf129e98653491a9be48b524a07f"",""7ade05b4a35b609b65f62a72b9938ae9cfaaadc9380544f3dc0319f559c13519"",""7e954bb8a4f7b108c34380f1fc198c04883f2e3b2216de70ca4aae281e3842d4"",""83087a7c16bc37c3c61ae735e33ac0bd25ea0555435bd0734c25156637b53d14"",""8cf5b09c2aa354206fc25bce07f8ae45d95624abf37fb6bc2c6205e2350c43bd"",""99596b92d749cfb0d60a69c35f886435bac6c03cd106abd1b9d3ecf6ec5f9596"",""99d76050ae371288ad457fc997446305c1a6ea08b5db988906cc87e12168bd95"",""9d80e946830f388536d3b0fcb43de10b356b07a1aeaa394a31029c39060ef30a"",""a22d51628b40e5812e67f71d55673cd14a221f59d81c4be6844a498fb5c5660e"",""adfda1919c54d142f754a573fd1aa0b0007fdf9d4871403ca32c2d175c02b7c6"",""b3f003e1e7b251770f17697161638612064e313b5d651355be9eeec2f873853d"",""b80af2c9ad9ddbc0f44ff656687f91201f6f75726644d8c801f23dfc4b44479b"",""cb2737c167ae847af11bc75ead3a073930efac6f76a44fad3cdd855be5fd803a"",""dd982443daf4495a5561d3ecec67f47c2c8cfb9c14a38468bb1ec530224e9ffd"",""eeeb3d4a230c224f507d58ab1a2cf7380a60fe5bd391ab0cd921f3cfab8c60c7"",""f5bb666660fc518f44cef9187a1158f5e100b99ce44b8bed15a3ce9b6232e076"",""faaa7d32220bcfa3d2c5ac8b69577acf0d5a75387e62bc63f89738709774e972"",""fd7483419acb37b0698d74d96763247c7210ec891dee628d25e00c0b2f5690a2"",""fde1ad725563456ef5767c6ec8259b1928f843da4030295adf56e52df9b4e43e""]"
panda,all_gn_including_clip_osqp,task_excess_isotropic,41,16,"[""016894bfe7220eb5304b71d9dc330e9a2a7872794dd09c7fb3f449f4be61911d"",""01b3d371907cb3f346fff18bae595c23d7574141a7c95d86ab1006bcd4e9fabe"",""09356f4513b62701731efafd2203596a897cfefe0acf13426c5f18d02b61686e"",""0d2f0b8c4906d449cde87c2f3b3eb6368cf63ec256a2ba134f1429a0a8661022"",""0fadcee75ebee19eeaf8f75e6cb4051343a5b42ad78fcbf01575d902138cfeb5"",""10fa3fce33e1e01e44e4352b9ece7fac8d666b9b0ae0006cd95a27e4ae80f955"",""12c8309cfc40ab3f04aa67bfde8845b4ac42a2b7671ea5e61b1a7471afc4c358"",""1339de0a2b7e0c7fe442d1cc16653ecd1e53cb39b6001175c3ee189d588f0123"",""155366d9e36c3f00bb36d11c0390273736b0dcdcef6bce568f7f9c1042a2ae95"",""2377abf039b320ecbf2e642f1611dc1077ccf851439e8f61cddae7c22bda8d5b"",""2fd3a57eec6395bc3eb33f31da38087b302c57fc3e36e858c612b5478ea52b46"",""38a05d1395bf5c619495c550deeb27ab986b2f0ac6adb5ae722cd2a37e61e49e"",""39c75753efb5d6819f9e2fa625acc562639c1984188f4add89936eef1680ed81"",""3cb5ae5e3ed83e96de6ea7b6a86708da3bcaaf99454050465495c03aa329b03d"",""4481318d5ddc42ad85a73ca7db0930f598865b9f9facc5c5befea12352f1e43b"",""45a6400afbe2a6553d656117bcbb5cd6eb766305192d712c5c29a37e44b96fae"",""4a572d8f78d78baeb87b2b0623b7c585bda754c65c59e35bfb451b8b93f4e402"",""5920dd051364a2dc65b383b67ee2307d07472209a36afe30ad84d89588e685f2"",""5be03d09d1d94309b2e2bcdbd947cd30c346ebece6c2b58ab606780cb72ba53a"",""5c20cedcb0e226c817c20c7973b792c6237dae669f8f72560feb8931f1a58fdd"",""5c958deb3dc1f5919302388d58c9a5d961bec7d2f0bb8d7685e59c6d95b72459"",""6bbddc027841533c944d5fccacaa71c6ae80d2814987226ff64e72d169d46a50"",""777cecb834c2d2a97ee11f30726a9c1a3bfdbf129e98653491a9be48b524a07f"",""7ade05b4a35b609b65f62a72b9938ae9cfaaadc9380544f3dc0319f559c13519"",""7e954bb8a4f7b108c34380f1fc198c04883f2e3b2216de70ca4aae281e3842d4"",""83087a7c16bc37c3c61ae735e33ac0bd25ea0555435bd0734c25156637b53d14"",""8cf5b09c2aa354206fc25bce07f8ae45d95624abf37fb6bc2c6205e2350c43bd"",""99596b92d749cfb0d60a69c35f886435bac6c03cd106abd1b9d3ecf6ec5f9596"",""99d76050ae371288ad457fc997446305c1a6ea08b5db988906cc87e12168bd95"",""9d80e946830f388536d3b0fcb43de10b356b07a1aeaa394a31029c39060ef30a"",""a22d51628b40e5812e67f71d55673cd14a221f59d81c4be6844a498fb5c5660e"",""adfda1919c54d142f754a573fd1aa0b0007fdf9d4871403ca32c2d175c02b7c6"",""b3f003e1e7b251770f17697161638612064e313b5d651355be9eeec2f873853d"",""b80af2c9ad9ddbc0f44ff656687f91201f6f75726644d8c801f23dfc4b44479b"",""cb2737c167ae847af11bc75ead3a073930efac6f76a44fad3cdd855be5fd803a"",""dd982443daf4495a5561d3ecec67f47c2c8cfb9c14a38468bb1ec530224e9ffd"",""eeeb3d4a230c224f507d58ab1a2cf7380a60fe5bd391ab0cd921f3cfab8c60c7"",""f5bb666660fc518f44cef9187a1158f5e100b99ce44b8bed15a3ce9b6232e076"",""faaa7d32220bcfa3d2c5ac8b69577acf0d5a75387e62bc63f89738709774e972"",""fd7483419acb37b0698d74d96763247c7210ec891dee628d25e00c0b2f5690a2"",""fde1ad725563456ef5767c6ec8259b1928f843da4030295adf56e52df9b4e43e""]"
panda,all_gn_including_clip_osqp,point_loop_control,41,4,"[""016894bfe7220eb5304b71d9dc330e9a2a7872794dd09c7fb3f449f4be61911d"",""01b3d371907cb3f346fff18bae595c23d7574141a7c95d86ab1006bcd4e9fabe"",""09356f4513b62701731efafd2203596a897cfefe0acf13426c5f18d02b61686e"",""0d2f0b8c4906d449cde87c2f3b3eb6368cf63ec256a2ba134f1429a0a8661022"",""0fadcee75ebee19eeaf8f75e6cb4051343a5b42ad78fcbf01575d902138cfeb5"",""10fa3fce33e1e01e44e4352b9ece7fac8d666b9b0ae0006cd95a27e4ae80f955"",""12c8309cfc40ab3f04aa67bfde8845b4ac42a2b7671ea5e61b1a7471afc4c358"",""1339de0a2b7e0c7fe442d1cc16653ecd1e53cb39b6001175c3ee189d588f0123"",""155366d9e36c3f00bb36d11c0390273736b0dcdcef6bce568f7f9c1042a2ae95"",""2377abf039b320ecbf2e642f1611dc1077ccf851439e8f61cddae7c22bda8d5b"",""2fd3a57eec6395bc3eb33f31da38087b302c57fc3e36e858c612b5478ea52b46"",""38a05d1395bf5c619495c550deeb27ab986b2f0ac6adb5ae722cd2a37e61e49e"",""39c75753efb5d6819f9e2fa625acc562639c1984188f4add89936eef1680ed81"",""3cb5ae5e3ed83e96de6ea7b6a86708da3bcaaf99454050465495c03aa329b03d"",""4481318d5ddc42ad85a73ca7db0930f598865b9f9facc5c5befea12352f1e43b"",""45a6400afbe2a6553d656117bcbb5cd6eb766305192d712c5c29a37e44b96fae"",""4a572d8f78d78baeb87b2b0623b7c585bda754c65c59e35bfb451b8b93f4e402"",""5920dd051364a2dc65b383b67ee2307d07472209a36afe30ad84d89588e685f2"",""5be03d09d1d94309b2e2bcdbd947cd30c346ebece6c2b58ab606780cb72ba53a"",""5c20cedcb0e226c817c20c7973b792c6237dae669f8f72560feb8931f1a58fdd"",""5c958deb3dc1f5919302388d58c9a5d961bec7d2f0bb8d7685e59c6d95b72459"",""6bbddc027841533c944d5fccacaa71c6ae80d2814987226ff64e72d169d46a50"",""777cecb834c2d2a97ee11f30726a9c1a3bfdbf129e98653491a9be48b524a07f"",""7ade05b4a35b609b65f62a72b9938ae9cfaaadc9380544f3dc0319f559c13519"",""7e954bb8a4f7b108c34380f1fc198c04883f2e3b2216de70ca4aae281e3842d4"",""83087a7c16bc37c3c61ae735e33ac0bd25ea0555435bd0734c25156637b53d14"",""8cf5b09c2aa354206fc25bce07f8ae45d95624abf37fb6bc2c6205e2350c43bd"",""99596b92d749cfb0d60a69c35f886435bac6c03cd106abd1b9d3ecf6ec5f9596"",""99d76050ae371288ad457fc997446305c1a6ea08b5db988906cc87e12168bd95"",""9d80e946830f388536d3b0fcb43de10b356b07a1aeaa394a31029c39060ef30a"",""a22d51628b40e5812e67f71d55673cd14a221f59d81c4be6844a498fb5c5660e"",""adfda1919c54d142f754a573fd1aa0b0007fdf9d4871403ca32c2d175c02b7c6"",""b3f003e1e7b251770f17697161638612064e313b5d651355be9eeec2f873853d"",""b80af2c9ad9ddbc0f44ff656687f91201f6f75726644d8c801f23dfc4b44479b"",""cb2737c167ae847af11bc75ead3a073930efac6f76a44fad3cdd855be5fd803a"",""dd982443daf4495a5561d3ecec67f47c2c8cfb9c14a38468bb1ec530224e9ffd"",""eeeb3d4a230c224f507d58ab1a2cf7380a60fe5bd391ab0cd921f3cfab8c60c7"",""f5bb666660fc518f44cef9187a1158f5e100b99ce44b8bed15a3ce9b6232e076"",""faaa7d32220bcfa3d2c5ac8b69577acf0d5a75387e62bc63f89738709774e972"",""fd7483419acb37b0698d74d96763247c7210ec891dee628d25e00c0b2f5690a2"",""fde1ad725563456ef5767c6ec8259b1928f843da4030295adf56e52df9b4e43e""]"
panda,frozen_k0_k1_sources,single_gn_k0,13,0,"[""016894bfe7220eb5304b71d9dc330e9a2a7872794dd09c7fb3f449f4be61911d"",""155366d9e36c3f00bb36d11c0390273736b0dcdcef6bce568f7f9c1042a2ae95"",""4481318d5ddc42ad85a73ca7db0930f598865b9f9facc5c5befea12352f1e43b"",""5920dd051364a2dc65b383b67ee2307d07472209a36afe30ad84d89588e685f2"",""5be03d09d1d94309b2e2bcdbd947cd30c346ebece6c2b58ab606780cb72ba53a"",""5c958deb3dc1f5919302388d58c9a5d961bec7d2f0bb8d7685e59c6d95b72459"",""777cecb834c2d2a97ee11f30726a9c1a3bfdbf129e98653491a9be48b524a07f"",""99596b92d749cfb0d60a69c35f886435bac6c03cd106abd1b9d3ecf6ec5f9596"",""a22d51628b40e5812e67f71d55673cd14a221f59d81c4be6844a498fb5c5660e"",""adfda1919c54d142f754a573fd1aa0b0007fdf9d4871403ca32c2d175c02b7c6"",""cb2737c167ae847af11bc75ead3a073930efac6f76a44fad3cdd855be5fd803a"",""eeeb3d4a230c224f507d58ab1a2cf7380a60fe5bd391ab0cd921f3cfab8c60c7"",""f5bb666660fc518f44cef9187a1158f5e100b99ce44b8bed15a3ce9b6232e076""]"
panda,frozen_k0_k1_sources,single_gn_k1,13,0,"[""016894bfe7220eb5304b71d9dc330e9a2a7872794dd09c7fb3f449f4be61911d"",""155366d9e36c3f00bb36d11c0390273736b0dcdcef6bce568f7f9c1042a2ae95"",""4481318d5ddc42ad85a73ca7db0930f598865b9f9facc5c5befea12352f1e43b"",""5920dd051364a2dc65b383b67ee2307d07472209a36afe30ad84d89588e685f2"",""5be03d09d1d94309b2e2bcdbd947cd30c346ebece6c2b58ab606780cb72ba53a"",""5c958deb3dc1f5919302388d58c9a5d961bec7d2f0bb8d7685e59c6d95b72459"",""777cecb834c2d2a97ee11f30726a9c1a3bfdbf129e98653491a9be48b524a07f"",""99596b92d749cfb0d60a69c35f886435bac6c03cd106abd1b9d3ecf6ec5f9596"",""a22d51628b40e5812e67f71d55673cd14a221f59d81c4be6844a498fb5c5660e"",""adfda1919c54d142f754a573fd1aa0b0007fdf9d4871403ca32c2d175c02b7c6"",""cb2737c167ae847af11bc75ead3a073930efac6f76a44fad3cdd855be5fd803a"",""eeeb3d4a230c224f507d58ab1a2cf7380a60fe5bd391ab0cd921f3cfab8c60c7"",""f5bb666660fc518f44cef9187a1158f5e100b99ce44b8bed15a3ce9b6232e076""]"
panda,frozen_k0_k1_sources,task_excess_gn,13,5,"[""016894bfe7220eb5304b71d9dc330e9a2a7872794dd09c7fb3f449f4be61911d"",""155366d9e36c3f00bb36d11c0390273736b0dcdcef6bce568f7f9c1042a2ae95"",""4481318d5ddc42ad85a73ca7db0930f598865b9f9facc5c5befea12352f1e43b"",""5920dd051364a2dc65b383b67ee2307d07472209a36afe30ad84d89588e685f2"",""5be03d09d1d94309b2e2bcdbd947cd30c346ebece6c2b58ab606780cb72ba53a"",""5c958deb3dc1f5919302388d58c9a5d961bec7d2f0bb8d7685e59c6d95b72459"",""777cecb834c2d2a97ee11f30726a9c1a3bfdbf129e98653491a9be48b524a07f"",""99596b92d749cfb0d60a69c35f886435bac6c03cd106abd1b9d3ecf6ec5f9596"",""a22d51628b40e5812e67f71d55673cd14a221f59d81c4be6844a498fb5c5660e"",""adfda1919c54d142f754a573fd1aa0b0007fdf9d4871403ca32c2d175c02b7c6"",""cb2737c167ae847af11bc75ead3a073930efac6f76a44fad3cdd855be5fd803a"",""eeeb3d4a230c224f507d58ab1a2cf7380a60fe5bd391ab0cd921f3cfab8c60c7"",""f5bb666660fc518f44cef9187a1158f5e100b99ce44b8bed15a3ce9b6232e076""]"
panda,frozen_k0_k1_sources,task_excess_lbfgsb,13,2,"[""016894bfe7220eb5304b71d9dc330e9a2a7872794dd09c7fb3f449f4be61911d"",""155366d9e36c3f00bb36d11c0390273736b0dcdcef6bce568f7f9c1042a2ae95"",""4481318d5ddc42ad85a73ca7db0930f598865b9f9facc5c5befea12352f1e43b"",""5920dd051364a2dc65b383b67ee2307d07472209a36afe30ad84d89588e685f2"",""5be03d09d1d94309b2e2bcdbd947cd30c346ebece6c2b58ab606780cb72ba53a"",""5c958deb3dc1f5919302388d58c9a5d961bec7d2f0bb8d7685e59c6d95b72459"",""777cecb834c2d2a97ee11f30726a9c1a3bfdbf129e98653491a9be48b524a07f"",""99596b92d749cfb0d60a69c35f886435bac6c03cd106abd1b9d3ecf6ec5f9596"",""a22d51628b40e5812e67f71d55673cd14a221f59d81c4be6844a498fb5c5660e"",""adfda1919c54d142f754a573fd1aa0b0007fdf9d4871403ca32c2d175c02b7c6"",""cb2737c167ae847af11bc75ead3a073930efac6f76a44fad3cdd855be5fd803a"",""eeeb3d4a230c224f507d58ab1a2cf7380a60fe5bd391ab0cd921f3cfab8c60c7"",""f5bb666660fc518f44cef9187a1158f5e100b99ce44b8bed15a3ce9b6232e076""]"
