robot,method,baseline,metric,difference,difference_ci,ratio,ratio_ci
panda,task_excess_gn,single_gn_k0,completion,0.025,"[0.0,0.075]",1.0256410256410255,"[1.0,1.0810810810810811]"
panda,task_excess_gn,single_gn_k0,deadline_completion,0.025,"[0.0,0.075]",1.0256410256410255,"[1.0,1.0810810810810811]"
panda,task_excess_gn,single_gn_k0,total_latency_ns,71223838.99166667,"[64050237.43291666,76249939.54666667]",2.6696228042652494,"[2.333760024801788,2.908633798426648]"
panda,task_excess_gn,single_gn_k0,frame_success,0.004666666666666666,"[0.0,0.013999999999999999]",1.0046885465505693,"[1.0,1.0141987829614605]"
panda,task_excess_gn,single_gn_k0,successful_prefix,0.7,"[0.0,2.1]",1.0046885465505693,"[1.0,1.0141987829614605]"
panda,task_excess_gn,single_gn_k0,acceleration_rms,0.7116104390359406,"[-0.8184116297551842,3.0284312385856555]",1.2300462469133546,"[0.7733412574159408,2.1045233970811656]"
panda,task_excess_gn,single_gn_k1,completion,0.0,"[0.0,0.0]",1.0,"[1.0,1.0]"
panda,task_excess_gn,single_gn_k1,deadline_completion,0.0,"[0.0,0.0]",1.0,"[1.0,1.0]"
panda,task_excess_gn,single_gn_k1,total_latency_ns,73695321.84166667,"[71078036.11458333,76403016.79166667]",2.8338027901404708,"[2.7663113364136493,2.9059219219539276]"
panda,task_excess_gn,single_gn_k1,frame_success,0.0,"[0.0,0.0]",1.0,"[1.0,1.0]"
panda,task_excess_gn,single_gn_k1,successful_prefix,0.0,"[0.0,0.0]",1.0,"[1.0,1.0]"
panda,task_excess_gn,single_gn_k1,acceleration_rms,0.5905963307779212,"[-0.913309817613375,2.8988653364521095]",1.1837373744565092,"[0.7514723342779371,2.0274398673803162]"
panda,task_excess_gn,task_excess_lbfgsb,completion,0.125,"[0.05,0.2]",1.1428571428571428,"[1.0526315789473684,1.25]"
panda,task_excess_gn,task_excess_lbfgsb,deadline_completion,0.13333333333333336,"[0.058333333333333334,0.20833333333333334]",1.153846153846154,"[1.0619469026548674,1.2631578947368423]"
panda,task_excess_gn,task_excess_lbfgsb,total_latency_ns,-276588067.40833336,"[-292121504.7764583,-261874074.51979166]",0.2916544676716295,"[0.2789353435671056,0.30419615710350806]"
panda,task_excess_gn,task_excess_lbfgsb,frame_success,0.024500000000000004,"[0.0010000000000000009,0.04950416666666669]",1.0251153254741159,"[1.001001001001001,1.0520824665192183]"
panda,task_excess_gn,task_excess_lbfgsb,successful_prefix,5.3,"[1.7,9.25]",1.0366275051831375,"[1.0114632501685772,1.0657193605683837]"
panda,task_excess_gn,task_excess_lbfgsb,acceleration_rms,-0.5227663065767584,"[-1.8602949636286599,1.678117667155971]",0.8792049556302691,"[0.5937024481643102,1.4097661283039238]"
panda,task_excess_gn,trac_task_5ms,completion,0.08333333333333334,"[0.01666666666666667,0.15833333333333335]",1.090909090909091,"[1.0169491525423728,1.1881188118811883]"
panda,task_excess_gn,trac_task_5ms,deadline_completion,0.09166666666666667,"[0.025,0.175]",1.1009174311926606,"[1.0256410256410255,1.2121212121212122]"
panda,task_excess_gn,trac_task_5ms,total_latency_ns,64457060.16666667,"[44335655.386250004,80885226.76812501]",2.3041277350012437,"[1.6370130157882818,3.460297935738685]"
panda,task_excess_gn,trac_task_5ms,frame_success,0.02583333333333333,"[0.005333333333333331,0.05166666666666666]",1.0265183917878529,"[1.0053619302949062,1.0544815465729351]"
panda,task_excess_gn,trac_task_5ms,successful_prefix,3.9083333333333328,"[0.8,7.833333333333333]",1.026752609662883,"[1.0053619302949062,1.0550996483001172]"
panda,task_excess_gn,trac_task_5ms,acceleration_rms,-0.23247450657525476,"[-1.9418618155196088,2.3075031529955576]",0.9424200537352416,"[0.5924181964951339,1.6535864185148859]"
panda,task_excess_gn,pink_qp,completion,0.075,"[0.0,0.15]",1.0810810810810811,"[1.0,1.1764705882352942]"
panda,task_excess_gn,pink_qp,deadline_completion,0.075,"[0.0,0.15]",1.0810810810810811,"[1.0,1.1764705882352942]"
panda,task_excess_gn,pink_qp,total_latency_ns,-24049261.041666664,"[-29044692.003124997,-19174464.701458327]",0.8256437499648472,"[0.7942454557291561,0.8574006802409367]"
panda,task_excess_gn,pink_qp,frame_success,0.016833333333333336,"[0.0,0.03650000000000001]",1.01712154602475,"[1.0,1.0378827192527245]"
panda,task_excess_gn,pink_qp,successful_prefix,2.525,"[0.0,5.475]",1.01712154602475,"[1.0,1.0378827192527245]"
panda,task_excess_gn,pink_qp,acceleration_rms,-0.3995018619121483,"[-2.367468933395094,2.2351158388982233]",0.9049811553689837,"[0.5454882174810589,1.6304226183143475]"
ur5e,task_excess_gn,single_gn_k0,completion,-0.025,"[-0.075,0.0]",0.975,"[0.925,1.0]"
ur5e,task_excess_gn,single_gn_k0,deadline_completion,-0.025,"[-0.075,0.0]",0.975,"[0.925,1.0]"
ur5e,task_excess_gn,single_gn_k0,total_latency_ns,85795089.7,"[66563526.85020833,120168861.52333333]",3.2395874213803397,"[2.7377324117057276,4.135328587204576]"
ur5e,task_excess_gn,single_gn_k0,frame_success,-0.014666666666666666,"[-0.044,0.0]",0.9853333333333334,"[0.9560000000000001,1.0]"
ur5e,task_excess_gn,single_gn_k0,successful_prefix,-2.95,"[-8.85,0.0]",0.9803333333333333,"[0.941,1.0]"
ur5e,task_excess_gn,single_gn_k0,acceleration_rms,3.713567349304978,"[1.5426588487347463,6.162407802780732]",1.6465288229718769,"[1.2560924188352203,2.2218887029079712]"
ur5e,task_excess_gn,single_gn_k1,completion,-0.025,"[-0.075,0.0]",0.975,"[0.925,1.0]"
ur5e,task_excess_gn,single_gn_k1,deadline_completion,-0.016666666666666666,"[-0.075,0.025]",0.9831932773109244,"[0.925,1.0256410256410255]"
ur5e,task_excess_gn,single_gn_k1,total_latency_ns,85335319.08333334,"[65965078.81958334,119730112.13229166]",3.2011676112937857,"[2.692692601764989,4.103194494442318]"
ur5e,task_excess_gn,single_gn_k1,frame_success,-0.014666666666666666,"[-0.044,0.0]",0.9853333333333334,"[0.9560000000000001,1.0]"
ur5e,task_excess_gn,single_gn_k1,successful_prefix,-2.95,"[-8.85,0.0]",0.9803333333333333,"[0.941,1.0]"
ur5e,task_excess_gn,single_gn_k1,acceleration_rms,3.661383274625416,"[1.459211312358176,6.08239342591145]",1.6317044588547704,"[1.2422918029814272,2.1823478855532406]"
ur5e,task_excess_gn,task_excess_lbfgsb,completion,0.275,"[0.125,0.425]",1.3928571428571428,"[1.1515151515151516,1.7391304347826086]"
ur5e,task_excess_gn,task_excess_lbfgsb,deadline_completion,0.275,"[0.125,0.425]",1.3928571428571428,"[1.1515151515151516,1.7391304347826086]"
ur5e,task_excess_gn,task_excess_lbfgsb,total_latency_ns,-245972059.2333333,"[-277759064.08625,-205862078.24333337]",0.3353464271854828,"[0.27911962017269704,0.43282746007901257]"
ur5e,task_excess_gn,task_excess_lbfgsb,frame_success,0.06533333333333333,"[0.007000000000000006,0.1295]",1.0710144927536231,"[1.0073745880271971,1.1498684733296058]"
ur5e,task_excess_gn,task_excess_lbfgsb,successful_prefix,21.45,"[7.825,34.75]",1.17078025477707,"[1.057415807986123,1.3055520417102928]"
ur5e,task_excess_gn,task_excess_lbfgsb,acceleration_rms,3.687816672443519,"[0.5802715946307943,7.052886925930136]",1.6391800994537322,"[1.0952354971140061,2.3449031005554333]"
ur5e,task_excess_gn,trac_task_5ms,completion,0.03333333333333334,"[-0.041666666666666664,0.125]",1.0353982300884956,"[0.956896551724138,1.1428571428571428]"
ur5e,task_excess_gn,trac_task_5ms,deadline_completion,0.03333333333333334,"[-0.041666666666666664,0.125]",1.0353982300884956,"[0.956896551724138,1.1428571428571428]"
ur5e,task_excess_gn,trac_task_5ms,total_latency_ns,80652104.26666667,"[36207133.044374995,121925286.84625006]",2.856144241402681,"[1.48329945713034,5.568681760590958]"
ur5e,task_excess_gn,trac_task_5ms,frame_success,0.009444444444444441,"[-0.03033472222222222,0.06372222222222221]",1.009677786633269,"[0.9687807765483509,1.0680590992701595]"
ur5e,task_excess_gn,trac_task_5ms,successful_prefix,1.3249999999999997,"[-6.216666666666666,9.818125000000006]",1.0090924686910276,"[0.9578149739877857,1.0717074682367524]"
ur5e,task_excess_gn,trac_task_5ms,acceleration_rms,-0.523079216313926,"[-3.5212708324610418,2.6701646863055166]",0.9475898830914595,"[0.6711985201804933,1.3015665108835366]"
ur5e,task_excess_gn,pink_qp,completion,0.025,"[-0.05,0.1]",1.0263157894736843,"[0.9487179487179487,1.1142857142857143]"
ur5e,task_excess_gn,pink_qp,deadline_completion,0.025,"[-0.05,0.1]",1.0263157894736843,"[0.9487179487179487,1.1142857142857143]"
ur5e,task_excess_gn,pink_qp,total_latency_ns,26581152.125,"[7298051.934374998,60916312.314166665]",1.272564657291206,"[1.0748823332300526,1.6248278190401022]"
ur5e,task_excess_gn,pink_qp,frame_success,-0.002333333333333332,"[-0.043833333333333335,0.0365]",0.9976375295308808,"[0.9561593598933156,1.0378827192527242]"
ur5e,task_excess_gn,pink_qp,successful_prefix,0.8,"[-7.025,7.6]",1.0054700854700855,"[0.9525898430909397,1.053370786516854]"
ur5e,task_excess_gn,pink_qp,acceleration_rms,-2.6482255595297426,"[-5.957888756846105,0.7156670219396504]",0.7812404807912858,"[0.5596433671876447,1.0703704671586727]"
