input_id,robot,point_failure_fraction,task_excess_accept_fraction,stable_recovery,point_endpoint_near_stationary_raw_1e_5,near_stationary_with_independent_legal_command,categories,maximum_projected_gradient_inf,maximum_projected_gradient_scaled,endpoint_active_constraints
016894bfe7220eb5304b71d9dc330e9a2a7872794dd09c7fb3f449f4be61911d,panda,1.0,1.0,True,True,True,"[""orientation_fail""]",2.1919846909801421e-07,3.1883252660242994e-08,"[{""joint"":2,""side"":""lower"",""kind"":""frame_displacement"",""gradient"":0.7165795159562962},{""joint"":4,""side"":""upper"",""kind"":""physical"",""gradient"":-5.875034722268002}]"
01b3d371907cb3f346fff18bae595c23d7574141a7c95d86ab1006bcd4e9fabe,panda,1.0,0.0,False,True,False,"[""both_fail""]",7.69022729940616e-07,2.036330738609116e-07,"[{""joint"":1,""side"":""upper"",""kind"":""frame_displacement"",""gradient"":-2.776511916064701},{""joint"":2,""side"":""lower"",""kind"":""frame_displacement"",""gradient"":0.6254212372955914}]"
051833cbe006de8ff0b74c24491dc92760ae8fa05993116db6211ab7fa33682b,ur5e,1.0,0.0,False,True,False,"[""position_fail""]",1.7479565306288691e-06,4.231646603441082e-07,"[{""joint"":0,""side"":""upper"",""kind"":""frame_displacement"",""gradient"":-3.1306770022039867}]"
09356f4513b62701731efafd2203596a897cfefe0acf13426c5f18d02b61686e,panda,1.0,0.0,False,True,False,"[""position_fail""]",1.9240663069464148e-06,5.684651826304837e-07,"[{""joint"":2,""side"":""lower"",""kind"":""frame_displacement"",""gradient"":0.26776881268517894},{""joint"":4,""side"":""upper"",""kind"":""frame_displacement"",""gradient"":-2.3846686934160135}]"
0d2f0b8c4906d449cde87c2f3b3eb6368cf63ec256a2ba134f1429a0a8661022,panda,1.0,1.0,True,True,True,"[""orientation_fail""]",5.9115703336942715e-06,9.829560775256788e-07,"[{""joint"":0,""side"":""upper"",""kind"":""frame_displacement"",""gradient"":-0.0015905032784324646},{""joint"":6,""side"":""upper"",""kind"":""physical"",""gradient"":-5.014073740278429}]"
0fadcee75ebee19eeaf8f75e6cb4051343a5b42ad78fcbf01575d902138cfeb5,panda,1.0,0.0,False,True,False,"[""both_fail""]",6.188727378342307e-07,1.6086931729032565e-07,"[{""joint"":1,""side"":""upper"",""kind"":""frame_displacement"",""gradient"":-2.847052677654699},{""joint"":2,""side"":""lower"",""kind"":""frame_displacement"",""gradient"":0.4784081217427385}]"
10fa3fce33e1e01e44e4352b9ece7fac8d666b9b0ae0006cd95a27e4ae80f955,panda,1.0,0.0,False,True,False,"[""both_fail""]",7.690246868197192e-07,2.036335920323705e-07,"[{""joint"":1,""side"":""upper"",""kind"":""frame_displacement"",""gradient"":-2.776511916056913},{""joint"":2,""side"":""lower"",""kind"":""frame_displacement"",""gradient"":0.6254212373156154}]"
12c8309cfc40ab3f04aa67bfde8845b4ac42a2b7671ea5e61b1a7471afc4c358,panda,1.0,1.0,True,False,False,"[""position_fail""]",0.30204950599126734,0.05803209781149669,"[{""joint"":0,""side"":""lower"",""kind"":""frame_displacement"",""gradient"":4.204869673545191}]"
1339de0a2b7e0c7fe442d1cc16653ecd1e53cb39b6001175c3ee189d588f0123,panda,0.0,1.0,False,False,False,"[""both_pose_pass""]",1.7953726926778621,0.6422659480721916,"[{""joint"":1,""side"":""lower"",""kind"":""physical"",""gradient"":0.4144151419479147}]"
155366d9e36c3f00bb36d11c0390273736b0dcdcef6bce568f7f9c1042a2ae95,panda,1.0,1.0,True,True,True,"[""position_fail""]",5.516583959364052e-07,4.006839894464781e-07,"[{""joint"":2,""side"":""upper"",""kind"":""frame_displacement"",""gradient"":-0.11138138272253992},{""joint"":4,""side"":""upper"",""kind"":""physical"",""gradient"":-0.37679171233791897}]"
