robot,uid,site_id,family,method,repeats,completion,deadline_completion,total_latency_ns,frame_success,successful_prefix,acceleration_rms
panda,0c2a95a498c1bf13c2df4295db29a5367cf069e157e300d36211ce1951b2bf0e,trajectory_06,smooth,single_gn_k0,3,1.0,1.0,40441080.333333336,1.0,150.0,0.6574379714823209
panda,125d0ba81f8f99703f34ce79c430375e614edd8d7281141ad9df7e9828fed992,trajectory_24,joint_limit_return,single_gn_k0,3,1.0,1.0,40505155.0,1.0,150.0,0.6780255027989138
panda,166f9f9c01b7bdb7e23bb78eb834aa40e45e3eac2d5c263419996286861ad9dc,trajectory_22,joint_limit_return,single_gn_k0,3,1.0,1.0,40164843.666666664,1.0,150.0,0.727612464890036
panda,16ab30a670ddc1bb59f64aa11421a7a95e2a13b391b17e7261a85fb14178c0bc,trajectory_29,joint_limit_return,single_gn_k0,3,1.0,1.0,40189957.0,1.0,150.0,1.27107318488309
panda,1742dca2b4e66648ef384a591bc48af258b7ccf01a3b1f0930d212a06b1f978c,trajectory_15,near_singular,single_gn_k0,3,1.0,1.0,38950359.0,1.0,150.0,1.025189620210495
panda,380513eac133b886f7e375e39250059ba16f3133d3a5d3b8ff244470af2eb5ae,trajectory_39,high_curvature,single_gn_k0,3,1.0,1.0,40409850.0,1.0,150.0,5.52016328584602
panda,40c3eae024871d71025c88c09b1bbffc1b50b311548d53112ed8d4118883654a,trajectory_16,near_singular,single_gn_k0,3,1.0,1.0,35973209.333333336,1.0,150.0,7.40822178060759
panda,41c501982d64297056fe7d1239938d5f0fb508b8c32ed74b2b5c72d3bf1ddba1,trajectory_28,joint_limit_return,single_gn_k0,3,1.0,1.0,40245672.0,1.0,150.0,0.6738482607611996
panda,49e505b5dd8506da453322d27fabacda172e9baf611dd7b1ccac4b4220f68113,trajectory_13,near_singular,single_gn_k0,3,1.0,1.0,39138908.666666664,1.0,150.0,1.520174796545372
panda,4afc296390cd2da8318a4ba9544aebe6e73de828b20fea6cbaeedda3bf7a189f,trajectory_21,joint_limit_return,single_gn_k0,3,1.0,1.0,40327853.333333336,1.0,150.0,0.7085798603943708
panda,4e626ba28da6a8d45d22f023c3732e2d796c83a0e74df2aa41168fe26f6dccab,trajectory_14,near_singular,single_gn_k0,3,0.0,0.0,143247299.0,0.8133333333333334,122.0,5.869964540599192
panda,525ed23e41917cce27c978b0c676be43016f2541aa51a8185bbab7e6ce610192,trajectory_10,near_singular,single_gn_k0,3,1.0,1.0,39588612.0,1.0,150.0,0.6621002759805037
panda,5560810f9d87891ba612f00a19811ec608860538b5dbf8f478a2cc168f4d1547,trajectory_20,joint_limit_return,single_gn_k0,3,1.0,1.0,40910640.333333336,1.0,150.0,0.7749956521491373
panda,62749969a81aa229bd98bbc6a77941b40960bf5ae0886a5dfe36f5eff62e5c1c,trajectory_27,joint_limit_return,single_gn_k0,3,1.0,1.0,40396012.666666664,1.0,150.0,0.5912781024857772
panda,6b43e53a09d43b068012e38e4082dc1a83a7da4ac12d3b1a7c10621fab8498a4,trajectory_09,smooth,single_gn_k0,3,1.0,1.0,40621638.666666664,1.0,150.0,0.5888362814118456
panda,6f61a4f090c2631561aee85944d25bbb3ec9ae75f330ddc67dd8f755fa60ea51,trajectory_25,joint_limit_return,single_gn_k0,3,1.0,1.0,40274109.666666664,1.0,150.0,3.694036450733654
panda,703e80ee1a10cacc408a225bf4b9b1d1a8b7cd7c18ef82408fe61c8b6b1a1fa4,trajectory_23,joint_limit_return,single_gn_k0,3,1.0,1.0,40635446.666666664,1.0,150.0,2.3105983897239093
panda,827f4c481262ed599d5a62ea92d72f83f9d2baecaa5e733c4c0018e796d573d5,trajectory_38,high_curvature,single_gn_k0,3,1.0,1.0,40991811.333333336,1.0,150.0,6.616783920225601
panda,8ffc69b10a990e9806b11a88aa9d56ad2edaf960a5dbd463eff00cf8c0b24859,trajectory_33,high_curvature,single_gn_k0,3,1.0,1.0,41405180.333333336,1.0,150.0,8.101018623189114
panda,972b6c7f62ad2d88a1171405175e002fe4dad516aaa6300e4c090613265f4592,trajectory_05,smooth,single_gn_k0,3,1.0,1.0,40650532.333333336,1.0,150.0,0.7635320771316249
panda,98b02d6a697ef616fb15325aca1f5748ceba5d966785b4f1677767ebff16420f,trajectory_02,smooth,single_gn_k0,3,1.0,1.0,40280669.0,1.0,150.0,0.724096352211599
panda,9a94337fb5b3319c8ba9dcce20e827630b16d9a348f1f3aa8709c5d0df3406af,trajectory_19,near_singular,single_gn_k0,3,1.0,1.0,39212787.666666664,1.0,150.0,1.2540898600450565
panda,a62f788b8607be02b7f7a70f0234d741c3a3ffbce60a66d892cb748dca4ac32c,trajectory_01,smooth,single_gn_k0,3,1.0,1.0,40767966.666666664,1.0,150.0,0.780923646563579
panda,a74d26d3694c4e4d15b8817c29ef75a4bd43cb4d8d1ebf3ae4154e26d80ab4a4,trajectory_08,smooth,single_gn_k0,3,1.0,1.0,40296721.333333336,1.0,150.0,0.7052512314110809
panda,b47f91198895baa3999a406c9c32516cd3e78dd7e42a8bccccc4cd058a03020a,trajectory_26,joint_limit_return,single_gn_k0,3,1.0,1.0,40367038.333333336,1.0,150.0,3.2004198529189765
panda,b88225558b53c7528d4fc1a56455ceac395ea6a65306515006580362af026e1e,trajectory_31,high_curvature,single_gn_k0,3,1.0,1.0,41949346.666666664,1.0,150.0,8.597701506595294
panda,ba9bbb877bd562764b9ad1fe612339400f4396f8e4e3ccdd742d4a4326684c27,trajectory_00,smooth,single_gn_k0,3,1.0,1.0,40510572.666666664,1.0,150.0,0.7643183388935593
panda,bb2d7133de7083285ff7ede00b959e62fc3bf5dc626bfa521b77361d0f3f759e,trajectory_34,high_curvature,single_gn_k0,3,1.0,1.0,40473353.0,1.0,150.0,6.347260511943346
panda,c27c85dfc1ac902402f2c27d5ecd007325d528654413acef4dab0af30af48583,trajectory_37,high_curvature,single_gn_k0,3,1.0,1.0,40318179.0,1.0,150.0,6.953002522971768
panda,c99e2c9b46eb1858a0dd2f525833e49b6f0b7c25001781f1b00044934372d935,trajectory_18,near_singular,single_gn_k0,3,1.0,1.0,39503998.666666664,1.0,150.0,0.6638108646714567
panda,ca9065ec04392f64d1cce7cea6e6ae7ba224495be6a41fa0902e34ddeb925465,trajectory_17,near_singular,single_gn_k0,3,1.0,1.0,38286721.666666664,1.0,150.0,3.1954339525291204
panda,cdb906e5ffe0888b5856461ef6bee1b8809232e928fd853beb25f1903a7d798a,trajectory_07,smooth,single_gn_k0,3,1.0,1.0,40385028.333333336,1.0,150.0,0.6342139643864704
panda,d8e06950cec2579c739f7f6d3dbb3628755dfd76be5740fad3bec38b4ef94cc6,trajectory_11,near_singular,single_gn_k0,3,1.0,1.0,34643826.666666664,1.0,150.0,11.10500795463632
panda,e7257c22abc9d850802582540365f4bc972868280e40708e45700776b6ad2aca,trajectory_35,high_curvature,single_gn_k0,3,1.0,1.0,41177023.0,1.0,150.0,6.304303146524425
panda,e928208c5cfa766679be750c366c336bdeb1caea1f8283ea513bc5392401481b,trajectory_03,smooth,single_gn_k0,3,1.0,1.0,40643933.0,1.0,150.0,0.6645666568580575
panda,ea5503530085a4b7fba1457389f090742de31c9aa6ebe8907aa867289b032370,trajectory_12,near_singular,single_gn_k0,3,1.0,1.0,39586958.333333336,1.0,150.0,1.9947244982382528
panda,ea5e2ac9bfe24625cf9368e4931dfe5a7f878c028b94ce7ca271455c05bad4e6,trajectory_04,smooth,single_gn_k0,3,1.0,1.0,40875621.666666664,1.0,150.0,0.5701619072762077
panda,f77f30aad07c01747cccac5f99de0454266b5b9453dc6357da97f2c8d2529cfc,trajectory_30,high_curvature,single_gn_k0,3,1.0,1.0,40669204.666666664,1.0,150.0,5.421753427825114
panda,f786741c9f59d7d552811f1959141226fb4d169d5c149b34b1fb99edb7839b2c,trajectory_32,high_curvature,single_gn_k0,3,1.0,1.0,40878125.666666664,1.0,150.0,7.430537891619131
panda,fd96ca4300b705b343cbde5bb7d97076acca0d187b1d78fc9094c6cac23b640b,trajectory_36,high_curvature,single_gn_k0,3,1.0,1.0,40450373.0,1.0,150.0,6.25840856957178
panda,0c2a95a498c1bf13c2df4295db29a5367cf069e157e300d36211ce1951b2bf0e,trajectory_06,smooth,single_gn_k1,3,1.0,1.0,40439671.666666664,1.0,150.0,0.7146861831544493
panda,125d0ba81f8f99703f34ce79c430375e614edd8d7281141ad9df7e9828fed992,trajectory_24,joint_limit_return,single_gn_k1,3,1.0,1.0,40310694.666666664,1.0,150.0,0.7305322160150866
panda,166f9f9c01b7bdb7e23bb78eb834aa40e45e3eac2d5c263419996286861ad9dc,trajectory_22,joint_limit_return,single_gn_k1,3,1.0,1.0,40502736.333333336,1.0,150.0,0.7295443579552737
panda,16ab30a670ddc1bb59f64aa11421a7a95e2a13b391b17e7261a85fb14178c0bc,trajectory_29,joint_limit_return,single_gn_k1,3,1.0,1.0,40582499.0,1.0,150.0,0.6603329790822209
panda,1742dca2b4e66648ef384a591bc48af258b7ccf01a3b1f0930d212a06b1f978c,trajectory_15,near_singular,single_gn_k1,3,1.0,1.0,38897658.0,1.0,150.0,2.055618193045454
panda,380513eac133b886f7e375e39250059ba16f3133d3a5d3b8ff244470af2eb5ae,trajectory_39,high_curvature,single_gn_k1,3,1.0,1.0,40837572.0,1.0,150.0,5.518062885121327
panda,40c3eae024871d71025c88c09b1bbffc1b50b311548d53112ed8d4118883654a,trajectory_16,near_singular,single_gn_k1,3,1.0,1.0,36253218.333333336,1.0,150.0,6.822430251512789
panda,41c501982d64297056fe7d1239938d5f0fb508b8c32ed74b2b5c72d3bf1ddba1,trajectory_28,joint_limit_return,single_gn_k1,3,1.0,1.0,40641878.666666664,1.0,150.0,0.6843366659494864
panda,49e505b5dd8506da453322d27fabacda172e9baf611dd7b1ccac4b4220f68113,trajectory_13,near_singular,single_gn_k1,3,1.0,1.0,39617352.666666664,1.0,150.0,2.464423059861715
panda,4afc296390cd2da8318a4ba9544aebe6e73de828b20fea6cbaeedda3bf7a189f,trajectory_21,joint_limit_return,single_gn_k1,3,1.0,1.0,40559571.666666664,1.0,150.0,0.8797367333301392
panda,4e626ba28da6a8d45d22f023c3732e2d796c83a0e74df2aa41168fe26f6dccab,trajectory_14,near_singular,single_gn_k1,3,1.0,1.0,38215777.333333336,1.0,150.0,3.3420234882726674
panda,525ed23e41917cce27c978b0c676be43016f2541aa51a8185bbab7e6ce610192,trajectory_10,near_singular,single_gn_k1,3,1.0,1.0,39855132.333333336,1.0,150.0,1.8352900232752074
panda,5560810f9d87891ba612f00a19811ec608860538b5dbf8f478a2cc168f4d1547,trajectory_20,joint_limit_return,single_gn_k1,3,1.0,1.0,40674978.0,1.0,150.0,0.8118874570563666
panda,62749969a81aa229bd98bbc6a77941b40960bf5ae0886a5dfe36f5eff62e5c1c,trajectory_27,joint_limit_return,single_gn_k1,3,1.0,1.0,40372637.666666664,1.0,150.0,0.5832145507760536
panda,6b43e53a09d43b068012e38e4082dc1a83a7da4ac12d3b1a7c10621fab8498a4,trajectory_09,smooth,single_gn_k1,3,1.0,1.0,40353311.666666664,1.0,150.0,0.6014510211572096
panda,6f61a4f090c2631561aee85944d25bbb3ec9ae75f330ddc67dd8f755fa60ea51,trajectory_25,joint_limit_return,single_gn_k1,3,1.0,1.0,40494498.333333336,1.0,150.0,4.428732957097844
