robot,group,method,queries,anchors,repeats,success_by_repeat,within20_by_repeat,mean_success_count,verified_success,within20_success,all_repeat_success_queries,witness_missed_unique_queries,p50_ms,p95_ms,p99_ms,mean_ms,cumulative_ms_per_repeat,late_calls,accepted_position_p95_m,accepted_position_max_m,accepted_orientation_p95_rad,accepted_orientation_max_rad,accepted_pose_utilization_p95,accepted_edge_fraction,accepted_position_margin_p05_m,accepted_orientation_margin_p05_rad,max_accepted_step_utilization,mean_iterations,mean_evaluations,first_half_accepted_call_fraction,continued_after_first_call_fraction,multiple_local_qp_call_fraction,relative_stop_call_fraction,relative_stop_subproblem_fraction,mean_dual_updates,internal_status_counts,failure_counts,split
panda,all,clarabel,270,30,3,"[270,270,270]","[270,270,270]",270.0,1.0,1.0,270,0,0.34981450000000003,0.83026095,0.9014035699999999,0.4998472407407407,134.958755,0,0.0009342445020520751,0.0009948825479939938,0.0068457669203040705,0.008217289448059339,0.9416138640309364,0.07777777777777778,6.575549794792489e-05,0.0018808793396959296,0.9999999999990037,1.4111111111111112,2.8333333333333335,0.5851851851851851,0.4148148148148148,0.4148148148148148,0.0,0.0,1.8333333333333333,"{""native_task_candidate"":810}",{},development
panda,all,gn,270,30,3,"[268,268,268]","[268,268,268]",268.0,0.9925925925925926,0.9925925925925926,268,2,0.372278,0.5949576,0.66001037,0.44312658395061727,119.64417766666666,0,0.0009337966956319941,0.0009948825479939938,0.006678014622673235,0.008217289448059339,0.9416138640309364,0.07462686567164178,6.620330436800587e-05,0.0020486316373267647,0.9999999999990037,2.4962962962962965,5.57037037037037,,,,,,,"{""task_candidate"":804,""no_descent"":6}","{""orientation_tolerance"":6}",development
panda,all,relative,270,30,3,"[270,270,270]","[270,270,270]",270.0,1.0,1.0,270,0,0.3486415,0.6032301999999999,0.68010076,0.40739433209876547,109.99646966666667,0,0.0009416138640309364,0.0009948825479939938,0.0068457669203040705,0.008283850278361735,0.9441927270245792,0.08148148148148149,5.83861359690636e-05,0.0018808793396959296,0.9999999999990037,1.4185185185185185,2.4296296296296296,0.5851851851851851,0.4148148148148148,0.007407407407407408,0.4148148148148148,0.9826086956521739,1.4296296296296296,"{""native_task_candidate"":810}",{},development
panda,all,tight,270,30,3,"[270,270,270]","[270,270,270]",270.0,1.0,1.0,270,0,0.34840950000000004,2.62811885,2.8666672099999997,0.8237943037037037,222.42446199999998,0,0.0009441927270245793,0.0009998526074621419,0.0068457669203040705,0.008282159829506067,0.9442895112633991,0.08148148148148149,5.5807272975420753e-05,0.0018808793396959296,0.9999999999990037,1.4,4.87037037037037,0.5851851851851851,0.4148148148148148,0.4148148148148148,0.0,0.0,3.8777777777777778,"{""native_task_candidate"":810}",{},development
panda,all,trac_task_20ms,270,30,3,"[254,253,253]","[254,253,253]",253.33333333333334,0.9382716049382716,0.9382716049382716,251,19,0.27696849999999995,20.2648842,20.29720626,2.7009191827160492,729.2481793333333,50,0.0008383378806954957,0.0009813226790123361,0.006443959008731422,0.008513603924136012,0.8568586488456019,0.02368421052631579,0.00016166211930450426,0.0022826872512685783,1.0,,,,,,,,,"{""native_success"":760,""native_no_solution"":50}","{""internal_nonconvergence+position_tolerance+orientation_tolerance"":50}",development
panda,all,trac_task_5ms,270,30,3,"[242,241,240]","[242,241,240]",241.0,0.8925925925925926,0.8925925925925926,231,39,0.27403500000000003,5.2534745,5.2746290700000005,1.559130597530864,420.9652613333333,0,0.0008204949549742176,0.0009336160651809536,0.0058213563923043415,0.007350353067608768,0.8252995294660481,0.008298755186721992,0.00017950504502578228,0.0029052898676956585,1.0,,,,,,,,,"{""native_success"":723,""native_no_solution"":87}","{""internal_nonconvergence+position_tolerance+orientation_tolerance"":87}",development
panda,all,weight_0.2,270,30,3,"[265,265,265]","[265,265,265]",265.0,0.9814814814814815,0.9814814814814815,265,5,0.373279,0.59744795,4.246848959999975,0.482055412345679,130.15496133333332,0,0.0009280957666447286,0.0009997281892257376,0.0055875147158063205,0.00827255627300719,0.9417692008480284,0.07169811320754717,7.190423335527143e-05,0.0031391315441936796,0.9999999999990037,2.585185185185185,6.462962962962963,,,,,,,"{""task_candidate"":795,""stationary"":6,""no_descent"":9}","{""position_tolerance"":15}",development
panda,all,weight_0.35,270,30,3,"[270,270,270]","[270,270,270]",270.0,1.0,1.0,270,0,0.378658,0.59586565,0.6421358399999999,0.42296615679012345,114.20086233333332,0,0.0009323520948201711,0.0009985130348311153,0.006222497995511613,0.008637729272003025,0.9353535004825668,0.08888888888888889,6.764790517982888e-05,0.0025041482644883872,0.9999999999990037,2.4,4.8,,,,,,,"{""task_candidate"":810}",{},development
panda,all,weight_0.5,270,30,3,"[268,268,268]","[268,268,268]",268.0,0.9925925925925926,0.9925925925925926,268,2,0.37453499999999995,0.5880892499999998,0.6661899999999998,0.44403091234567904,119.88834633333335,0,0.0009337966956319941,0.0009948825479939938,0.006678014622673235,0.008217289448059339,0.9416138640309364,0.07462686567164178,6.620330436800587e-05,0.0020486316373267647,0.9999999999990037,2.4962962962962965,5.57037037037037,,,,,,,"{""task_candidate"":804,""no_descent"":6}","{""orientation_tolerance"":6}",development
panda,all,weight_0.65,270,30,3,"[267,267,267]","[267,267,267]",267.0,0.9888888888888889,0.9888888888888889,267,3,0.390842,0.6150339499999999,3.4850428599999033,0.47315512469135795,127.75188366666664,0,0.0008687811785060958,0.0009941671678373295,0.00664299445727385,0.008327840526699347,0.8903575258579145,0.04868913857677903,0.00013121882149390426,0.00208365180272615,0.9999999999990037,2.5814814814814815,5.974074074074074,,,,,,,"{""task_candidate"":801,""no_descent"":6,""stationary"":3}","{""orientation_tolerance"":9}",development
