robot,uid,anchor_uid,anchor_family,displacement,alpha,baseline,relative_success,baseline_success,relative_by_repeat,baseline_by_repeat
panda,0f0066e3c38fd59e1fd8b6f52951b280efe30d04c4529f86b8d067ddb3eaed4d,8bff0f7430314050302c28be8dbbaf086bf262ae38c9ecb891feb68af12086c6,near_singular,high_utilization,0.95,fixed_weight,1.0,0.0,"[true,true,true]","[false,false,false]"
panda,116413e5077b1991259016bcb70aed719e9313295c22976aaf3e7971067192d7,9449ccb57afd4744d6dfe7f87cdc9e8805bf03f025ba314b0cf5c4ee4ff1baff,ordinary,multijoint_boundary,0.95,fixed_weight,1.0,0.0,"[true,true,true]","[false,false,false]"
panda,533de6547fa065ce09c1abbe948ab52f2b32de0a95fc8474ae8e65ba7ef34bb7,494a15f8c51f3eb30a4a0f3adca308041146443c5879b142d9eaecf2fd5949f5,ordinary,multijoint_boundary,0.95,fixed_weight,1.0,0.0,"[true,true,true]","[false,false,false]"
panda,5854bb50df8eb5749f3b60b09805a81abf13011dbff470a0c2482e2d615770f3,08a6d21229d8a7daff14a3adabeea873cc9fdae36a7c8471ad5195ab9a15ea7f,near_limit,multijoint_boundary,0.95,fixed_weight,1.0,0.0,"[true,true,true]","[false,false,false]"
panda,5cf5039fc3c7d028119c6991026934fb21f1dd3cde553d00f59ccf22fa345d77,8bff0f7430314050302c28be8dbbaf086bf262ae38c9ecb891feb68af12086c6,near_singular,multijoint_boundary,0.95,fixed_weight,1.0,0.0,"[true,true,true]","[false,false,false]"
panda,797de44b78e212b04dad5b2fc221151aaf69831bdaa05d892484f158405e8ab0,7bdece255ee6f66ac0c3ab14f7631e0097693ab5a745e97783982d6e327e7db9,near_limit,high_utilization,0.95,fixed_weight,1.0,0.0,"[true,true,true]","[false,false,false]"
panda,7daea5262992ac9de965727a2f7eab6385d8ef4df1d95433c35784280e479f0e,032130aeaa0a0bcff94d1076d67987495baa6641a63511bf6bd1ef294423277d,near_limit,multijoint_boundary,0.95,fixed_weight,1.0,0.0,"[true,true,true]","[false,false,false]"
panda,cbe30faf0082834c92ae2568729573308856208ed7029a6217bf2991cba3de9d,f868ad78a6128d973cae704571e4fa51026c06f2b22a421e4b2c18b6446638f3,ordinary,multijoint_boundary,0.95,fixed_weight,1.0,0.0,"[true,true,true]","[false,false,false]"
panda,d0277913bb4c45b1cb9398b8ec2381ee279ee6fb57ee7d6a13b8f70548dd4d5f,2266583c065e579fc3f127a413d4b0f8715337e4ce05a8aa7af8e8501f0b18e3,ordinary,multijoint_boundary,0.95,fixed_weight,1.0,0.0,"[true,true,true]","[false,false,false]"
panda,d1f8d559bdcc3bebe2e4abce70b3548638b7b51dfaaedbdf9c8a1f12ebfdcb4a,6f07969d7791bbe8a5353db4b06322b33a29ca5dbecd05f395e23a39668b9a63,near_singular,multijoint_boundary,0.95,fixed_weight,1.0,0.0,"[true,true,true]","[false,false,false]"
panda,d94e278cfa19dfa045173adaf1e7d366ea36f3e9e9393cb670caed0fa9db87d3,0950f842fbc800fc2f99055acbb13a9ef0356edb4a2fc26ccfa21392040e1b35,near_limit,multijoint_boundary,0.95,fixed_weight,1.0,0.0,"[true,true,true]","[false,false,false]"
panda,dc15c8b55e2bc50a7be98143c01cce6ff8f7511ebe0035df81d5fc6f35afa97d,0edaf8093372a14b8928898e96ec160fcdf9fee22e979000a319fde3b6636423,near_singular,multijoint_boundary,0.95,fixed_weight,1.0,0.0,"[true,true,true]","[false,false,false]"
panda,e2578698ace70affc39caf0f2eed9eee514cb32cfa0b4acee74e5db43f558998,1e07e03da72c99ea14f5280f22a63ffa288f5c12a609d7bab927be9e6586a0ce,near_singular,multijoint_boundary,0.95,fixed_weight,1.0,0.0,"[true,true,true]","[false,false,false]"
panda,116413e5077b1991259016bcb70aed719e9313295c22976aaf3e7971067192d7,9449ccb57afd4744d6dfe7f87cdc9e8805bf03f025ba314b0cf5c4ee4ff1baff,ordinary,multijoint_boundary,0.95,gn,1.0,0.0,"[true,true,true]","[false,false,false]"
panda,232d4bfd818ccf44fdc110f8ae3168f95d187a2fa1dccefbccb9bac2e2ec8460,fdbce267349651d0e71efb01c10a0a9554cb4b03775aeda0f02ce25fae617971,near_limit,multijoint_boundary,0.95,gn,1.0,0.0,"[true,true,true]","[false,false,false]"
panda,6053eba826b47af95688b606a803fa8d4dd7338acebc1e0734c8b42e80801b1c,70a3aa22d76a1fed29e2bbbad83f9b05258e538670c96560a22948820d3d6307,near_singular,multijoint_boundary,0.95,gn,1.0,0.0,"[true,true,true]","[false,false,false]"
panda,608b3447d4ba4e880b4b2446b81ea76b7ae7445f953d93d4d4c921cc8e79c135,b1fd23c0c4b0c6a989e3b4c67673307b387eb068abbae69810c2a0c00e7f9d8e,ordinary,multijoint_boundary,0.95,gn,1.0,0.0,"[true,true,true]","[false,false,false]"
panda,637d683b1102d33f4ba5165b32fcceff21d00db2b4c65f1f222b68393371bdb3,94a9234e028d13820def70b0ed2c1486a1a74dd9a17cea5215d8b65f4d5132f0,ordinary,multijoint_boundary,0.95,gn,1.0,0.0,"[true,true,true]","[false,false,false]"
panda,73f79a4c1a01e9d7158753a40c3faeb64614a86a72058c894ba7a9eaba1da0ba,feb4cb7826f79bb94b999536d7e4f68f31c25f51d9d113fdac7493af2e15148a,ordinary,multijoint_boundary,0.95,gn,1.0,0.0,"[true,true,true]","[false,false,false]"
panda,772edfc546a97728e7f39f19a01993a5927b81b54f6f66f4cde8beba82ce9ce4,5b90f2dd98fd511d4fc069381ab40b082af004e6b5f5b7524d841290c80c5506,near_limit,multijoint_boundary,0.95,gn,1.0,0.0,"[true,true,true]","[false,false,false]"
panda,7879f51022a2e4b43facace876b1f4dc84492479c766b7cbe2452009535855d0,5cb20911d20ac2544ed1169b8d8bb09ba94aa6d810953cc518a2fc171cd2e271,ordinary,multijoint_boundary,0.95,gn,1.0,0.0,"[true,true,true]","[false,false,false]"
panda,be9efe6f5d0c2f73beef69d62c4161e8fd60ec78077e0d5a44b11cbca028ec0e,03c870be68513b7dd937216e2ad12d530030c53fc9aca5b157545a3dfb6537f7,near_singular,multijoint_boundary,0.95,gn,1.0,0.0,"[true,true,true]","[false,false,false]"
panda,dfe6e713d05a39be8b5a02b380237f01f6a459b63be3d831191551bfbed52fbd,68a8ed9a58977e9983fa0f846f3a339a7492b99eccad57ac45000568c1e45004,near_limit,multijoint_boundary,0.95,gn,1.0,0.0,"[true,true,true]","[false,false,false]"
panda,015d8ffba282448b1e4d18898af0a2c2026c88ddf19ec2101a59641e0c7ce33c,708dfbaa2b7fcede2bde8cf4d598ba46ca356b31febe6a20beab0a5f009105ac,ordinary,multijoint_boundary,0.5,trac_task_20ms,1.0,0.6666666666666666,"[true,true,true]","[true,false,true]"
panda,051732e358d1eeb5fec3ef3a450e841edc9a58a212b202b0f70820878c0bc17c,36355ea40fd017b8718ec458c1129f61e130695c1f2daeb73b3f1a96360fac13,near_limit,multijoint_boundary,0.95,trac_task_20ms,1.0,0.0,"[true,true,true]","[false,false,false]"
panda,058ab34845fb531d3bd6d509229b259014211bf8eda34a48a16f8b124cdbb268,f16999dfda13742edb706d97a20c718eb0a2d88aa8971dae70f5876e4e334ef8,ordinary,multijoint_boundary,0.95,trac_task_20ms,1.0,0.0,"[true,true,true]","[false,false,false]"
panda,05cd68500714bf36ae076cc2609418cf6f42f0b045d0bdc1235db1622b416f5d,62ff420dce3a3493a9d01a48702d746faf1cd8b9eb21d82e80989ddba30a02ac,ordinary,multijoint_boundary,0.95,trac_task_20ms,1.0,0.6666666666666666,"[true,true,true]","[true,false,true]"
panda,06810184e0774bca803859608e64fc30d8cf6456c545385bc0fa0426db80a6e6,77e042c4035e4fdfd953d9d10ae09f6bfbd8e33cabfeda1b58319454cf05228d,near_limit,multijoint_boundary,0.95,trac_task_20ms,1.0,0.0,"[true,true,true]","[false,false,false]"
panda,09e9512424c726e3f80f63c7e24d4afa4634b15933363df87afb8b2a04109deb,220ef7fb05cbf771e9848807514f25b4d16c1733d702de73fe63efcc07472671,ordinary,multijoint_boundary,0.95,trac_task_20ms,1.0,0.0,"[true,true,true]","[false,false,false]"
panda,0b5cd7e2a376ad11c6d4b63348ddf01dae3553d5c3523c77cf7fd395f5ff5bb2,5886766b9202dbf4cf55b603a336e2f7b0539bd5b0550efa1da51292ca283814,near_limit,multijoint_boundary,0.95,trac_task_20ms,1.0,0.0,"[true,true,true]","[false,false,false]"
panda,0d32c6916decb925d713a8b84dc54d863d0c9c284dd3c084e1b925ac1edc08ea,b141948eb882df2a1c43fcfce21b9e3da92369d2adfd0abdcfa6807309ce61b2,ordinary,multijoint_boundary,0.95,trac_task_20ms,1.0,0.0,"[true,true,true]","[false,false,false]"
panda,0f0066e3c38fd59e1fd8b6f52951b280efe30d04c4529f86b8d067ddb3eaed4d,8bff0f7430314050302c28be8dbbaf086bf262ae38c9ecb891feb68af12086c6,near_singular,high_utilization,0.95,trac_task_20ms,1.0,0.0,"[true,true,true]","[false,false,false]"
panda,1105398ce53b7075240422d1de2e998f958004755647480d9e9664d2689c7864,6f07969d7791bbe8a5353db4b06322b33a29ca5dbecd05f395e23a39668b9a63,near_singular,high_utilization,0.95,trac_task_20ms,1.0,0.3333333333333333,"[true,true,true]","[false,false,true]"
panda,116413e5077b1991259016bcb70aed719e9313295c22976aaf3e7971067192d7,9449ccb57afd4744d6dfe7f87cdc9e8805bf03f025ba314b0cf5c4ee4ff1baff,ordinary,multijoint_boundary,0.95,trac_task_20ms,1.0,0.0,"[true,true,true]","[false,false,false]"
panda,128b8ee19c3784e7db4038785fd400e4b9fc16982d02167d8473a1e041ad794f,9449ccb57afd4744d6dfe7f87cdc9e8805bf03f025ba314b0cf5c4ee4ff1baff,ordinary,multijoint_boundary,0.5,trac_task_20ms,1.0,0.0,"[true,true,true]","[false,false,false]"
panda,12d02af39dbd30791a29c4f38f99e32cecd0f5b270b61c5a78a23405a358c345,529b024870f01ccde4581e5180ede48fc8ee8f1de700e00bc0b96568da13fe2f,near_singular,multijoint_boundary,0.5,trac_task_20ms,1.0,0.0,"[true,true,true]","[false,false,false]"
panda,138bbf77d2bc65949b4cf4b8c8ccf8c5e02f3e65ac7323230571cbed768128e6,ee8b4d7e61823e6030934cf04820eab702d0ebb290ddbdb653d1cb80a08a9867,near_singular,multijoint_boundary,0.5,trac_task_20ms,1.0,0.3333333333333333,"[true,true,true]","[true,false,false]"
panda,144715e6e9216dcb2060083458f8ae4f401f1ade088e25bd8e57ba1d387028ac,11d8daa86671508fa36fd8039d4386581d753529a7a89aa5adfbf9c0ceb41f9c,near_singular,multijoint_boundary,0.5,trac_task_20ms,1.0,0.0,"[true,true,true]","[false,false,false]"
panda,14c3307b118224c7aaa5ec49668493ad17b491c9baee46ce4e88ff67a149e10c,992cf3bbbecb355ce23f6dfd33b14dd7aae63f8fcad053f49e0cc52e9ffae82b,near_singular,multijoint_boundary,0.95,trac_task_20ms,1.0,0.0,"[true,true,true]","[false,false,false]"
panda,16153ff0839b81aa3a6d7409aa6f74850bfb02934eb623be6fa1ec86f1866398,635b1e3e0416080e56c25ebc29eada83206b6683f3ced108409105d29cba13e8,near_limit,multijoint_boundary,0.95,trac_task_20ms,1.0,0.0,"[true,true,true]","[false,false,false]"
panda,1787a7446052f6af4db01164ad961e8b44e061e836233b08ceb48ba1daeeeac0,730c56d48773d5c613a988a87849cb9c5071aa7398173a3f2b0510aa09b3b418,near_singular,multijoint_boundary,0.95,trac_task_20ms,1.0,0.0,"[true,true,true]","[false,false,false]"
panda,1bfac8f78337c2767e93ece802ddae5c26d2af64e099f68374619446690fc66f,07778dfc96d6cf6702ff1c0e3924f4a502a55dd1afd12ee32c58fff042480605,near_singular,multijoint_boundary,0.95,trac_task_20ms,1.0,0.0,"[true,true,true]","[false,false,false]"
panda,1cfe41167624abce293f572203f8b2cf3704ddbda6290edd0f84c067004e19b2,7bdece255ee6f66ac0c3ab14f7631e0097693ab5a745e97783982d6e327e7db9,near_limit,high_utilization,0.5,trac_task_20ms,1.0,0.6666666666666666,"[true,true,true]","[false,true,true]"
panda,1d2e391d24d685dc1a2db0b6069faec0d0ba3c616fe7e0d6489ddb76b9c9115b,3f2b13430d81c020131937e9a7a78f995d55c9834a2ba6196bf614bac7f54bfd,near_limit,multijoint_boundary,0.95,trac_task_20ms,1.0,0.0,"[true,true,true]","[false,false,false]"
panda,2018fa9c25c8ff9a09911928728f0f712d1653a01f57ce8114d32ffae55e4f58,f930f6e88f074edf442e39534085b2aa20176161a4caa11e615e2f28c21264bd,near_singular,multijoint_boundary,0.95,trac_task_20ms,1.0,0.3333333333333333,"[true,true,true]","[false,false,true]"
panda,208dd537a75b3fbb57434c900b0473272f25b842b04f9ec1eb5e87210c4bee6a,b724cf61fbe94f9ea2bc5ef427093b73918594b0743c8ab9836b83d5bcf2558f,ordinary,multijoint_boundary,0.95,trac_task_20ms,1.0,0.0,"[true,true,true]","[false,false,false]"
