split,robot,group,queries,min_witness_utilization,max_witness_utilization,queries_with_physical_clipping
development,panda,all,270,0.0014253000882149332,0.9970898661567914,33
development,panda,regular/alpha=0.0,30,0.0014253000882149332,0.5429454912640397,0
development,panda,regular/alpha=0.5,30,0.0014253000882149332,0.5429454912640397,0
development,panda,regular/alpha=0.95,30,0.0014253000882149332,0.5429454912640397,0
development,panda,high_utilization/alpha=0.0,30,0.17649153474040621,0.9647885373995712,5
development,panda,high_utilization/alpha=0.5,30,0.17649153474040621,0.9647885373995712,5
development,panda,high_utilization/alpha=0.95,30,0.17649153474040621,0.9647885373995712,5
development,panda,multijoint_boundary/alpha=0.0,30,0.17649153474040621,0.9970898661567914,6
development,panda,multijoint_boundary/alpha=0.5,30,0.17649153474040621,0.9970898661567914,6
development,panda,multijoint_boundary/alpha=0.95,30,0.17649153474040621,0.9970898661567914,6
development,panda,ordinary/regular/alpha=0.0,10,0.0015860377782931398,0.5429454912640397,0
development,panda,ordinary/regular/alpha=0.5,10,0.0015860377782931398,0.5429454912640397,0
development,panda,ordinary/regular/alpha=0.95,10,0.0015860377782931398,0.5429454912640397,0
development,panda,ordinary/high_utilization/alpha=0.0,10,0.576082168054075,0.9647885373995712,0
development,panda,ordinary/high_utilization/alpha=0.5,10,0.576082168054075,0.9647885373995712,0
development,panda,ordinary/high_utilization/alpha=0.95,10,0.576082168054075,0.9647885373995712,0
development,panda,ordinary/multijoint_boundary/alpha=0.0,10,0.9967087155963303,0.9970898661567914,0
development,panda,ordinary/multijoint_boundary/alpha=0.5,10,0.9967087155963303,0.9970898661567914,0
development,panda,ordinary/multijoint_boundary/alpha=0.95,10,0.9967087155963303,0.9970898661567914,0
development,panda,near_singular/regular/alpha=0.0,10,0.0014253000882149332,0.34781241005354807,0
development,panda,near_singular/regular/alpha=0.5,10,0.0014253000882149332,0.34781241005354807,0
development,panda,near_singular/regular/alpha=0.95,10,0.0014253000882149332,0.34781241005354807,0
development,panda,near_singular/high_utilization/alpha=0.0,10,0.6061211347465971,0.9425935551560461,0
development,panda,near_singular/high_utilization/alpha=0.5,10,0.6061211347465971,0.9425935551560461,0
development,panda,near_singular/high_utilization/alpha=0.95,10,0.6061211347465971,0.9425935551560461,0
development,panda,near_singular/multijoint_boundary/alpha=0.0,10,0.9967087155963303,0.9970898661567914,0
development,panda,near_singular/multijoint_boundary/alpha=0.5,10,0.9967087155963303,0.9970898661567914,0
development,panda,near_singular/multijoint_boundary/alpha=0.95,10,0.9967087155963303,0.9970898661567914,0
development,panda,near_limit/regular/alpha=0.0,10,0.004146155514778404,0.5331458342473031,0
development,panda,near_limit/regular/alpha=0.5,10,0.004146155514778404,0.5331458342473031,0
development,panda,near_limit/regular/alpha=0.95,10,0.004146155514778404,0.5331458342473031,0
development,panda,near_limit/high_utilization/alpha=0.0,10,0.17649153474040621,0.9625477238969209,5
