robot,group,method,baseline,queries,anchors,success_difference,success_difference_ci,timely_difference,timely_difference_ci,latency_ratio,latency_ratio_ci,gained_query_units,lost_query_units,net_mean_success_count,stable_gains,stable_losses,interval
panda,all,relative,clarabel,2160,240,0.0,"[0.0,0.0]",0.0,"[0.0,0.0]",0.8285574174351765,"[0.819115675353192,0.8389633589494053]",0,0,0.0,0,0,4000 paired bootstrap resamples of anchors within geometric class; repeat means inside query; descriptive unadjusted95%
panda,all,relative,fixed_weight,2160,240,0.006018518518518423,"[0.002777777777777879,0.00972222222222241]",0.006018518518518423,"[0.002777777777777879,0.00972222222222241]",0.9171317857317589,"[0.8908308872811009,0.9415325198361605]",13,0,13.0,13,0,4000 paired bootstrap resamples of anchors within geometric class; repeat means inside query; descriptive unadjusted95%
panda,all,relative,gn,2160,240,0.004629629629629539,"[0.0023148148148148806,0.007870370370370527]",0.004629629629629539,"[0.0023148148148148806,0.007870370370370527]",0.9485020430922789,"[0.930616362453044,0.9643704919541972]",10,0,10.0,10,0,4000 paired bootstrap resamples of anchors within geometric class; repeat means inside query; descriptive unadjusted95%
panda,all,relative,tight,2160,240,0.0,"[0.0,0.0]",0.0,"[0.0,0.0]",0.4969335064409449,"[0.47828196583968463,0.5155636686408874]",0,0,0.0,0,0,4000 paired bootstrap resamples of anchors within geometric class; repeat means inside query; descriptive unadjusted95%
panda,all,relative,trac_task_20ms,2160,240,0.06898148148148142,"[0.05910108024691455,0.07885802469135961]",0.06913580246913575,"[0.059259259259260455,0.07901234567901372]",0.16204090081870062,"[0.15013537328770513,0.17657957321254364]",168,0,149.0,132,0,4000 paired bootstrap resamples of anchors within geometric class; repeat means inside query; descriptive unadjusted95%
panda,all,relative,trac_task_5ms,2160,240,0.1074074074074074,"[0.09521604938271744,0.1194444444444458]",0.1074074074074074,"[0.09521604938271744,0.1194444444444458]",0.2914408809553203,"[0.27471554267310977,0.31082162896717175]",292,0,232.00000000000003,178,0,4000 paired bootstrap resamples of anchors within geometric class; repeat means inside query; descriptive unadjusted95%
panda,regular/alpha=0.0,relative,clarabel,240,240,0.0,"[0.0,0.0]",0.0,"[0.0,0.0]",0.998467708334818,"[0.9888940989977153,1.0066482431663033]",0,0,0.0,0,0,4000 paired bootstrap resamples of anchors within geometric class; repeat means inside query; descriptive unadjusted95%
panda,regular/alpha=0.0,relative,fixed_weight,240,240,0.0,"[0.0,0.0]",0.0,"[0.0,0.0]",0.8896284287354582,"[0.8842769565500556,0.8951378607406955]",0,0,0.0,0,0,4000 paired bootstrap resamples of anchors within geometric class; repeat means inside query; descriptive unadjusted95%
panda,regular/alpha=0.0,relative,gn,240,240,0.0,"[0.0,0.0]",0.0,"[0.0,0.0]",0.9193413222575294,"[0.9139200676187414,0.924755658899906]",0,0,0.0,0,0,4000 paired bootstrap resamples of anchors within geometric class; repeat means inside query; descriptive unadjusted95%
panda,regular/alpha=0.0,relative,tight,240,240,0.0,"[0.0,0.0]",0.0,"[0.0,0.0]",0.9936517050896834,"[0.974967571186475,1.0065147912060322]",0,0,0.0,0,0,4000 paired bootstrap resamples of anchors within geometric class; repeat means inside query; descriptive unadjusted95%
panda,regular/alpha=0.0,relative,trac_task_20ms,240,240,0.0,"[0.0,0.0]",0.0,"[0.0,0.0]",1.2468063032179204,"[1.1261153324677946,1.3218538503705006]",0,0,0.0,0,0,4000 paired bootstrap resamples of anchors within geometric class; repeat means inside query; descriptive unadjusted95%
panda,regular/alpha=0.0,relative,trac_task_5ms,240,240,0.0,"[0.0,0.0]",0.0,"[0.0,0.0]",1.2592646433828338,"[1.1692147694187505,1.3140085372441066]",0,0,0.0,0,0,4000 paired bootstrap resamples of anchors within geometric class; repeat means inside query; descriptive unadjusted95%
panda,regular/alpha=0.5,relative,clarabel,240,240,0.0,"[0.0,0.0]",0.0,"[0.0,0.0]",0.9871073213700333,"[0.9742984915295266,0.9982899408126299]",0,0,0.0,0,0,4000 paired bootstrap resamples of anchors within geometric class; repeat means inside query; descriptive unadjusted95%
panda,regular/alpha=0.5,relative,fixed_weight,240,240,0.0,"[0.0,0.0]",0.0,"[0.0,0.0]",0.8943018548517498,"[0.8874051268347484,0.902107127992195]",0,0,0.0,0,0,4000 paired bootstrap resamples of anchors within geometric class; repeat means inside query; descriptive unadjusted95%
panda,regular/alpha=0.5,relative,gn,240,240,0.0,"[0.0,0.0]",0.0,"[0.0,0.0]",0.9156914197404045,"[0.9097880566657282,0.9217169051493823]",0,0,0.0,0,0,4000 paired bootstrap resamples of anchors within geometric class; repeat means inside query; descriptive unadjusted95%
panda,regular/alpha=0.5,relative,tight,240,240,0.0,"[0.0,0.0]",0.0,"[0.0,0.0]",0.9759462370194987,"[0.9475270940402204,0.9992902373153031]",0,0,0.0,0,0,4000 paired bootstrap resamples of anchors within geometric class; repeat means inside query; descriptive unadjusted95%
panda,regular/alpha=0.5,relative,trac_task_20ms,240,240,0.0,"[0.0,0.0]",0.0,"[0.0,0.0]",0.41600015233244486,"[0.35254763447426923,0.5064002724247305]",0,0,0.0,0,0,4000 paired bootstrap resamples of anchors within geometric class; repeat means inside query; descriptive unadjusted95%
