probe,alpha,family,method,n,success,on_time,p50_ms,mean_ms
interior,0.0,all,gn,120,120,120,0.294877,0.31728919166666664
interior,0.0,all,tight,120,120,120,0.27691,0.3746701416666667
interior,0.0,all,relative,120,120,120,0.2837405,0.3218996666666667
interior,0.0,local,gn,30,30,30,0.290921,0.31046429999999997
interior,0.0,local,tight,30,30,30,0.277401,0.3619975666666667
interior,0.0,local,relative,30,30,30,0.2837655,0.32158766666666666
interior,0.0,near_singular,gn,30,30,30,0.275958,0.2986456666666666
interior,0.0,near_singular,tight,30,30,30,0.2749775,0.2823126
interior,0.0,near_singular,relative,30,30,30,0.275578,0.2927360666666667
interior,0.0,near_limit,gn,30,30,30,0.29261899999999996,0.3018842666666667
interior,0.0,near_limit,tight,30,30,30,0.270075,0.28703083333333335
interior,0.0,near_limit,relative,30,30,30,0.2674115,0.2915601666666667
interior,0.0,high_utilization,gn,30,30,30,0.33411599999999997,0.3581625333333333
interior,0.0,high_utilization,tight,30,30,30,0.5212365,0.5673395666666666
interior,0.0,high_utilization,relative,30,30,30,0.4075415,0.3817147666666667
interior,0.5,all,gn,120,120,120,0.2938705,0.3184379666666666
interior,0.5,all,tight,120,120,120,0.29807700000000004,0.37824660000000004
interior,0.5,all,relative,120,120,120,0.28200250000000004,0.31751418333333337
interior,0.5,local,gn,30,30,30,0.2922125,0.32640116666666663
interior,0.5,local,tight,30,30,30,0.328888,0.34633669999999994
interior,0.5,local,relative,30,30,30,0.2769005,0.2961685333333333
interior,0.5,near_singular,gn,30,30,30,0.28704549999999995,0.3011207666666667
interior,0.5,near_singular,tight,30,30,30,0.2739455,0.2885575333333333
interior,0.5,near_singular,relative,30,30,30,0.271582,0.2865795666666667
interior,0.5,near_limit,gn,30,30,30,0.281547,0.30017193333333336
interior,0.5,near_limit,tight,30,30,30,0.2746015,0.2897406
interior,0.5,near_limit,relative,30,30,30,0.2686175,0.29262879999999997
interior,0.5,high_utilization,gn,30,30,30,0.33694,0.34605800000000003
interior,0.5,high_utilization,tight,30,30,30,0.6026435,0.5883515666666665
interior,0.5,high_utilization,relative,30,30,30,0.40554250000000003,0.39467983333333323
interior,0.95,all,gn,120,120,120,0.3081065,0.32253555000000006
interior,0.95,all,tight,120,120,120,0.2808755,0.405969325
interior,0.95,all,relative,120,120,120,0.28458700000000003,0.32072592499999997
interior,0.95,local,gn,30,30,30,0.2952725,0.33581703333333335
interior,0.95,local,tight,30,30,30,0.27693999999999996,0.3174418333333334
interior,0.95,local,relative,30,30,30,0.284446,0.3001626
interior,0.95,near_singular,gn,30,30,30,0.3005,0.3037199333333334
interior,0.95,near_singular,tight,30,30,30,0.275042,0.3654043
interior,0.95,near_singular,relative,30,30,30,0.27346000000000004,0.2953551
interior,0.95,near_limit,gn,30,30,30,0.28923350000000003,0.2980726
interior,0.95,near_limit,tight,30,30,30,0.2711865,0.2844237666666667
interior,0.95,near_limit,relative,30,30,30,0.2779565,0.2858067
interior,0.95,high_utilization,gn,30,30,30,0.3385325,0.3525326333333334
interior,0.95,high_utilization,tight,30,30,30,0.6483165,0.6566074000000001
interior,0.95,high_utilization,relative,30,30,30,0.4261035,0.40157930000000003
near_step_boundary,0.0,all,gn,120,120,120,0.340835,0.35371318333333335
near_step_boundary,0.0,all,tight,120,120,120,0.7806285,0.82136805
near_step_boundary,0.0,all,relative,120,120,120,0.410104,0.40375605833333333
near_step_boundary,0.0,local,gn,30,30,30,0.3417015,0.3545652
near_step_boundary,0.0,local,tight,30,30,30,0.8858615,0.9138253333333334
near_step_boundary,0.0,local,relative,30,30,30,0.4119775,0.40199589999999996
near_step_boundary,0.0,near_singular,gn,30,30,30,0.34908300000000003,0.3636545
near_step_boundary,0.0,near_singular,tight,30,30,30,0.8580099999999999,0.8745069333333332
near_step_boundary,0.0,near_singular,relative,30,30,30,0.419273,0.41553833333333334
near_step_boundary,0.0,near_limit,gn,30,30,30,0.33749,0.3476108000000001
near_step_boundary,0.0,near_limit,tight,30,30,30,0.4514315,0.6055352999999999
near_step_boundary,0.0,near_limit,relative,30,30,30,0.39905250000000003,0.38320573333333335
near_step_boundary,0.0,high_utilization,gn,30,30,30,0.33929299999999996,0.3490222333333334
near_step_boundary,0.0,high_utilization,tight,30,30,30,0.875761,0.8916046333333334
near_step_boundary,0.0,high_utilization,relative,30,30,30,0.41898250000000004,0.4142842666666667
near_step_boundary,0.5,all,gn,120,120,120,0.338377,0.34379030833333335
near_step_boundary,0.5,all,tight,120,120,120,0.7526565000000001,0.8184126
near_step_boundary,0.5,all,relative,120,120,120,0.4026075,0.3975445083333334
near_step_boundary,0.5,local,gn,30,30,30,0.341912,0.3558611333333334
near_step_boundary,0.5,local,tight,30,30,30,0.959151,0.8999235000000001
near_step_boundary,0.5,local,relative,30,30,30,0.40409,0.39153656666666675
near_step_boundary,0.5,near_singular,gn,30,30,30,0.339138,0.34041533333333335
near_step_boundary,0.5,near_singular,tight,30,30,30,0.876277,0.8392014
near_step_boundary,0.5,near_singular,relative,30,30,30,0.408296,0.42050019999999994
