alpha,family,method,n,success,on_time,p50_ms,mean_ms
0.0,all,gn,120,120,120,0.340835,0.35371318333333335
0.0,all,tight,120,120,120,0.7806285,0.82136805
0.0,all,relative,120,120,120,0.410104,0.40375605833333333
0.0,local,gn,30,30,30,0.3417015,0.3545652
0.0,local,tight,30,30,30,0.8858615,0.9138253333333334
0.0,local,relative,30,30,30,0.4119775,0.40199589999999996
0.0,near_singular,gn,30,30,30,0.34908300000000003,0.3636545
0.0,near_singular,tight,30,30,30,0.8580099999999999,0.8745069333333332
0.0,near_singular,relative,30,30,30,0.419273,0.41553833333333334
0.0,near_limit,gn,30,30,30,0.33749,0.3476108000000001
0.0,near_limit,tight,30,30,30,0.4514315,0.6055352999999999
0.0,near_limit,relative,30,30,30,0.39905250000000003,0.38320573333333335
0.0,high_utilization,gn,30,30,30,0.33929299999999996,0.3490222333333334
0.0,high_utilization,tight,30,30,30,0.875761,0.8916046333333334
0.0,high_utilization,relative,30,30,30,0.41898250000000004,0.4142842666666667
0.5,all,gn,120,120,120,0.338377,0.34379030833333335
0.5,all,tight,120,120,120,0.7526565000000001,0.8184126
0.5,all,relative,120,120,120,0.4026075,0.3975445083333334
0.5,local,gn,30,30,30,0.341912,0.3558611333333334
0.5,local,tight,30,30,30,0.959151,0.8999235000000001
0.5,local,relative,30,30,30,0.40409,0.39153656666666675
0.5,near_singular,gn,30,30,30,0.339138,0.34041533333333335
0.5,near_singular,tight,30,30,30,0.876277,0.8392014
0.5,near_singular,relative,30,30,30,0.408296,0.42050019999999994
0.5,near_limit,gn,30,30,30,0.3362985,0.3395006
0.5,near_limit,tight,30,30,30,0.6465535,0.6607285333333333
0.5,near_limit,relative,30,30,30,0.400465,0.38467523333333337
0.5,high_utilization,gn,30,30,30,0.339248,0.33938416666666665
0.5,high_utilization,tight,30,30,30,0.78471,0.8737969666666667
0.5,high_utilization,relative,30,30,30,0.40313849999999996,0.39346603333333335
0.95,all,gn,120,114,114,0.3376155,0.4095568916666667
0.95,all,tight,120,120,120,0.8157920000000001,0.8890617749999999
0.95,all,relative,120,120,120,0.426143,0.4465707166666667
0.95,local,gn,30,28,28,0.337976,0.41910816666666667
0.95,local,tight,30,30,30,1.0655055,1.0379814333333333
0.95,local,relative,30,30,30,0.4352965,0.5051129333333334
0.95,near_singular,gn,30,30,30,0.345883,0.37263129999999994
0.95,near_singular,tight,30,30,30,0.7304235,0.7868975333333332
0.95,near_singular,relative,30,30,30,0.427365,0.41836769999999995
0.95,near_limit,gn,30,27,27,0.3341355,0.46351403333333335
0.95,near_limit,tight,30,30,30,0.7894920000000001,0.8251696333333334
0.95,near_limit,relative,30,30,30,0.4277005,0.4348573
0.95,high_utilization,gn,30,29,29,0.33722,0.38297406666666667
0.95,high_utilization,tight,30,30,30,0.8358005,0.9061984999999999
0.95,high_utilization,relative,30,30,30,0.408396,0.42794493333333333
