alpha,family,method,n,success,on_time,p50_ms,mean_ms
0.0,all,gn,120,120,120,0.294877,0.31728919166666664
0.0,all,tight,120,120,120,0.27691,0.3746701416666667
0.0,all,relative,120,120,120,0.2837405,0.3218996666666667
0.0,local,gn,30,30,30,0.290921,0.31046429999999997
0.0,local,tight,30,30,30,0.277401,0.3619975666666667
0.0,local,relative,30,30,30,0.2837655,0.32158766666666666
0.0,near_singular,gn,30,30,30,0.275958,0.2986456666666666
0.0,near_singular,tight,30,30,30,0.2749775,0.2823126
0.0,near_singular,relative,30,30,30,0.275578,0.2927360666666667
0.0,near_limit,gn,30,30,30,0.29261899999999996,0.3018842666666667
0.0,near_limit,tight,30,30,30,0.270075,0.28703083333333335
0.0,near_limit,relative,30,30,30,0.2674115,0.2915601666666667
0.0,high_utilization,gn,30,30,30,0.33411599999999997,0.3581625333333333
0.0,high_utilization,tight,30,30,30,0.5212365,0.5673395666666666
0.0,high_utilization,relative,30,30,30,0.4075415,0.3817147666666667
0.5,all,gn,120,120,120,0.2938705,0.3184379666666666
0.5,all,tight,120,120,120,0.29807700000000004,0.37824660000000004
0.5,all,relative,120,120,120,0.28200250000000004,0.31751418333333337
0.5,local,gn,30,30,30,0.2922125,0.32640116666666663
0.5,local,tight,30,30,30,0.328888,0.34633669999999994
0.5,local,relative,30,30,30,0.2769005,0.2961685333333333
0.5,near_singular,gn,30,30,30,0.28704549999999995,0.3011207666666667
0.5,near_singular,tight,30,30,30,0.2739455,0.2885575333333333
0.5,near_singular,relative,30,30,30,0.271582,0.2865795666666667
0.5,near_limit,gn,30,30,30,0.281547,0.30017193333333336
0.5,near_limit,tight,30,30,30,0.2746015,0.2897406
0.5,near_limit,relative,30,30,30,0.2686175,0.29262879999999997
0.5,high_utilization,gn,30,30,30,0.33694,0.34605800000000003
0.5,high_utilization,tight,30,30,30,0.6026435,0.5883515666666665
0.5,high_utilization,relative,30,30,30,0.40554250000000003,0.39467983333333323
0.95,all,gn,120,120,120,0.3081065,0.32253555000000006
0.95,all,tight,120,120,120,0.2808755,0.405969325
0.95,all,relative,120,120,120,0.28458700000000003,0.32072592499999997
0.95,local,gn,30,30,30,0.2952725,0.33581703333333335
0.95,local,tight,30,30,30,0.27693999999999996,0.3174418333333334
0.95,local,relative,30,30,30,0.284446,0.3001626
0.95,near_singular,gn,30,30,30,0.3005,0.3037199333333334
0.95,near_singular,tight,30,30,30,0.275042,0.3654043
0.95,near_singular,relative,30,30,30,0.27346000000000004,0.2953551
0.95,near_limit,gn,30,30,30,0.28923350000000003,0.2980726
0.95,near_limit,tight,30,30,30,0.2711865,0.2844237666666667
0.95,near_limit,relative,30,30,30,0.2779565,0.2858067
0.95,high_utilization,gn,30,30,30,0.3385325,0.3525326333333334
0.95,high_utilization,tight,30,30,30,0.6483165,0.6566074000000001
0.95,high_utilization,relative,30,30,30,0.4261035,0.40157930000000003
