robot,uid,baseline,relative_completion,baseline_completion,change
panda,092d41b9d90ae9641f48e0d4164b34753d1b87ce9962f3842367a190d6105f03,gn,1.0,1.0,same
panda,15fe120664b40d95f2bfebfc3016f855d44199b5c456550002ab0f885d251953,gn,1.0,1.0,same
panda,282f2bb25c8f2562d77fe949492cd53288622300ccaab348b693b7c2a0e2be20,gn,1.0,1.0,same
panda,2a6269e899c042566c4b58bc2d6b4848afe5c4076dc038929cfd5bd3bed2b849,gn,1.0,1.0,same
panda,5dc8f02f453ed0dd9266962f8d20319386f99c1f671690b1b698a028411c2ba8,gn,1.0,1.0,same
panda,67fc7835df80b245bd45fa8865edfdaac13d61af9238c35a92d40a8e76d1b362,gn,1.0,1.0,same
panda,87d8b6ca067dbf1ad1bd2a2e92eadd8d1b8a147a7bb7b8424fbe3a9a2967e933,gn,1.0,1.0,same
panda,953fdaa874afe2cfdd4b2199b1df850e0baf118cb3cf4f81c257e0df432675da,gn,1.0,1.0,same
panda,bea347b08a7612317eb21a8720d69d5eafaffce9d340f811f6d916f50fe13657,gn,1.0,1.0,same
panda,d7dae16938eb543592fe3b0873b68893df67004ec7050cfd1ecf421d210ed037,gn,1.0,1.0,same
panda,d803d72d5a840413369b5c758bfd2a3e8175033fd0473caab671cedd7179dee0,gn,1.0,1.0,same
panda,dba87791dfb963ddbb70bd0c5a14b4aff7935646d7d15af8dd875fcc6b4df9fc,gn,1.0,1.0,same
panda,092d41b9d90ae9641f48e0d4164b34753d1b87ce9962f3842367a190d6105f03,range_loss_matched,1.0,1.0,same
panda,15fe120664b40d95f2bfebfc3016f855d44199b5c456550002ab0f885d251953,range_loss_matched,1.0,1.0,same
panda,282f2bb25c8f2562d77fe949492cd53288622300ccaab348b693b7c2a0e2be20,range_loss_matched,1.0,1.0,same
panda,2a6269e899c042566c4b58bc2d6b4848afe5c4076dc038929cfd5bd3bed2b849,range_loss_matched,1.0,1.0,same
panda,5dc8f02f453ed0dd9266962f8d20319386f99c1f671690b1b698a028411c2ba8,range_loss_matched,1.0,1.0,same
panda,67fc7835df80b245bd45fa8865edfdaac13d61af9238c35a92d40a8e76d1b362,range_loss_matched,1.0,1.0,same
panda,87d8b6ca067dbf1ad1bd2a2e92eadd8d1b8a147a7bb7b8424fbe3a9a2967e933,range_loss_matched,1.0,1.0,same
panda,953fdaa874afe2cfdd4b2199b1df850e0baf118cb3cf4f81c257e0df432675da,range_loss_matched,1.0,1.0,same
panda,bea347b08a7612317eb21a8720d69d5eafaffce9d340f811f6d916f50fe13657,range_loss_matched,1.0,1.0,same
panda,d7dae16938eb543592fe3b0873b68893df67004ec7050cfd1ecf421d210ed037,range_loss_matched,1.0,1.0,same
panda,d803d72d5a840413369b5c758bfd2a3e8175033fd0473caab671cedd7179dee0,range_loss_matched,1.0,1.0,same
panda,dba87791dfb963ddbb70bd0c5a14b4aff7935646d7d15af8dd875fcc6b4df9fc,range_loss_matched,1.0,1.0,same
panda,092d41b9d90ae9641f48e0d4164b34753d1b87ce9962f3842367a190d6105f03,direct_sqp,1.0,1.0,same
panda,15fe120664b40d95f2bfebfc3016f855d44199b5c456550002ab0f885d251953,direct_sqp,1.0,1.0,same
panda,282f2bb25c8f2562d77fe949492cd53288622300ccaab348b693b7c2a0e2be20,direct_sqp,1.0,1.0,same
panda,2a6269e899c042566c4b58bc2d6b4848afe5c4076dc038929cfd5bd3bed2b849,direct_sqp,1.0,1.0,same
panda,5dc8f02f453ed0dd9266962f8d20319386f99c1f671690b1b698a028411c2ba8,direct_sqp,1.0,1.0,same
panda,67fc7835df80b245bd45fa8865edfdaac13d61af9238c35a92d40a8e76d1b362,direct_sqp,1.0,1.0,same
panda,87d8b6ca067dbf1ad1bd2a2e92eadd8d1b8a147a7bb7b8424fbe3a9a2967e933,direct_sqp,1.0,1.0,same
panda,953fdaa874afe2cfdd4b2199b1df850e0baf118cb3cf4f81c257e0df432675da,direct_sqp,1.0,1.0,same
panda,bea347b08a7612317eb21a8720d69d5eafaffce9d340f811f6d916f50fe13657,direct_sqp,1.0,1.0,same
panda,d7dae16938eb543592fe3b0873b68893df67004ec7050cfd1ecf421d210ed037,direct_sqp,1.0,1.0,same
panda,d803d72d5a840413369b5c758bfd2a3e8175033fd0473caab671cedd7179dee0,direct_sqp,1.0,1.0,same
panda,dba87791dfb963ddbb70bd0c5a14b4aff7935646d7d15af8dd875fcc6b4df9fc,direct_sqp,1.0,1.0,same
panda,092d41b9d90ae9641f48e0d4164b34753d1b87ce9962f3842367a190d6105f03,fixed_qp1,1.0,1.0,same
panda,15fe120664b40d95f2bfebfc3016f855d44199b5c456550002ab0f885d251953,fixed_qp1,1.0,1.0,same
