robot,method,label,family,trajectories,repeats,completion_by_repeat,mean_completed_trajectories,tsr,deadline_completion_by_repeat,dtsr20,frame_success,frame_deadline_success,p50_ms,p95_ms,p99_ms,cumulative_ms_per_sweep,trajectory_time_mean_ms,trajectory_time_median_ms,trajectory_time_p95_ms,backup_rate,changed_from_backup_rate,p95_position_m,max_position_m,p95_orientation_rad,max_orientation_rad,max_accepted_step_utilization,acceleration_rms_mean,velocity_change_rms_mean,successful_prefix_mean,accepted_contract_violations,edge_fraction
panda,direct_sqp,Direct SQP,all,12,3,"[12,12,12]",12.0,1.0,"[12,12,12]",1.0,1.0,1.0,1.0844455,1.50320005,1.63723749,1943.8874033333332,161.99061694444444,164.605041,195.06773995,0.0,0.0,0.0009999999866881553,0.000999999999995171,0.008726645983702763,0.008726646259727596,0.17350402031067788,0.5227858153582847,0.010455716307165694,150.0,0,0.9911111111111112
panda,fixed_qp1,Fixed 1,all,12,3,"[12,12,12]",12.0,1.0,"[12,12,12]",1.0,1.0,1.0,0.240796,0.2551895,0.2946697800000001,388.645225,32.38710208333333,33.711198,35.011575,0.0,0.0,0.0008704585225862561,0.0009999586083947278,9.037887955714308e-06,1.6602355561821242e-05,0.1743393352282192,2.8459810914794326,0.05691962182958864,150.0,0,0.03222222222222222
panda,fixed_qp2,Fixed 2,all,12,3,"[12,12,12]",12.0,1.0,"[12,11,12]",0.9722222222222222,1.0,0.9998148148148148,0.240752,0.25565329999999997,0.2946548400000001,406.316066,33.85967216666666,33.75242233333333,40.22145598333333,0.0,0.0,0.0008704585225862561,0.0009999586083947278,9.037887955714308e-06,1.6602355561821242e-05,0.1743393352282192,2.8459810914794326,0.05691962182958864,150.0,0,0.03222222222222222
panda,gn,Original GN,all,12,3,"[12,12,12]",12.0,1.0,"[12,12,12]",1.0,1.0,1.0,0.266202,0.27993035000000005,0.31439068000000003,428.2287913333334,35.68573261111111,36.922792,38.51182848333333,0.0,0.0,0.0008704585225862561,0.0009999586083947278,9.037887955714308e-06,1.6602355561821242e-05,0.1743393352282192,2.8459810914794326,0.05691962182958864,150.0,0,0.03222222222222222
panda,range_loss_matched,Range loss,all,12,3,"[12,12,12]",12.0,1.0,"[12,12,12]",1.0,1.0,1.0,0.655088,1.2347057,1.6493697800000011,1257.4820439999999,104.79017033333332,105.67040516666665,128.28364306666666,0.0,0.0,0.0009874128376574456,0.0009998815238847812,0.0073057380522109795,0.008701188503416122,0.28278427173701437,4.266357024146778,0.08532714048293558,150.0,0,0.3188888888888889
panda,relative,Progress,all,12,3,"[12,12,12]",12.0,1.0,"[12,12,12]",1.0,1.0,1.0,0.241059,0.2564038,0.29750831,390.57091399999996,32.547576166666666,33.783558,34.923607649999994,0.0,0.0,0.0008704585225862561,0.0009999586083947278,9.037887955714308e-06,1.6602355561821242e-05,0.1743393352282192,2.8459810914794326,0.05691962182958864,150.0,0,0.03222222222222222
ur5e,direct_sqp,Direct SQP,all,12,3,"[12,12,12]",12.0,1.0,"[12,12,12]",1.0,1.0,1.0,1.1194245,1.5803761500000002,1.7287490300000006,2003.9732723333334,166.99777269444445,170.70529033333332,201.7626317,0.0,0.0,0.0009999999871552927,0.0009999999999050402,0.008726645962954811,0.008726646253148986,0.13381806519421793,0.5504772889327713,0.011009545778655424,150.0,0,0.9911111111111112
ur5e,fixed_qp1,Fixed 1,all,12,3,"[12,12,12]",12.0,1.0,"[12,12,11]",0.9722222222222222,1.0,0.9998148148148148,0.2363005,0.2487626,0.28392741000000005,396.87574600000005,33.07297883333334,33.14147333333334,38.73403128333332,0.0,0.0,0.0008683520484089175,0.00099991765950402,3.861413798426864e-06,4.372047182659248e-06,0.1332028163134743,3.068319435985362,0.06136638871970726,150.0,0,0.03111111111111111
ur5e,fixed_qp2,Fixed 2,all,12,3,"[12,12,12]",12.0,1.0,"[12,12,12]",1.0,1.0,1.0,0.236164,0.2488899,0.2872604400000001,380.40267666666665,31.700223055555554,33.12706766666666,34.19769853333334,0.0,0.0,0.0008683520484089175,0.00099991765950402,3.861413798426864e-06,4.372047182659248e-06,0.1332028163134743,3.068319435985362,0.06136638871970726,150.0,0,0.03111111111111111
ur5e,gn,Original GN,all,12,3,"[12,12,12]",12.0,1.0,"[12,12,12]",1.0,1.0,1.0,0.2641165,0.2748501,0.29803007,421.82962499999996,35.15246875,36.72227766666667,38.00833348333333,0.0,0.0,0.0008683520484089175,0.00099991765950402,3.861413798426864e-06,4.372047182659248e-06,0.1332028163134743,3.068319435985362,0.06136638871970726,150.0,0,0.03111111111111111
ur5e,range_loss_matched,Range loss,all,12,3,"[12,12,12]",12.0,1.0,"[12,12,12]",1.0,1.0,1.0,0.6614165,1.2160494000000002,1.6186855500000064,1260.507202,105.04226683333333,106.74570083333333,124.8437694,0.0,0.0,0.000989695399990109,0.0009998460837589511,0.006845001442125737,0.008669323908581817,0.24706100071793144,4.6689200295003435,0.09337840059000685,150.0,0,0.31333333333333335
ur5e,relative,Progress,all,12,3,"[12,12,12]",12.0,1.0,"[12,12,12]",1.0,1.0,1.0,0.2363365,0.2491816,0.28606439000000006,380.9964856666667,31.74970713888889,33.169487833333335,34.24531331666667,0.0,0.0,0.0008683520484089175,0.00099991765950402,3.861413798426864e-06,4.372047182659248e-06,0.1332028163134743,3.068319435985362,0.06136638871970726,150.0,0,0.03111111111111111
