robot,baseline,metric,independent_units,difference,difference_ci,ratio,ratio_ci
panda,gn,completion,12,0.0,"[0.0,0.0]",1.0,"[1.0,1.0]"
panda,gn,deadline_completion,12,0.0,"[0.0,0.0]",1.0,"[1.0,1.0]"
panda,gn,frame_success,12,0.0,"[0.0,0.0]",1.0,"[1.0,1.0]"
panda,gn,total_latency_ns,12,-3138156.4444444454,"[-3343421.0569444466,-2914330.7062500003]",0.9120613137288556,"[0.9095502319476964,0.9147417898507865]"
panda,range_loss_matched,completion,12,0.0,"[0.0,0.0]",1.0,"[1.0,1.0]"
panda,range_loss_matched,deadline_completion,12,0.0,"[0.0,0.0]",1.0,"[1.0,1.0]"
panda,range_loss_matched,frame_success,12,0.0,"[0.0,0.0]",1.0,"[1.0,1.0]"
panda,range_loss_matched,total_latency_ns,12,-72242594.16666667,"[-80355484.43055557,-64112700.84444445]",0.3105976072291335,"[0.2954180583255886,0.327012983845386]"
panda,direct_sqp,completion,12,0.0,"[0.0,0.0]",1.0,"[1.0,1.0]"
panda,direct_sqp,deadline_completion,12,0.0,"[0.0,0.0]",1.0,"[1.0,1.0]"
panda,direct_sqp,frame_success,12,0.0,"[0.0,0.0]",1.0,"[1.0,1.0]"
panda,direct_sqp,total_latency_ns,12,-129443040.77777778,"[-140649577.62500003,-118521609.7375]",0.2009226014481384,"[0.1927078175637063,0.20954751972863947]"
panda,fixed_qp1,completion,12,0.0,"[0.0,0.0]",1.0,"[1.0,1.0]"
panda,fixed_qp1,deadline_completion,12,0.0,"[0.0,0.0]",1.0,"[1.0,1.0]"
panda,fixed_qp1,frame_success,12,0.0,"[0.0,0.0]",1.0,"[1.0,1.0]"
panda,fixed_qp1,total_latency_ns,12,160474.08333333363,"[-46419.00347222139,517356.0562499991]",1.004954876262792,"[0.9985701174332325,1.0164053454151007]"
panda,fixed_qp2,completion,12,0.0,"[0.0,0.0]",1.0,"[1.0,1.0]"
panda,fixed_qp2,deadline_completion,12,0.02777777777777778,"[0.0,0.08333333333333333]",1.0285714285714287,"[1.0,1.090909090909091]"
panda,fixed_qp2,frame_success,12,0.0,"[0.0,0.0]",1.0,"[1.0,1.0]"
panda,fixed_qp2,total_latency_ns,12,-1312096.0000000007,"[-4260929.8291666685,382650.4055555543]",0.9612490046111047,"[0.8818749355187179,1.0119030065484034]"
ur5e,gn,completion,12,0.0,"[0.0,0.0]",1.0,"[1.0,1.0]"
ur5e,gn,deadline_completion,12,0.0,"[0.0,0.0]",1.0,"[1.0,1.0]"
ur5e,gn,frame_success,12,0.0,"[0.0,0.0]",1.0,"[1.0,1.0]"
ur5e,gn,total_latency_ns,12,-3402761.6111111115,"[-3609085.686805556,-3186309.929861111]",0.9031999250092183,"[0.90137224810307,0.9050094261894928]"
ur5e,range_loss_matched,completion,12,0.0,"[0.0,0.0]",1.0,"[1.0,1.0]"
ur5e,range_loss_matched,deadline_completion,12,0.0,"[0.0,0.0]",1.0,"[1.0,1.0]"
ur5e,range_loss_matched,frame_success,12,0.0,"[0.0,0.0]",1.0,"[1.0,1.0]"
ur5e,range_loss_matched,total_latency_ns,12,-73292559.69444443,"[-80273435.23402777,-66101806.802777775]",0.3022564925151984,"[0.29019016124745184,0.3153837625801163]"
ur5e,direct_sqp,completion,12,0.0,"[0.0,0.0]",1.0,"[1.0,1.0]"
ur5e,direct_sqp,deadline_completion,12,0.0,"[0.0,0.0]",1.0,"[1.0,1.0]"
ur5e,direct_sqp,frame_success,12,0.0,"[0.0,0.0]",1.0,"[1.0,1.0]"
ur5e,direct_sqp,total_latency_ns,12,-135248065.55555555,"[-146720178.05833337,-123219594.91319446]",0.19012054248760119,"[0.18250578154544522,0.19808983874706346]"
ur5e,fixed_qp1,completion,12,0.0,"[0.0,0.0]",1.0,"[1.0,1.0]"
ur5e,fixed_qp1,deadline_completion,12,0.02777777777777778,"[0.0,0.08333333333333333]",1.0285714285714287,"[1.0,1.090909090909091]"
ur5e,fixed_qp1,frame_success,12,0.0,"[0.0,0.0]",1.0,"[1.0,1.0]"
ur5e,fixed_qp1,total_latency_ns,12,-1323271.6944444457,"[-4065599.843055556,75424.30833333152]",0.9599893405092754,"[0.8828854753771689,1.0023398881892471]"
ur5e,fixed_qp2,completion,12,0.0,"[0.0,0.0]",1.0,"[1.0,1.0]"
ur5e,fixed_qp2,deadline_completion,12,0.0,"[0.0,0.0]",1.0,"[1.0,1.0]"
ur5e,fixed_qp2,frame_success,12,0.0,"[0.0,0.0]",1.0,"[1.0,1.0]"
ur5e,fixed_qp2,total_latency_ns,12,49484.08333333302,"[2742.4534722230246,97702.21527777768]",1.0015610011086236,"[1.000089104428065,1.0030520229716264]"
