robot,uid,baseline,repeat,change,previous_q,target_position,target_rotation,dt,relative_q,baseline_q,relative_accepted,baseline_accepted,relative_reasons,baseline_reasons,raw_file,relative_line,baseline_line
panda,116413e5077b1991259016bcb70aed719e9313295c22976aaf3e7971067192d7,gn,0,gained,"[0.5143745696429471,-1.030325417676153,-1.9514386354805384,-1.4304820222062136,2.0787613050010836,3.275685669657409,2.246414670384391]","[-0.16731972022527472,-0.6868103650689392,0.31157094391093837]","[[0.8286643241709494,-0.5178404578568451,0.2125010542395415],[0.024607805541048536,-0.3455686306584792,-0.938070774201647],[0.5592046975417475,0.7825749687483216,-0.27361747849106033]]",0.02,"[0.5578212620571459,-1.0739254176761093,-1.9078697918346137,-1.3868820222062572,2.1310613050010314,3.223385669657461,2.1943557936141143]","[0.5579745696429036,-1.0739254176761093,-1.9080799077133834,-1.3882042805817325,2.1310613050010314,3.223385669657461,2.1945170814718153]",True,False,[],"[""orientation_tolerance""]",outputs/task_balance_comparison/points/points_panda/records.jsonl.gz,1973,1975
panda,116413e5077b1991259016bcb70aed719e9313295c22976aaf3e7971067192d7,gn,1,gained,"[0.5143745696429471,-1.030325417676153,-1.9514386354805384,-1.4304820222062136,2.0787613050010836,3.275685669657409,2.246414670384391]","[-0.16731972022527472,-0.6868103650689392,0.31157094391093837]","[[0.8286643241709494,-0.5178404578568451,0.2125010542395415],[0.024607805541048536,-0.3455686306584792,-0.938070774201647],[0.5592046975417475,0.7825749687483216,-0.27361747849106033]]",0.02,"[0.5578212620571459,-1.0739254176761093,-1.9078697918346137,-1.3868820222062572,2.1310613050010314,3.223385669657461,2.1943557936141143]","[0.5579745696429036,-1.0739254176761093,-1.9080799077133834,-1.3882042805817325,2.1310613050010314,3.223385669657461,2.1945170814718153]",True,False,[],"[""orientation_tolerance""]",outputs/task_balance_comparison/points/points_panda/records.jsonl.gz,1970,1980
panda,116413e5077b1991259016bcb70aed719e9313295c22976aaf3e7971067192d7,gn,2,gained,"[0.5143745696429471,-1.030325417676153,-1.9514386354805384,-1.4304820222062136,2.0787613050010836,3.275685669657409,2.246414670384391]","[-0.16731972022527472,-0.6868103650689392,0.31157094391093837]","[[0.8286643241709494,-0.5178404578568451,0.2125010542395415],[0.024607805541048536,-0.3455686306584792,-0.938070774201647],[0.5592046975417475,0.7825749687483216,-0.27361747849106033]]",0.02,"[0.5578212620571459,-1.0739254176761093,-1.9078697918346137,-1.3868820222062572,2.1310613050010314,3.223385669657461,2.1943557936141143]","[0.5579745696429036,-1.0739254176761093,-1.9080799077133834,-1.3882042805817325,2.1310613050010314,3.223385669657461,2.1945170814718153]",True,False,[],"[""orientation_tolerance""]",outputs/task_balance_comparison/points/points_panda/records.jsonl.gz,1989,1976
panda,232d4bfd818ccf44fdc110f8ae3168f95d187a2fa1dccefbccb9bac2e2ec8460,gn,0,gained,"[0.7359166028296502,0.6324808858348354,-0.9344217061123874,-1.3153944919815608,1.5890752828876589,2.7903245222794713,2.879881797394117]","[0.7073594076617572,-0.06137649408059488,0.5985105939392247]","[[-0.14710100584891703,0.19520137002780408,0.9696688709129034],[0.820807871435718,0.5711245873729703,0.009546930774852217],[-0.5519381598217343,0.7973162050512472,-0.24423582230146956]]",0.02,"[0.6923166028296938,0.5889797228442565,-0.9780217061123438,-1.3589944919815171,1.6397816877830746,2.842624522279419,2.897299999999]","[0.692328417321032,0.588880885834879,-0.9780217061123438,-1.357783777987394,1.6394159132653763,2.842624522279419,2.897299999999]",True,False,[],"[""orientation_tolerance""]",outputs/task_balance_comparison/points/points_panda/records.jsonl.gz,37393,37416
panda,232d4bfd818ccf44fdc110f8ae3168f95d187a2fa1dccefbccb9bac2e2ec8460,gn,1,gained,"[0.7359166028296502,0.6324808858348354,-0.9344217061123874,-1.3153944919815608,1.5890752828876589,2.7903245222794713,2.879881797394117]","[0.7073594076617572,-0.06137649408059488,0.5985105939392247]","[[-0.14710100584891703,0.19520137002780408,0.9696688709129034],[0.820807871435718,0.5711245873729703,0.009546930774852217],[-0.5519381598217343,0.7973162050512472,-0.24423582230146956]]",0.02,"[0.6923166028296938,0.5889797228442565,-0.9780217061123438,-1.3589944919815171,1.6397816877830746,2.842624522279419,2.897299999999]","[0.692328417321032,0.588880885834879,-0.9780217061123438,-1.357783777987394,1.6394159132653763,2.842624522279419,2.897299999999]",True,False,[],"[""orientation_tolerance""]",outputs/task_balance_comparison/points/points_panda/records.jsonl.gz,37411,37400
panda,232d4bfd818ccf44fdc110f8ae3168f95d187a2fa1dccefbccb9bac2e2ec8460,gn,2,gained,"[0.7359166028296502,0.6324808858348354,-0.9344217061123874,-1.3153944919815608,1.5890752828876589,2.7903245222794713,2.879881797394117]","[0.7073594076617572,-0.06137649408059488,0.5985105939392247]","[[-0.14710100584891703,0.19520137002780408,0.9696688709129034],[0.820807871435718,0.5711245873729703,0.009546930774852217],[-0.5519381598217343,0.7973162050512472,-0.24423582230146956]]",0.02,"[0.6923166028296938,0.5889797228442565,-0.9780217061123438,-1.3589944919815171,1.6397816877830746,2.842624522279419,2.897299999999]","[0.692328417321032,0.588880885834879,-0.9780217061123438,-1.357783777987394,1.6394159132653763,2.842624522279419,2.897299999999]",True,False,[],"[""orientation_tolerance""]",outputs/task_balance_comparison/points/points_panda/records.jsonl.gz,37399,37396
panda,6053eba826b47af95688b606a803fa8d4dd7338acebc1e0734c8b42e80801b1c,gn,0,gained,"[2.3102800643098247,-0.7341259301281504,-1.781809115146927,-0.43750619759157416,-1.2428933065185683,0.4311552107387757,0.9906492069093114]","[0.43791919594682016,-0.2924832352012088,0.725189587340893]","[[0.007246886761279012,-0.8963750339493207,-0.44323727409213104],[-0.994246142288423,-0.05383200076136441,0.09261060543273021],[-0.10687418386522338,0.4400158113140732,-0.8916075339614173]]",0.02,"[2.266680064309868,-0.6906161275059971,-1.7397266334358177,-0.39390619759161777,-1.1905933065186207,0.3793125246658816,1.042949206909259]","[2.266680064309868,-0.690525930128194,-1.7396437223654557,-0.39390619759161777,-1.1905933065186207,0.38051160834325287,1.042949206909259]",True,False,[],"[""orientation_tolerance""]",outputs/task_balance_comparison/points/points_panda/records.jsonl.gz,49772,49774
panda,6053eba826b47af95688b606a803fa8d4dd7338acebc1e0734c8b42e80801b1c,gn,1,gained,"[2.3102800643098247,-0.7341259301281504,-1.781809115146927,-0.43750619759157416,-1.2428933065185683,0.4311552107387757,0.9906492069093114]","[0.43791919594682016,-0.2924832352012088,0.725189587340893]","[[0.007246886761279012,-0.8963750339493207,-0.44323727409213104],[-0.994246142288423,-0.05383200076136441,0.09261060543273021],[-0.10687418386522338,0.4400158113140732,-0.8916075339614173]]",0.02,"[2.266680064309868,-0.6906161275059971,-1.7397266334358177,-0.39390619759161777,-1.1905933065186207,0.3793125246658816,1.042949206909259]","[2.266680064309868,-0.690525930128194,-1.7396437223654557,-0.39390619759161777,-1.1905933065186207,0.38051160834325287,1.042949206909259]",True,False,[],"[""orientation_tolerance""]",outputs/task_balance_comparison/points/points_panda/records.jsonl.gz,49768,49775
panda,6053eba826b47af95688b606a803fa8d4dd7338acebc1e0734c8b42e80801b1c,gn,2,gained,"[2.3102800643098247,-0.7341259301281504,-1.781809115146927,-0.43750619759157416,-1.2428933065185683,0.4311552107387757,0.9906492069093114]","[0.43791919594682016,-0.2924832352012088,0.725189587340893]","[[0.007246886761279012,-0.8963750339493207,-0.44323727409213104],[-0.994246142288423,-0.05383200076136441,0.09261060543273021],[-0.10687418386522338,0.4400158113140732,-0.8916075339614173]]",0.02,"[2.266680064309868,-0.6906161275059971,-1.7397266334358177,-0.39390619759161777,-1.1905933065186207,0.3793125246658816,1.042949206909259]","[2.266680064309868,-0.690525930128194,-1.7396437223654557,-0.39390619759161777,-1.1905933065186207,0.38051160834325287,1.042949206909259]",True,False,[],"[""orientation_tolerance""]",outputs/task_balance_comparison/points/points_panda/records.jsonl.gz,49759,49755
panda,608b3447d4ba4e880b4b2446b81ea76b7ae7445f953d93d4d4c921cc8e79c135,gn,0,gained,"[-1.9624637846365993,-1.4337878371419972,-0.1633974945067913,-0.3443757980030111,0.47335113898779957,3.2432706943987273,-1.9611046400054044]","[0.2890223468428068,0.7640777649390623,0.5181439354569255]","[[0.9430598769081303,0.10631098818965479,0.31517620842341676],[-0.3303953663684481,0.4088765343898987,0.8506814218657685],[-0.03843137322918458,-0.9063762758454379,0.4207197120842736]]",0.02,"[-2.005427038106169,-1.4773878371419535,-0.11979749450683491,-0.38765596570096683,0.5256511389877473,3.192118591539358,-1.9088046400054568]","[-2.0059935716135104,-1.4773878371419535,-0.11990752821768348,-0.38651613585616396,0.5256511389877473,3.1909706943987795,-1.9088046400054568]",True,False,[],"[""orientation_tolerance""]",outputs/task_balance_comparison/points/points_panda/records.jsonl.gz,4016,4014
