robot,group,method,queries,anchors,repeats,success_by_repeat,within20_by_repeat,mean_success_count,verified_success,within20_success,all_repeat_success_queries,witness_missed_unique_queries,p50_ms,p95_ms,p99_ms,mean_ms,cumulative_ms_per_repeat,late_calls,accepted_position_p95_m,accepted_position_max_m,accepted_orientation_p95_rad,accepted_orientation_max_rad,accepted_pose_utilization_p95,accepted_edge_fraction,accepted_position_margin_p05_m,accepted_orientation_margin_p05_rad,max_accepted_step_utilization,mean_iterations,mean_evaluations,first_half_accepted_call_fraction,continued_after_first_call_fraction,multiple_local_qp_call_fraction,relative_stop_call_fraction,relative_stop_subproblem_fraction,mean_dual_updates,internal_status_counts,failure_counts
panda,development,direct_sqp,270,30,3,"[0,0,0]","[0,0,0]",0.0,0.0,0.0,0,270,2.1590775,2.6587945,2.82926905,2.062243817283951,556.8058306666667,3,,,,,,,,,,16.955555555555556,26.775308641975307,,0.0,0.0,0.0,,0.0,"{""optimizer:Optimization terminated successfully"":807,""deadline"":3}","{""position_tolerance+orientation_tolerance"":732,""position_tolerance"":66,""orientation_tolerance"":12}"
panda,development,fixed_qp1,270,30,3,"[268,268,268]","[268,268,268]",268.0,0.9925925925925926,0.9925925925925926,268,2,0.335254,0.5655598,0.6387155299999998,0.4133517913580247,111.60498366666667,0,0.0009337966956319941,0.0009948825479939938,0.006678014622673235,0.008217289448059339,0.9416138640309364,0.07462686567164178,6.620330436800587e-05,0.0020486316373267647,0.9999999999990037,1.4962962962962962,3.066666666666667,0.5851851851851851,0.4148148148148148,0.0,0.0,0.0,1.4962962962962962,"{""native_task_candidate"":804,""no_descent"":6}","{""orientation_tolerance"":6}"
panda,development,fixed_qp2,270,30,3,"[270,270,270]","[270,270,270]",270.0,1.0,1.0,270,0,0.3364915,0.75589,0.84618447,0.4707118617283951,127.09220266666667,0,0.0009416138640309364,0.0009948825479939938,0.0068457669203040705,0.00833964155695471,0.9441927270245792,0.08148148148148149,5.83861359690636e-05,0.0018808793396959296,0.9999999999990037,1.4444444444444444,3.051851851851852,0.5851851851851851,0.4148148148148148,0.4148148148148148,0.0,0.0,1.8962962962962964,"{""native_task_candidate"":810}",{}
panda,development,range_loss_matched,270,30,3,"[268,268,268]","[268,268,268]",268.0,0.9925925925925926,0.9925925925925926,268,2,2.0115835,5.05144575,6.224861559999995,2.283069012345679,616.4286333333333,0,0.000977210571696568,0.0009970591665295699,0.008551687166963293,0.008724272452592871,0.9850628206821854,0.3619402985074627,2.2789428303432056e-05,0.00017495909303670738,0.9999999999990037,13.544444444444444,30.344444444444445,,0.0,0.0,0.0,,0.0,"{""task_accepted_early"":804,""optimizer:CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH"":6}","{""orientation_tolerance"":3,""position_tolerance+orientation_tolerance"":3}"
panda,development_sqp,direct_sqp,270,30,3,"[270,270,270]","[270,270,270]",270.0,1.0,1.0,270,0,2.196815,2.68933725,2.89156419,2.039289414814815,550.608142,0,0.0009999999899074883,0.0009999999985079373,0.008726646038628784,0.008726646254548144,0.9999999909121509,1.0,1.0092511678813643e-11,2.2137121649667968e-10,0.9999999999990037,14.9,24.674074074074074,,0.0,0.0,0.0,,0.0,"{""task_accepted_early"":810}",{}
ur5e,development,direct_sqp,270,30,3,"[1,1,1]","[1,1,1]",1.0,0.003703703703703704,0.003703703703703704,1,269,2.1009645,2.6755876,2.8840095299999997,2.0274122234567904,547.4013003333333,0,0.0009999999999999879,0.0009999999999999879,0.008726646259999749,0.008726646259999749,0.9999999999999879,1.0,1.214306433183765e-17,2.5153490401663703e-16,0.999999999998999,17.274074074074075,26.159259259259258,,0.0,0.0,0.0,,0.0,"{""optimizer:Optimization terminated successfully"":807,""task_accepted_early"":3}","{""position_tolerance+orientation_tolerance"":759,""position_tolerance"":39,""orientation_tolerance"":9}"
ur5e,development,fixed_qp1,270,30,3,"[267,267,267]","[267,267,267]",267.0,0.9888888888888889,0.9888888888888889,267,3,0.37084249999999996,0.5022279,4.09223654999988,0.4198064641975308,113.34774533333332,0,0.0008357758086973441,0.0009963730888381869,0.007660969715048679,0.008580983495440895,0.9124386553245276,0.052434456928838954,0.00016422419130265593,0.0010656765449513208,0.9999999999990026,1.7074074074074075,3.640740740740741,0.4777777777777778,0.5222222222222223,0.0,0.0,0.0,1.7074074074074075,"{""native_task_candidate"":801,""iteration_limit"":3,""no_descent"":6}","{""orientation_tolerance"":9}"
ur5e,development,fixed_qp2,270,30,3,"[270,270,270]","[270,270,270]",270.0,1.0,1.0,270,0,0.500998,0.6736571,0.8310370999999995,0.4758092666666667,128.468502,0,0.0008421766665915543,0.0009963730888381869,0.007792608569755441,0.008580983495440895,0.9286451480307114,0.06666666666666667,0.00015782333340844568,0.000934037690244559,0.9999999999990026,1.5703703703703704,3.4703703703703703,0.4777777777777778,0.5222222222222223,0.5222222222222223,0.0,0.0,2.1592592592592594,"{""native_task_candidate"":810}",{}
ur5e,development,range_loss_matched,270,30,3,"[265,265,265]","[265,265,265]",265.0,0.9814814814814815,0.9814814814814815,265,5,1.8624875,3.81698975,4.452166539999999,1.9479972382716049,525.9592543333333,0,0.000971570302465912,0.0009964524985788662,0.008642445374462395,0.008725375417748623,0.9931332750117202,0.3584905660377358,2.842969753408806e-05,8.42008855376046e-05,0.9999999999990026,10.874074074074073,25.18148148148148,,0.0,0.0,0.0,,0.0,"{""task_accepted_early"":795,""optimizer:CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH"":15}","{""position_tolerance+orientation_tolerance"":9,""position_tolerance"":6}"
ur5e,development_sqp,direct_sqp,270,30,3,"[270,270,270]","[270,270,270]",270.0,1.0,1.0,270,0,2.1468344999999998,2.7427806999999995,2.9110766199999993,2.067939834567901,558.3437553333333,0,0.000999999982642209,0.000999999995929084,0.008726646086681835,0.00872664624717646,0.9999999867311099,1.0,1.735779098580026e-11,1.733181653751359e-10,0.9999999999990026,15.437037037037037,25.625925925925927,,0.0,0.0,0.0,,0.0,"{""task_accepted_early"":810}",{}
