robot,uid,anchor_uid,anchor_family,displacement,alpha,baseline,relative_success,baseline_success,relative_by_repeat,baseline_by_repeat
panda,116413e5077b1991259016bcb70aed719e9313295c22976aaf3e7971067192d7,9449ccb57afd4744d6dfe7f87cdc9e8805bf03f025ba314b0cf5c4ee4ff1baff,ordinary,multijoint_boundary,0.95,gn,1.0,0.0,"[true,true,true]","[false,false,false]"
panda,232d4bfd818ccf44fdc110f8ae3168f95d187a2fa1dccefbccb9bac2e2ec8460,fdbce267349651d0e71efb01c10a0a9554cb4b03775aeda0f02ce25fae617971,near_limit,multijoint_boundary,0.95,gn,1.0,0.0,"[true,true,true]","[false,false,false]"
panda,6053eba826b47af95688b606a803fa8d4dd7338acebc1e0734c8b42e80801b1c,70a3aa22d76a1fed29e2bbbad83f9b05258e538670c96560a22948820d3d6307,near_singular,multijoint_boundary,0.95,gn,1.0,0.0,"[true,true,true]","[false,false,false]"
panda,608b3447d4ba4e880b4b2446b81ea76b7ae7445f953d93d4d4c921cc8e79c135,b1fd23c0c4b0c6a989e3b4c67673307b387eb068abbae69810c2a0c00e7f9d8e,ordinary,multijoint_boundary,0.95,gn,1.0,0.0,"[true,true,true]","[false,false,false]"
panda,637d683b1102d33f4ba5165b32fcceff21d00db2b4c65f1f222b68393371bdb3,94a9234e028d13820def70b0ed2c1486a1a74dd9a17cea5215d8b65f4d5132f0,ordinary,multijoint_boundary,0.95,gn,1.0,0.0,"[true,true,true]","[false,false,false]"
panda,73f79a4c1a01e9d7158753a40c3faeb64614a86a72058c894ba7a9eaba1da0ba,feb4cb7826f79bb94b999536d7e4f68f31c25f51d9d113fdac7493af2e15148a,ordinary,multijoint_boundary,0.95,gn,1.0,0.0,"[true,true,true]","[false,false,false]"
panda,772edfc546a97728e7f39f19a01993a5927b81b54f6f66f4cde8beba82ce9ce4,5b90f2dd98fd511d4fc069381ab40b082af004e6b5f5b7524d841290c80c5506,near_limit,multijoint_boundary,0.95,gn,1.0,0.0,"[true,true,true]","[false,false,false]"
panda,7879f51022a2e4b43facace876b1f4dc84492479c766b7cbe2452009535855d0,5cb20911d20ac2544ed1169b8d8bb09ba94aa6d810953cc518a2fc171cd2e271,ordinary,multijoint_boundary,0.95,gn,1.0,0.0,"[true,true,true]","[false,false,false]"
panda,be9efe6f5d0c2f73beef69d62c4161e8fd60ec78077e0d5a44b11cbca028ec0e,03c870be68513b7dd937216e2ad12d530030c53fc9aca5b157545a3dfb6537f7,near_singular,multijoint_boundary,0.95,gn,1.0,0.0,"[true,true,true]","[false,false,false]"
panda,dfe6e713d05a39be8b5a02b380237f01f6a459b63be3d831191551bfbed52fbd,68a8ed9a58977e9983fa0f846f3a339a7492b99eccad57ac45000568c1e45004,near_limit,multijoint_boundary,0.95,gn,1.0,0.0,"[true,true,true]","[false,false,false]"
