robot,method,internal_ok,task_accepted,calls
panda,relative,False,False,0
panda,relative,False,True,0
panda,relative,True,False,0
panda,relative,True,True,6480
panda,relative,,False,0
panda,relative,,True,0
panda,gn,False,False,30
panda,gn,False,True,0
panda,gn,True,False,0
panda,gn,True,True,6450
panda,gn,,False,0
panda,gn,,True,0
panda,tight,False,False,0
panda,tight,False,True,0
panda,tight,True,False,0
panda,tight,True,True,6480
panda,tight,,False,0
panda,tight,,True,0
panda,clarabel,False,False,0
panda,clarabel,False,True,0
panda,clarabel,True,False,0
panda,clarabel,True,True,6480
panda,clarabel,,False,0
panda,clarabel,,True,0
panda,range_loss_matched,False,False,0
panda,range_loss_matched,False,True,6324
panda,range_loss_matched,True,False,156
panda,range_loss_matched,True,True,0
panda,range_loss_matched,,False,0
panda,range_loss_matched,,True,0
panda,direct_sqp,False,False,0
panda,direct_sqp,False,True,6480
panda,direct_sqp,True,False,0
panda,direct_sqp,True,True,0
panda,direct_sqp,,False,0
panda,direct_sqp,,True,0
panda,fixed_qp1,False,False,30
panda,fixed_qp1,False,True,0
panda,fixed_qp1,True,False,0
panda,fixed_qp1,True,True,6450
panda,fixed_qp1,,False,0
panda,fixed_qp1,,True,0
panda,fixed_qp2,False,False,9
panda,fixed_qp2,False,True,0
panda,fixed_qp2,True,False,0
panda,fixed_qp2,True,True,6471
panda,fixed_qp2,,False,0
panda,fixed_qp2,,True,0
ur5e,relative,False,False,0
ur5e,relative,False,True,0
ur5e,relative,True,False,0
ur5e,relative,True,True,6480
ur5e,relative,,False,0
ur5e,relative,,True,0
ur5e,gn,False,False,36
ur5e,gn,False,True,0
ur5e,gn,True,False,0
ur5e,gn,True,True,6444
ur5e,gn,,False,0
ur5e,gn,,True,0
ur5e,tight,False,False,0
ur5e,tight,False,True,0
ur5e,tight,True,False,0
ur5e,tight,True,True,6480
ur5e,tight,,False,0
ur5e,tight,,True,0
ur5e,clarabel,False,False,0
ur5e,clarabel,False,True,0
ur5e,clarabel,True,False,0
ur5e,clarabel,True,True,6480
ur5e,clarabel,,False,0
ur5e,clarabel,,True,0
ur5e,range_loss_matched,False,False,0
ur5e,range_loss_matched,False,True,6378
ur5e,range_loss_matched,True,False,102
ur5e,range_loss_matched,True,True,0
ur5e,range_loss_matched,,False,0
ur5e,range_loss_matched,,True,0
ur5e,direct_sqp,False,False,0
ur5e,direct_sqp,False,True,6480
ur5e,direct_sqp,True,False,0
ur5e,direct_sqp,True,True,0
ur5e,direct_sqp,,False,0
ur5e,direct_sqp,,True,0
ur5e,fixed_qp1,False,False,36
ur5e,fixed_qp1,False,True,0
ur5e,fixed_qp1,True,False,0
ur5e,fixed_qp1,True,True,6444
ur5e,fixed_qp1,,False,0
ur5e,fixed_qp1,,True,0
ur5e,fixed_qp2,False,False,12
ur5e,fixed_qp2,False,True,0
ur5e,fixed_qp2,True,False,0
ur5e,fixed_qp2,True,True,6468
ur5e,fixed_qp2,,False,0
ur5e,fixed_qp2,,True,0
