robot,group,method,baseline,queries,anchors,success_difference,success_difference_ci,timely_difference,timely_difference_ci,latency_ratio,latency_ratio_ci,gained_query_units,lost_query_units,net_mean_success_count,stable_gains,stable_losses,interval
panda,all,relative,gn,2160,240,0.004629629629629539,"[0.0018518518518518823,0.007870370370370527]",0.004629629629629539,"[0.0018518518518518823,0.007870370370370527]",0.9412567646196287,"[0.9232696934846266,0.9567588284445813]",10,0,10.0,10,0,4000 paired bootstrap resamples of anchors within geometric class; repeat means inside query; descriptive unadjusted95%
panda,all,relative,tight,2160,240,0.0,"[0.0,0.0]",0.0,"[0.0,0.0]",0.4880987092587378,"[0.4692179810183875,0.5073984030220896]",0,0,0.0,0,0,4000 paired bootstrap resamples of anchors within geometric class; repeat means inside query; descriptive unadjusted95%
panda,all,relative,clarabel,2160,240,0.0,"[0.0,0.0]",0.0,"[0.0,0.0]",0.8188558022647763,"[0.8089296119918532,0.8297780884667831]",0,0,0.0,0,0,4000 paired bootstrap resamples of anchors within geometric class; repeat means inside query; descriptive unadjusted95%
panda,all,relative,range_loss_matched,2160,240,0.024074074074074026,"[0.017592592592592937,0.03101851851851911]",0.024074074074074026,"[0.017592592592592937,0.03101851851851911]",0.16775142614532593,"[0.1616283844008787,0.17420634906200252]",52,0,52.0,52,0,4000 paired bootstrap resamples of anchors within geometric class; repeat means inside query; descriptive unadjusted95%
panda,all,relative,direct_sqp,2160,240,0.0,"[0.0,0.0]",0.0,"[0.0,0.0]",0.19133779736440842,"[0.1877220122118398,0.19507706300929836]",0,0,0.0,0,0,4000 paired bootstrap resamples of anchors within geometric class; repeat means inside query; descriptive unadjusted95%
panda,all,relative,fixed_qp1,2160,240,0.004629629629629539,"[0.0018518518518518823,0.007870370370370527]",0.004629629629629539,"[0.0018518518518518823,0.007870370370370527]",0.9977830278811773,"[0.9695000276313724,1.022130970108867]",10,0,10.0,10,0,4000 paired bootstrap resamples of anchors within geometric class; repeat means inside query; descriptive unadjusted95%
panda,all,relative,fixed_qp2,2160,240,0.001388888888888884,"[0.0,0.0032407407407408773]",0.001388888888888884,"[0.0,0.0032407407407408773]",0.8522555767267943,"[0.8415823571240352,0.8624710027272896]",3,0,3.0,3,0,4000 paired bootstrap resamples of anchors within geometric class; repeat means inside query; descriptive unadjusted95%
panda,regular/alpha=0.0,relative,gn,240,240,0.0,"[0.0,0.0]",0.0,"[0.0,0.0]",0.9086522605932239,"[0.9045722719352352,0.9126431853699447]",0,0,0.0,0,0,4000 paired bootstrap resamples of anchors within geometric class; repeat means inside query; descriptive unadjusted95%
panda,regular/alpha=0.0,relative,tight,240,240,0.0,"[0.0,0.0]",0.0,"[0.0,0.0]",0.9902836319550978,"[0.9716411320173727,1.0022273620788587]",0,0,0.0,0,0,4000 paired bootstrap resamples of anchors within geometric class; repeat means inside query; descriptive unadjusted95%
panda,regular/alpha=0.0,relative,clarabel,240,240,0.0,"[0.0,0.0]",0.0,"[0.0,0.0]",0.99428598532563,"[0.9854949869782964,1.00171677092761]",0,0,0.0,0,0,4000 paired bootstrap resamples of anchors within geometric class; repeat means inside query; descriptive unadjusted95%
panda,regular/alpha=0.0,relative,range_loss_matched,240,240,0.0,"[0.0,0.0]",0.0,"[0.0,0.0]",0.1928176709922908,"[0.18215730572385463,0.20319982640888326]",0,0,0.0,0,0,4000 paired bootstrap resamples of anchors within geometric class; repeat means inside query; descriptive unadjusted95%
panda,regular/alpha=0.0,relative,direct_sqp,240,240,0.0,"[0.0,0.0]",0.0,"[0.0,0.0]",0.1918840650928209,"[0.18670964941174334,0.1971947473621174]",0,0,0.0,0,0,4000 paired bootstrap resamples of anchors within geometric class; repeat means inside query; descriptive unadjusted95%
panda,regular/alpha=0.0,relative,fixed_qp1,240,240,0.0,"[0.0,0.0]",0.0,"[0.0,0.0]",0.998995237971141,"[0.9931128804782001,1.004274637498918]",0,0,0.0,0,0,4000 paired bootstrap resamples of anchors within geometric class; repeat means inside query; descriptive unadjusted95%
panda,regular/alpha=0.0,relative,fixed_qp2,240,240,0.0,"[0.0,0.0]",0.0,"[0.0,0.0]",0.9984245468448658,"[0.9917626670075447,1.0044384887967286]",0,0,0.0,0,0,4000 paired bootstrap resamples of anchors within geometric class; repeat means inside query; descriptive unadjusted95%
panda,regular/alpha=0.5,relative,gn,240,240,0.0,"[0.0,0.0]",0.0,"[0.0,0.0]",0.9111706181310315,"[0.9051110767221157,0.9172007145091483]",0,0,0.0,0,0,4000 paired bootstrap resamples of anchors within geometric class; repeat means inside query; descriptive unadjusted95%
panda,regular/alpha=0.5,relative,tight,240,240,0.0,"[0.0,0.0]",0.0,"[0.0,0.0]",0.97791766816896,"[0.949397321949334,1.0007909904639367]",0,0,0.0,0,0,4000 paired bootstrap resamples of anchors within geometric class; repeat means inside query; descriptive unadjusted95%
panda,regular/alpha=0.5,relative,clarabel,240,240,0.0,"[0.0,0.0]",0.0,"[0.0,0.0]",0.9901890513313392,"[0.9782654001105664,0.9999985321972896]",0,0,0.0,0,0,4000 paired bootstrap resamples of anchors within geometric class; repeat means inside query; descriptive unadjusted95%
panda,regular/alpha=0.5,relative,range_loss_matched,240,240,0.0,"[0.0,0.0]",0.0,"[0.0,0.0]",0.1846850260868913,"[0.1745640955353562,0.19562640235702886]",0,0,0.0,0,0,4000 paired bootstrap resamples of anchors within geometric class; repeat means inside query; descriptive unadjusted95%
panda,regular/alpha=0.5,relative,direct_sqp,240,240,0.0,"[0.0,0.0]",0.0,"[0.0,0.0]",0.1912371240383094,"[0.18584998555013013,0.19701655036583454]",0,0,0.0,0,0,4000 paired bootstrap resamples of anchors within geometric class; repeat means inside query; descriptive unadjusted95%
panda,regular/alpha=0.5,relative,fixed_qp1,240,240,0.0,"[0.0,0.0]",0.0,"[0.0,0.0]",0.999310767175945,"[0.9938396399986872,1.0049717748225415]",0,0,0.0,0,0,4000 paired bootstrap resamples of anchors within geometric class; repeat means inside query; descriptive unadjusted95%
panda,regular/alpha=0.5,relative,fixed_qp2,240,240,0.0,"[0.0,0.0]",0.0,"[0.0,0.0]",0.9964054151257641,"[0.9870158132644808,1.0045969928326746]",0,0,0.0,0,0,4000 paired bootstrap resamples of anchors within geometric class; repeat means inside query; descriptive unadjusted95%
panda,regular/alpha=0.95,relative,gn,240,240,0.0,"[0.0,0.0]",0.0,"[0.0,0.0]",0.9104626888858224,"[0.905278304380196,0.9156384766489308]",0,0,0.0,0,0,4000 paired bootstrap resamples of anchors within geometric class; repeat means inside query; descriptive unadjusted95%
panda,regular/alpha=0.95,relative,tight,240,240,0.0,"[0.0,0.0]",0.0,"[0.0,0.0]",0.9177508025024511,"[0.8460062185009185,0.9806967076226378]",0,0,0.0,0,0,4000 paired bootstrap resamples of anchors within geometric class; repeat means inside query; descriptive unadjusted95%
panda,regular/alpha=0.95,relative,clarabel,240,240,0.0,"[0.0,0.0]",0.0,"[0.0,0.0]",0.9765227467277495,"[0.960713612506684,0.9904099244594323]",0,0,0.0,0,0,4000 paired bootstrap resamples of anchors within geometric class; repeat means inside query; descriptive unadjusted95%
panda,regular/alpha=0.95,relative,range_loss_matched,240,240,0.008333333333333304,"[0.0,0.02083333333333337]",0.008333333333333304,"[0.0,0.02083333333333337]",0.16334879406721217,"[0.15295778626742876,0.17447083190073587]",2,0,2.0,2,0,4000 paired bootstrap resamples of anchors within geometric class; repeat means inside query; descriptive unadjusted95%
panda,regular/alpha=0.95,relative,direct_sqp,240,240,0.0,"[0.0,0.0]",0.0,"[0.0,0.0]",0.18649745055612818,"[0.18153073106181739,0.19163801764053898]",0,0,0.0,0,0,4000 paired bootstrap resamples of anchors within geometric class; repeat means inside query; descriptive unadjusted95%
panda,regular/alpha=0.95,relative,fixed_qp1,240,240,0.0,"[0.0,0.0]",0.0,"[0.0,0.0]",1.0025656118580972,"[0.9976477027278767,1.0075226312783343]",0,0,0.0,0,0,4000 paired bootstrap resamples of anchors within geometric class; repeat means inside query; descriptive unadjusted95%
panda,regular/alpha=0.95,relative,fixed_qp2,240,240,0.0,"[0.0,0.0]",0.0,"[0.0,0.0]",0.985950498359316,"[0.9751393650556772,0.9959074294994571]",0,0,0.0,0,0,4000 paired bootstrap resamples of anchors within geometric class; repeat means inside query; descriptive unadjusted95%
panda,high_utilization/alpha=0.0,relative,gn,240,240,0.0,"[0.0,0.0]",0.0,"[0.0,0.0]",0.9691809124245373,"[0.9584899572979236,0.9789917954713201]",0,0,0.0,0,0,4000 paired bootstrap resamples of anchors within geometric class; repeat means inside query; descriptive unadjusted95%
panda,high_utilization/alpha=0.0,relative,tight,240,240,0.0,"[0.0,0.0]",0.0,"[0.0,0.0]",0.5619025320278488,"[0.5169469858180364,0.6120260918279655]",0,0,0.0,0,0,4000 paired bootstrap resamples of anchors within geometric class; repeat means inside query; descriptive unadjusted95%
panda,high_utilization/alpha=0.0,relative,clarabel,240,240,0.0,"[0.0,0.0]",0.0,"[0.0,0.0]",0.8009457994212885,"[0.7824465206079131,0.8188537898396521]",0,0,0.0,0,0,4000 paired bootstrap resamples of anchors within geometric class; repeat means inside query; descriptive unadjusted95%
panda,high_utilization/alpha=0.0,relative,range_loss_matched,240,240,0.008333333333333304,"[0.0,0.02083333333333337]",0.008333333333333304,"[0.0,0.02083333333333337]",0.1401103930264445,"[0.13193658543225215,0.14888841711489756]",2,0,2.0,2,0,4000 paired bootstrap resamples of anchors within geometric class; repeat means inside query; descriptive unadjusted95%
panda,high_utilization/alpha=0.0,relative,direct_sqp,240,240,0.0,"[0.0,0.0]",0.0,"[0.0,0.0]",0.16977772491756787,"[0.16414716232603963,0.17564039605686596]",0,0,0.0,0,0,4000 paired bootstrap resamples of anchors within geometric class; repeat means inside query; descriptive unadjusted95%
panda,high_utilization/alpha=0.0,relative,fixed_qp1,240,240,0.0,"[0.0,0.0]",0.0,"[0.0,0.0]",1.034779362751399,"[1.0294991573393968,1.0400987298854474]",0,0,0.0,0,0,4000 paired bootstrap resamples of anchors within geometric class; repeat means inside query; descriptive unadjusted95%
panda,high_utilization/alpha=0.0,relative,fixed_qp2,240,240,0.0,"[0.0,0.0]",0.0,"[0.0,0.0]",0.8536135413322132,"[0.8400782673998356,0.8674832895437473]",0,0,0.0,0,0,4000 paired bootstrap resamples of anchors within geometric class; repeat means inside query; descriptive unadjusted95%
panda,high_utilization/alpha=0.5,relative,gn,240,240,0.0,"[0.0,0.0]",0.0,"[0.0,0.0]",0.9702196018242852,"[0.9629410585114625,0.9777227687689675]",0,0,0.0,0,0,4000 paired bootstrap resamples of anchors within geometric class; repeat means inside query; descriptive unadjusted95%
panda,high_utilization/alpha=0.5,relative,tight,240,240,0.0,"[0.0,0.0]",0.0,"[0.0,0.0]",0.5413589088323316,"[0.4977172373991009,0.5887572255580448]",0,0,0.0,0,0,4000 paired bootstrap resamples of anchors within geometric class; repeat means inside query; descriptive unadjusted95%
panda,high_utilization/alpha=0.5,relative,clarabel,240,240,0.0,"[0.0,0.0]",0.0,"[0.0,0.0]",0.7896694115071967,"[0.7730751278605368,0.8066659236162672]",0,0,0.0,0,0,4000 paired bootstrap resamples of anchors within geometric class; repeat means inside query; descriptive unadjusted95%
panda,high_utilization/alpha=0.5,relative,range_loss_matched,240,240,0.02083333333333337,"[0.004166666666666652,0.04166666666666663]",0.02083333333333337,"[0.004166666666666652,0.04166666666666663]",0.13560594681831906,"[0.12719224511579277,0.1449871372072726]",5,0,5.0,5,0,4000 paired bootstrap resamples of anchors within geometric class; repeat means inside query; descriptive unadjusted95%
panda,high_utilization/alpha=0.5,relative,direct_sqp,240,240,0.0,"[0.0,0.0]",0.0,"[0.0,0.0]",0.16897353081021657,"[0.16359671545459506,0.17478822211490683]",0,0,0.0,0,0,4000 paired bootstrap resamples of anchors within geometric class; repeat means inside query; descriptive unadjusted95%
panda,high_utilization/alpha=0.5,relative,fixed_qp1,240,240,0.0,"[0.0,0.0]",0.0,"[0.0,0.0]",1.030907295612145,"[1.0256101217142002,1.0362374316200185]",0,0,0.0,0,0,4000 paired bootstrap resamples of anchors within geometric class; repeat means inside query; descriptive unadjusted95%
panda,high_utilization/alpha=0.5,relative,fixed_qp2,240,240,0.0,"[0.0,0.0]",0.0,"[0.0,0.0]",0.8539404136289214,"[0.8413277191848851,0.8672519915826792]",0,0,0.0,0,0,4000 paired bootstrap resamples of anchors within geometric class; repeat means inside query; descriptive unadjusted95%
panda,high_utilization/alpha=0.95,relative,gn,240,240,0.0,"[0.0,0.0]",0.0,"[0.0,0.0]",0.9819454175998611,"[0.972911343286551,0.9930038141496201]",0,0,0.0,0,0,4000 paired bootstrap resamples of anchors within geometric class; repeat means inside query; descriptive unadjusted95%
panda,high_utilization/alpha=0.95,relative,tight,240,240,0.0,"[0.0,0.0]",0.0,"[0.0,0.0]",0.48322867986774154,"[0.4448219201530462,0.527407976037363]",0,0,0.0,0,0,4000 paired bootstrap resamples of anchors within geometric class; repeat means inside query; descriptive unadjusted95%
panda,high_utilization/alpha=0.95,relative,clarabel,240,240,0.0,"[0.0,0.0]",0.0,"[0.0,0.0]",0.784524183733577,"[0.7679778834970259,0.8014856846628929]",0,0,0.0,0,0,4000 paired bootstrap resamples of anchors within geometric class; repeat means inside query; descriptive unadjusted95%
panda,high_utilization/alpha=0.95,relative,range_loss_matched,240,240,0.025000000000000022,"[0.008333333333333304,0.04583333333333328]",0.025000000000000022,"[0.008333333333333304,0.04583333333333328]",0.13688817711511994,"[0.12855567283993818,0.14629490193772907]",6,0,6.0,6,0,4000 paired bootstrap resamples of anchors within geometric class; repeat means inside query; descriptive unadjusted95%
panda,high_utilization/alpha=0.95,relative,direct_sqp,240,240,0.0,"[0.0,0.0]",0.0,"[0.0,0.0]",0.1707754302926002,"[0.16543386881793637,0.1764966025676012]",0,0,0.0,0,0,4000 paired bootstrap resamples of anchors within geometric class; repeat means inside query; descriptive unadjusted95%
panda,high_utilization/alpha=0.95,relative,fixed_qp1,240,240,0.0,"[0.0,0.0]",0.0,"[0.0,0.0]",1.0393236041966185,"[1.031191470035221,1.0502684192691334]",0,0,0.0,0,0,4000 paired bootstrap resamples of anchors within geometric class; repeat means inside query; descriptive unadjusted95%
panda,high_utilization/alpha=0.95,relative,fixed_qp2,240,240,0.0,"[0.0,0.0]",0.0,"[0.0,0.0]",0.8510038436878413,"[0.8374016390918655,0.8665647440379327]",0,0,0.0,0,0,4000 paired bootstrap resamples of anchors within geometric class; repeat means inside query; descriptive unadjusted95%
panda,multijoint_boundary/alpha=0.0,relative,gn,240,240,0.0,"[0.0,0.0]",0.0,"[0.0,0.0]",0.996968742240528,"[0.9911836758933681,1.0024251628976966]",0,0,0.0,0,0,4000 paired bootstrap resamples of anchors within geometric class; repeat means inside query; descriptive unadjusted95%
panda,multijoint_boundary/alpha=0.0,relative,tight,240,240,0.0,"[0.0,0.0]",0.0,"[0.0,0.0]",0.385198870070997,"[0.36133049475222184,0.41184496403673815]",0,0,0.0,0,0,4000 paired bootstrap resamples of anchors within geometric class; repeat means inside query; descriptive unadjusted95%
panda,multijoint_boundary/alpha=0.0,relative,clarabel,240,240,0.0,"[0.0,0.0]",0.0,"[0.0,0.0]",0.7782640281592412,"[0.7667112052415836,0.7916623779206481]",0,0,0.0,0,0,4000 paired bootstrap resamples of anchors within geometric class; repeat means inside query; descriptive unadjusted95%
panda,multijoint_boundary/alpha=0.0,relative,range_loss_matched,240,240,0.02083333333333337,"[0.004166666666666652,0.04166666666666663]",0.02083333333333337,"[0.004166666666666652,0.04166666666666663]",0.2028916504337764,"[0.18846331219273008,0.21919644224118084]",5,0,5.0,5,0,4000 paired bootstrap resamples of anchors within geometric class; repeat means inside query; descriptive unadjusted95%
panda,multijoint_boundary/alpha=0.0,relative,direct_sqp,240,240,0.0,"[0.0,0.0]",0.0,"[0.0,0.0]",0.21390957548384745,"[0.20705334352437488,0.22067187707616034]",0,0,0.0,0,0,4000 paired bootstrap resamples of anchors within geometric class; repeat means inside query; descriptive unadjusted95%
panda,multijoint_boundary/alpha=0.0,relative,fixed_qp1,240,240,0.0,"[0.0,0.0]",0.0,"[0.0,0.0]",1.040960157561478,"[1.0365951113646892,1.0452896821537387]",0,0,0.0,0,0,4000 paired bootstrap resamples of anchors within geometric class; repeat means inside query; descriptive unadjusted95%
panda,multijoint_boundary/alpha=0.0,relative,fixed_qp2,240,240,0.0,"[0.0,0.0]",0.0,"[0.0,0.0]",0.8208104313826166,"[0.8101259573794688,0.8327719175476094]",0,0,0.0,0,0,4000 paired bootstrap resamples of anchors within geometric class; repeat means inside query; descriptive unadjusted95%
panda,multijoint_boundary/alpha=0.5,relative,gn,240,240,0.0,"[0.0,0.0]",0.0,"[0.0,0.0]",0.9921647852217205,"[0.9858737705367672,0.9980772196103106]",0,0,0.0,0,0,4000 paired bootstrap resamples of anchors within geometric class; repeat means inside query; descriptive unadjusted95%
panda,multijoint_boundary/alpha=0.5,relative,tight,240,240,0.0,"[0.0,0.0]",0.0,"[0.0,0.0]",0.35950708388928004,"[0.33850002360208253,0.38259237103749666]",0,0,0.0,0,0,4000 paired bootstrap resamples of anchors within geometric class; repeat means inside query; descriptive unadjusted95%
panda,multijoint_boundary/alpha=0.5,relative,clarabel,240,240,0.0,"[0.0,0.0]",0.0,"[0.0,0.0]",0.743853083546176,"[0.7324393518042356,0.7569229444448246]",0,0,0.0,0,0,4000 paired bootstrap resamples of anchors within geometric class; repeat means inside query; descriptive unadjusted95%
panda,multijoint_boundary/alpha=0.5,relative,range_loss_matched,240,240,0.01666666666666672,"[0.004166666666666652,0.033333333333333326]",0.01666666666666672,"[0.004166666666666652,0.033333333333333326]",0.19190174508333593,"[0.17846853882388738,0.20721649457122882]",4,0,4.0,4,0,4000 paired bootstrap resamples of anchors within geometric class; repeat means inside query; descriptive unadjusted95%
panda,multijoint_boundary/alpha=0.5,relative,direct_sqp,240,240,0.0,"[0.0,0.0]",0.0,"[0.0,0.0]",0.2036442142608516,"[0.1979066282975017,0.20915166987297829]",0,0,0.0,0,0,4000 paired bootstrap resamples of anchors within geometric class; repeat means inside query; descriptive unadjusted95%
panda,multijoint_boundary/alpha=0.5,relative,fixed_qp1,240,240,0.0,"[0.0,0.0]",0.0,"[0.0,0.0]",1.0407123050480018,"[1.0359467413743157,1.0451606430876113]",0,0,0.0,0,0,4000 paired bootstrap resamples of anchors within geometric class; repeat means inside query; descriptive unadjusted95%
panda,multijoint_boundary/alpha=0.5,relative,fixed_qp2,240,240,0.0,"[0.0,0.0]",0.0,"[0.0,0.0]",0.8043024330585079,"[0.7946376463462779,0.8150994344049696]",0,0,0.0,0,0,4000 paired bootstrap resamples of anchors within geometric class; repeat means inside query; descriptive unadjusted95%
panda,multijoint_boundary/alpha=0.95,relative,gn,240,240,0.04166666666666663,"[0.01666666666666672,0.0708333333333333]",0.04166666666666663,"[0.01666666666666672,0.0708333333333333]",0.8411435431850401,"[0.7589654382103511,0.9282918819341524]",10,0,10.0,10,0,4000 paired bootstrap resamples of anchors within geometric class; repeat means inside query; descriptive unadjusted95%
panda,multijoint_boundary/alpha=0.95,relative,tight,240,240,0.0,"[0.0,0.0]",0.0,"[0.0,0.0]",0.3559032604950161,"[0.3328406338270723,0.38116148579095804]",0,0,0.0,0,0,4000 paired bootstrap resamples of anchors within geometric class; repeat means inside query; descriptive unadjusted95%
panda,multijoint_boundary/alpha=0.95,relative,clarabel,240,240,0.0,"[0.0,0.0]",0.0,"[0.0,0.0]",0.776034404346567,"[0.7369599599197515,0.8222369647886337]",0,0,0.0,0,0,4000 paired bootstrap resamples of anchors within geometric class; repeat means inside query; descriptive unadjusted95%
panda,multijoint_boundary/alpha=0.95,relative,range_loss_matched,240,240,0.1166666666666667,"[0.07499999999999996,0.15833333333333333]",0.1166666666666667,"[0.07499999999999996,0.15833333333333333]",0.18827061771145107,"[0.1709419462305829,0.20794273779402045]",28,0,28.0,28,0,4000 paired bootstrap resamples of anchors within geometric class; repeat means inside query; descriptive unadjusted95%
panda,multijoint_boundary/alpha=0.95,relative,direct_sqp,240,240,0.0,"[0.0,0.0]",0.0,"[0.0,0.0]",0.22236748709976065,"[0.20879642697680678,0.23769528650287586]",0,0,0.0,0,0,4000 paired bootstrap resamples of anchors within geometric class; repeat means inside query; descriptive unadjusted95%
panda,multijoint_boundary/alpha=0.95,relative,fixed_qp1,240,240,0.04166666666666663,"[0.01666666666666672,0.0708333333333333]",0.04166666666666663,"[0.01666666666666672,0.0708333333333333]",0.8596268545824368,"[0.7399190297136612,0.9945879452645824]",10,0,10.0,10,0,4000 paired bootstrap resamples of anchors within geometric class; repeat means inside query; descriptive unadjusted95%
