robot,uid,method,repeat,accepted,latency_ns,reason,raw_file,line
panda,533de6547fa065ce09c1abbe948ab52f2b32de0a95fc8474ae8e65ba7ef34bb7,range_loss_matched,2,False,2862087,position_tolerance+orientation_tolerance,outputs/task_balance_comparison/points/points_panda/records.jsonl.gz,629
panda,533de6547fa065ce09c1abbe948ab52f2b32de0a95fc8474ae8e65ba7ef34bb7,range_loss_matched,0,False,2838906,position_tolerance+orientation_tolerance,outputs/task_balance_comparison/points/points_panda/records.jsonl.gz,631
panda,533de6547fa065ce09c1abbe948ab52f2b32de0a95fc8474ae8e65ba7ef34bb7,range_loss_matched,1,False,2861717,position_tolerance+orientation_tolerance,outputs/task_balance_comparison/points/points_panda/records.jsonl.gz,648
panda,116413e5077b1991259016bcb70aed719e9313295c22976aaf3e7971067192d7,fixed_qp1,2,False,981311,orientation_tolerance,outputs/task_balance_comparison/points/points_panda/records.jsonl.gz,1971
panda,116413e5077b1991259016bcb70aed719e9313295c22976aaf3e7971067192d7,fixed_qp2,0,False,2260112,orientation_tolerance,outputs/task_balance_comparison/points/points_panda/records.jsonl.gz,1974
panda,116413e5077b1991259016bcb70aed719e9313295c22976aaf3e7971067192d7,gn,0,False,4028697,orientation_tolerance,outputs/task_balance_comparison/points/points_panda/records.jsonl.gz,1975
panda,116413e5077b1991259016bcb70aed719e9313295c22976aaf3e7971067192d7,gn,2,False,4004734,orientation_tolerance,outputs/task_balance_comparison/points/points_panda/records.jsonl.gz,1976
panda,116413e5077b1991259016bcb70aed719e9313295c22976aaf3e7971067192d7,fixed_qp1,1,False,1013009,orientation_tolerance,outputs/task_balance_comparison/points/points_panda/records.jsonl.gz,1979
panda,116413e5077b1991259016bcb70aed719e9313295c22976aaf3e7971067192d7,gn,1,False,3980592,orientation_tolerance,outputs/task_balance_comparison/points/points_panda/records.jsonl.gz,1980
panda,116413e5077b1991259016bcb70aed719e9313295c22976aaf3e7971067192d7,fixed_qp1,0,False,992411,orientation_tolerance,outputs/task_balance_comparison/points/points_panda/records.jsonl.gz,1990
panda,116413e5077b1991259016bcb70aed719e9313295c22976aaf3e7971067192d7,fixed_qp2,2,False,2263190,orientation_tolerance,outputs/task_balance_comparison/points/points_panda/records.jsonl.gz,1991
panda,116413e5077b1991259016bcb70aed719e9313295c22976aaf3e7971067192d7,fixed_qp2,1,False,2239625,orientation_tolerance,outputs/task_balance_comparison/points/points_panda/records.jsonl.gz,1992
panda,4d5fe5d806ee997ed8930205c863a2be6672784e9b760de5de950e2b0bc0d461,range_loss_matched,0,False,2066973,position_tolerance+orientation_tolerance,outputs/task_balance_comparison/points/points_panda/records.jsonl.gz,2983
panda,4d5fe5d806ee997ed8930205c863a2be6672784e9b760de5de950e2b0bc0d461,range_loss_matched,2,False,2048686,position_tolerance+orientation_tolerance,outputs/task_balance_comparison/points/points_panda/records.jsonl.gz,2985
panda,4d5fe5d806ee997ed8930205c863a2be6672784e9b760de5de950e2b0bc0d461,range_loss_matched,1,False,2114330,position_tolerance+orientation_tolerance,outputs/task_balance_comparison/points/points_panda/records.jsonl.gz,2998
panda,608b3447d4ba4e880b4b2446b81ea76b7ae7445f953d93d4d4c921cc8e79c135,fixed_qp1,1,False,4526289,orientation_tolerance,outputs/task_balance_comparison/points/points_panda/records.jsonl.gz,4009
panda,608b3447d4ba4e880b4b2446b81ea76b7ae7445f953d93d4d4c921cc8e79c135,gn,0,False,3310481,orientation_tolerance,outputs/task_balance_comparison/points/points_panda/records.jsonl.gz,4014
panda,608b3447d4ba4e880b4b2446b81ea76b7ae7445f953d93d4d4c921cc8e79c135,gn,2,False,3246320,orientation_tolerance,outputs/task_balance_comparison/points/points_panda/records.jsonl.gz,4018
panda,608b3447d4ba4e880b4b2446b81ea76b7ae7445f953d93d4d4c921cc8e79c135,fixed_qp1,2,False,4564325,orientation_tolerance,outputs/task_balance_comparison/points/points_panda/records.jsonl.gz,4026
panda,608b3447d4ba4e880b4b2446b81ea76b7ae7445f953d93d4d4c921cc8e79c135,gn,1,False,3291888,orientation_tolerance,outputs/task_balance_comparison/points/points_panda/records.jsonl.gz,4027
panda,608b3447d4ba4e880b4b2446b81ea76b7ae7445f953d93d4d4c921cc8e79c135,fixed_qp1,0,False,4604405,orientation_tolerance,outputs/task_balance_comparison/points/points_panda/records.jsonl.gz,4030
panda,fe6093d5d71e27d3b83bc8342838165ba4de5c55592dae535069af896a5f41f9,range_loss_matched,1,False,2333916,position_tolerance,outputs/task_balance_comparison/points/points_panda/records.jsonl.gz,4995
panda,fe6093d5d71e27d3b83bc8342838165ba4de5c55592dae535069af896a5f41f9,range_loss_matched,0,False,2384491,position_tolerance,outputs/task_balance_comparison/points/points_panda/records.jsonl.gz,5003
panda,fe6093d5d71e27d3b83bc8342838165ba4de5c55592dae535069af896a5f41f9,range_loss_matched,2,False,2372489,position_tolerance,outputs/task_balance_comparison/points/points_panda/records.jsonl.gz,5010
panda,d6985d41e35c51337acffced505c0ae5d8fe12843ca8caf1664b4428de915bc1,range_loss_matched,1,False,4442777,orientation_tolerance,outputs/task_balance_comparison/points/points_panda/records.jsonl.gz,5284
panda,d6985d41e35c51337acffced505c0ae5d8fe12843ca8caf1664b4428de915bc1,range_loss_matched,0,False,4398116,orientation_tolerance,outputs/task_balance_comparison/points/points_panda/records.jsonl.gz,5303
panda,d6985d41e35c51337acffced505c0ae5d8fe12843ca8caf1664b4428de915bc1,range_loss_matched,2,False,4396862,orientation_tolerance,outputs/task_balance_comparison/points/points_panda/records.jsonl.gz,5304
panda,64f400f221b5b8dea4460e95d1d0ffae5af3217d27d05fe42b5dd4e18295ea7a,range_loss_matched,1,False,2046652,position_tolerance+orientation_tolerance,outputs/task_balance_comparison/points/points_panda/records.jsonl.gz,5506
panda,64f400f221b5b8dea4460e95d1d0ffae5af3217d27d05fe42b5dd4e18295ea7a,range_loss_matched,0,False,2042859,position_tolerance+orientation_tolerance,outputs/task_balance_comparison/points/points_panda/records.jsonl.gz,5515
panda,64f400f221b5b8dea4460e95d1d0ffae5af3217d27d05fe42b5dd4e18295ea7a,range_loss_matched,2,False,2053382,position_tolerance+orientation_tolerance,outputs/task_balance_comparison/points/points_panda/records.jsonl.gz,5519
panda,f0accf3691ed596ebf0882b564fbe9439277ddc416d134a93a5df2ae56fa7aed,range_loss_matched,0,False,2206573,position_tolerance+orientation_tolerance,outputs/task_balance_comparison/points/points_panda/records.jsonl.gz,6800
panda,f0accf3691ed596ebf0882b564fbe9439277ddc416d134a93a5df2ae56fa7aed,range_loss_matched,1,False,2203374,position_tolerance+orientation_tolerance,outputs/task_balance_comparison/points/points_panda/records.jsonl.gz,6802
panda,f0accf3691ed596ebf0882b564fbe9439277ddc416d134a93a5df2ae56fa7aed,range_loss_matched,2,False,2194073,position_tolerance+orientation_tolerance,outputs/task_balance_comparison/points/points_panda/records.jsonl.gz,6812
panda,2018fa9c25c8ff9a09911928728f0f712d1653a01f57ce8114d32ffae55e4f58,range_loss_matched,1,False,3279187,orientation_tolerance,outputs/task_balance_comparison/points/points_panda/records.jsonl.gz,8642
panda,2018fa9c25c8ff9a09911928728f0f712d1653a01f57ce8114d32ffae55e4f58,range_loss_matched,2,False,3254003,orientation_tolerance,outputs/task_balance_comparison/points/points_panda/records.jsonl.gz,8644
panda,2018fa9c25c8ff9a09911928728f0f712d1653a01f57ce8114d32ffae55e4f58,range_loss_matched,0,False,3345044,orientation_tolerance,outputs/task_balance_comparison/points/points_panda/records.jsonl.gz,8649
panda,90bb9a5a3e41b25ecdfe123021c595271fd2ed7c0aed69ae24b0e034d430daba,range_loss_matched,0,False,2195070,position_tolerance+orientation_tolerance,outputs/task_balance_comparison/points/points_panda/records.jsonl.gz,9415
panda,90bb9a5a3e41b25ecdfe123021c595271fd2ed7c0aed69ae24b0e034d430daba,range_loss_matched,1,False,2198865,position_tolerance+orientation_tolerance,outputs/task_balance_comparison/points/points_panda/records.jsonl.gz,9424
panda,90bb9a5a3e41b25ecdfe123021c595271fd2ed7c0aed69ae24b0e034d430daba,range_loss_matched,2,False,2202260,position_tolerance+orientation_tolerance,outputs/task_balance_comparison/points/points_panda/records.jsonl.gz,9429
panda,be9efe6f5d0c2f73beef69d62c4161e8fd60ec78077e0d5a44b11cbca028ec0e,fixed_qp1,1,False,4545074,orientation_tolerance,outputs/task_balance_comparison/points/points_panda/records.jsonl.gz,9674
panda,be9efe6f5d0c2f73beef69d62c4161e8fd60ec78077e0d5a44b11cbca028ec0e,gn,0,False,4873634,orientation_tolerance,outputs/task_balance_comparison/points/points_panda/records.jsonl.gz,9679
panda,be9efe6f5d0c2f73beef69d62c4161e8fd60ec78077e0d5a44b11cbca028ec0e,fixed_qp1,2,False,4544487,orientation_tolerance,outputs/task_balance_comparison/points/points_panda/records.jsonl.gz,9681
panda,be9efe6f5d0c2f73beef69d62c4161e8fd60ec78077e0d5a44b11cbca028ec0e,gn,1,False,4823360,orientation_tolerance,outputs/task_balance_comparison/points/points_panda/records.jsonl.gz,9682
panda,be9efe6f5d0c2f73beef69d62c4161e8fd60ec78077e0d5a44b11cbca028ec0e,fixed_qp1,0,False,4575353,orientation_tolerance,outputs/task_balance_comparison/points/points_panda/records.jsonl.gz,9684
panda,be9efe6f5d0c2f73beef69d62c4161e8fd60ec78077e0d5a44b11cbca028ec0e,gn,2,False,4849692,orientation_tolerance,outputs/task_balance_comparison/points/points_panda/records.jsonl.gz,9687
panda,78a17b143dc854377c6ee3fbca53ebe1d3e29644f0d321a4fd6adb42873bb6c4,range_loss_matched,0,False,4732730,orientation_tolerance,outputs/task_balance_comparison/points/points_panda/records.jsonl.gz,9773
panda,78a17b143dc854377c6ee3fbca53ebe1d3e29644f0d321a4fd6adb42873bb6c4,range_loss_matched,2,False,4733060,orientation_tolerance,outputs/task_balance_comparison/points/points_panda/records.jsonl.gz,9785
panda,78a17b143dc854377c6ee3fbca53ebe1d3e29644f0d321a4fd6adb42873bb6c4,range_loss_matched,1,False,4714886,orientation_tolerance,outputs/task_balance_comparison/points/points_panda/records.jsonl.gz,9790
panda,801843ee16f6816a85f016bbe6413ba8e8e1ee32cbd66574703078277c4e26f8,range_loss_matched,0,False,5343838,position_tolerance+orientation_tolerance,outputs/task_balance_comparison/points/points_panda/records.jsonl.gz,10723
panda,801843ee16f6816a85f016bbe6413ba8e8e1ee32cbd66574703078277c4e26f8,range_loss_matched,2,False,5274180,position_tolerance+orientation_tolerance,outputs/task_balance_comparison/points/points_panda/records.jsonl.gz,10724
panda,801843ee16f6816a85f016bbe6413ba8e8e1ee32cbd66574703078277c4e26f8,range_loss_matched,1,False,5307168,position_tolerance+orientation_tolerance,outputs/task_balance_comparison/points/points_panda/records.jsonl.gz,10728
panda,d1e4b1389f6ce06d8fe4672453b75074d0749449ac0b3de22a7b47f818944e98,range_loss_matched,2,False,2622844,position_tolerance,outputs/task_balance_comparison/points/points_panda/records.jsonl.gz,11658
panda,d1e4b1389f6ce06d8fe4672453b75074d0749449ac0b3de22a7b47f818944e98,range_loss_matched,0,False,2619052,position_tolerance,outputs/task_balance_comparison/points/points_panda/records.jsonl.gz,11662
panda,d1e4b1389f6ce06d8fe4672453b75074d0749449ac0b3de22a7b47f818944e98,range_loss_matched,1,False,2607379,position_tolerance,outputs/task_balance_comparison/points/points_panda/records.jsonl.gz,11664
panda,3e20bcead7246ef3be1336b30f42795913b475491b6def1275af082c8b7ad807,range_loss_matched,1,False,3790273,position_tolerance,outputs/task_balance_comparison/points/points_panda/records.jsonl.gz,11833
panda,3e20bcead7246ef3be1336b30f42795913b475491b6def1275af082c8b7ad807,range_loss_matched,0,False,3834246,position_tolerance,outputs/task_balance_comparison/points/points_panda/records.jsonl.gz,11836
panda,3e20bcead7246ef3be1336b30f42795913b475491b6def1275af082c8b7ad807,range_loss_matched,2,False,3790017,position_tolerance,outputs/task_balance_comparison/points/points_panda/records.jsonl.gz,11845
panda,73a3caee16d67227f38faa98ef37a5b9420a8c371915a66cffffb2196a433033,range_loss_matched,2,False,1772252,position_tolerance+orientation_tolerance,outputs/task_balance_comparison/points/points_panda/records.jsonl.gz,12268
panda,73a3caee16d67227f38faa98ef37a5b9420a8c371915a66cffffb2196a433033,range_loss_matched,0,False,1750346,position_tolerance+orientation_tolerance,outputs/task_balance_comparison/points/points_panda/records.jsonl.gz,12269
panda,73a3caee16d67227f38faa98ef37a5b9420a8c371915a66cffffb2196a433033,range_loss_matched,1,False,1752305,position_tolerance+orientation_tolerance,outputs/task_balance_comparison/points/points_panda/records.jsonl.gz,12275
