robot,group,method,queries,anchors,repeats,success_by_repeat,within20_by_repeat,mean_success_count,verified_success,within20_success,all_repeat_success_queries,witness_missed_unique_queries,p50_ms,p95_ms,p99_ms,mean_ms,cumulative_ms_per_repeat,late_calls,accepted_position_p95_m,accepted_position_max_m,accepted_orientation_p95_rad,accepted_orientation_max_rad,accepted_pose_utilization_p95,accepted_edge_fraction,accepted_position_margin_p05_m,accepted_orientation_margin_p05_rad,max_accepted_step_utilization,mean_iterations,mean_evaluations,first_half_accepted_call_fraction,continued_after_first_call_fraction,multiple_local_qp_call_fraction,relative_stop_call_fraction,relative_stop_subproblem_fraction,mean_dual_updates,internal_status_counts,failure_counts
panda,regular/alpha=0.0,relative,240,240,3,"[240,240,240]","[240,240,240]",240.0,1.0,1.0,240,0,0.27615500000000004,0.3011791,0.31708739999999996,0.2794106875,67.058565,0,0.00035992490604241207,0.0006833236178517836,0.000771868150768953,0.0058085714122584845,0.35992490604241206,0.0,0.0006400750939575856,0.007954778109231049,0.9999999999990011,1.0041666666666667,2.0,0.9916666666666667,0.004166666666666667,0.0,0.004166666666666667,1.0,1.0,"{""native_task_candidate"":720}",{}
panda,regular/alpha=0.0,gn,240,240,3,"[240,240,240]","[240,240,240]",240.0,1.0,1.0,240,0,0.304489,0.3290399,0.34870821999999946,0.3075001291666667,73.800031,0,0.00035992490604241207,0.0006833236178517836,0.000771868150768953,0.0058085714122584845,0.35992490604241206,0.0,0.0006400750939575856,0.007954778109231049,0.9999999999990011,2.0,4.0,,,,,,,"{""task_candidate"":720}",{}
panda,regular/alpha=0.0,tight,240,240,3,"[240,240,240]","[240,240,240]",240.0,1.0,1.0,240,0,0.2750625,0.3032835,0.33430394999999996,0.2821521819444444,67.71652366666666,0,0.00035992490604241207,0.0006833236178517836,0.000771868150768953,0.0058085714122584845,0.35992490604241206,0.0,0.0006400750939575856,0.007954778109231049,0.9999999999990011,1.0041666666666667,2.0166666666666666,0.9916666666666667,0.004166666666666667,0.004166666666666667,0.0,0.0,1.0166666666666666,"{""native_task_candidate"":720}",{}
panda,regular/alpha=0.0,clarabel,240,240,3,"[240,240,240]","[240,240,240]",240.0,1.0,1.0,240,0,0.2766495,0.30428944999999996,0.32149352999999997,0.28101641944444444,67.44394066666668,0,0.00035992490604241207,0.0006833236178517836,0.000771868150768953,0.0058085714122584845,0.35992490604241206,0.0,0.0006400750939575856,0.007954778109231049,0.9999999999990011,1.0041666666666667,2.004166666666667,0.9916666666666667,0.004166666666666667,0.004166666666666667,0.0,0.0,1.0041666666666667,"{""native_task_candidate"":720}",{}
panda,regular/alpha=0.0,range_loss_matched,240,240,3,"[240,240,240]","[240,240,240]",240.0,1.0,1.0,240,0,1.3134245,2.642575499999998,3.3140513099999995,1.4490927416666668,347.782258,0,0.0009738031647806173,0.0009976590313617657,0.008455322809354633,0.00868759197533152,0.9854261948015318,0.32083333333333336,2.619683521938253e-05,0.00027132345064536506,0.6166671197001045,5.883333333333334,17.045833333333334,,0.0,0.0,0.0,,0.0,"{""task_accepted_early"":720}",{}
panda,regular/alpha=0.0,direct_sqp,240,240,3,"[240,240,240]","[240,240,240]",240.0,1.0,1.0,240,0,1.45404,1.93763955,2.1906925199999994,1.4561432569444444,349.47438166666666,0,0.000999999984077167,0.0009999999988169863,0.008726645984665478,0.008726646235316288,0.9999999868248527,0.9958333333333333,1.5922832908958633e-11,2.7533452184869143e-10,0.5529988082546352,9.933333333333334,15.45,,0.0,0.0,0.0,,0.0,"{""task_accepted_early"":720}",{}
panda,regular/alpha=0.0,fixed_qp1,240,240,3,"[240,240,240]","[240,240,240]",240.0,1.0,1.0,240,0,0.275493,0.30367144999999995,0.3286468299999997,0.27969171111111113,67.12601066666667,0,0.00035992490604241207,0.0006833236178517836,0.000771868150768953,0.0058085714122584845,0.35992490604241206,0.0,0.0006400750939575856,0.007954778109231049,0.9999999999990011,1.0041666666666667,2.0,0.9916666666666667,0.004166666666666667,0.0,0.0,0.0,1.0,"{""native_task_candidate"":720}",{}
panda,regular/alpha=0.0,fixed_qp2,240,240,3,"[240,240,240]","[240,240,240]",240.0,1.0,1.0,240,0,0.275712,0.30330965,0.32652202999999996,0.27985158055555553,67.16437933333333,0,0.00035992490604241207,0.0006833236178517836,0.000771868150768953,0.0058085714122584845,0.35992490604241206,0.0,0.0006400750939575856,0.007954778109231049,0.9999999999990011,1.0041666666666667,2.004166666666667,0.9916666666666667,0.004166666666666667,0.004166666666666667,0.0,0.0,1.0041666666666667,"{""native_task_candidate"":720}",{}
panda,regular/alpha=0.5,relative,240,240,3,"[240,240,240]","[240,240,240]",240.0,1.0,1.0,240,0,0.278258,0.31360875,0.4898204899999985,0.2849111513888889,68.37867633333333,0,0.000573929549372892,0.0009333847501222005,0.0021745165462160993,0.007905351516944444,0.5739295493728921,0.0125,0.0004260704506271061,0.0065521297137838925,0.9999999999990037,1.0125,2.0083333333333333,0.9833333333333333,0.0125,0.0,0.0125,1.0,1.0083333333333333,"{""native_task_candidate"":720}",{}
panda,regular/alpha=0.5,gn,240,240,3,"[240,240,240]","[240,240,240]",240.0,1.0,1.0,240,0,0.3066065,0.34151964999999995,0.48006228999999995,0.3126869388888889,75.04486533333333,0,0.000573929549372892,0.0009333847501222005,0.0021745165462160993,0.007905351516944444,0.5739295493728921,0.0125,0.0004260704506271061,0.0065521297137838925,0.9999999999990037,2.0083333333333333,4.016666666666667,,,,,,,"{""task_candidate"":720}",{}
panda,regular/alpha=0.5,tight,240,240,3,"[240,240,240]","[240,240,240]",240.0,1.0,1.0,240,0,0.2776465,0.31433924999999996,0.8500711299999996,0.29134472222222224,69.92273333333334,0,0.000573929549372892,0.0009333847501222005,0.0021745165462160993,0.007905351516944444,0.5739295493728921,0.0125,0.0004260704506271061,0.0065521297137838925,0.9999999999990037,1.0125,2.05,0.9833333333333333,0.0125,0.0125,0.0,0.0,1.05,"{""native_task_candidate"":720}",{}
panda,regular/alpha=0.5,clarabel,240,240,3,"[240,240,240]","[240,240,240]",240.0,1.0,1.0,240,0,0.27890550000000003,0.3179206,0.6780239699999997,0.2877340958333333,69.05618299999999,0,0.000573929549372892,0.0009333847501222005,0.0021745165462160993,0.007905351516944444,0.5739295493728921,0.0125,0.0004260704506271061,0.0065521297137838925,0.9999999999990037,1.0125,2.0208333333333335,0.9833333333333333,0.0125,0.0125,0.0,0.0,1.0208333333333333,"{""native_task_candidate"":720}",{}
panda,regular/alpha=0.5,range_loss_matched,240,240,3,"[240,240,240]","[240,240,240]",240.0,1.0,1.0,240,0,1.4285305,2.819018799999999,3.6771521299999996,1.5426867972222222,370.24483133333337,0,0.0009704449722613671,0.000998204071617828,0.008605998453323004,0.008724917164351568,0.9892351174228751,0.32916666666666666,2.9555027738632877e-05,0.00012064780667699588,0.9598412848944897,6.533333333333333,18.4875,,0.0,0.0,0.0,,0.0,"{""task_accepted_early"":720}",{}
panda,regular/alpha=0.5,direct_sqp,240,240,3,"[240,240,240]","[240,240,240]",240.0,1.0,1.0,240,0,1.496401,2.03774935,2.230137569999999,1.489831813888889,357.55963533333335,0,0.0009999999876708823,0.0009999999991539515,0.008726645993778155,0.008726646224418972,0.9999999888267656,1.0,1.2329117653024638e-11,2.6622184561009294e-10,0.5551564405654904,10.225,15.941666666666666,,0.0,0.0,0.0,,0.0,"{""task_accepted_early"":720}",{}
panda,regular/alpha=0.5,fixed_qp1,240,240,3,"[240,240,240]","[240,240,240]",240.0,1.0,1.0,240,0,0.28034349999999997,0.3144162,0.4518987299999997,0.28510765694444445,68.42583766666667,0,0.000573929549372892,0.0009333847501222005,0.0021745165462160993,0.007905351516944444,0.5739295493728921,0.0125,0.0004260704506271061,0.0065521297137838925,0.9999999999990037,1.0125,2.0083333333333333,0.9833333333333333,0.0125,0.0,0.0,0.0,1.0083333333333333,"{""native_task_candidate"":720}",{}
panda,regular/alpha=0.5,fixed_qp2,240,240,3,"[240,240,240]","[240,240,240]",240.0,1.0,1.0,240,0,0.2778255,0.3108671,0.6159673399999994,0.28593898333333334,68.625356,0,0.000573929549372892,0.0009333847501222005,0.0021745165462160993,0.007905351516944444,0.5739295493728921,0.0125,0.0004260704506271061,0.0065521297137838925,0.9999999999990037,1.0125,2.0208333333333335,0.9833333333333333,0.0125,0.0125,0.0,0.0,1.0208333333333333,"{""native_task_candidate"":720}",{}
