robot,group,method,queries,anchors,repeats,success_by_repeat,within20_by_repeat,mean_success_count,verified_success,within20_success,all_repeat_success_queries,witness_missed_unique_queries,p50_ms,p95_ms,p99_ms,mean_ms,cumulative_ms_per_repeat,late_calls,accepted_position_p95_m,accepted_position_max_m,accepted_orientation_p95_rad,accepted_orientation_max_rad,accepted_pose_utilization_p95,accepted_edge_fraction,accepted_position_margin_p05_m,accepted_orientation_margin_p05_rad,max_accepted_step_utilization,mean_iterations,mean_evaluations,first_half_accepted_call_fraction,continued_after_first_call_fraction,multiple_local_qp_call_fraction,relative_stop_call_fraction,relative_stop_subproblem_fraction,mean_dual_updates,internal_status_counts,failure_counts
panda,all,relative,2160,240,3,"[2160,2160,2160]","[2160,2160,2160]",2160.0,1.0,1.0,2160,0,0.3308585,0.5900087999999999,0.65763742,0.396308237191358,856.0257923333332,0,0.0008953447986700017,0.0009992583344808404,0.006743843028332247,0.008693909102669654,0.925071743140734,0.06666666666666667,0.0001046552013299967,0.0019828032316677184,0.9999999999990037,1.4287037037037038,2.4574074074074073,0.5740740740740741,0.425,0.004629629629629629,0.425,0.9893276414087513,1.4569444444444444,"{""native_task_candidate"":6480}",{}
panda,all,gn,2160,240,3,"[2150,2150,2150]","[2150,2150,2150]",2150.0,0.9953703703703703,0.9953703703703703,2150,10,0.35838349999999997,0.5806608499999999,0.6519024800000001,0.42104158194444447,909.449817,0,0.0008912219166842997,0.0009992583344808404,0.0065497611974451,0.008693909102669654,0.9191468231274987,0.06279069767441861,0.00010877808331570028,0.0021768850625549004,0.9999999999990037,2.4787037037037036,5.30462962962963,,,,,,,"{""task_candidate"":6450,""no_descent"":18,""stationary"":12}","{""orientation_tolerance"":30}"
panda,all,tight,2160,240,3,"[2160,2160,2160]","[2160,2160,2160]",2160.0,1.0,1.0,2160,0,0.3297535,2.49874635,3.11933958,0.8119428092592592,1753.7964679999998,0,0.000912155658454713,0.0009989108738166455,0.006919801532593366,0.008694309163738999,0.9318859737688268,0.07546296296296297,8.784434154528683e-05,0.0018068447274066281,0.9999999999990037,1.4097222222222223,4.92037037037037,0.5740740740740741,0.425,0.42314814814814816,0.0,0.0,3.9212962962962963,"{""native_task_candidate"":6480}",{}
panda,all,clarabel,2160,240,3,"[2160,2160,2160]","[2160,2160,2160]",2160.0,1.0,1.0,2160,0,0.3317655,0.8129641,0.8739370900000001,0.4839780533950618,1045.3925953333335,0,0.0009063286892346657,0.000999930269845503,0.00687970631102368,0.008694309174587727,0.9331389068225988,0.07361111111111111,9.367131076533403e-05,0.001846939948976301,0.9999999999990037,1.4166666666666667,2.8467592592592594,0.5740740740740741,0.425,0.425,0.0,0.0,1.8462962962962963,"{""native_task_candidate"":6480}",{}
panda,all,range_loss_matched,2160,240,3,"[2108,2108,2108]","[2108,2108,2108]",2108.0,0.975925925925926,0.975925925925926,2108,52,2.0805055,4.844545799999998,6.53237012,2.3624731324074073,5102.941965999999,0,0.0009743345571513815,0.0009998302599940985,0.008583369869600269,0.008726575875008127,0.9901374984923141,0.38472485768500947,2.5665442848618472e-05,0.0001432763903997311,0.9999999999990037,13.561574074074073,30.90648148148148,,0.0,0.0,0.0,,0.0,"{""task_accepted_early"":6324,""optimizer:CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL"":3,""optimizer:CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH"":153}","{""position_tolerance+orientation_tolerance"":72,""position_tolerance"":30,""orientation_tolerance"":54}"
panda,all,direct_sqp,2160,240,3,"[2160,2160,2160]","[2160,2160,2160]",2160.0,1.0,1.0,2160,0,2.1799235,2.7597113999999996,2.97423333,2.0712490822530865,4473.898017666666,0,0.0009999999859553097,0.000999999999958217,0.008726646057972666,0.00872664625695619,0.9999999890036296,0.999537037037037,1.4044690421505958e-11,2.020273343582291e-10,0.9999999999990037,14.9,24.65509259259259,,0.0,0.0,0.0,,0.0,"{""task_accepted_early"":6480}",{}
panda,all,fixed_qp1,2160,240,3,"[2150,2150,2150]","[2150,2150,2150]",2150.0,0.9953703703703703,0.9953703703703703,2150,10,0.330928,0.5627657,0.63077702,0.3971887936728395,857.9277943333333,0,0.0008912219166842997,0.0009992583344808404,0.0065497611974451,0.008693909102669654,0.9191468231274987,0.06279069767441861,0.00010877808331570028,0.0021768850625549004,0.9999999999990037,1.487962962962963,2.7643518518518517,0.5740740740740741,0.425,0.0,0.0,0.0,1.487037037037037,"{""native_task_candidate"":6450,""stationary"":15,""no_descent"":12,""iteration_limit"":3}","{""orientation_tolerance"":30}"
panda,all,fixed_qp2,2160,240,3,"[2157,2157,2157]","[2157,2157,2157]",2157.0,0.9986111111111111,0.9986111111111111,2157,3,0.3310305,0.7662100499999996,0.84793431,0.46501102253086424,1004.4238086666668,0,0.000896429113022337,0.0009989108738166455,0.0067665844538106566,0.008694326815461312,0.9259144536792314,0.06815020862308763,0.00010357088697766307,0.001960061806189344,0.9999999999990037,1.4416666666666667,2.975,0.5740740740740741,0.425,0.425,0.0,0.0,1.8935185185185186,"{""native_task_candidate"":6471,""stationary"":9}","{""orientation_tolerance"":9}"
ur5e,all,relative,2160,240,3,"[2160,2160,2160]","[2160,2160,2160]",2160.0,1.0,1.0,2160,0,0.3996675,0.5406754499999998,0.6158411800000001,0.3873730407407407,836.7257679999999,0,0.0008844360065055817,0.0009996388208158363,0.007072155556148601,0.008719286251032748,0.9210635666098894,0.06574074074074074,0.00011556399349441783,0.0016544907038513873,0.9999999999990026,1.5337962962962963,2.5615740740740742,0.4722222222222222,0.5268518518518519,0.005555555555555556,0.5268518518518519,0.9896995708154507,1.561574074074074,"{""native_task_candidate"":6480}",{}
ur5e,all,gn,2160,240,3,"[2148,2148,2148]","[2148,2148,2148]",2148.0,0.9944444444444445,0.9944444444444445,2148,12,0.39452600000000004,0.5288474499999999,0.59203556,0.4068147316358025,878.7198203333334,0,0.0008781747803220569,0.0009996388208158363,0.006899241873509788,0.008719286251032748,0.913140916098335,0.06052141527001862,0.00012182521967794315,0.0018274043864902117,0.9999999999990026,2.589814814814815,5.51712962962963,,,,,,,"{""task_candidate"":6444,""stationary"":33,""no_descent"":3}","{""orientation_tolerance"":24,""position_tolerance"":12}"
